SA, Life expectancy at birth (period, 1x1)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1971        76.02    69.48    72.67
  1972        76.57    69.32    72.83
  1973        77.03    69.60    73.20
  1974        76.96    69.10    72.88
  1975        77.20    70.16    73.61
  1976        77.31    70.41    73.79
  1977        77.71    71.10    74.36
  1978        78.70    70.98    74.74
  1979        78.60    71.61    75.05
  1980        79.15    71.99    75.52
  1981        79.59    72.27    75.87
  1982        79.00    71.77    75.30
  1983        79.66    72.66    76.12
  1984        80.01    73.05    76.49
  1985        79.14    73.18    76.15
  1986        79.83    73.55    76.68
  1987        80.17    73.48    76.79
  1988        80.40    73.62    76.97
  1989        79.82    73.69    76.73
  1990        80.33    74.10    77.21
  1991        80.59    74.68    77.64
  1992        80.95    75.06    78.01
  1993        80.61    74.92    77.78
  1994        81.13    75.02    78.06
  1995        81.57    75.57    78.59
  1996        81.56    75.63    78.60
  1997        81.71    76.09    78.92
  1998        81.96    76.13    79.05
  1999        82.51    76.87    79.72
  2000        82.34    76.60    79.48
  2001        82.34    77.36    79.88
  2002        82.63    77.52    80.11
  2003        82.72    77.42    80.09
  2004        83.50    78.27    80.92
  2005        83.41    77.73    80.58
  2006        83.54    79.04    81.34
  2007        83.82    78.47    81.16
  2008        83.64    79.18    81.44
  2009        83.74    79.42    81.62
  2010        83.66    79.51    81.61
  2011        84.30    79.94    82.15
  2012        84.04    79.94    82.02
  2013        84.52    80.32    82.45
  2014        84.33    80.58    82.49
  2015        84.41    80.31    82.37
  2016        84.93    80.63    82.79
  2017        84.37    80.34    82.36
  2018        85.14    80.92    83.04
  2019        85.20    81.09    83.15
  2020        85.67    81.27    83.47
