SA, Life expectancy at birth (period, 1x5)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1971-1974     76.64    69.38    72.90
1975-1979     77.89    70.86    74.31
1980-1984     79.49    72.36    75.87
1985-1989     79.87    73.51    76.67
1990-1994     80.72    74.76    77.74
1995-1999     81.88    76.08    79.00
2000-2004     82.74    77.46    80.13
2005-2009     83.69    78.82    81.29
2010-2014     84.23    80.11    82.20
2015-2016     84.71    80.51    82.61
