SA, Exposure to risk (period 1x5), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0             40908.22        43135.86        84044.08
1971-1974        1             42302.63        44558.00        86860.64
1971-1974        2             43395.89        45537.46        88933.35
1971-1974        3             43786.50        45903.06        89689.56
1971-1974        4             43688.40        45653.01        89341.41
1971-1974        5             43236.34        45108.69        88345.03
1971-1974        6             43104.46        45168.67        88273.13
1971-1974        7             43182.83        45492.18        88675.01
1971-1974        8             44046.24        46578.99        90625.23
1971-1974        9             45266.86        47870.04        93136.91
1971-1974       10             46440.99        48716.85        95157.84
1971-1974       11             47518.47        49595.44        97113.91
1971-1974       12             47844.02        49745.33        97589.35
1971-1974       13             47976.58        49757.62        97734.19
1971-1974       14             47441.40        49146.88        96588.28
1971-1974       15             46516.48        48012.03        94528.50
1971-1974       16             45391.46        46676.03        92067.49
1971-1974       17             44262.33        45479.56        89741.88
1971-1974       18             43195.29        44192.47        87387.77
1971-1974       19             42576.09        43038.66        85614.75
1971-1974       20             41950.32        42041.36        83991.68
1971-1974       21             41285.44        41160.34        82445.78
1971-1974       22             40512.62        40901.64        81414.26
1971-1974       23             40232.50        40831.65        81064.15
1971-1974       24             39854.92        40595.31        80450.23
1971-1974       25             40540.94        41161.58        81702.52
1971-1974       26             39260.24        39941.80        79202.04
1971-1974       27             37679.82        38578.57        76258.39
1971-1974       28             35111.75        36225.61        71337.36
1971-1974       29             32876.13        33846.11        66722.25
1971-1974       30             31601.22        32626.04        64227.26
1971-1974       31             30288.04        31467.38        61755.41
1971-1974       32             29291.04        30368.31        59659.35
1971-1974       33             28844.57        29486.60        58331.17
1971-1974       34             28365.21        28786.66        57151.86
1971-1974       35             27950.55        28329.18        56279.73
1971-1974       36             27592.62        28151.61        55744.22
1971-1974       37             27095.80        27818.69        54914.49
1971-1974       38             26606.79        27406.15        54012.94
1971-1974       39             26386.16        27212.50        53598.66
1971-1974       40             26265.56        27387.56        53653.12
1971-1974       41             27061.90        28311.49        55373.39
1971-1974       42             27398.37        29158.49        56556.86
1971-1974       43             28194.20        30003.69        58197.88
1971-1974       44             28637.57        30927.23        59564.80
1971-1974       45             28911.35        31184.13        60095.48
1971-1974       46             29430.29        31410.10        60840.38
1971-1974       47             29755.79        31195.77        60951.56
1971-1974       48             29693.69        30822.48        60516.17
1971-1974       49             29549.92        30205.07        59754.98
1971-1974       50             29117.48        29545.79        58663.27
1971-1974       51             28841.77        29143.40        57985.18
1971-1974       52             27893.44        28086.09        55979.53
1971-1974       53             26501.99        26686.56        53188.55
1971-1974       54             25147.36        25110.72        50258.08
1971-1974       55             24100.93        24018.69        48119.61
1971-1974       56             23581.57        23427.45        47009.02
1971-1974       57             23602.17        23367.29        46969.46
1971-1974       58             23581.67        23311.18        46892.85
1971-1974       59             23502.55        22850.03        46352.58
1971-1974       60             22940.78        22185.32        45126.10
1971-1974       61             22424.93        21000.79        43425.72
1971-1974       62             21376.36        19687.23        41063.59
1971-1974       63             20534.58        18600.89        39135.46
1971-1974       64             19564.09        17403.49        36967.57
1971-1974       65             18479.34        16350.88        34830.22
1971-1974       66             17582.43        15591.86        33174.30
1971-1974       67             16594.00        14505.08        31099.08
1971-1974       68             15640.42        13558.69        29199.11
1971-1974       69             14842.40        12515.46        27357.86
1971-1974       70             14043.39        11579.88        25623.27
1971-1974       71             13519.38        10705.85        24225.23
1971-1974       72             13139.61         9781.48        22921.09
1971-1974       73             12629.34         8856.12        21485.46
1971-1974       74             11955.04         7858.56        19813.59
1971-1974       75             11162.28         6979.92        18142.20
1971-1974       76             10585.67         6251.11        16836.78
1971-1974       77             10095.57         5731.15        15826.72
1971-1974       78              9535.39         5272.29        14807.68
1971-1974       79              8848.33         4917.68        13766.02
1971-1974       80              8246.58         4483.54        12730.12
1971-1974       81              7497.68         4023.19        11520.87
1971-1974       82              6676.28         3561.23        10237.51
1971-1974       83              5844.37         3090.34         8934.71
1971-1974       84              5052.99         2616.22         7669.21
1971-1974       85              4323.09         2158.97         6482.06
1971-1974       86              3645.46         1737.61         5383.07
1971-1974       87              3034.82         1366.51         4401.32
1971-1974       88              2475.51         1043.97         3519.48
1971-1974       89              1951.37          780.83         2732.20
1971-1974       90              1512.89          575.54         2088.43
1971-1974       91              1157.05          424.90         1581.95
1971-1974       92               856.83          306.01         1162.84
1971-1974       93               616.30          215.10          831.40
1971-1974       94               435.69          146.67          582.36
1971-1974       95               297.50           92.81          390.31
1971-1974       96               202.68           59.27          261.95
1971-1974       97               137.70           38.54          176.24
1971-1974       98                85.26           22.01          107.26
1971-1974       99                51.42            9.77           61.19
1971-1974      100                31.94            2.96           34.90
1971-1974      101                18.15            1.18           19.33
1971-1974      102                 8.62            0.11            8.73
