SA, Death rates (period 5x5), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0             0.013127        0.017642        0.015444
1971-1974      1-4             0.000595        0.000930        0.000767
1971-1974      5-9             0.000251        0.000339        0.000296
1971-1974     10-14            0.000173        0.000300        0.000238
1971-1974     15-19            0.000505        0.001618        0.001068
1971-1974     20-24            0.000515        0.001445        0.000982
1971-1974     25-29            0.000528        0.001133        0.000834
1971-1974     30-34            0.000788        0.001205        0.001000
1971-1974     35-39            0.000929        0.001994        0.001468
1971-1974     40-44            0.001730        0.002949        0.002358
1971-1974     45-49            0.002857        0.005361        0.004140
1971-1974     50-54            0.004444        0.008681        0.006571
1971-1974     55-59            0.006775        0.015217        0.010971
1971-1974     60-64            0.010689        0.023281        0.016741
1971-1974     65-69            0.017561        0.038430        0.027284
1971-1974     70-74            0.031385        0.060084        0.043658
1971-1974     75-79            0.053935        0.092206        0.067990
1971-1974     80-84            0.088571        0.137163        0.105476
1971-1974     85-89            0.155215        0.214873        0.173993
1971-1974     90-94            0.233688        0.293727        0.249721
1971-1974     95-99            0.353752        0.391184        0.362102
1971-1974    100-104           0.706981        1.644706        0.766581
1971-1974    105-109           4.166667              .        4.166667
1971-1974    110+                    .              .              .
1975-1979        0             0.010217        0.012902        0.011595
1975-1979      1-4             0.000445        0.000759        0.000606
1975-1979      5-9             0.000262        0.000298        0.000280
1975-1979     10-14            0.000240        0.000280        0.000260
1975-1979     15-19            0.000505        0.001481        0.000999
1975-1979     20-24            0.000437        0.001517        0.000983
1975-1979     25-29            0.000419        0.001368        0.000897
1975-1979     30-34            0.000565        0.001209        0.000890
1975-1979     35-39            0.000854        0.001691        0.001277
1975-1979     40-44            0.001592        0.002508        0.002055
1975-1979     45-49            0.002472        0.005006        0.003774
1975-1979     50-54            0.004285        0.007608        0.005973
1975-1979     55-59            0.005947        0.012508        0.009197
1975-1979     60-64            0.009963        0.021808        0.015677
1975-1979     65-69            0.015395        0.034378        0.024160
1975-1979     70-74            0.027692        0.053021        0.038823
1975-1979     75-79            0.048667        0.082980        0.061932
1975-1979     80-84            0.081883        0.127134        0.096485
1975-1979     85-89            0.143560        0.192014        0.157846
