SA, Population size (1-year)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             10841.54        11345.52        22187.06
  1971         1-4             42842.35        44671.25        87513.60
  1971         5-9             57002.71        59793.02       116795.73
  1971        10-14            58718.66        60639.53       119358.19
  1971        15-19            53661.56        54126.21       107787.77
  1971        20-24            50315.36        50839.12       101154.48
  1971        25-29            39762.11        41066.16        80828.27
  1971        30-34            35025.22        35537.92        70563.14
  1971        35-39            33276.67        34320.55        67597.22
  1971        40-44            36171.60        38913.39        75084.99
  1971        45-49            37380.92        38170.24        75551.16
  1971        50-54            31265.42        31474.16        62739.58
  1971        55-59            29308.95        29188.02        58496.97
  1971        60-64            24327.05        22557.92        46884.97
  1971        65-69            18961.83        16725.78        35687.61
  1971        70-74            15813.78        11106.12        26919.90
  1971        75-79            12356.10         7456.18        19812.28
  1971        80-84             7805.78         4464.10        12269.88
  1971        85-89             3551.36         1656.65         5208.01
  1971        90-94             1018.54          389.97         1408.51
  1971        95-99              167.73           46.85          214.58
  1971       100-104              18.64            2.85           21.49
  1971       105-109               0.33            0.00            0.33
  1971       110+                  0.00            0.00            0.00
  1972           0             10735.00        11342.00        22077.00
  1972         1-4             43444.00        45419.00        88863.00
  1972         5-9             54878.00        57894.00       112772.00
  1972        10-14            59630.00        61658.00       121288.00
  1972        15-19            54822.00        55895.00       110717.00
  1972        20-24            50260.00        50533.00       100793.00
  1972        25-29            44287.00        45384.00        89671.00
  1972        30-34            35769.00        36792.00        72561.00
  1972        35-39            33251.00        34242.00        67493.00
  1972        40-44            35168.00        37532.00        72700.00
  1972        45-49            37145.00        38447.00        75592.00
  1972        50-54            33347.00        33454.00        66801.00
  1972        55-59            29548.00        29494.00        59042.00
  1972        60-64            25873.00        23806.00        49679.00
  1972        65-69            19801.00        17584.00        37385.00
  1972        70-74            16041.00        11726.00        27767.00
  1972        75-79            12528.00         7259.00        19787.00
  1972        80-84             8079.36         4485.90        12565.26
  1972        85-89             3709.55         1695.39         5404.94
  1972        90-94             1072.13          411.47         1483.60
  1972        95-99              176.28           47.17          223.45
  1972       100-104              12.03            1.93           13.96
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0             10281.00        10749.00        21030.00
  1973         1-4             43708.00        45813.00        89521.00
  1973         5-9             54034.00        57063.00       111097.00
  1973        10-14            59789.00        62020.00       121809.00
  1973        15-19            55205.00        56819.00       112024.00
  1973        20-24            50748.00        51197.00       101945.00
  1973        25-29            46994.00        47831.00        94825.00
  1973        30-34            36725.00        37937.00        74662.00
  1973        35-39            33646.00        34358.00        68004.00
  1973        40-44            34193.00        36384.00        70577.00
  1973        45-49            36860.00        38866.00        75726.00
  1973        50-54            34546.00        34822.00        69368.00
  1973        55-59            29660.00        29244.00        58904.00
  1973        60-64            26805.00        24678.00        51483.00
  1973        65-69            20849.00        18170.00        39019.00
  1973        70-74            16274.00        12211.00        28485.00
  1973        75-79            12557.00         7174.00        19731.00
  1973        80-84             8360.28         4470.06        12830.34
  1973        85-89             3875.84         1783.17         5659.01
  1973        90-94             1124.31          409.05         1533.36
  1973        95-99              198.35           52.24          250.59
  1973       100-104              15.44            0.00           15.44
  1973       105-109               0.00            0.00            0.00
  1973       110+                  0.00            0.00            0.00
  1974           0              9568.00        10260.00        19828.00
  1974         1-4             43265.00        45506.00        88771.00
  1974         5-9             53932.00        56661.00       110593.00
  1974        10-14            59246.00        62078.00       121324.00
  1974        15-19            56123.00        57944.00       114067.00
  1974        20-24            51239.00        51806.00       103045.00
  1974        25-29            48761.00        49728.00        98489.00
  1974        30-34            38178.00        39389.00        77567.00
  1974        35-39            34266.00        34997.00        69263.00
  1974        40-44            33530.00        35326.00        68856.00
  1974        45-49            36612.00        38859.00        75471.00
  1974        50-54            35752.00        36185.00        71937.00
  1974        55-59            29452.00        28840.00        58292.00
  1974        60-64            27741.00        25789.00        53530.00
  1974        65-69            21766.00        18743.00        40509.00
  1974        70-74            16617.00        12728.00        29345.00
  1974        75-79            12502.00         7243.00        19745.00
  1974        80-84             8587.76         4417.28        13005.04
  1974        85-89             4009.53         1848.87         5858.40
  1974        90-94             1220.90          427.88         1648.78
  1974        95-99              208.46           63.24          271.70
  1974       100-104              17.79            0.35           18.14
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0              9681.00        10051.00        19732.00
  1975         1-4             42668.00        45152.00        87820.00
  1975         5-9             54982.00        57407.00       112389.00
  1975        10-14            58394.00        61772.00       120166.00
  1975        15-19            57921.00        59354.00       117275.00
  1975        20-24            52861.00        53144.00       106005.00
  1975        25-29            51090.00        52550.00       103640.00
  1975        30-34            40409.00        41692.00        82101.00
  1975        35-39            35660.00        36319.00        71979.00
  1975        40-44            33161.00        34180.00        67341.00
  1975        45-49            36064.00        39119.00        75183.00
  1975        50-54            36443.00        36744.00        73187.00
  1975        55-59            30104.00        29601.00        59705.00
  1975        60-64            28509.00        26640.00        55149.00
  1975        65-69            22481.00        19321.00        41802.00
  1975        70-74            16896.00        13128.00        30024.00
  1975        75-79            12930.00         7501.00        20431.00
  1975        80-84             8781.52         4341.67        13123.19
  1975        85-89             4117.28         1860.62         5977.90
  1975        90-94             1298.12          445.97         1744.09
  1975        95-99              211.82           71.30          283.12
  1975       100-104              14.52            0.50           15.02
  1975       105-109               0.00            0.00            0.00
  1975       110+                  0.00            0.00            0.00
  1976           0              9214.00         9784.00        18998.00
  1976         1-4             41139.00        43015.00        84154.00
  1976         5-9             55367.00        57967.00       113334.00
  1976        10-14            56738.00        60599.00       117337.00
  1976        15-19            59335.00        60530.00       119865.00
  1976        20-24            52978.00        54329.00       107307.00
  1976        25-29            52686.00        53312.00       105998.00
  1976        30-34            41870.00        43393.00        85263.00
  1976        35-39            35958.00        36919.00        72877.00
  1976        40-44            32570.00        33932.00        66502.00
  1976        45-49            35670.00        38116.00        73786.00
  1976        50-54            36509.00        37145.00        73654.00
  1976        55-59            31324.00        31031.00        62355.00
  1976        60-64            28701.00        26931.00        55632.00
  1976        65-69            23438.00        19848.00        43286.00
  1976        70-74            17338.00        13677.00        31015.00
  1976        75-79            13110.00         7806.00        20916.00
  1976        80-84             8905.28         4310.02        13215.30
  1976        85-89             4293.92         1891.72         6185.64
  1976        90-94             1372.02          480.62         1852.64
  1976        95-99              242.71           75.04          317.75
  1976       100-104              13.38            2.13           15.51
  1976       105-109               0.00            0.00            0.00
  1976       110+                  0.00            0.00            0.00
  1977           0              9151.00         9730.00        18881.00
  1977         1-4             39479.00        41375.00        80854.00
  1977         5-9             55889.00        58762.00       114651.00
