SA, Life tables (period 1x5), Total	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01544  0.01524  0.12  100000    1524   98655  7289698  72.90
1971-1974        1      0.00134  0.00133  0.50   98476     131   98411  7191043  73.02
1971-1974        2      0.00067  0.00067  0.50   98345      66   98312  7092633  72.12
1971-1974        3      0.00061  0.00061  0.50   98279      60   98248  6994321  71.17
1971-1974        4      0.00046  0.00046  0.50   98218      45   98196  6896072  70.21
1971-1974        5      0.00028  0.00028  0.50   98173      28   98159  6797877  69.24
1971-1974        6      0.00022  0.00022  0.50   98146      21   98135  6699717  68.26
1971-1974        7      0.00037  0.00037  0.50   98124      37   98106  6601582  67.28
1971-1974        8      0.00024  0.00024  0.50   98088      24   98076  6503476  66.30
1971-1974        9      0.00037  0.00036  0.50   98064      36   98046  6405400  65.32
1971-1974       10      0.00014  0.00014  0.50   98028      13   98022  6307354  64.34
1971-1974       11      0.00026  0.00026  0.50   98015      25   98002  6209332  63.35
1971-1974       12      0.00030  0.00030  0.50   97990      29   97975  6111330  62.37
1971-1974       13      0.00025  0.00025  0.50   97961      24   97949  6013355  61.39
1971-1974       14      0.00025  0.00025  0.50   97936      24   97924  5915407  60.40
1971-1974       15      0.00068  0.00068  0.50   97912      66   97879  5817482  59.42
1971-1974       16      0.00091  0.00091  0.50   97846      89   97801  5719603  58.46
1971-1974       17      0.00115  0.00115  0.50   97757     112   97701  5621802  57.51
1971-1974       18      0.00129  0.00129  0.50   97645     126   97581  5524101  56.57
1971-1974       19      0.00135  0.00135  0.50   97518     132   97452  5426520  55.65
1971-1974       20      0.00127  0.00127  0.50   97386     124   97324  5329068  54.72
1971-1974       21      0.00114  0.00114  0.50   97262     111   97207  5231743  53.79
1971-1974       22      0.00085  0.00085  0.50   97151      82   97110  5134536  52.85
1971-1974       23      0.00079  0.00079  0.50   97069      77   97031  5037426  51.90
1971-1974       24      0.00085  0.00084  0.50   96993      82   96952  4940395  50.94
1971-1974       25      0.00071  0.00071  0.50   96911      69   96876  4843444  49.98
1971-1974       26      0.00104  0.00103  0.50   96842     100   96792  4746567  49.01
1971-1974       27      0.00072  0.00072  0.50   96742      70   96707  4649776  48.06
1971-1974       28      0.00087  0.00087  0.50   96672      84   96630  4553069  47.10
1971-1974       29      0.00084  0.00084  0.50   96588      81   96547  4456439  46.14
1971-1974       30      0.00083  0.00082  0.50   96507      80   96467  4359892  45.18
1971-1974       31      0.00113  0.00113  0.50   96427     109   96373  4263424  44.21
1971-1974       32      0.00097  0.00097  0.50   96318      94   96271  4167052  43.26
1971-1974       33      0.00086  0.00086  0.50   96224      82   96183  4070781  42.31
1971-1974       34      0.00122  0.00122  0.50   96142     118   96083  3974597  41.34
1971-1974       35      0.00121  0.00121  0.50   96024     116   95966  3878514  40.39
1971-1974       36      0.00127  0.00127  0.50   95908     122   95847  3782548  39.44
1971-1974       37      0.00160  0.00160  0.50   95786     153   95710  3686701  38.49
1971-1974       38      0.00168  0.00168  0.50   95633     161   95552  3590991  37.55
1971-1974       39      0.00159  0.00158  0.50   95472     151   95396  3495439  36.61
1971-1974       40      0.00214  0.00214  0.50   95321     204   95219  3400042  35.67
1971-1974       41      0.00206  0.00206  0.50   95117     196   95019  3304824  34.74
1971-1974       42      0.00240  0.00240  0.50   94921     228   94807  3209805  33.82
1971-1974       43      0.00235  0.00235  0.50   94693     223   94582  3114998  32.90
1971-1974       44      0.00279  0.00278  0.50   94470     263   94339  3020416  31.97
1971-1974       45      0.00275  0.00274  0.50   94207     258   94078  2926078  31.06
1971-1974       46      0.00380  0.00379  0.50   93949     356   93771  2831999  30.14
1971-1974       47      0.00384  0.00383  0.50   93593     359   93414  2738228  29.26
1971-1974       48      0.00484  0.00483  0.50   93234     450   93009  2644814  28.37
1971-1974       49      0.00549  0.00547  0.50   92784     508   92530  2551805  27.50
1971-1974       50      0.00552  0.00551  0.50   92276     508   92022  2459275  26.65
1971-1974       51      0.00566  0.00564  0.50   91768     518   91509  2367253  25.80
1971-1974       52      0.00731  0.00728  0.50   91250     664   90918  2275744  24.94
1971-1974       53      0.00684  0.00682  0.50   90586     618   90277  2184826  24.12
1971-1974       54      0.00774  0.00771  0.50   89968     694   89621  2094548  23.28
1971-1974       55      0.00840  0.00836  0.50   89275     746   88901  2004927  22.46
1971-1974       56      0.01025  0.01020  0.50   88528     903   88077  1916026  21.64
1971-1974       57      0.01090  0.01084  0.50   87625     950   87150  1827949  20.86
1971-1974       58      0.01237  0.01229  0.50   86675    1065   86142  1740799  20.08
1971-1974       59      0.01303  0.01295  0.50   85610    1108   85055  1654657  19.33
1971-1974       60      0.01414  0.01404  0.50   84501    1186   83908  1569601  18.57
