SA, Exposure to risk (cohort 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1893-1894        0                    .               .               .
1893-1894        1                    .               .               .
1893-1894        2                    .               .               .
1893-1894        3                    .               .               .
1893-1894        4                    .               .               .
1893-1894        5                    .               .               .
1893-1894        6                    .               .               .
1893-1894        7                    .               .               .
1893-1894        8                    .               .               .
1893-1894        9                    .               .               .
1893-1894       10                    .               .               .
1893-1894       11                    .               .               .
1893-1894       12                    .               .               .
1893-1894       13                    .               .               .
1893-1894       14                    .               .               .
1893-1894       15                    .               .               .
1893-1894       16                    .               .               .
1893-1894       17                    .               .               .
1893-1894       18                    .               .               .
1893-1894       19                    .               .               .
1893-1894       20                    .               .               .
1893-1894       21                    .               .               .
1893-1894       22                    .               .               .
1893-1894       23                    .               .               .
1893-1894       24                    .               .               .
1893-1894       25                    .               .               .
1893-1894       26                    .               .               .
1893-1894       27                    .               .               .
1893-1894       28                    .               .               .
1893-1894       29                    .               .               .
1893-1894       30                    .               .               .
1893-1894       31                    .               .               .
1893-1894       32                    .               .               .
1893-1894       33                    .               .               .
1893-1894       34                    .               .               .
1893-1894       35                    .               .               .
1893-1894       36                    .               .               .
1893-1894       37                    .               .               .
1893-1894       38                    .               .               .
1893-1894       39                    .               .               .
1893-1894       40                    .               .               .
1893-1894       41                    .               .               .
1893-1894       42                    .               .               .
1893-1894       43                    .               .               .
1893-1894       44                    .               .               .
1893-1894       45                    .               .               .
1893-1894       46                    .               .               .
1893-1894       47                    .               .               .
1893-1894       48                    .               .               .
1893-1894       49                    .               .               .
1893-1894       50                    .               .               .
1893-1894       51                    .               .               .
1893-1894       52                    .               .               .
1893-1894       53                    .               .               .
1893-1894       54                    .               .               .
1893-1894       55                    .               .               .
1893-1894       56                    .               .               .
1893-1894       57                    .               .               .
1893-1894       58                    .               .               .
1893-1894       59                    .               .               .
1893-1894       60                    .               .               .
1893-1894       61                    .               .               .
1893-1894       62                    .               .               .
1893-1894       63                    .               .               .
1893-1894       64                    .               .               .
1893-1894       65                    .               .               .
1893-1894       66                    .               .               .
1893-1894       67                    .               .               .
1893-1894       68                    .               .               .
1893-1894       69                    .               .               .
1893-1894       70                    .               .               .
1893-1894       71                    .               .               .
1893-1894       72                    .               .               .
1893-1894       73                    .               .               .
1893-1894       74                    .               .               .
1893-1894       75                    .               .               .
1893-1894       76                    .               .               .
1893-1894       77                    .               .               .
1893-1894       78              4692.01         2665.80         7357.80
1893-1894       79              4393.92         2410.72         6804.64
1893-1894       80              4203.26         2193.28         6396.54
1893-1894       81              3910.68         1953.23         5863.92
1893-1894       82              3610.30         1712.99         5323.28
1893-1894       83              3291.36         1479.72         4771.08
1893-1894       84              2977.29         1271.16         4248.45
1893-1894       85              2673.74         1100.77         3774.51
1893-1894       86              2381.33          943.20         3324.53
1893-1894       87              2099.39          792.56         2891.94
1893-1894       88              1827.02          657.90         2484.93
1893-1894       89              1562.38          543.19         2105.57
1893-1894       90              1322.40          443.30         1765.70
1893-1894       91              1115.63          351.34         1466.97
1893-1894       92               921.41          270.22         1191.63
1893-1894       93               743.30          207.97          951.28
1893-1894       94               590.65          152.93          743.58
1893-1894       95               461.60          109.25          570.84
1893-1894       96               352.38           78.51          430.89
1893-1894       97               261.40           52.31          313.71
1893-1894       98               185.78           33.28          219.06
1893-1894       99               129.21           22.18          151.39
1893-1894      100                87.04           14.51          101.55
1893-1894      101                54.96            7.63           62.59
1893-1894      102                33.03            3.65           36.67
1893-1894      103                19.55            1.14           20.69
1893-1894      104                10.38            0.14           10.52
1893-1894      105                 4.62            0.00            4.62
1893-1894      106                 1.79            0.00            1.79
1893-1894      107                 0.40            0.00            0.40
1893-1894      108                 0.00            0.00            0.00
1893-1894      109                 0.00            0.00            0.00
1893-1894      110+                0.00            0.00            0.00
1895-1899        0                    .               .               .
1895-1899        1                    .               .               .
1895-1899        2                    .               .               .
1895-1899        3                    .               .               .
1895-1899        4                    .               .               .
1895-1899        5                    .               .               .
1895-1899        6                    .               .               .
1895-1899        7                    .               .               .
1895-1899        8                    .               .               .
1895-1899        9                    .               .               .
1895-1899       10                    .               .               .
1895-1899       11                    .               .               .
1895-1899       12                    .               .               .
1895-1899       13                    .               .               .
1895-1899       14                    .               .               .
1895-1899       15                    .               .               .
1895-1899       16                    .               .               .
1895-1899       17                    .               .               .
1895-1899       18                    .               .               .
1895-1899       19                    .               .               .
1895-1899       20                    .               .               .
1895-1899       21                    .               .               .
1895-1899       22                    .               .               .
1895-1899       23                    .               .               .
1895-1899       24                    .               .               .
1895-1899       25                    .               .               .
1895-1899       26                    .               .               .
1895-1899       27                    .               .               .
1895-1899       28                    .               .               .
1895-1899       29                    .               .               .
1895-1899       30                    .               .               .
1895-1899       31                    .               .               .
1895-1899       32                    .               .               .
1895-1899       33                    .               .               .
1895-1899       34                    .               .               .
1895-1899       35                    .               .               .
1895-1899       36                    .               .               .
1895-1899       37                    .               .               .
1895-1899       38                    .               .               .
1895-1899       39                    .               .               .
1895-1899       40                    .               .               .
1895-1899       41                    .               .               .
1895-1899       42                    .               .               .
1895-1899       43                    .               .               .
1895-1899       44                    .               .               .
1895-1899       45                    .               .               .
1895-1899       46                    .               .               .
1895-1899       47                    .               .               .
1895-1899       48                    .               .               .
1895-1899       49                    .               .               .
1895-1899       50                    .               .               .
1895-1899       51                    .               .               .
1895-1899       52                    .               .               .
1895-1899       53                    .               .               .
1895-1899       54                    .               .               .
1895-1899       55                    .               .               .
1895-1899       56                    .               .               .
1895-1899       57                    .               .               .
