SA, Exposure to risk (cohort 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1893           0                    .               .               .
  1893         1-4                    .               .               .
  1893         5-9                    .               .               .
  1893        10-14                   .               .               .
  1893        15-19                   .               .               .
  1893        20-24                   .               .               .
  1893        25-29                   .               .               .
  1893        30-34                   .               .               .
  1893        35-39                   .               .               .
  1893        40-44                   .               .               .
  1893        45-49                   .               .               .
  1893        50-54                   .               .               .
  1893        55-59                   .               .               .
  1893        60-64                   .               .               .
  1893        65-69                   .               .               .
  1893        70-74                   .               .               .
  1893        75-79                   .               .               .
  1893        80-84             8991.49         4346.37        13337.86
  1893        85-89             5288.91         1972.24         7261.15
  1893        90-94             2373.87          687.95         3061.82
  1893        95-99              700.09          135.31          835.41
  1893       100-104             104.88           14.30          119.19
  1893       105-109               3.13            0.00            3.13
  1893       110+                  0.00            0.00            0.00
  1894           0                    .               .               .
  1894         1-4                    .               .               .
  1894         5-9                    .               .               .
  1894        10-14                   .               .               .
  1894        15-19                   .               .               .
  1894        20-24                   .               .               .
  1894        25-29                   .               .               .
  1894        30-34                   .               .               .
  1894        35-39                   .               .               .
  1894        40-44                   .               .               .
  1894        45-49                   .               .               .
  1894        50-54                   .               .               .
  1894        55-59                   .               .               .
  1894        60-64                   .               .               .
  1894        65-69                   .               .               .
  1894        70-74                   .               .               .
  1894        75-79                   .               .               .
  1894        80-84             9001.40         4264.01        13265.41
  1894        85-89             5254.95         2065.38         7320.33
  1894        90-94             2319.52          737.82         3057.34
  1894        95-99              690.28          160.22          850.50
  1894       100-104             100.08           12.76          112.83
  1894       105-109               3.68            0.00            3.68
  1894       110+                  0.00            0.00            0.00
  1895           0                    .               .               .
  1895         1-4                    .               .               .
  1895         5-9                    .               .               .
  1895        10-14                   .               .               .
  1895        15-19                   .               .               .
  1895        20-24                   .               .               .
  1895        25-29                   .               .               .
  1895        30-34                   .               .               .
  1895        35-39                   .               .               .
  1895        40-44                   .               .               .
  1895        45-49                   .               .               .
  1895        50-54                   .               .               .
  1895        55-59                   .               .               .
  1895        60-64                   .               .               .
  1895        65-69                   .               .               .
  1895        70-74                   .               .               .
  1895        75-79                   .               .               .
  1895        80-84             9131.26         4273.41        13404.67
  1895        85-89             5475.51         2118.99         7594.50
  1895        90-94             2439.57          773.99         3213.56
  1895        95-99              710.79          183.35          894.14
  1895       100-104             102.73           16.00          118.73
  1895       105-109               4.34            0.00            4.34
  1895       110+                  0.00            0.00            0.00
  1896           0                    .               .               .
  1896         1-4                    .               .               .
  1896         5-9                    .               .               .
  1896        10-14                   .               .               .
  1896        15-19                   .               .               .
  1896        20-24                   .               .               .
  1896        25-29                   .               .               .
  1896        30-34                   .               .               .
  1896        35-39                   .               .               .
  1896        40-44                   .               .               .
  1896        45-49                   .               .               .
  1896        50-54                   .               .               .
  1896        55-59                   .               .               .
  1896        60-64                   .               .               .
  1896        65-69                   .               .               .
  1896        70-74                   .               .               .
  1896        75-79            12552.89         6714.28        19267.16
  1896        80-84             9201.58         4186.33        13387.91
  1896        85-89             5667.72         2061.73         7729.44
  1896        90-94             2545.18          748.48         3293.67
  1896        95-99              741.91          157.92          899.83
  1896       100-104             106.08           14.86          120.95
  1896       105-109               4.87            0.11            4.98
  1896       110+                  0.00            0.00            0.00
  1897           0                    .               .               .
  1897         1-4                    .               .               .
  1897         5-9                    .               .               .
  1897        10-14                   .               .               .
  1897        15-19                   .               .               .
  1897        20-24                   .               .               .
  1897        25-29                   .               .               .
  1897        30-34                   .               .               .
  1897        35-39                   .               .               .
  1897        40-44                   .               .               .
  1897        45-49                   .               .               .
  1897        50-54                   .               .               .
  1897        55-59                   .               .               .
  1897        60-64                   .               .               .
  1897        65-69                   .               .               .
  1897        70-74                   .               .               .
  1897        75-79            12245.77         7337.75        19583.52
  1897        80-84             8970.77         4236.40        13207.17
  1897        85-89             5467.78         2063.69         7531.47
  1897        90-94             2507.41          730.10         3237.51
  1897        95-99              740.11          151.24          891.35
  1897       100-104             109.14           14.37          123.51
  1897       105-109               6.10            0.00            6.10
  1897       110+                  0.00            0.00            0.00
  1898           0                    .               .               .
  1898         1-4                    .               .               .
  1898         5-9                    .               .               .
  1898        10-14                   .               .               .
  1898        15-19                   .               .               .
  1898        20-24                   .               .               .
  1898        25-29                   .               .               .
  1898        30-34                   .               .               .
  1898        35-39                   .               .               .
  1898        40-44                   .               .               .
  1898        45-49                   .               .               .
  1898        50-54                   .               .               .
  1898        55-59                   .               .               .
  1898        60-64                   .               .               .
  1898        65-69                   .               .               .
  1898        70-74                   .               .               .
  1898        75-79            12307.43         7767.78        20075.20
  1898        80-84             9134.07         4538.29        13672.35
  1898        85-89             5674.27         2145.87         7820.13
  1898        90-94             2707.70          707.45         3415.15
  1898        95-99              799.52          149.78          949.30
  1898       100-104             120.84           14.59          135.43
  1898       105-109               6.99            0.00            6.99
  1898       110+                  0.00            0.00            0.00
  1899           0                    .               .               .
  1899         1-4                    .               .               .
  1899         5-9                    .               .               .
  1899        10-14                   .               .               .
  1899        15-19                   .               .               .
  1899        20-24                   .               .               .
  1899        25-29                   .               .               .
  1899        30-34                   .               .               .
  1899        35-39                   .               .               .
  1899        40-44                   .               .               .
  1899        45-49                   .               .               .
  1899        50-54                   .               .               .
  1899        55-59                   .               .               .
  1899        60-64                   .               .               .
  1899        65-69                   .               .               .
  1899        70-74                   .               .               .
  1899        75-79            14260.31         8382.30        22642.61
  1899        80-84             9755.77         4877.06        14632.83
  1899        85-89             6083.17         2315.97         8399.14
  1899        90-94             2847.57          772.50         3620.07
  1899        95-99              858.14          167.78         1025.92
  1899       100-104             129.10           18.09          147.18
  1899       105-109               6.10            0.10            6.20
  1899       110+                  0.00            0.00            0.00
  1900           0                    .               .               .
  1900         1-4                    .               .               .
  1900         5-9                    .               .               .
  1900        10-14                   .               .               .
  1900        15-19                   .               .               .
  1900        20-24                   .               .               .
  1900        25-29                   .               .               .
  1900        30-34                   .               .               .
  1900        35-39                   .               .               .
  1900        40-44                   .               .               .
  1900        45-49                   .               .               .
  1900        50-54                   .               .               .
  1900        55-59                   .               .               .
  1900        60-64                   .               .               .
  1900        65-69                   .               .               .
  1900        70-74                   .               .               .
  1900        75-79            14194.66         8723.26        22917.92
  1900        80-84            10138.01         5236.21        15374.23
  1900        85-89             6231.16         2545.13         8776.29
  1900        90-94             2786.38          887.93         3674.31
  1900        95-99              828.83          196.07         1024.90
  1900       100-104             128.63           20.93          149.56
  1900       105-109               6.34            0.18            6.52
  1900       110+                  0.00            0.00            0.00
  1901           0                    .               .               .
  1901         1-4                    .               .               .
  1901         5-9                    .               .               .
  1901        10-14                   .               .               .
  1901        15-19                   .               .               .
  1901        20-24                   .               .               .
  1901        25-29                   .               .               .
  1901        30-34                   .               .               .
  1901        35-39                   .               .               .
  1901        40-44                   .               .               .
  1901        45-49                   .               .               .
  1901        50-54                   .               .               .
  1901        55-59                   .               .               .
  1901        60-64                   .               .               .
  1901        65-69                   .               .               .
  1901        70-74            16168.89        12691.23        28860.12
  1901        75-79            13597.00         9216.33        22813.33
  1901        80-84            10337.10         5506.95        15844.05
  1901        85-89             6441.88         2704.74         9146.62
  1901        90-94             2979.26          967.83         3947.09
  1901        95-99              867.73          212.08         1079.81
  1901       100-104             146.35           22.51          168.85
  1901       105-109               8.28            0.12            8.40
  1901       110+                  0.00            0.00            0.00
  1902           0                    .               .               .
  1902         1-4                    .               .               .
  1902         5-9                    .               .               .
  1902        10-14                   .               .               .
  1902        15-19                   .               .               .
  1902        20-24                   .               .               .
  1902        25-29                   .               .               .
  1902        30-34                   .               .               .
  1902        35-39                   .               .               .
  1902        40-44                   .               .               .
  1902        45-49                   .               .               .
  1902        50-54                   .               .               .
  1902        55-59                   .               .               .
  1902        60-64                   .               .               .
  1902        65-69                   .               .               .
  1902        70-74            15977.05        12947.41        28924.46
  1902        75-79            13315.58         9144.65        22460.24
  1902        80-84            10422.10         5555.89        15977.99
  1902        85-89             6526.15         2724.01         9250.16
  1902        90-94             3134.74          963.26         4098.00
  1902        95-99              951.43          216.24         1167.66
  1902       100-104             157.37           21.59          178.96
  1902       105-109               8.64            0.00            8.64
  1902       110+                  0.00            0.00            0.00
  1903           0                    .               .               .
  1903         1-4                    .               .               .
  1903         5-9                    .               .               .
  1903        10-14                   .               .               .
  1903        15-19                   .               .               .
  1903        20-24                   .               .               .
  1903        25-29                   .               .               .
  1903        30-34                   .               .               .
  1903        35-39                   .               .               .
  1903        40-44                   .               .               .
  1903        45-49                   .               .               .
  1903        50-54                   .               .               .
  1903        55-59                   .               .               .
  1903        60-64                   .               .               .
  1903        65-69                   .               .               .
  1903        70-74            16895.51        13748.70        30644.21
  1903        75-79            14258.41         9709.38        23967.79
  1903        80-84            10640.31         5728.44        16368.75
  1903        85-89             6645.72         2822.00         9467.71
  1903        90-94             3167.92          949.38         4117.30
  1903        95-99              960.85          202.70         1163.55
  1903       100-104             159.55           23.09          182.65
  1903       105-109               8.79            0.10            8.89
  1903       110+                  0.00            0.00            0.00
  1904           0                    .               .               .
  1904         1-4                    .               .               .
  1904         5-9                    .               .               .
  1904        10-14                   .               .               .
  1904        15-19                   .               .               .
  1904        20-24                   .               .               .
  1904        25-29                   .               .               .
  1904        30-34                   .               .               .
  1904        35-39                   .               .               .
  1904        40-44                   .               .               .
  1904        45-49                   .               .               .
  1904        50-54                   .               .               .
  1904        55-59                   .               .               .
  1904        60-64                   .               .               .
  1904        65-69                   .               .               .
  1904        70-74            18381.06        13786.40        32167.46
  1904        75-79            15310.87        10239.66        25550.53
  1904        80-84            11281.21         6128.58        17409.79
  1904        85-89             7094.34         3017.16        10111.50
  1904        90-94             3325.85         1001.37         4327.22
  1904        95-99              991.48          211.98         1203.46
  1904       100-104             165.06           23.65          188.71
  1904       105-109               8.58            0.09            8.67
  1904       110+                  0.00            0.00            0.00
  1905           0                    .               .               .
  1905         1-4                    .               .               .
  1905         5-9                    .               .               .
  1905        10-14                   .               .               .
  1905        15-19                   .               .               .
  1905        20-24                   .               .               .
  1905        25-29                   .               .               .
  1905        30-34                   .               .               .
  1905        35-39                   .               .               .
  1905        40-44                   .               .               .
  1905        45-49                   .               .               .
  1905        50-54                   .               .               .
  1905        55-59                   .               .               .
  1905        60-64                   .               .               .
  1905        65-69                   .               .               .
  1905        70-74            18990.07        14981.38        33971.45
  1905        75-79            16195.68        11013.32        27209.01
  1905        80-84            12013.45         6507.52        18520.97
  1905        85-89             7715.90         3248.89        10964.79
  1905        90-94             3688.86         1169.50         4858.36
  1905        95-99             1092.17          256.39         1348.57
  1905       100-104             180.31           25.91          206.22
  1905       105-109               6.91            0.18            7.09
  1905       110+                  0.00            0.00            0.00
  1906           0                    .               .               .
  1906         1-4                    .               .               .
  1906         5-9                    .               .               .
  1906        10-14                   .               .               .
  1906        15-19                   .               .               .
  1906        20-24                   .               .               .
  1906        25-29                   .               .               .
  1906        30-34                   .               .               .
  1906        35-39                   .               .               .
  1906        40-44                   .               .               .
  1906        45-49                   .               .               .
  1906        50-54                   .               .               .
  1906        55-59                   .               .               .
  1906        60-64                   .               .               .
  1906        65-69            20777.17        18363.29        39140.46
  1906        70-74            18751.30        15071.50        33822.80
  1906        75-79            16575.53        11568.69        28144.22
  1906        80-84            12293.95         6905.27        19199.22
  1906        85-89             8016.01         3544.13        11560.14
  1906        90-94             3908.81         1328.00         5236.82
  1906        95-99             1191.31          295.17         1486.48
  1906       100-104             191.38           28.66          220.05
  1906       105-109               7.60            0.13            7.74
  1906       110+                     .               .               .
  1907           0                    .               .               .
  1907         1-4                    .               .               .
  1907         5-9                    .               .               .
  1907        10-14                   .               .               .
  1907        15-19                   .               .               .
  1907        20-24                   .               .               .
  1907        25-29                   .               .               .
  1907        30-34                   .               .               .
  1907        35-39                   .               .               .
  1907        40-44                   .               .               .
  1907        45-49                   .               .               .
  1907        50-54                   .               .               .
  1907        55-59                   .               .               .
  1907        60-64                   .               .               .
  1907        65-69            23151.83        19329.79        42481.62
  1907        70-74            20773.33        15660.54        36433.87
  1907        75-79            17751.85        11540.06        29291.91
  1907        80-84            12908.58         7282.28        20190.86
  1907        85-89             8322.68         3701.58        12024.26
  1907        90-94             4131.90         1349.85         5481.74
  1907        95-99             1276.10          308.46         1584.56
  1907       100-104             201.96           32.37          234.33
  1907       105-109                  .               .               .
  1907       110+                     .               .               .
  1908           0                    .               .               .
  1908         1-4                    .               .               .
  1908         5-9                    .               .               .
  1908        10-14                   .               .               .
  1908        15-19                   .               .               .
  1908        20-24                   .               .               .
  1908        25-29                   .               .               .
  1908        30-34                   .               .               .
