SA, Death rates (cohort 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1893-1894        0                    .               .               .
1893-1894        1                    .               .               .
1893-1894        2                    .               .               .
1893-1894        3                    .               .               .
1893-1894        4                    .               .               .
1893-1894        5                    .               .               .
1893-1894        6                    .               .               .
1893-1894        7                    .               .               .
1893-1894        8                    .               .               .
1893-1894        9                    .               .               .
1893-1894       10                    .               .               .
1893-1894       11                    .               .               .
1893-1894       12                    .               .               .
1893-1894       13                    .               .               .
1893-1894       14                    .               .               .
1893-1894       15                    .               .               .
1893-1894       16                    .               .               .
1893-1894       17                    .               .               .
1893-1894       18                    .               .               .
1893-1894       19                    .               .               .
1893-1894       20                    .               .               .
1893-1894       21                    .               .               .
1893-1894       22                    .               .               .
1893-1894       23                    .               .               .
1893-1894       24                    .               .               .
1893-1894       25                    .               .               .
1893-1894       26                    .               .               .
1893-1894       27                    .               .               .
1893-1894       28                    .               .               .
1893-1894       29                    .               .               .
1893-1894       30                    .               .               .
1893-1894       31                    .               .               .
1893-1894       32                    .               .               .
1893-1894       33                    .               .               .
1893-1894       34                    .               .               .
1893-1894       35                    .               .               .
1893-1894       36                    .               .               .
1893-1894       37                    .               .               .
1893-1894       38                    .               .               .
1893-1894       39                    .               .               .
1893-1894       40                    .               .               .
1893-1894       41                    .               .               .
1893-1894       42                    .               .               .
1893-1894       43                    .               .               .
1893-1894       44                    .               .               .
1893-1894       45                    .               .               .
1893-1894       46                    .               .               .
1893-1894       47                    .               .               .
1893-1894       48                    .               .               .
1893-1894       49                    .               .               .
1893-1894       50                    .               .               .
1893-1894       51                    .               .               .
1893-1894       52                    .               .               .
1893-1894       53                    .               .               .
1893-1894       54                    .               .               .
1893-1894       55                    .               .               .
1893-1894       56                    .               .               .
1893-1894       57                    .               .               .
1893-1894       58                    .               .               .
1893-1894       59                    .               .               .
1893-1894       60                    .               .               .
1893-1894       61                    .               .               .
1893-1894       62                    .               .               .
1893-1894       63                    .               .               .
1893-1894       64                    .               .               .
1893-1894       65                    .               .               .
1893-1894       66                    .               .               .
1893-1894       67                    .               .               .
1893-1894       68                    .               .               .
1893-1894       69                    .               .               .
1893-1894       70                    .               .               .
1893-1894       71                    .               .               .
1893-1894       72                    .               .               .
1893-1894       73                    .               .               .
1893-1894       74                    .               .               .
1893-1894       75                    .               .               .
1893-1894       76                    .               .               .
1893-1894       77                    .               .               .
1893-1894       78             0.060835        0.110260        0.078742
1893-1894       79             0.068488        0.108880        0.082798
1893-1894       80             0.069084        0.106795        0.082015
1893-1894       81             0.074386        0.124609        0.091115
1893-1894       82             0.085530        0.138904        0.102705
1893-1894       83             0.098768        0.154617        0.116089
1893-1894       84             0.104152        0.148203        0.117332
1893-1894       85             0.110639        0.138939        0.118892
1893-1894       86             0.120092        0.173452        0.135231
1893-1894       87             0.133591        0.177300        0.145570
1893-1894       88             0.143567        0.191654        0.156298
1893-1894       89             0.168698        0.196414        0.175848
1893-1894       90             0.167166        0.202954        0.176151
1893-1894       91             0.171491        0.271478        0.195437
1893-1894       92             0.209798        0.244390        0.217642
1893-1894       93             0.224552        0.287922        0.238406
1893-1894       94             0.231269        0.317139        0.248930
1893-1894       95             0.259859        0.349301        0.276976
1893-1894       96             0.282249        0.343905        0.293483
1893-1894       97             0.320620        0.439085        0.340374
1893-1894       98             0.363501        0.476515        0.380672
1893-1894       99             0.362192        0.288548        0.351403
1893-1894      100             0.426930        0.577665        0.448464
1893-1894      101             0.488567        0.681520        0.512090
1893-1894      102             0.513222        0.855576        0.547264
1893-1894      103             0.551313        1.491228        0.603093
1893-1894      104             0.714607        3.000000        0.744297
1893-1894      105             0.871665              .        0.871665
1893-1894      106             1.057836              .        1.057836
1893-1894      107             2.225000              .        2.225000
1893-1894      108                   .              .              .
1893-1894      109                   .              .              .
1893-1894      110+                  .              .              .
1895-1899        0                    .               .               .
1895-1899        1                    .               .               .
1895-1899        2                    .               .               .
1895-1899        3                    .               .               .
1895-1899        4                    .               .               .
1895-1899        5                    .               .               .
1895-1899        6                    .               .               .
1895-1899        7                    .               .               .
1895-1899        8                    .               .               .
1895-1899        9                    .               .               .
1895-1899       10                    .               .               .
1895-1899       11                    .               .               .
1895-1899       12                    .               .               .
1895-1899       13                    .               .               .
1895-1899       14                    .               .               .
1895-1899       15                    .               .               .
1895-1899       16                    .               .               .
1895-1899       17                    .               .               .
1895-1899       18                    .               .               .
1895-1899       19                    .               .               .
1895-1899       20                    .               .               .
1895-1899       21                    .               .               .
1895-1899       22                    .               .               .
1895-1899       23                    .               .               .
1895-1899       24                    .               .               .
1895-1899       25                    .               .               .
1895-1899       26                    .               .               .
1895-1899       27                    .               .               .
1895-1899       28                    .               .               .
1895-1899       29                    .               .               .
1895-1899       30                    .               .               .
1895-1899       31                    .               .               .
1895-1899       32                    .               .               .
1895-1899       33                    .               .               .
1895-1899       34                    .               .               .
1895-1899       35                    .               .               .
1895-1899       36                    .               .               .
1895-1899       37                    .               .               .
1895-1899       38                    .               .               .
1895-1899       39                    .               .               .
1895-1899       40                    .               .               .
1895-1899       41                    .               .               .
1895-1899       42                    .               .               .
1895-1899       43                    .               .               .
1895-1899       44                    .               .               .
1895-1899       45                    .               .               .
1895-1899       46                    .               .               .
1895-1899       47                    .               .               .
1895-1899       48                    .               .               .
1895-1899       49                    .               .               .
1895-1899       50                    .               .               .
1895-1899       51                    .               .               .
1895-1899       52                    .               .               .
1895-1899       53                    .               .               .
1895-1899       54                    .               .               .
1895-1899       55                    .               .               .
1895-1899       56                    .               .               .
