SA, Death rates (cohort 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1893           0                    .               .               .
  1893         1-4                    .               .               .
  1893         5-9                    .               .               .
  1893        10-14                   .               .               .
  1893        15-19                   .               .               .
  1893        20-24                   .               .               .
  1893        25-29                   .               .               .
  1893        30-34                   .               .               .
  1893        35-39                   .               .               .
  1893        40-44                   .               .               .
  1893        45-49                   .               .               .
  1893        50-54                   .               .               .
  1893        55-59                   .               .               .
  1893        60-64                   .               .               .
  1893        65-69                   .               .               .
  1893        70-74                   .               .               .
  1893        75-79                   .               .               .
  1893        80-84            0.084345        0.136737        0.101418
  1893        85-89            0.130585        0.174873        0.142614
  1893        90-94            0.190288        0.257664        0.205427
  1893        95-99            0.303774        0.381042        0.316289
  1893       100-104           0.478818        0.636914        0.497791
  1893       105-109           1.153355              .        1.153355
  1893       110+                    .              .              .
  1894           0                    .               .               .
  1894         1-4                    .               .               .
  1894         5-9                    .               .               .
  1894        10-14                   .               .               .
  1894        15-19                   .               .               .
  1894        20-24                   .               .               .
  1894        25-29                   .               .               .
  1894        30-34                   .               .               .
  1894        35-39                   .               .               .
  1894        40-44                   .               .               .
  1894        45-49                   .               .               .
  1894        50-54                   .               .               .
  1894        55-59                   .               .               .
  1894        60-64                   .               .               .
  1894        65-69                   .               .               .
  1894        70-74                   .               .               .
  1894        75-79                   .               .               .
  1894        80-84            0.085192        0.126273        0.098397
  1894        85-89            0.132728        0.167015        0.142402
  1894        90-94            0.197230        0.247365        0.209329
  1894        95-99            0.296809        0.367183        0.310066
  1894       100-104           0.489025        0.760387        0.519705
  1894       105-109           0.869565              .        0.869565
  1894       110+                    .              .              .
  1895           0                    .               .               .
  1895         1-4                    .               .               .
  1895         5-9                    .               .               .
  1895        10-14                   .               .               .
  1895        15-19                   .               .               .
  1895        20-24                   .               .               .
  1895        25-29                   .               .               .
  1895        30-34                   .               .               .
  1895        35-39                   .               .               .
  1895        40-44                   .               .               .
  1895        45-49                   .               .               .
  1895        50-54                   .               .               .
  1895        55-59                   .               .               .
  1895        60-64                   .               .               .
  1895        65-69                   .               .               .
  1895        70-74                   .               .               .
  1895        75-79                   .               .               .
  1895        80-84            0.080154        0.123176        0.093870
  1895        85-89            0.129577        0.162346        0.138720
  1895        90-94            0.200568        0.243892        0.211003
  1895        95-99            0.294982        0.337878        0.303778
  1895       100-104           0.487102        0.646385        0.508563
  1895       105-109           0.832437              .        0.832437
  1895       110+                    .              .              .
  1896           0                    .               .               .
  1896         1-4                    .               .               .
  1896         5-9                    .               .               .
  1896        10-14                   .               .               .
  1896        15-19                   .               .               .
  1896        20-24                   .               .               .
  1896        25-29                   .               .               .
  1896        30-34                   .               .               .
  1896        35-39                   .               .               .
  1896        40-44                   .               .               .
  1896        45-49                   .               .               .
  1896        50-54                   .               .               .
  1896        55-59                   .               .               .
  1896        60-64                   .               .               .
  1896        65-69                   .               .               .
  1896        70-74                   .               .               .
  1896        75-79            0.051950        0.095389        0.067088
  1896        80-84            0.074489        0.123284        0.089747
  1896        85-89            0.124816        0.159143        0.133972
  1896        90-94            0.197345        0.263052        0.212277
  1896        95-99            0.307745        0.359683        0.316860
  1896       100-104           0.476418        0.614263        0.493358
  1896       105-109           0.858316        3.000000        0.904220
  1896       110+                    .              .              .
  1897           0                    .               .               .
  1897         1-4                    .               .               .
  1897         5-9                    .               .               .
  1897        10-14                   .               .               .
  1897        15-19                   .               .               .
  1897        20-24                   .               .               .
  1897        25-29                   .               .               .
  1897        30-34                   .               .               .
  1897        35-39                   .               .               .
  1897        40-44                   .               .               .
  1897        45-49                   .               .               .
  1897        50-54                   .               .               .
  1897        55-59                   .               .               .
  1897        60-64                   .               .               .
  1897        65-69                   .               .               .
  1897        70-74                   .               .               .
  1897        75-79            0.053180        0.088599        0.066451
  1897        80-84            0.077440        0.119094        0.090801
  1897        85-89            0.123258        0.163983        0.134417
  1897        90-94            0.189729        0.266402        0.207020
  1897        95-99            0.311847        0.371992        0.322052
  1897       100-104           0.463167        0.627146        0.482241
  1897       105-109           0.786455              .        0.786455
  1897       110+                    .              .              .
  1898           0                    .               .               .
  1898         1-4                    .               .               .
  1898         5-9                    .               .               .
  1898        10-14                   .               .               .
  1898        15-19                   .               .               .
  1898        20-24                   .               .               .
  1898        25-29                   .               .               .
  1898        30-34                   .               .               .
  1898        35-39                   .               .               .
  1898        40-44                   .               .               .
  1898        45-49                   .               .               .
  1898        50-54                   .               .               .
  1898        55-59                   .               .               .
  1898        60-64                   .               .               .
  1898        65-69                   .               .               .
  1898        70-74                   .               .               .
  1898        75-79            0.053285        0.086098        0.065981
  1898        80-84            0.076341        0.121224        0.091239
  1898        85-89            0.115204        0.175514        0.131754
  1898        90-94            0.188909        0.275850        0.206919
  1898        95-99            0.309109        0.347050        0.315095
  1898       100-104           0.449106        0.664305        0.472285
  1898       105-109           0.775393              .        0.775393
  1898       110+                    .              .              .
  1899           0                    .               .               .
  1899         1-4                    .               .               .
  1899         5-9                    .               .               .
  1899        10-14                   .               .               .
  1899        15-19                   .               .               .
  1899        20-24                   .               .               .
  1899        25-29                   .               .               .
  1899        30-34                   .               .               .
  1899        35-39                   .               .               .
  1899        40-44                   .               .               .
  1899        45-49                   .               .               .
  1899        50-54                   .               .               .
  1899        55-59                   .               .               .
  1899        60-64                   .               .               .
  1899        65-69                   .               .               .
  1899        70-74                   .               .               .
  1899        75-79            0.047723        0.082273        0.060514
  1899        80-84            0.074326        0.117185        0.088611
  1899        85-89            0.117394        0.181540        0.135082
  1899        90-94            0.191409        0.263042        0.206695
  1899        95-99            0.304076        0.343314        0.310493
  1899       100-104           0.439980        0.589384        0.458340
  1899       105-109           0.900000        3.000000        0.932760
  1899       110+                    .              .              .
  1900           0                    .               .               .
  1900         1-4                    .               .               .
  1900         5-9                    .               .               .
  1900        10-14                   .               .               .
  1900        15-19                   .               .               .
  1900        20-24                   .               .               .
  1900        25-29                   .               .               .
  1900        30-34                   .               .               .
  1900        35-39                   .               .               .
  1900        40-44                   .               .               .
  1900        45-49                   .               .               .
  1900        50-54                   .               .               .
  1900        55-59                   .               .               .
  1900        60-64                   .               .               .
  1900        65-69                   .               .               .
  1900        70-74                   .               .               .
  1900        75-79            0.048920        0.084082        0.062304
  1900        80-84            0.075841        0.114711        0.089080
  1900        85-89            0.125566        0.180639        0.141537
  1900        90-94            0.197231        0.243770        0.208477
  1900        95-99            0.294246        0.354720        0.305815
  1900       100-104           0.443353        0.601051        0.465422
  1900       105-109           0.847449        1.500000        0.865473
  1900       110+                    .              .              .
  1901           0                    .               .               .
  1901         1-4                    .               .               .
  1901         5-9                    .               .               .
  1901        10-14                   .               .               .
  1901        15-19                   .               .               .
  1901        20-24                   .               .               .
  1901        25-29                   .               .               .
  1901        30-34                   .               .               .
  1901        35-39                   .               .               .
  1901        40-44                   .               .               .
  1901        45-49                   .               .               .
  1901        50-54                   .               .               .
  1901        55-59                   .               .               .
  1901        60-64                   .               .               .
  1901        65-69                   .               .               .
  1901        70-74            0.031841        0.058392        0.043516
  1901        75-79            0.046450        0.080112        0.060049
  1901        80-84            0.073606        0.116820        0.088626
  1901        85-89            0.119246        0.174249        0.135511
  1901        90-94            0.197308        0.239980        0.207771
  1901        95-99            0.294078        0.358125        0.306657
  1901       100-104           0.442921        0.651807        0.470764
  1901       105-109           0.714688        3.000000        0.747322
  1901       110+                    .              .              .
  1902           0                    .               .               .
  1902         1-4                    .               .               .
  1902         5-9                    .               .               .
  1902        10-14                   .               .               .
  1902        15-19                   .               .               .
  1902        20-24                   .               .               .
  1902        25-29                   .               .               .
  1902        30-34                   .               .               .
  1902        35-39                   .               .               .
  1902        40-44                   .               .               .
  1902        45-49                   .               .               .
  1902        50-54                   .               .               .
  1902        55-59                   .               .               .
  1902        60-64                   .               .               .
  1902        65-69                   .               .               .
  1902        70-74            0.030650        0.053478        0.040868
  1902        75-79            0.044359        0.080449        0.059053
  1902        80-84            0.072626        0.119090        0.088783
  1902        85-89            0.117616        0.169724        0.132961
  1902        90-94            0.184685        0.246496        0.199214
  1902        95-99            0.295588        0.347120        0.305131
  1902       100-104           0.453126        0.693377        0.482110
  1902       105-109           0.732356              .        0.732356
  1902       110+                    .              .              .
  1903           0                    .               .               .
  1903         1-4                    .               .               .
  1903         5-9                    .               .               .
  1903        10-14                   .               .               .
  1903        15-19                   .               .               .
  1903        20-24                   .               .               .
  1903        25-29                   .               .               .
  1903        30-34                   .               .               .
  1903        35-39                   .               .               .
  1903        40-44                   .               .               .
  1903        45-49                   .               .               .
  1903        50-54                   .               .               .
  1903        55-59                   .               .               .
  1903        60-64                   .               .               .
  1903        65-69                   .               .               .
  1903        70-74            0.028879        0.054530        0.040387
  1903        75-79            0.041298        0.078186        0.056241
  1903        80-84            0.071989        0.119527        0.088626
  1903        85-89            0.118655        0.168012        0.133367
  1903        90-94            0.184910        0.264215        0.203196
  1903        95-99            0.293585        0.358165        0.304835
  1903       100-104           0.455396        0.572893        0.470252
  1903       105-109           0.763367        3.000000        0.788526
  1903       110+                    .              .              .
  1904           0                    .               .               .
  1904         1-4                    .               .               .
  1904         5-9                    .               .               .
  1904        10-14                   .               .               .
  1904        15-19                   .               .               .
  1904        20-24                   .               .               .
  1904        25-29                   .               .               .
  1904        30-34                   .               .               .
  1904        35-39                   .               .               .
  1904        40-44                   .               .               .
  1904        45-49                   .               .               .
  1904        50-54                   .               .               .
  1904        55-59                   .               .               .
  1904        60-64                   .               .               .
  1904        65-69                   .               .               .
  1904        70-74            0.027279        0.055359        0.039313
  1904        75-79            0.040872        0.075394        0.054707
  1904        80-84            0.069872        0.116233        0.086192
  1904        85-89            0.118373        0.173660        0.134870
  1904        90-94            0.191073        0.267104        0.208667
  1904        95-99            0.294378        0.354367        0.304945
  1904       100-104           0.452623        0.572516        0.467649
  1904       105-109           0.846483        3.000000        0.869666
  1904       110+                    .              .              .
  1905           0                    .               .               .
  1905         1-4                    .               .               .
  1905         5-9                    .               .               .
  1905        10-14                   .               .               .
  1905        15-19                   .               .               .
  1905        20-24                   .               .               .
  1905        25-29                   .               .               .
  1905        30-34                   .               .               .
  1905        35-39                   .               .               .
  1905        40-44                   .               .               .
  1905        45-49                   .               .               .
  1905        50-54                   .               .               .
  1905        55-59                   .               .               .
  1905        60-64                   .               .               .
  1905        65-69                   .               .               .
  1905        70-74            0.027307        0.050921        0.037720
  1905        75-79            0.041972        0.074275        0.055047
  1905        80-84            0.066182        0.113609        0.082846
  1905        85-89            0.114315        0.168337        0.130322
  1905        90-94            0.190775        0.239298        0.202455
  1905        95-99            0.292499        0.373411        0.307882
  1905       100-104           0.457997        0.594675        0.475172
  1905       105-109           1.032336        1.500000        1.044214
  1905       110+                    .              .              .
  1906           0                    .               .               .
  1906         1-4                    .               .               .
  1906         5-9                    .               .               .
  1906        10-14                   .               .               .
  1906        15-19                   .               .               .
  1906        20-24                   .               .               .
  1906        25-29                   .               .               .
  1906        30-34                   .               .               .
  1906        35-39                   .               .               .
  1906        40-44                   .               .               .
  1906        45-49                   .               .               .
  1906        50-54                   .               .               .
  1906        55-59                   .               .               .
  1906        60-64                   .               .               .
  1906        65-69            0.017077        0.039623        0.027655
  1906        70-74            0.026599        0.050810        0.037388
  1906        75-79            0.041368        0.073033        0.054384
  1906        80-84            0.066808        0.111948        0.083043
  1906        85-89            0.109142        0.161275        0.125125
  1906        90-94            0.185340        0.230587        0.196814
  1906        95-99            0.287894        0.373475        0.304888
  1906       100-104           0.464513        0.606001        0.482943
  1906       105-109           0.857519        3.000000        0.894442
  1906       110+                     .               .               .
  1907           0                    .               .               .
  1907         1-4                    .               .               .
  1907         5-9                    .               .               .
  1907        10-14                   .               .               .
  1907        15-19                   .               .               .
  1907        20-24                   .               .               .
  1907        25-29                   .               .               .
  1907        30-34                   .               .               .
  1907        35-39                   .               .               .
  1907        40-44                   .               .               .
  1907        45-49                   .               .               .
  1907        50-54                   .               .               .
  1907        55-59                   .               .               .
  1907        60-64                   .               .               .
  1907        65-69            0.016724        0.035949        0.025471
  1907        70-74            0.024750        0.050963        0.036017
  1907        75-79            0.040185        0.074347        0.053643
  1907        80-84            0.068408        0.110974        0.083760
  1907        85-89            0.111755        0.164957        0.128133
  1907        90-94            0.175484        0.241050        0.191629
  1907        95-99            0.291646        0.359852        0.304923
  1907       100-104           0.469194        0.532283        0.477909
  1907       105-109                  .               .               .
  1907       110+                     .               .               .
  1908           0                    .               .               .
  1908         1-4                    .               .               .
  1908         5-9                    .               .               .
  1908        10-14                   .               .               .
  1908        15-19                   .               .               .
  1908        20-24                   .               .               .
