SA, Death rates (cohort 5x5), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1893-1894        0                    .               .               .
1893-1894      1-4                    .               .               .
1893-1894      5-9                    .               .               .
1893-1894     10-14                   .               .               .
1893-1894     15-19                   .               .               .
1893-1894     20-24                   .               .               .
1893-1894     25-29                   .               .               .
1893-1894     30-34                   .               .               .
1893-1894     35-39                   .               .               .
1893-1894     40-44                   .               .               .
1893-1894     45-49                   .               .               .
1893-1894     50-54                   .               .               .
1893-1894     55-59                   .               .               .
1893-1894     60-64                   .               .               .
1893-1894     65-69                   .               .               .
1893-1894     70-74                   .               .               .
1893-1894     75-79                   .               .               .
1893-1894     80-84            0.084769        0.131555        0.099912
1893-1894     85-89            0.131653        0.170853        0.142508
1893-1894     90-94            0.193719        0.252334        0.207377
1893-1894     95-99            0.300316        0.373528        0.313150
1893-1894    100-104           0.483802        0.695122        0.508448
1893-1894    105-109           1.000000              .        1.000000
1893-1894    110+                    .              .              .
1895-1899        0                    .               .               .
1895-1899      1-4                    .               .               .
1895-1899      5-9                    .               .               .
1895-1899     10-14                   .               .               .
1895-1899     15-19                   .               .               .
1895-1899     20-24                   .               .               .
1895-1899     25-29                   .               .               .
1895-1899     30-34                   .               .               .
1895-1899     35-39                   .               .               .
1895-1899     40-44                   .               .               .
1895-1899     45-49                   .               .               .
1895-1899     50-54                   .               .               .
1895-1899     55-59                   .               .               .
1895-1899     60-64                   .               .               .
1895-1899     65-69                   .               .               .
1895-1899     70-74                   .               .               .
1895-1899     75-79            0.053053        0.091083        0.066994
1895-1899     80-84            0.076514        0.120692        0.090815
1895-1899     85-89            0.121921        0.168836        0.134775
1895-1899     90-94            0.193438        0.262158        0.208724
1895-1899     95-99            0.305643        0.351320        0.313582
1895-1899    100-104           0.461709        0.626829        0.481627
1895-1899    105-109           0.827465        3.000000        0.842909
1895-1899    110+                    .              .              .
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24                   .               .               .
1900-1904     25-29                   .               .               .
1900-1904     30-34                   .               .               .
1900-1904     35-39                   .               .               .
1900-1904     40-44                   .               .               .
1900-1904     45-49                   .               .               .
1900-1904     50-54                   .               .               .
1900-1904     55-59                   .               .               .
1900-1904     60-64                   .               .               .
1900-1904     65-69                   .               .               .
1900-1904     70-74            0.030761        0.058776        0.043003
1900-1904     75-79            0.044304        0.079489        0.058363
1900-1904     80-84            0.072719        0.117298        0.088220
1900-1904     85-89            0.119812        0.173131        0.135565
1900-1904     90-94            0.190825        0.252520        0.205419
1900-1904     95-99            0.294382        0.354433        0.305447
1900-1904    100-104           0.449861        0.617250        0.471397
1900-1904    105-109           0.777504        2.452703        0.797601
1900-1904    110+                    .              .              .
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19                   .               .               .
1905-1909     20-24                   .               .               .
1905-1909     25-29                   .               .               .
1905-1909     30-34                   .               .               .
1905-1909     35-39                   .               .               .
1905-1909     40-44                   .               .               .
1905-1909     45-49                   .               .               .
1905-1909     50-54                   .               .               .
1905-1909     55-59                   .               .               .
1905-1909     60-64                   .               .               .
1905-1909     65-69            0.016720        0.037834        0.026463
1905-1909     70-74            0.025758        0.049818        0.036314
1905-1909     75-79            0.040950        0.072162        0.053602
1905-1909     80-84            0.066831        0.111718        0.082908
1905-1909     85-89            0.112466        0.164909        0.128402
1905-1909     90-94            0.184011        0.232644        0.196187
1905-1909     95-99            0.289655        0.371724        0.306093
1905-1909    100-104           0.469455        0.557837        0.481775
1905-1909    105-109           0.822569        1.785124        0.858985
1905-1909    110+                     .               .               .
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14                   .               .               .
1910-1914     15-19                   .               .               .
1910-1914     20-24                   .               .               .
1910-1914     25-29                   .               .               .
1910-1914     30-34                   .               .               .
1910-1914     35-39                   .               .               .
1910-1914     40-44                   .               .               .
1910-1914     45-49                   .               .               .
1910-1914     50-54                   .               .               .
1910-1914     55-59                   .               .               .
1910-1914     60-64            0.010848        0.022820        0.016631
1910-1914     65-69            0.014629        0.031821        0.022649
1910-1914     70-74            0.023675        0.045108        0.033155
1910-1914     75-79            0.037634        0.067451        0.049933
1910-1914     80-84            0.063324        0.102780        0.077764
1910-1914     85-89            0.105821        0.156910        0.121933
1910-1914     90-94            0.175718        0.234131        0.190694
1910-1914     95-99            0.293048        0.359249        0.306456
1910-1914    100-104           0.455774        0.535492        0.468255
1910-1914    105-109                  .               .               .
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
1915-1919      5-9                    .               .               .
1915-1919     10-14                   .               .               .
1915-1919     15-19                   .               .               .
1915-1919     20-24                   .               .               .
1915-1919     25-29                   .               .               .
1915-1919     30-34                   .               .               .
1915-1919     35-39                   .               .               .
1915-1919     40-44                   .               .               .
1915-1919     45-49                   .               .               .
1915-1919     50-54                   .               .               .
1915-1919     55-59            0.006568        0.014308        0.010403
1915-1919     60-64            0.008876        0.020414        0.014396
1915-1919     65-69            0.013603        0.028125        0.020377
1915-1919     70-74            0.022022        0.041141        0.030574
1915-1919     75-79            0.034357        0.059734        0.045007
1915-1919     80-84            0.057938        0.089506        0.069991
1915-1919     85-89            0.099507        0.141913        0.113871
1915-1919     90-94            0.171891        0.218132        0.185336
1915-1919     95-99            0.277261        0.326027        0.289355
1915-1919    100-104                  .               .               .
1915-1919    105-109                  .               .               .
1915-1919    110+                     .               .               .
1920-1924        0                    .               .               .
1920-1924      1-4                    .               .               .
1920-1924      5-9                    .               .               .
1920-1924     10-14                   .               .               .
1920-1924     15-19                   .               .               .
1920-1924     20-24                   .               .               .
1920-1924     25-29                   .               .               .
1920-1924     30-34                   .               .               .
1920-1924     35-39                   .               .               .
1920-1924     40-44                   .               .               .
1920-1924     45-49                   .               .               .
1920-1924     50-54            0.004507        0.008566        0.006545
1920-1924     55-59            0.005482        0.012457        0.008942
1920-1924     60-64            0.008179        0.017319        0.012605
1920-1924     65-69            0.013048        0.025460        0.018922
1920-1924     70-74            0.019176        0.037040        0.027262
1920-1924     75-79            0.029723        0.052881        0.039612
1920-1924     80-84            0.051320        0.077521        0.061674
1920-1924     85-89            0.092140        0.127278        0.104732
1920-1924     90-94            0.157653        0.193984        0.169261
1920-1924     95-99                   .               .               .
1920-1924    100-104                  .               .               .
1920-1924    105-109                  .               .               .
1920-1924    110+                     .               .               .
1925-1929        0                    .               .               .
1925-1929      1-4                    .               .               .
1925-1929      5-9                    .               .               .
1925-1929     10-14                   .               .               .
1925-1929     15-19                   .               .               .
1925-1929     20-24                   .               .               .
1925-1929     25-29                   .               .               .
1925-1929     30-34                   .               .               .
1925-1929     35-39                   .               .               .
1925-1929     40-44                   .               .               .
1925-1929     45-49            0.002710        0.005383        0.004100
1925-1929     50-54            0.003876        0.007315        0.005645
1925-1929     55-59            0.005170        0.011137        0.008203
1925-1929     60-64            0.008096        0.015661        0.011862
1925-1929     65-69            0.012123        0.023281        0.017548
1925-1929     70-74            0.016681        0.031483        0.023662
1925-1929     75-79            0.025997        0.045127        0.034603
1925-1929     80-84            0.047062        0.069424        0.056534
1925-1929     85-89            0.083303        0.111360        0.094374
1925-1929     90-94                   .               .               .
1925-1929     95-99                   .               .               .
1925-1929    100-104                  .               .               .
1925-1929    105-109                  .               .               .
1925-1929    110+                     .               .               .
1930-1934        0                    .               .               .
1930-1934      1-4                    .               .               .
1930-1934      5-9                    .               .               .
1930-1934     10-14                   .               .               .
1930-1934     15-19                   .               .               .
1930-1934     20-24                   .               .               .
1930-1934     25-29                   .               .               .
1930-1934     30-34                   .               .               .
1930-1934     35-39                   .               .               .
1930-1934     40-44            0.001716        0.002936        0.002336
1930-1934     45-49            0.002236        0.004384        0.003324
1930-1934     50-54            0.003425        0.006302        0.004879
1930-1934     55-59            0.004849        0.009116        0.006989
1930-1934     60-64            0.006933        0.013136        0.009993
1930-1934     65-69            0.010213        0.018478        0.014219
1930-1934     70-74            0.014323        0.025369        0.019541
1930-1934     75-79            0.024073        0.038159        0.030506
1930-1934     80-84            0.041368        0.059810        0.049464
1930-1934     85-89                   .               .               .
1930-1934     90-94                   .               .               .
1930-1934     95-99                   .               .               .
1930-1934    100-104                  .               .               .
1930-1934    105-109                  .               .               .
1930-1934    110+                     .               .               .
1935-1939        0                    .               .               .
1935-1939      1-4                    .               .               .
1935-1939      5-9                    .               .               .
1935-1939     10-14                   .               .               .
1935-1939     15-19                   .               .               .
1935-1939     20-24                   .               .               .
1935-1939     25-29                   .               .               .
1935-1939     30-34                   .               .               .
1935-1939     35-39            0.000881        0.001932        0.001411
1935-1939     40-44            0.001404        0.002353        0.001880
1935-1939     45-49            0.002059        0.003374        0.002719
1935-1939     50-54            0.002999        0.005144        0.004077
1935-1939     55-59            0.004284        0.007439        0.005851
1935-1939     60-64            0.005798        0.010256        0.007992
1935-1939     65-69            0.008224        0.015273        0.011632
1935-1939     70-74            0.013080        0.020911        0.016814
1935-1939     75-79            0.021567        0.031784        0.026335
1935-1939     80-84                   .               .               .
1935-1939     85-89                   .               .               .
1935-1939     90-94                   .               .               .
1935-1939     95-99                   .               .               .
1935-1939    100-104                  .               .               .
1935-1939    105-109                  .               .               .
1935-1939    110+                     .               .               .
1940-1944        0                    .               .               .
1940-1944      1-4                    .               .               .
1940-1944      5-9                    .               .               .
1940-1944     10-14                   .               .               .
1940-1944     15-19                   .               .               .
1940-1944     20-24                   .               .               .
1940-1944     25-29                   .               .               .
1940-1944     30-34            0.000716        0.001215        0.000969
1940-1944     35-39            0.000869        0.001580        0.001228
1940-1944     40-44            0.001096        0.002105        0.001606
1940-1944     45-49            0.001832        0.002944        0.002394
1940-1944     50-54            0.002901        0.004524        0.003717
1940-1944     55-59            0.004018        0.006299        0.005158
1940-1944     60-64            0.005342        0.008986        0.007138
1940-1944     65-69            0.007624        0.013076        0.010283
1940-1944     70-74            0.011352        0.018373        0.014737
1940-1944     75-79                   .               .               .
1940-1944     80-84                   .               .               .
1940-1944     85-89                   .               .               .
1940-1944     90-94                   .               .               .
1940-1944     95-99                   .               .               .
1940-1944    100-104                  .               .               .
1940-1944    105-109                  .               .               .
1940-1944    110+                     .               .               .
1945-1949        0                    .               .               .
1945-1949      1-4                    .               .               .
1945-1949      5-9                    .               .               .
1945-1949     10-14                   .               .               .
1945-1949     15-19                   .               .               .
1945-1949     20-24                   .               .               .
1945-1949     25-29            0.000396        0.001180        0.000793
1945-1949     30-34            0.000436        0.001149        0.000796
1945-1949     35-39            0.000704        0.001279        0.000994
1945-1949     40-44            0.001094        0.001772        0.001437
1945-1949     45-49            0.001551        0.002698        0.002126
1945-1949     50-54            0.002302        0.004048        0.003171
1945-1949     55-59            0.003421        0.005863        0.004628
1945-1949     60-64            0.005152        0.008224        0.006665
1945-1949     65-69            0.006648        0.011254        0.008906
1945-1949     70-74                   .               .               .
1945-1949     75-79                   .               .               .
1945-1949     80-84                   .               .               .
1945-1949     85-89                   .               .               .
1945-1949     90-94                   .               .               .
1945-1949     95-99                   .               .               .
1945-1949    100-104                  .               .               .
1945-1949    105-109                  .               .               .
1945-1949    110+                     .               .               .
1950-1954        0                    .               .               .
1950-1954      1-4                    .               .               .
1950-1954      5-9                    .               .               .
1950-1954     10-14                   .               .               .
1950-1954     15-19                   .               .               .
1950-1954     20-24            0.000476        0.001514        0.000998
1950-1954     25-29            0.000437        0.001373        0.000907
1950-1954     30-34            0.000526        0.001252        0.000889
1950-1954     35-39            0.000750        0.001467        0.001107
1950-1954     40-44            0.001060        0.001887        0.001470
1950-1954     45-49            0.001682        0.002510        0.002091
1950-1954     50-54            0.002335        0.003886        0.003100
1950-1954     55-59            0.003095        0.005455        0.004254
1950-1954     60-64            0.004603        0.008155        0.006331
1950-1954     65-69                   .               .               .
1950-1954     70-74                   .               .               .
1950-1954     75-79                   .               .               .
1950-1954     80-84                   .               .               .
1950-1954     85-89                   .               .               .
1950-1954     90-94                   .               .               .
1950-1954     95-99                   .               .               .
1950-1954    100-104                  .               .               .
1950-1954    105-109                  .               .               .
1950-1954    110+                     .               .               .
1955-1959        0                    .               .               .
1955-1959      1-4                    .               .               .
1955-1959      5-9                    .               .               .
1955-1959     10-14                   .               .               .
1955-1959     15-19            0.000520        0.001617        0.001074
1955-1959     20-24            0.000467        0.001449        0.000963
1955-1959     25-29            0.000436        0.001210        0.000826
1955-1959     30-34            0.000562        0.001244        0.000903
