TAS,  Births (1-year)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1911            2721      2716      5437
1912            2837      3016      5853
1913            2815      3071      5886
1914            2923      3094      6017
1915            2854      2991      5845
1916            2769      2873      5642
1917            2656      2720      5376
1918            2563      2717      5280
1919            2592      2718      5310
1920            2832      2908      5740
1921            2811      2944      5755
1922            2822      2995      5817
1923            2769      2888      5657
1924            2683      2700      5383
1925            2554      2664      5218
1926            2404      2584      4988
1927            2318      2515      4833
1928            2300      2391      4691
1929            2299      2498      4797
1930            2339      2447      4786
1931            2259      2503      4762
1932            2222      2269      4491
1933            2209      2344      4553
1934            2127      2343      4470
1935            2211      2245      4456
1936            2226      2355      4581
1937            2359      2482      4841
1938            2366      2541      4907
1939            2409      2595      5004
1940            2425      2569      4994
1941            2574      2632      5206
1942            2612      2693      5305
1943            2677      2920      5597
1944            2503      2697      5200
1945            2882      2903      5785
1946            3287      3560      6847
1947            3517      3623      7140
1948            3452      3527      6979
1949            3532      3578      7110
1950            3490      3752      7242
1951            3553      3804      7357
1952            3790      4126      7916
1953            3843      3893      7736
1954            3851      3919      7770
1955            3967      4122      8089
1956            3976      4128      8104
1957            4070      4365      8435
1958            4119      4449      8568
1959            4202      4423      8625
1960            4370      4483      8853
1961            4347      4635      8982
1962            4265      4629      8894
1963            4102      4428      8530
1964            4034      4218      8252
1965            3659      3876      7535
1966            3648      3753      7401
1967            3677      3870      7547
1968            4029      4288      8317
1969            4108      4337      8445
1970            3953      4232      8185
1971            4116      4205      8321
1972            3908      3954      7862
1973            3620      3742      7362
1974            3657      3784      7441
1975            3390      3624      7014
1976            3254      3482      6736
1977            3285      3475      6760
1978            3373      3463      6836
1979            3351      3438      6789
1980            3281      3495      6776
1981            3556      3674      7230
1982            3423      3616      7039
1983            3411      3651      7062
1984            3550      3582      7132
1985            3588      3661      7249
1986            3335      3615      6950
1987            3307      3483      6790
1988            3346      3433      6779
1989            3307      3506      6813
1990            3423      3620      7043
1991            3416      3454      6870
1992            3392      3595      6987
1993            3312      3523      6835
1994            3347      3497      6844
1995            3180      3390      6570
1996            3111      3346      6457
1997            2909      3098      6007
1998            2925      3053      5978
1999            2976      3056      6032
2000            2707      2985      5692
2001            3054      3376      6430
2002            2985      3018      6003
2003            2770      2982      5752
2004            2787      3022      5809
2005            3080      3230      6310
2006            3126      3349      6475
2007            3270      3393      6663
2008            3322      3453      6775
2009            3235      3392      6627
2010            3068      3317      6385
2011            3203      3405      6608
2012            3024      3144      6168
2013            3014      3035      6049
2014            2906      3029      5935
2015            2748      2932      5680
2016            2916      3052      5968
