TAS, Deaths (period 1x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0                42.00           73.00          115.00
  1971           1                 1.00            1.00            2.00
  1971           2                 1.00            9.00           10.00
  1971           3                 0.00            1.00            1.00
  1971           4                 4.00            5.00            9.00
  1971           5                 4.00            1.00            5.00
  1971           6                 3.00            4.00            7.00
  1971           7                 1.00            2.00            3.00
  1971           8                 4.00            2.00            6.00
  1971           9                 1.00            3.00            4.00
  1971          10                 4.00            2.00            6.00
  1971          11                 0.00            1.00            1.00
  1971          12                 0.00            3.00            3.00
  1971          13                 1.00            4.00            5.00
  1971          14                 3.00            4.00            7.00
  1971          15                 3.00            2.00            5.00
  1971          16                 2.00            6.00            8.00
  1971          17                 5.00           13.00           18.00
  1971          18                 3.00           13.00           16.00
  1971          19                 1.00           12.00           13.00
  1971          20                 3.00            9.00           12.00
  1971          21                 3.00           13.00           16.00
  1971          22                 2.00            8.00           10.00
  1971          23                 1.00            8.00            9.00
  1971          24                 4.00            1.00            5.00
  1971          25                 1.00            6.00            7.00
  1971          26                 1.00            7.00            8.00
  1971          27                 2.00            5.00            7.00
  1971          28                 3.00            2.00            5.00
  1971          29                 4.00            3.00            7.00
  1971          30                 1.00            1.00            2.00
  1971          31                 0.00            3.00            3.00
  1971          32                 3.00            5.00            8.00
  1971          33                 3.00            5.00            8.00
  1971          34                 1.00            1.00            2.00
  1971          35                 1.00            8.00            9.00
  1971          36                 6.00            1.00            7.00
  1971          37                 1.00            4.00            5.00
  1971          38                 4.00            3.00            7.00
  1971          39                 2.00            8.00           10.00
  1971          40                 1.00            7.00            8.00
  1971          41                 2.00            9.00           11.00
  1971          42                 1.00            8.00            9.00
  1971          43                 3.00            7.00           10.00
  1971          44                 5.00           11.00           16.00
  1971          45                10.00           13.00           23.00
  1971          46                 2.00           17.00           19.00
  1971          47                 7.00            7.00           14.00
  1971          48                 8.00           13.00           21.00
  1971          49                12.00           23.00           35.00
