TAS, Deaths (period 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0               217.00          299.00          516.00
1971-1974        1                20.00           11.00           31.00
1971-1974        2                11.00           24.00           35.00
1971-1974        3                 7.00           16.00           23.00
1971-1974        4                12.00           12.00           24.00
1971-1974        5                16.00            5.00           21.00
1971-1974        6                12.00            6.00           18.00
1971-1974        7                 8.00            8.00           16.00
1971-1974        8                 9.00           11.00           20.00
1971-1974        9                 8.00           11.00           19.00
1971-1974       10                 9.00            2.00           11.00
1971-1974       11                 1.00           11.00           12.00
1971-1974       12                 6.00           13.00           19.00
1971-1974       13                 5.00            6.00           11.00
1971-1974       14                12.00           12.00           24.00
1971-1974       15                13.00           16.00           29.00
1971-1974       16                12.00           26.00           38.00
1971-1974       17                13.00           39.00           52.00
1971-1974       18                 7.00           49.00           56.00
1971-1974       19                 7.00           38.00           45.00
1971-1974       20                10.00           37.00           47.00
1971-1974       21                 6.00           42.00           48.00
1971-1974       22                 8.00           30.00           38.00
1971-1974       23                11.00           18.00           29.00
1971-1974       24                 9.00           12.00           21.00
1971-1974       25                10.00           23.00           33.00
1971-1974       26                 5.00           23.00           28.00
1971-1974       27                13.00           14.00           27.00
1971-1974       28                 9.00           13.00           22.00
1971-1974       29                10.00           18.00           28.00
1971-1974       30                 5.00           13.00           18.00
1971-1974       31                 6.00           16.00           22.00
1971-1974       32                 8.00           16.00           24.00
1971-1974       33                10.00           15.00           25.00
1971-1974       34                 9.00            5.00           14.00
1971-1974       35                12.00           18.00           30.00
1971-1974       36                12.00           16.00           28.00
1971-1974       37                10.00           23.00           33.00
1971-1974       38                15.00           18.00           33.00
1971-1974       39                15.00           27.00           42.00
1971-1974       40                 9.00           22.00           31.00
1971-1974       41                11.00           37.00           48.00
1971-1974       42                 6.00           41.00           47.00
1971-1974       43                22.00           26.00           48.00
1971-1974       44                29.00           33.00           62.00
1971-1974       45                24.00           49.00           73.00
1971-1974       46                23.00           56.00           79.00
1971-1974       47                27.00           39.00           66.00
1971-1974       48                32.00           54.00           86.00
1971-1974       49                44.00           72.00          116.00
1971-1974       50                40.00           58.00           98.00
1971-1974       51                40.00           79.00          119.00
1971-1974       52                34.00           91.00          125.00
1971-1974       53                46.00           89.00          135.00
1971-1974       54                47.00          101.00          148.00
1971-1974       55                57.00          116.00          173.00
1971-1974       56                53.00           97.00          150.00
1971-1974       57                61.00          116.00          177.00
1971-1974       58                66.00          135.00          201.00
