TAS,  Deaths (Lexis triangle)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971       37.10       61.58       98.68
 1971    0      1970        4.90       11.42       16.32
 1971    1      1970        0.53        0.54        1.07
 1971    1      1969        0.47        0.46        0.93
 1971    2      1969        0.54        4.77        5.31
 1971    2      1968        0.46        4.23        4.69
 1971    3      1968        0.00        0.55        0.55
 1971    3      1967        0.00        0.45        0.45
 1971    4      1967        2.15        2.67        4.82
 1971    4      1966        1.85        2.33        4.18
 1971    5      1966        2.09        0.52        2.61
 1971    5      1965        1.91        0.48        2.39
 1971    6      1965        1.52        2.03        3.55
 1971    6      1964        1.48        1.97        3.45
 1971    7      1964        0.52        1.03        1.55
 1971    7      1963        0.48        0.97        1.45
 1971    8      1963        2.07        1.03        3.10
 1971    8      1962        1.93        0.97        2.90
 1971    9      1962        0.52        1.57        2.09
 1971    9      1961        0.48        1.43        1.91
 1971   10      1961        2.03        1.03        3.06
 1971   10      1960        1.97        0.97        2.94
 1971   11      1960        0.00        0.51        0.51
 1971   11      1959        0.00        0.49        0.49
 1971   12      1959        0.00        1.53        1.53
 1971   12      1958        0.00        1.47        1.47
 1971   13      1958        0.51        2.06        2.57
 1971   13      1957        0.49        1.94        2.43
 1971   14      1957        1.54        2.08        3.62
 1971   14      1956        1.46        1.92        3.38
 1971   15      1956        1.53        1.00        2.53
 1971   15      1955        1.47        1.00        2.47
 1971   16      1955        1.03        3.06        4.09
 1971   16      1954        0.97        2.94        3.91
 1971   17      1954        2.55        6.54        9.09
 1971   17      1953        2.45        6.46        8.91
 1971   18      1953        1.53        6.39        7.92
 1971   18      1952        1.47        6.61        8.08
 1971   19      1952        0.52        6.19        6.71
 1971   19      1951        0.48        5.81        6.29
 1971   20      1951        1.56        4.73        6.29
 1971   20      1950        1.44        4.27        5.71
 1971   21      1950        1.54        6.91        8.45
 1971   21      1949        1.46        6.09        7.55
 1971   22      1949        1.04        4.20        5.24
 1971   22      1948        0.96        3.80        4.76
 1971   23      1948        0.51        4.15        4.66
 1971   23      1947        0.49        3.85        4.34
 1971   24      1947        2.11        0.53        2.64
 1971   24      1946        1.89        0.47        2.36
 1971   25      1946        0.54        3.38        3.92
 1971   25      1945        0.46        2.62        3.08
 1971   26      1945        0.54        3.78        4.32
 1971   26      1944        0.46        3.22        3.68
 1971   27      1944        1.01        2.57        3.58
 1971   27      1943        0.99        2.43        3.42
 1971   28      1943        1.57        1.08        2.65
 1971   28      1942        1.43        0.92        2.35
 1971   29      1942        2.08        1.59        3.67
 1971   29      1941        1.92        1.41        3.33
 1971   30      1941        0.53        0.53        1.06
 1971   30      1940        0.47        0.47        0.94
 1971   31      1940        0.00        1.56        1.56
 1971   31      1939        0.00        1.44        1.44
 1971   32      1939        1.56        2.63        4.19
 1971   32      1938        1.44        2.37        3.81
 1971   33      1938        1.56        2.63        4.19
 1971   33      1937        1.44        2.37        3.81
 1971   34      1937        0.53        0.53        1.06
 1971   34      1936        0.47        0.47        0.94
 1971   35      1936        0.52        4.17        4.69
 1971   35      1935        0.48        3.83        4.31
 1971   36      1935        3.13        0.51        3.64
 1971   36      1934        2.87        0.49        3.36
 1971   37      1934        0.51        2.05        2.56
 1971   37      1933        0.49        1.95        2.44
 1971   38      1933        2.06        1.56        3.62
 1971   38      1932        1.94        1.44        3.38
 1971   39      1932        1.02        3.97        4.99
 1971   39      1931        0.98        4.03        5.01
 1971   40      1931        0.51        3.58        4.09
 1971   40      1930        0.49        3.42        3.91
 1971   41      1930        1.04        4.54        5.58
 1971   41      1929        0.96        4.46        5.42
 1971   42      1929        0.52        4.12        4.64
 1971   42      1928        0.48        3.88        4.36
 1971   43      1928        1.54        3.49        5.03
 1971   43      1927        1.46        3.51        4.97
 1971   44      1927        2.54        5.53        8.07
 1971   44      1926        2.46        5.47        7.93
 1971   45      1926        5.04        6.49       11.53
 1971   45      1925        4.96        6.51       11.47
 1971   46      1925        1.01        8.54        9.55
 1971   46      1924        0.99        8.46        9.45
 1971   47      1924        3.57        3.45        7.02
 1971   47      1923        3.43        3.55        6.98
 1971   48      1923        4.09        6.48       10.57
 1971   48      1922        3.91        6.52       10.43
 1971   49      1922        6.19       11.68       17.87
 1971   49      1921        5.81       11.32       17.13
 1971   50      1921        7.17        9.13       16.30
 1971   50      1920        6.83        8.87       15.70
 1971   51      1920        5.30        8.79       14.09
 1971   51      1919        4.70        8.21       12.91
 1971   52      1919        6.19       11.11       17.30
 1971   52      1918        5.81       10.89       16.70
 1971   53      1918        5.07       13.12       18.19
 1971   53      1917        4.93       12.88       17.81
