TAS, Life expectancy at birth (period, 1x1)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1971        74.98    68.22    71.46
  1972        75.23    68.52    71.74
  1973        74.93    68.27    71.44
  1974        74.55    67.90    71.10
  1975        75.19    68.54    71.76
  1976        75.28    69.27    72.20
  1977        76.78    69.06    72.74
  1978        76.09    69.73    72.81
  1979        77.48    69.93    73.57
  1980        77.27    69.95    73.45
  1981        77.50    70.03    73.62
  1982        77.22    71.15    74.12
  1983        78.31    71.56    74.86
  1984        77.46    70.80    74.04
  1985        77.36    70.83    74.02
  1986        78.15    72.54    75.32
  1987        78.17    72.12    75.09
  1988        78.70    72.60    75.61
  1989        78.09    72.97    75.51
  1990        78.99    72.66    75.75
  1991        79.42    73.13    76.23
  1992        78.92    74.16    76.55
  1993        80.11    73.91    76.98
  1994        79.52    73.32    76.36
  1995        80.00    74.68    77.35
  1996        79.93    74.65    77.29
  1997        80.00    75.09    77.57
  1998        81.39    75.67    78.54
  1999        80.40    75.67    78.07
  2000        81.28    76.34    78.84
  2001        80.92    76.32    78.67
  2002        81.06    75.94    78.50
  2003        81.59    76.30    78.95
  2004        82.08    77.12    79.61
  2005        82.17    77.69    79.96
  2006        82.18    77.58    79.90
  2007        81.55    77.56    79.55
  2008        82.10    78.19    80.17
  2009        82.04    78.00    80.02
  2010        82.03    78.38    80.22
  2011        82.62    78.80    80.71
  2012        82.50    78.88    80.70
  2013        82.61    78.51    80.55
  2014        82.33    78.83    80.59
  2015        82.56    78.97    80.76
  2016        82.73    78.93    80.82
