TAS,  Exposures (Lexis triangle)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971     1989.18     2028.76     4017.95
 1971    0      1970     1964.05     2064.54     4028.60
 1971    1      1970     2011.09     2063.59     4074.68
 1971    1      1969     1977.81     2084.38     4062.19
 1971    2      1969     1904.09     2044.80     3948.89
 1971    2      1968     1984.16     2056.48     4040.64
 1971    3      1968     2028.50     2112.59     4141.09
 1971    3      1967     1887.25     1960.67     3847.91
 1971    4      1967     1895.36     1988.45     3883.80
 1971    4      1966     1863.11     1915.18     3778.28
 1971    5      1966     1835.35     1921.09     3756.44
 1971    5      1965     1887.91     1948.44     3836.35
 1971    6      1965     1847.25     1890.84     3738.09
 1971    6      1964     1978.79     2066.23     4045.02
 1971    7      1964     1903.59     1989.17     3892.76
 1971    7      1963     2048.86     2153.91     4202.77
 1971    8      1963     2039.85     2115.67     4155.52
 1971    8      1962     2080.44     2210.09     4290.54
 1971    9      1962     2036.59     2153.76     4190.35
 1971    9      1961     2154.26     2246.92     4401.18
 1971   10      1961     2114.34     2250.17     4364.51
 1971   10      1960     2140.62     2221.22     4361.84
 1971   11      1960     2190.50     2246.59     4437.09
 1971   11      1959     2091.44     2169.75     4261.19
 1971   12      1959     2080.50     2187.76     4268.26
 1971   12      1958     2038.57     2143.56     4182.13
 1971   13      1958     2090.09     2125.34     4215.43
 1971   13      1957     1963.65     2094.56     4058.21
 1971   14      1957     1960.26     2109.85     4070.10
 1971   14      1956     1976.52     2051.71     4028.24
 1971   15      1956     1929.76     1993.17     3922.92
 1971   15      1955     1942.93     1971.30     3914.23
 1971   16      1955     1949.67     2024.01     3973.68
 1971   16      1954     1848.54     1825.64     3674.18
 1971   17      1954     1853.93     1849.09     3703.02
 1971   17      1953     1780.73     1774.81     3555.54
 1971   18      1953     1766.26     1723.07     3489.32
 1971   18      1952     1673.96     1759.81     3433.77
 1971   19      1952     1718.59     1743.53     3462.12
 1971   19      1951     1599.81     1703.80     3303.61
 1971   20      1951     1573.76     1706.29     3280.05
 1971   20      1950     1604.94     1647.42     3252.35
 1971   21      1950     1578.26     1649.15     3227.41
 1971   21      1949     1601.02     1584.85     3185.87
 1971   22      1949     1589.67     1597.20     3186.87
 1971   22      1948     1594.23     1611.24     3205.47
 1971   23      1948     1565.59     1531.19     3096.78
 1971   23      1947     1654.40     1774.81     3429.21
 1971   24      1947     1590.85     1660.59     3251.44
 1971   24      1946     1556.74     1654.81     3211.55
 1971   25      1946     1701.59     1844.56     3546.15
 1971   25      1945     1398.91     1429.05     2827.96
 1971   26      1945     1379.59     1422.63     2802.22
 1971   26      1944     1350.12     1434.88     2785.01
 1971   27      1944     1364.67     1395.93     2760.60
 1971   27      1943     1259.74     1380.18     2639.92
 1971   28      1943     1298.76     1440.68     2739.44
 1971   28      1942     1235.41     1307.68     2543.08
 1971   29      1942     1203.35     1299.77     2503.11
 1971   29      1941     1242.30     1298.14     2540.44
 1971   30      1941     1232.59     1287.09     2519.68
 1971   30      1940     1191.18     1279.16     2470.34
 1971   31      1940     1223.50     1278.26     2501.76
 1971   31      1939     1144.24     1243.30     2387.54
 1971   32      1939     1153.76     1264.94     2418.70
 1971   32      1938     1144.19     1210.91     2355.09
 1971   33      1938     1131.26     1204.44     2335.70
 1971   33      1937     1135.98     1165.09     2301.07
 1971   34      1937     1150.59     1200.59     2351.18
 1971   34      1936     1124.39     1117.71     2242.10
 1971   35      1936     1122.09     1133.70     2255.78
 1971   35      1935     1079.64     1113.29     2192.92
 1971   36      1935     1111.52     1098.59     2210.11
 1971   36      1934     1037.85     1117.13     2154.98
 1971   37      1934     1019.09     1106.84     2125.93
 1971   37      1933     1053.28     1098.47     2151.75
 1971   38      1933     1048.34     1100.76     2149.10
 1971   38      1932     1063.02     1099.90     2162.91
 1971   39      1932     1046.17     1076.16     2122.33
 1971   39      1931     1117.32     1178.02     2295.34
 1971   40      1931     1052.09     1093.60     2145.68
 1971   40      1930     1124.87     1202.82     2327.69
 1971   41      1930     1153.67     1221.26     2374.93
 1971   41      1929     1088.17     1179.56     2267.73
 1971   42      1929     1079.59     1162.19     2241.77
 1971   42      1928     1117.14     1196.21     2313.35
 1971   43      1928     1073.76     1172.08     2245.84
 1971   43      1927     1107.84     1177.58     2285.42
 1971   44      1927     1124.92     1177.92     2302.85
 1971   44      1926     1123.02     1199.57     2322.59
 1971   45      1926     1069.84     1153.08     2222.92
 1971   45      1925     1163.67     1223.56     2387.23
 1971   46      1925     1166.67     1230.92     2397.59
 1971   46      1924     1144.03     1172.17     2316.19
 1971   47      1924     1131.10     1181.08     2312.17
 1971   47      1923     1139.62     1178.22     2317.84
 1971   48      1923     1127.68     1141.08     2268.76
 1971   48      1922     1158.51     1183.56     2342.07
 1971   49      1922     1136.53     1199.45     2335.98
 1971   49      1921     1164.35     1159.13     2323.48
 1971   50      1921     1166.70     1136.02     2302.72
 1971   50      1920     1091.65     1098.74     2190.38
 1971   51      1920     1140.88     1136.46     2277.35
 1971   51      1919      986.75      988.39     1975.14
 1971   52      1919     1020.53     1017.35     2037.88
 1971   52      1918      941.67      955.31     1896.98
 1971   53      1918      946.85      945.19     1892.03
 1971   53      1917      965.40      985.36     1950.77
 1971   54      1917      932.43      944.40     1876.83
 1971   54      1916      980.12      969.63     1949.74
 1971   55      1916      996.60      987.24     1983.84
 1971   55      1915      975.23      963.74     1938.97
 1971   56      1915      954.76      912.00     1866.76
 1971   56      1914      970.62     1004.61     1975.23
 1971   57      1914      972.39      974.78     1947.17
 1971   57      1913      942.14      986.15     1928.29
 1971   58      1913      945.87      999.47     1945.33
 1971   58      1912      903.97      926.46     1830.43
 1971   59      1912      922.98      936.73     1859.70
 1971   59      1911      890.90      871.28     1762.18
 1971   60      1911      865.54      874.69     1740.23
 1971   60      1910      855.00      814.43     1669.44
 1971   61      1910      883.36      834.69     1718.05
 1971   61      1909      790.31      773.84     1564.15
 1971   62      1909      791.53      758.78     1550.30
 1971   62      1908      770.00      750.20     1520.19
 1971   63      1908      768.94      753.61     1522.55
 1971   63      1907      739.99      712.73     1452.71
 1971   64      1907      745.37      711.94     1457.31
 1971   64      1906      707.04      682.46     1389.50
 1971   65      1906      706.94      671.60     1378.53
 1971   65      1905      641.68      641.93     1283.61
 1971   66      1905      684.94      634.76     1319.69
 1971   66      1904      604.74      594.33     1199.07
 1971   67      1904      575.68      589.76     1165.44
 1971   67      1903      608.24      548.62     1156.86
 1971   68      1903      605.86      543.10     1148.96
 1971   68      1902      572.18      511.58     1083.76
 1971   69      1902      577.86      486.18     1064.03
 1971   69      1901      575.20      491.98     1067.18
 1971   70      1901      523.85      473.91      997.76
 1971   70      1900      567.11      454.28     1021.38
 1971   71      1900      585.10      452.50     1037.60
 1971   71      1899      489.08      396.88      885.96
 1971   72      1899      506.85      400.17      907.01
