TAS, Population size (abridged)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0              3929.74         4132.89         8062.63
  1971           1              3955.77         4168.92         8124.69
  1971           2              3968.47         4114.37         8082.84
  1971           3              3774.49         3921.48         7695.97
  1971           4              3726.83         3831.13         7557.96
  1971           5              3776.45         3897.04         7673.49
  1971           6              3958.07         4133.11         8091.18
  1971           7              4097.88         4308.15         8406.03
  1971           8              4161.53         4420.51         8582.04
  1971           9              4308.68         4494.32         8803.00
  1971          10              4281.89         4442.77         8724.66
  1971          11              4182.88         4339.67         8522.55
  1971          12              4077.13         4287.61         8364.74
  1971          13              3927.47         4189.76         8117.23
  1971          14              3953.53         4104.07         8057.60
  1971          15              3886.35         3942.94         7829.29
  1971          16              3697.40         3652.26         7349.66
  1971          17              3562.27         3551.77         7114.04
  1971          18              3348.41         3521.82         6870.23
  1971          19              3199.77         3409.54         6609.31
  1971          20              3210.35         3296.26         6506.61
  1971          21              3202.52         3171.73         6374.25
  1971          22              3188.78         3223.75         6412.53
  1971          23              3308.96         3550.91         6859.87
  1971          24              3114.11         3309.78         6423.89
  1971          25              2797.98         2858.97         5656.95
  1971          26              2700.40         2870.84         5571.24
  1971          27              2519.81         2761.17         5280.98
  1971          28              2471.29         2615.66         5086.95
  1971          29              2485.24         2596.75         5081.99
  1971          30              2382.51         2558.48         4940.99
  1971          31              2288.49         2487.07         4775.56
  1971          32              2288.85         2422.60         4711.45
  1971          33              2272.44         2330.97         4603.41
  1971          34              2248.93         2235.58         4484.51
  1971          35              2159.43         2227.85         4387.28
  1971          36              2076.65         2234.43         4311.08
  1971          37              2106.73         2197.59         4304.32
  1971          38              2126.68         2200.27         4326.95
  1971          39              2234.97         2357.38         4592.35
  1971          40              2249.90         2406.78         4656.68
  1971          41              2176.66         2360.61         4537.27
  1971          42              2234.44         2393.71         4628.15
  1971          43              2216.17         2356.33         4572.50
  1971          44              2246.86         2400.96         4647.82
  1971          45              2329.00         2449.29         4778.29
  1971          46              2288.38         2347.16         4635.54
  1971          47              2280.38         2357.62         4638.00
  1971          48              2318.32         2369.30         4687.62
  1971          49              2330.63         2322.03         4652.66
  1971          50              2185.57         2200.43         4386.00
  1971          51              1975.07         1979.51         3954.58
  1971          52              1885.28         1914.24         3799.52
  1971          53              1932.45         1975.02         3907.47
  1971          54              1962.04         1943.12         3905.16
  1971          55              1952.60         1931.99         3884.59
  1971          56              1942.72         2013.22         3955.94
  1971          57              1886.84         1976.74         3863.58
  1971          58              1810.54         1858.66         3669.20
  1971          59              1784.52         1748.44         3532.96
  1971          60              1714.92         1634.16         3349.08
  1971          61              1583.23         1553.97         3137.20
  1971          62              1542.94         1506.84         3049.78
  1971          63              1482.76         1431.57         2914.33
  1971          64              1417.69         1371.69         2789.38
  1971          65              1287.16         1291.00         2578.16
  1971          66              1213.27         1194.15         2407.42
  1971          67              1219.78         1104.72         2324.50
  1971          68              1149.98         1031.30         2181.28
  1971          69              1155.03          991.27         2146.30
  1971          70              1139.86          918.39         2058.25
  1971          71               984.30          801.77         1786.07
  1971          72               907.31          705.53         1612.84
  1971          73               929.37          644.62         1573.99
  1971          74               902.46          579.78         1482.24
  1971          75               831.37          548.26         1379.63
  1971          76               778.24          494.84         1273.08
  1971          77               750.55          426.50         1177.05
  1971          78               686.23          433.74         1119.97
  1971          79               626.46          385.82         1012.28
  1971          80               582.08          331.64          913.72
  1971          81               569.59          311.72          881.31
  1971          82               509.97          298.41          808.38
  1971          83               392.71          249.33          642.04
  1971          84               336.63          184.92          521.55
  1971          85               293.18          147.81          440.99
  1971          86               237.00          123.28          360.28
  1971          87               188.17          100.67          288.84
  1971          88               147.71           79.79          227.50
  1971          89               125.47           62.80          188.27
  1971          90                98.31           46.62          144.93
  1971          91                66.24           28.71           94.95
  1971          92                51.67           20.73           72.40
  1971          93                37.11           20.22           57.33
  1971          94                25.13           16.95           42.08
  1971          95                22.75           12.23           34.98
  1971          96                16.22            5.19           21.41
  1971          97                 9.65            4.27           13.92
  1971          98                 3.62            3.75            7.37
  1971          99                 4.39            1.36            5.75
  1971         100                 3.82            0.53            4.35
  1971         101                 1.85            0.00            1.85
  1971         102                 0.36            0.00            0.36
  1971         103                 0.00            0.00            0.00
  1971         104                 0.00            0.00            0.00
  1971         105                 0.00            0.00            0.00
  1971         106                 0.00            0.00            0.00
  1971         107                 0.00            0.00            0.00
  1971         108                 0.00            0.00            0.00
  1971         109                 0.00            0.00            0.00
  1971         110+                0.00            0.00            0.00
  1972           0              3966.00         4037.00         8003.00
  1972           1              4022.00         4127.00         8149.00
  1972           2              3808.00         4088.00         7896.00
  1972           3              4057.00         4225.00         8282.00
  1972           4              3790.00         3976.00         7766.00
  1972           5              3670.00         3842.00         7512.00
  1972           6              3694.00         3781.00         7475.00
  1972           7              3807.00         3978.00         7785.00
  1972           8              4079.00         4231.00         8310.00
  1972           9              4073.00         4307.00         8380.00
  1972          10              4228.00         4500.00         8728.00
  1972          11              4381.00         4493.00         8874.00
  1972          12              4161.00         4375.00         8536.00
  1972          13              4180.00         4250.00         8430.00
  1972          14              3920.00         4219.00         8139.00
  1972          15              3859.00         3986.00         7845.00
  1972          16              3899.00         4047.00         7946.00
  1972          17              3707.00         3696.00         7403.00
  1972          18              3532.00         3444.00         6976.00
  1972          19              3437.00         3485.00         6922.00
  1972          20              3147.00         3411.00         6558.00
