TAS, Population size (1-year)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0              3929.74         4132.89         8062.63
  1971         1-4             15425.56        16035.90        31461.46
  1971         5-9             20302.61        21253.13        41555.74
  1971        10-14            20422.90        21363.88        41786.78
  1971        15-19            17694.20        18078.33        35772.53
  1971        20-24            16024.72        16552.43        32577.15
  1971        25-29            12974.72        13703.39        26678.11
  1971        30-34            11481.22        12034.70        23515.92
  1971        35-39            10704.46        11217.52        21921.98
  1971        40-44            11124.03        11918.39        23042.42
  1971        45-49            11546.71        11845.40        23392.11
  1971        50-54             9940.41        10012.32        19952.73
  1971        55-59             9377.22         9529.05        18906.27
  1971        60-64             7741.54         7498.23        15239.77
  1971        65-69             6025.22         5612.44        11637.66
  1971        70-74             4863.30         3650.09         8513.39
  1971        75-79             3672.85         2289.16         5962.01
  1971        80-84             2390.98         1376.02         3767.00
  1971        85-89              991.53          514.35         1505.88
  1971        90-94              278.46          133.23          411.69
  1971        95-99               56.63           26.80           83.43
  1971       100-104               6.03            0.53            6.56
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0              3966.00         4037.00         8003.00
  1972         1-4             15677.00        16416.00        32093.00
  1972         5-9             19323.00        20139.00        39462.00
  1972        10-14            20870.00        21837.00        42707.00
  1972        15-19            18434.00        18658.00        37092.00
  1972        20-24            15794.00        16282.00        32076.00
  1972        25-29            13894.00        14803.00        28697.00
  1972        30-34            11782.00        12468.00        24250.00
  1972        35-39            10692.00        11028.00        21720.00
  1972        40-44            10966.00        11647.00        22613.00
  1972        45-49            11257.00        11799.00        23056.00
  1972        50-54            10405.00        10341.00        20746.00
  1972        55-59             9573.00         9595.00        19168.00
  1972        60-64             8092.00         7836.00        15928.00
  1972        65-69             6281.00         5815.00        12096.00
  1972        70-74             4916.00         3893.00         8809.00
  1972        75-79             3769.00         2257.00         6026.00
  1972        80-84             2447.74         1396.20         3843.94
  1972        85-89             1003.05          547.36         1550.41
  1972        90-94              294.31          114.61          408.92
  1972        95-99               60.46           33.40           93.86
  1972       100-104               6.43            1.89            8.32
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0              3822.00         3806.00         7628.00
  1973         1-4             15816.00        16465.00        32281.00
  1973         5-9             18948.00        19756.00        38704.00
  1973        10-14            20956.00        21845.00        42801.00
  1973        15-19            18550.00        18941.00        37491.00
  1973        20-24            15950.00        16341.00        32291.00
  1973        25-29            14632.00        15500.00        30132.00
  1973        30-34            11855.00        12608.00        24463.00
  1973        35-39            10869.00        11237.00        22106.00
  1973        40-44            10681.00        11322.00        22003.00
  1973        45-49            11156.00        11651.00        22807.00
  1973        50-54            10746.00        10720.00        21466.00
  1973        55-59             9523.00         9431.00        18954.00
  1973        60-64             8311.00         8122.00        16433.00
  1973        65-69             6510.00         6033.00        12543.00
  1973        70-74             5051.00         4004.00         9055.00
  1973        75-79             3722.00         2262.00         5984.00
  1973        80-84             2513.25         1371.86         3885.11
  1973        85-89             1053.36          584.71         1638.07
  1973        90-94              301.77          130.57          432.34
  1973        95-99               60.05           26.46           86.51
  1973       100-104               4.11            1.21            5.32
  1973       105-109               0.00            0.00            0.00
  1973       110+                  0.00            0.00            0.00
  1974           0              3518.00         3732.00         7250.00
  1974         1-4             15718.00        16109.00        31827.00
  1974         5-9             18855.00        19760.00        38615.00
  1974        10-14            20806.00        21783.00        42589.00
  1974        15-19            18931.00        19297.00        38228.00
  1974        20-24            16244.00        16515.00        32759.00
  1974        25-29            15158.00        15690.00        30848.00
  1974        30-34            12265.00        13153.00        25418.00
  1974        35-39            10967.00        11423.00        22390.00
  1974        40-44            10638.00        11081.00        21719.00
  1974        45-49            10883.00        11526.00        22409.00
  1974        50-54            11089.00        10985.00        22074.00
  1974        55-59             9419.00         9205.00        18624.00
  1974        60-64             8595.00         8435.00        17030.00
  1974        65-69             6693.00         6258.00        12951.00
  1974        70-74             5273.00         4145.00         9418.00
  1974        75-79             3696.00         2293.00         5989.00
  1974        80-84             2513.83         1319.26         3833.09
  1974        85-89             1135.77          591.82         1727.59
  1974        90-94              323.78          149.12          472.90
  1974        95-99               64.98           31.34           96.32
  1974       100-104               6.33            0.00            6.33
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0              3517.00         3570.00         7087.00
  1975         1-4             15514.00        15872.00        31386.00
  1975         5-9             18940.00        19944.00        38884.00
  1975        10-14            20442.00        21427.00        41869.00
  1975        15-19            19062.00        19609.00        38671.00
  1975        20-24            16614.00        16875.00        33489.00
  1975        25-29            15894.00        16357.00        32251.00
  1975        30-34            12668.00        13408.00        26076.00
  1975        35-39            11280.00        11810.00        23090.00
  1975        40-44            10399.00        10846.00        21245.00
  1975        45-49            10862.00        11479.00        22341.00
  1975        50-54            11093.00        11084.00        22177.00
  1975        55-59             9607.00         9241.00        18848.00
  1975        60-64             8765.00         8638.00        17403.00
  1975        65-69             6998.00         6435.00        13433.00
  1975        70-74             5279.00         4253.00         9532.00
  1975        75-79             3790.00         2443.00         6233.00
  1975        80-84             2542.77         1301.21         3843.98
  1975        85-89             1202.21          575.55         1777.76
  1975        90-94              340.37          159.05          499.42
  1975        95-99               56.95           25.59           82.54
  1975       100-104               1.75            1.19            2.94
  1975       105-109               0.00            0.00            0.00
  1975       110+                  0.00            0.00            0.00
  1976           0              3237.00         3392.00         6629.00
  1976         1-4             14998.00        15296.00        30294.00
  1976         5-9             19355.00        20252.00        39607.00
  1976        10-14            19650.00        20656.00        40306.00
  1976        15-19            19580.00        19881.00        39461.00
  1976        20-24            16873.00        17189.00        34062.00
  1976        25-29            16442.00        16879.00        33321.00
  1976        30-34            12996.00        13846.00        26842.00
  1976        35-39            11546.00        12085.00        23631.00
  1976        40-44            10217.00        10560.00        20777.00
  1976        45-49            10639.00        11323.00        21962.00
  1976        50-54            11222.00        11233.00        22455.00
  1976        55-59             9781.00         9501.00        19282.00
  1976        60-64             8898.00         8566.00        17464.00
  1976        65-69             7150.00         6725.00        13875.00
  1976        70-74             5402.00         4298.00         9700.00
  1976        75-79             3958.00         2559.00         6517.00
  1976        80-84             2626.29         1314.43         3940.72
  1976        85-89             1249.41          588.20         1837.61
  1976        90-94              369.32          158.22          527.54
  1976        95-99               61.34           22.82           84.16
  1976       100-104               2.52            1.69            4.21
  1976       105-109               0.00            0.00            0.00
  1976       110+                  0.00            0.00            0.00
  1977           0              3220.00         3451.00         6671.00
  1977         1-4             14275.00        14690.00        28965.00
  1977         5-9             19780.00        20514.00        40294.00
  1977        10-14            19118.00        19908.00        39026.00
  1977        15-19            19844.00        20535.00        40379.00
  1977        20-24            17151.00        17251.00        34402.00
  1977        25-29            16129.00        16629.00        32758.00
  1977        30-34            14108.00        14959.00        29067.00
  1977        35-39            11670.00        12313.00        23983.00
  1977        40-44            10329.00        10744.00        21073.00
  1977        45-49            10523.00        11007.00        21530.00
  1977        50-54            10831.00        11181.00        22012.00
  1977        55-59            10118.00         9649.00        19767.00
  1977        60-64             9069.00         8618.00        17687.00
  1977        65-69             7418.00         6899.00        14317.00
  1977        70-74             5580.00         4514.00        10094.00
  1977        75-79             4005.00         2673.00         6678.00
  1977        80-84             2668.38         1297.03         3965.41
  1977        85-89             1306.78          586.83         1893.61
  1977        90-94              370.46          160.80          531.26
  1977        95-99               67.08           31.29           98.37
  1977       100-104               5.12            0.56            5.68
  1977       105-109               0.00            0.00            0.00
  1977       110+                  0.00            0.00            0.00
  1978           0              3303.00         3415.00         6718.00
  1978         1-4             13576.00        14314.00        27890.00
  1978         5-9             19980.00        20452.00        40432.00
  1978        10-14            18907.00        19629.00        38536.00
  1978        15-19            19921.00        20525.00        40446.00
  1978        20-24            17224.00        17571.00        34795.00
  1978        25-29            16215.00        16752.00        32967.00
  1978        30-34            14911.00        15717.00        30628.00
  1978        35-39            11812.00        12477.00        24289.00
  1978        40-44            10536.00        10982.00        21518.00
  1978        45-49            10278.00        10872.00        21150.00
  1978        50-54            10709.00        11021.00        21730.00
  1978        55-59            10330.00         9915.00        20245.00
  1978        60-64             9098.00         8626.00        17724.00
  1978        65-69             7677.00         6999.00        14676.00
  1978        70-74             5757.00         4816.00        10573.00
  1978        75-79             4096.00         2726.00         6822.00
  1978        80-84             2729.62         1286.44         4016.06
  1978        85-89             1363.13          603.39         1966.52
  1978        90-94              387.18          156.73          543.91
  1978        95-99               71.99           35.32          107.31
  1978       100-104               3.96            1.33            5.29
  1978       105-109               0.00            0.00            0.00
  1978       110+                  0.00            0.00            0.00
  1979           0              3418.00         3444.00         6862.00
  1979         1-4             13360.00        14075.00        27435.00
  1979         5-9             19546.00        20081.00        39627.00
  1979        10-14            18925.00        19642.00        38567.00
  1979        15-19            19891.00        20451.00        40342.00
  1979        20-24            17689.00        18148.00        35837.00
  1979        25-29            16346.00        16932.00        33278.00
  1979        30-34            15351.00        15946.00        31297.00
  1979        35-39            12295.00        13034.00        25329.00
  1979        40-44            10620.00        11119.00        21739.00
  1979        45-49            10238.00        10672.00        20910.00
  1979        50-54            10476.00        10946.00        21422.00
  1979        55-59            10562.00        10152.00        20714.00
  1979        60-64             9030.00         8424.00        17454.00
  1979        65-69             7966.00         7259.00        15225.00
  1979        70-74             5899.00         5045.00        10944.00
  1979        75-79             4320.00         2868.00         7188.00
  1979        80-84             2753.64         1325.83         4079.47
  1979        85-89             1412.41          610.37         2022.78
  1979        90-94              416.92          159.09          576.01
  1979        95-99               82.94           42.02          124.96
  1979       100-104               4.67            0.00            4.67
  1979       105-109               0.00            0.00            0.00
  1979       110+                  0.00            0.00            0.00
  1980           0              3203.00         3445.00         6648.00
  1980         1-4             13212.00        13823.00        27035.00
  1980         5-9             18958.00        19511.00        38469.00
  1980        10-14            18977.00        19628.00        38605.00
  1980        15-19            19765.00        20216.00        39981.00
  1980        20-24            18325.00        18540.00        36865.00
  1980        25-29            16743.00        17029.00        33772.00
  1980        30-34            16003.00        16366.00        32369.00
  1980        35-39            12787.00        13265.00        26052.00
  1980        40-44            10901.00        11351.00        22252.00
  1980        45-49            10079.00        10432.00        20511.00
  1980        50-54            10378.00        10952.00        21330.00
  1980        55-59            10604.00        10257.00        20861.00
  1980        60-64             9205.00         8421.00        17626.00
  1980        65-69             8192.00         7390.00        15582.00
  1980        70-74             6152.00         5122.00        11274.00
  1980        75-79             4369.00         3015.00         7384.00
  1980        80-84             2785.12         1424.34         4209.46
  1980        85-89             1451.37          609.86         2061.23
  1980        90-94              453.33          166.39          619.72
  1980        95-99               87.60           45.34          132.94
  1980       100-104               6.10            0.95            7.05
  1980       105-109               0.00            0.00            0.00
  1980       110+                  0.00            0.00            0.00
  1981           0              3464.00         3554.00         7018.00
  1981         1-4             13240.00        13741.00        26981.00
  1981         5-9             18187.00        18901.00        37088.00
  1981        10-14            19323.00        20174.00        39497.00
  1981        15-19            19420.00        19627.00        39047.00
  1981        20-24            18635.00        18698.00        37333.00
  1981        25-29            17043.00        17419.00        34462.00
  1981        30-34            16452.00        16964.00        33416.00
  1981        35-39            13213.00        13529.00        26742.00
  1981        40-44            11231.00        11761.00        22992.00
  1981        45-49             9891.00        10192.00        20083.00
  1981        50-54            10327.00        10941.00        21268.00
  1981        55-59            10495.00        10343.00        20838.00
  1981        60-64             9407.00         8537.00        17944.00
  1981        65-69             8360.00         7530.00        15890.00
  1981        70-74             6496.00         5217.00        11713.00
  1981        75-79             4457.00         3133.00         7590.00
  1981        80-84             2871.42         1508.66         4380.08
  1981        85-89             1488.87          613.68         2102.55
  1981        90-94              509.11          196.07          705.18
  1981        95-99               91.18           36.40          127.58
  1981       100-104               6.77            0.74            7.51
  1981       105-109               0.00            0.00            0.00
  1981       110+                  0.00            0.00            0.00
  1982           0              3456.00         3613.00         7069.00
  1982         1-4             13419.00        13854.00        27273.00
  1982         5-9             17434.00        18200.00        35634.00
  1982        10-14            19697.00        20344.00        40041.00
  1982        15-19            18689.00        19043.00        37732.00
  1982        20-24            18902.00        18928.00        37830.00
  1982        25-29            17282.00        17382.00        34664.00
  1982        30-34            16232.00        16777.00        33009.00
  1982        35-39            14176.00        14606.00        28782.00
  1982        40-44            11582.00        12047.00        23629.00
  1982        45-49             9966.00        10241.00        20207.00
  1982        50-54            10262.00        10772.00        21034.00
  1982        55-59            10348.00        10495.00        20843.00
  1982        60-64             9592.00         8619.00        18211.00
  1982        65-69             8516.00         7690.00        16206.00
  1982        70-74             6785.00         5356.00        12141.00
  1982        75-79             4583.00         3281.00         7864.00
  1982        80-84             2976.97         1614.78         4591.75
  1982        85-89             1562.95          611.53         2174.48
  1982        90-94              555.61          203.17          758.78
  1982        95-99              103.50           35.86          139.36
  1982       100-104              10.19            1.23           11.42
  1982       105-109               0.00            0.00            0.00
  1982       110+                  0.00            0.00            0.00
  1983           0              3373.00         3577.00         6950.00
  1983         1-4             13533.00        14013.00        27546.00
  1983         5-9             16908.00        17779.00        34687.00
  1983        10-14            19742.00        20365.00        40107.00
  1983        15-19            18352.00        18678.00        37030.00
  1983        20-24            18971.00        18872.00        37843.00
  1983        25-29            17395.00        17578.00        34973.00
  1983        30-34            16444.00        16810.00        33254.00
  1983        35-39            14944.00        15419.00        30363.00
  1983        40-44            11769.00        12254.00        24023.00
  1983        45-49            10235.00        10530.00        20765.00
  1983        50-54            10078.00        10540.00        20618.00
  1983        55-59            10277.00        10436.00        20713.00
  1983        60-64             9860.00         9044.00        18904.00
  1983        65-69             8542.00         7640.00        16182.00
  1983        70-74             7057.00         5570.00        12627.00
  1983        75-79             4771.00         3461.00         8232.00
  1983        80-84             3095.39         1684.32         4779.71
  1983        85-89             1601.46          608.27         2209.73
  1983        90-94              582.39          203.66          786.05
  1983        95-99              112.61           42.58          155.19
  1983       100-104              11.45            3.48           14.93
  1983       105-109               0.00            0.00            0.00
  1983       110+                  0.00            0.00            0.00
  1984           0              3545.00         3561.00         7106.00
  1984         1-4             13614.00        14270.00        27884.00
  1984         5-9             16842.00        17472.00        34314.00
  1984        10-14            19314.00        20053.00        39367.00
  1984        15-19            18390.00        18772.00        37162.00
  1984        20-24            19027.00        19051.00        38078.00
  1984        25-29            17841.00        17992.00        35833.00
  1984        30-34            16662.00        16913.00        33575.00
  1984        35-39            15537.00        15851.00        31388.00
  1984        40-44            12240.00        12756.00        24996.00
  1984        45-49            10471.00        10800.00        21271.00
  1984        50-54            10048.00        10380.00        20428.00
  1984        55-59            10192.00        10481.00        20673.00
  1984        60-64            10138.00         9425.00        19563.00
  1984        65-69             8485.00         7427.00        15912.00
  1984        70-74             7334.00         5925.00        13259.00
  1984        75-79             4995.00         3612.00         8607.00
  1984        80-84             3207.55         1751.53         4959.08
  1984        85-89             1620.81          631.62         2252.43
  1984        90-94              613.83          204.82          818.65
  1984        95-99              118.69           47.20          165.89
  1984       100-104              13.78            1.88           15.66
  1984       105-109               0.00            0.00            0.00
  1984       110+                  0.00            0.00            0.00
  1985           0              3621.00         3628.00         7249.00
  1985         1-4             13965.00        14435.00        28400.00
  1985         5-9             16660.00        17417.00        34077.00
  1985        10-14            19084.00        19592.00        38676.00
  1985        15-19            18461.00        18976.00        37437.00
  1985        20-24            18790.00        18968.00        37758.00
  1985        25-29            18369.00        18457.00        36826.00
  1985        30-34            16895.00        17043.00        33938.00
  1985        35-39            16163.00        16480.00        32643.00
  1985        40-44            12678.00        13132.00        25810.00
  1985        45-49            10841.00        11201.00        22042.00
  1985        50-54             9865.00        10161.00        20026.00
  1985        55-59            10192.00        10583.00        20775.00
  1985        60-64            10247.00         9623.00        19870.00
  1985        65-69             8575.00         7458.00        16033.00
  1985        70-74             7558.00         6065.00        13623.00
  1985        75-79             5292.00         3726.00         9018.00
  1985        80-84             3275.31         1843.40         5118.71
  1985        85-89             1654.63          690.11         2344.74
  1985        90-94              624.70          199.26          823.96
  1985        95-99              133.04           45.38          178.42
  1985       100-104              13.59            3.97           17.56
  1985       105-109               0.63            0.00            0.63
  1985       110+                  0.00            0.00            0.00
  1986           0              3385.00         3567.00         6952.00
  1986         1-4             14162.00        14600.00        28762.00
  1986         5-9             16812.00        17519.00        34331.00
  1986        10-14            18366.00        19074.00        37440.00
  1986        15-19            18952.00        19471.00        38423.00
  1986        20-24            18088.00        18116.00        36204.00
  1986        25-29            18546.00        18652.00        37198.00
  1986        30-34            17225.00        17379.00        34604.00
  1986        35-39            16726.00        17006.00        33732.00
  1986        40-44            13131.00        13599.00        26730.00
  1986        45-49            11209.00        11634.00        22843.00
  1986        50-54             9848.00        10030.00        19878.00
  1986        55-59            10131.00        10533.00        20664.00
  1986        60-64            10346.00         9834.00        20180.00
  1986        65-69             8780.00         7604.00        16384.00
  1986        70-74             7666.00         6204.00        13870.00
  1986        75-79             5539.00         3901.00         9440.00
  1986        80-84             3305.73         1903.69         5209.42
  1986        85-89             1651.28          726.87         2378.15
  1986        90-94              648.71          189.43          838.14
  1986        95-99              152.14           50.03          202.17
  1986       100-104               5.62            1.95            7.57
  1986       105-109               0.00            0.00            0.00
  1986       110+                  0.00            0.00            0.00
  1987           0              3365.00         3588.00         6953.00
  1987         1-4             14081.00        14530.00        28611.00
  1987         5-9             17101.00        17788.00        34889.00
  1987        10-14            17566.00        18441.00        36007.00
  1987        15-19            19228.00        19746.00        38974.00
  1987        20-24            17411.00        17336.00        34747.00
  1987        25-29            18765.00        18780.00        37545.00
  1987        30-34            17574.00        17382.00        34956.00
  1987        35-39            16569.00        16806.00        33375.00
  1987        40-44            14186.00        14780.00        28966.00
  1987        45-49            11474.00        11915.00        23389.00
  1987        50-54            10034.00        10194.00        20228.00
  1987        55-59            10086.00        10339.00        20425.00
  1987        60-64            10216.00         9977.00        20193.00
  1987        65-69             9070.00         7766.00        16836.00
  1987        70-74             7780.00         6372.00        14152.00
  1987        75-79             5762.00         3995.00         9757.00
  1987        80-84             3375.28         2004.93         5380.21
  1987        85-89             1723.38          797.33         2520.71
  1987        90-94              666.83          197.97          864.80
  1987        95-99              164.20           49.53          213.73
  1987       100-104              10.59            1.45           12.04
  1987       105-109               0.00            0.00            0.00
  1987       110+                  0.00            0.00            0.00
  1988           0              3335.00         3393.00         6728.00
  1988         1-4             13971.00        14476.00        28447.00
  1988         5-9             17292.00        18081.00        35373.00
  1988        10-14            17066.00        18037.00        35103.00
  1988        15-19            19182.00        19746.00        38928.00
  1988        20-24            16930.00        16809.00        33739.00
  1988        25-29            18684.00        18444.00        37128.00
  1988        30-34            17773.00        17618.00        35391.00
  1988        35-39            16698.00        16933.00        33631.00
