TAS, Life tables (period 1x5), Males	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01934  0.01901  0.11  100000    1901   98309  6823469  68.23
1971-1974        1      0.00069  0.00069  0.50   98099      68   98065  6725159  68.56
1971-1974        2      0.00148  0.00148  0.50   98031     145   97959  6627095  67.60
1971-1974        3      0.00097  0.00097  0.50   97886      95   97839  6529136  66.70
1971-1974        4      0.00074  0.00074  0.50   97791      72   97755  6431297  65.77
1971-1974        5      0.00031  0.00031  0.50   97719      30   97704  6333542  64.81
1971-1974        6      0.00038  0.00038  0.50   97689      37   97670  6235838  63.83
1971-1974        7      0.00051  0.00051  0.50   97652      50   97627  6138168  62.86
1971-1974        8      0.00068  0.00068  0.50   97602      67   97569  6040541  61.89
1971-1974        9      0.00066  0.00066  0.50   97535      65   97503  5942972  60.93
1971-1974       10      0.00012  0.00012  0.50   97471      11   97465  5845469  59.97
1971-1974       11      0.00063  0.00063  0.50   97459      61   97429  5748004  58.98
1971-1974       12      0.00074  0.00074  0.50   97398      72   97362  5650576  58.02
1971-1974       13      0.00034  0.00034  0.50   97326      33   97310  5553213  57.06
1971-1974       14      0.00070  0.00070  0.50   97293      69   97259  5455904  56.08
1971-1974       15      0.00098  0.00098  0.50   97225      95   97177  5358645  55.12
1971-1974       16      0.00165  0.00165  0.50   97130     160   97050  5261468  54.17
1971-1974       17      0.00258  0.00258  0.50   96970     250   96845  5164418  53.26
1971-1974       18      0.00338  0.00338  0.50   96720     327   96556  5067573  52.39
1971-1974       19      0.00272  0.00271  0.50   96393     261   96262  4971017  51.57
1971-1974       20      0.00273  0.00273  0.50   96132     262   96001  4874755  50.71
1971-1974       21      0.00316  0.00316  0.50   95869     303   95718  4778754  49.85
1971-1974       22      0.00228  0.00228  0.50   95567     218   95458  4683036  49.00
1971-1974       23      0.00138  0.00138  0.50   95349     132   95283  4587579  48.11
1971-1974       24      0.00093  0.00093  0.50   95217      89   95172  4492296  47.18
1971-1974       25      0.00175  0.00175  0.50   95128     166   95045  4397124  46.22
1971-1974       26      0.00179  0.00179  0.50   94962     170   94877  4302079  45.30
1971-1974       27      0.00113  0.00113  0.50   94792     107   94738  4207202  44.38
