VIC,  Births (1-year)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1911           16092     16934     33026
1912           17570     18226     35796
1913           17536     18434     35970
1914           17677     18545     36222
1915           17189     17820     35009
1916           16612     17623     34235
1917           15813     17220     33033
1918           15425     16172     31597
1919           15394     16225     31619
1920           17566     18647     36213
1921           17303     18288     35591
1922           17550     18738     36288
1923           17312     18565     35877
1924           17640     18500     36140
1925           17330     18592     35922
1926           17159     18203     35362
1927           17006     18068     35074
1928           16693     17805     34498
1929           16210     17394     33604
1930           16112     17015     33127
1931           14700     15632     30332
1932           13388     14076     27464
1933           13901     14491     28392
1934           13670     14158     27828
1935           13690     14194     27884
1936           14087     14796     28883
1937           14522     15209     29731
1938           14708     15636     30344
1939           14765     15728     30493
1940           15569     16393     31962
1941           16658     17748     34406
1942           17525     18402     35927
1943           19106     20011     39117
1944           19216     20142     39358
1945           19994     21206     41200
1946           22574     24119     46693
1947           22975     24391     47366
1948           22579     23520     46099
1949           22846     24027     46873
1950           24276     25554     49830
1951           24534     26019     50553
1952           26266     27472     53738
1953           26193     27368     53561
1954           26548     28112     54660
1955           27448     28888     56336
1956           28278     30115     58393
1957           29496     30968     60464
1958           29752     31517     61269
1959           30204     32041     62245
1960           31200     32825     64025
1961           32011     33875     65886
1962           32014     33876     65890
1963           31661     33988     65649
1964           31479     33511     64990
1965           31056     32494     63550
1966           31226     32782     64008
1967           31956     33529     65485
1968           34083     36145     70228
1969           34614     36421     71035
1970           35669     37350     73019
1971           37066     38432     75498
1972           34919     36794     71713
1973           32553     34357     66910
1974           32107     33910     66017
1975           29913     31865     61778
1976           29456     30957     60413
1977           28577     30667     59244
1978           28551     30136     58687
1979           27985     29643     57628
1980           28251     29771     58022
1981           29016     30268     59284
1982           29174     30702     59876
1983           29233     30695     59928
1984           29081     30404     59485
1985           30058     31497     61555
1986           29307     30855     60162
1987           29902     31605     61507
1988           30446     31688     62134
1989           31161     32841     64002
1990           32613     34357     66970
1991           31802     33636     65438
1992           32075     33691     65766
1993           31256     32793     64049
1994           31070     32904     63974
1995           30483     32108     62591
1996           29556     31587     61143
1997           29484     31248     60732
1998           29189     31303     60492
1999           28774     30101     58875
2000           28845     30326     59171
2001           28683     29943     58626
2002           29873     31605     61478
2003           29801     31257     61058
2004           30492     31925     62417
2005           30985     32312     63297
2006           31706     33539     65245
2007           34204     36121     70325
2008           34398     36786     71184
2009           34644     36284     70928
2010           34431     36141     70572
2011           34544     36900     71444
2012           37749     39656     77405
2013           35913     38056     73969
2014           36167     38057     74224
2015           35736     37832     73568
2016           40454     42438     82892
2017           39786     42308     82094
2018           38134     40354     78488
2019           37519     39701     77220
2020           35845     37698     73543
2021           36912     38451     75363
