VIC, Deaths (period 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0              1793.00         2282.00         4075.00
1971-1974        1               125.00          164.00          289.00
1971-1974        2                97.00          138.00          235.00
1971-1974        3                68.00           95.00          163.00
1971-1974        4                60.00           80.00          140.00
1971-1974        5                43.00           62.00          105.00
1971-1974        6                63.00           76.00          139.00
1971-1974        7                43.00           74.00          117.00
1971-1974        8                38.00           47.00           85.00
1971-1974        9                22.00           55.00           77.00
1971-1974       10                23.00           52.00           75.00
1971-1974       11                23.00           52.00           75.00
1971-1974       12                35.00           48.00           83.00
1971-1974       13                42.00           65.00          107.00
1971-1974       14                37.00           58.00           95.00
1971-1974       15                48.00           91.00          139.00
1971-1974       16                48.00          120.00          168.00
1971-1974       17                61.00          163.00          224.00
1971-1974       18                72.00          245.00          317.00
1971-1974       19                90.00          258.00          348.00
1971-1974       20                77.00          235.00          312.00
1971-1974       21                60.00          230.00          290.00
1971-1974       22                58.00          196.00          254.00
1971-1974       23                64.00          181.00          245.00
1971-1974       24                76.00          178.00          254.00
1971-1974       25                63.00          151.00          214.00
1971-1974       26                75.00          126.00          201.00
1971-1974       27                53.00          138.00          191.00
1971-1974       28                51.00          129.00          180.00
1971-1974       29                73.00          125.00          198.00
1971-1974       30                60.00          122.00          182.00
1971-1974       31                70.00          131.00          201.00
1971-1974       32                62.00          128.00          190.00
1971-1974       33                72.00          112.00          184.00
1971-1974       34                66.00          135.00          201.00
1971-1974       35                82.00          136.00          218.00
1971-1974       36                75.00          145.00          220.00
1971-1974       37                76.00          163.00          239.00
1971-1974       38                93.00          203.00          296.00
1971-1974       39               111.00          200.00          311.00
1971-1974       40               113.00          194.00          307.00
1971-1974       41               125.00          215.00          340.00
1971-1974       42               180.00          289.00          469.00
1971-1974       43               182.00          330.00          512.00
1971-1974       44               194.00          379.00          573.00
1971-1974       45               225.00          411.00          636.00
1971-1974       46               251.00          487.00          738.00
1971-1974       47               297.00          522.00          819.00
1971-1974       48               315.00          586.00          901.00
1971-1974       49               341.00          661.00         1002.00
1971-1974       50               347.00          630.00          977.00
1971-1974       51               373.00          665.00         1038.00
1971-1974       52               419.00          777.00         1196.00
1971-1974       53               405.00          772.00         1177.00
1971-1974       54               415.00          842.00         1257.00
1971-1974       55               448.00          787.00         1235.00
1971-1974       56               504.00          925.00         1429.00
1971-1974       57               531.00         1003.00         1534.00
1971-1974       58               631.00         1179.00         1810.00
1971-1974       59               598.00         1301.00         1899.00
1971-1974       60               657.00         1285.00         1942.00
1971-1974       61               671.00         1322.00         1993.00
1971-1974       62               757.00         1383.00         2140.00
1971-1974       63               826.00         1499.00         2325.00
1971-1974       64               797.00         1548.00         2345.00
1971-1974       65               954.00         1655.00         2609.00
1971-1974       66               854.00         1564.00         2418.00
1971-1974       67              1015.00         1783.00         2798.00
1971-1974       68              1038.00         1777.00         2815.00
1971-1974       69              1082.00         1912.00         2994.00
1971-1974       70              1169.00         1781.00         2950.00
1971-1974       71              1267.00         1785.00         3052.00
1971-1974       72              1445.00         1944.00         3389.00
1971-1974       73              1507.00         1833.00         3340.00
1971-1974       74              1516.00         1863.00         3379.00
1971-1974       75              1596.00         1825.00         3421.00
1971-1974       76              1693.00         1803.00         3496.00
1971-1974       77              1683.00         1632.00         3315.00
1971-1974       78              1869.00         1733.00         3602.00
1971-1974       79              1903.00         1705.00         3608.00
1971-1974       80              1993.00         1575.00         3568.00
1971-1974       81              1833.00         1408.00         3241.00
1971-1974       82              1992.00         1478.00         3470.00
1971-1974       83              1867.00         1359.00         3226.00
1971-1974       84              1912.00         1207.00         3119.00
1971-1974       85              1712.00          989.00         2701.00
1971-1974       86              1525.00          919.00         2444.00
1971-1974       87              1324.00          794.00         2118.00
1971-1974       88              1195.00          658.00         1853.00
1971-1974       89              1049.00          493.00         1542.00
1971-1974       90               902.00          391.00         1293.00
1971-1974       91               755.00          319.00         1074.00
1971-1974       92               609.00          242.00          851.00
1971-1974       93               527.00          198.00          725.00
1971-1974       94               395.00          119.00          514.00
1971-1974       95               256.00          105.00          361.00
1971-1974       96               209.00           71.00          280.00
1971-1974       97               140.00           58.00          198.00
1971-1974       98                90.00           31.00          121.00
1971-1974       99                76.00           18.00           94.00
1971-1974      100                35.93           14.53           50.46
1971-1974      101                22.26            9.48           31.74
1971-1974      102                13.65            5.79           19.44
1971-1974      103                 7.95            3.40           11.35
1971-1974      104                 4.44            0.76            5.20
1971-1974      105                 1.78            0.00            1.78
1971-1974      106                 0.00            0.00            0.00
1971-1974      107                 0.00            0.00            0.00
1971-1974      108                 0.00            0.00            0.00
1971-1974      109                 0.00            0.00            0.00
1971-1974      110+                0.00            0.00            0.00
1975-1979        0              1444.00         1937.00         3381.00
1975-1979        1                97.00          142.00          239.00
1975-1979        2                70.00          118.00          188.00
1975-1979        3                61.00           80.00          141.00
1975-1979        4                54.00           89.00          143.00
1975-1979        5                53.00           69.00          122.00
1975-1979        6                40.00           70.00          110.00
1975-1979        7                39.00           60.00           99.00
1975-1979        8                30.00           50.00           80.00
1975-1979        9                43.00           51.00           94.00
1975-1979       10                33.00           47.00           80.00
