VIC, Deaths (period 5x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0              3237.00         4219.00         7456.00
1971-1979      1-4               632.00          906.00         1538.00
1971-1979      5-9               414.00          614.00         1028.00
1971-1979     10-14              319.00          583.00          902.00
1971-1979     15-19              729.00         1991.00         2720.00
1971-1979     20-24              714.00         2341.00         3055.00
1971-1979     25-29              684.00         1580.00         2264.00
1971-1979     30-34              791.00         1461.00         2252.00
1971-1979     35-39              967.00         1849.00         2816.00
1971-1979     40-44             1606.00         2950.00         4556.00
1971-1979     45-49             2851.00         5395.00         8246.00
1971-1979     50-54             4295.00         8350.00        12645.00
1971-1979     55-59             5889.00        11485.00        17374.00
1971-1979     60-64             8207.00        15509.00        23716.00
1971-1979     65-69            11070.00        19525.00        30595.00
1971-1979     70-74            14747.00        21101.00        35848.00
1971-1979     75-79            19053.00        19662.00        38715.00
1971-1979     80-84            20932.00        15288.00        36220.00
1971-1979     85-89            16209.00         8948.00        25157.00
1971-1979     90-94             7488.00         3002.00        10490.00
1971-1979     95-99             2008.00          667.00         2675.00
1971-1979    100-104             231.48           73.00          304.48
1971-1979    105-109               6.50            0.00            6.50
1971-1979    110+                  0.00            0.00            0.00
1980-1989        0              2302.23         3042.30         5344.53
1980-1989      1-4               424.05          622.25         1046.30
1980-1989      5-9               262.01          426.19          688.20
1980-1989     10-14              251.06          515.28          766.34
1980-1989     15-19              655.08         1774.73         2429.81
1980-1989     20-24              854.09         2547.97         3402.06
1980-1989     25-29              809.09         2154.86         2963.95
1980-1989     30-34              914.12         2047.79         2961.91
1980-1989     35-39             1189.11         2037.83         3226.94
1980-1989     40-44             1525.14         2760.14         4285.28
1980-1989     45-49             2230.23         4037.80         6268.03
1980-1989     50-54             3629.38         6772.98        10402.36
1980-1989     55-59             5752.63        11261.77        17014.40
1980-1989     60-64             8453.83        15870.48        24324.31
1980-1989     65-69            11757.20        20183.51        31940.71
1980-1989     70-74            16649.67        24351.12        41000.79
1980-1989     75-79            21236.07        25192.21        46428.28
1980-1989     80-84            23959.41        19970.00        43929.41
1980-1989     85-89            21372.06        11398.50        32770.56
1980-1989     90-94            12778.20         4674.94        17453.14
1980-1989     95-99             3889.34         1043.37         4932.71
1980-1989    100-104             560.99          120.61          681.60
1980-1989    105-109              28.05            1.43           29.48
1980-1989    110+                  0.00            0.00            0.00
1990-1999        0              1520.00         2001.27         3521.27
1990-1999      1-4               335.00          463.11          798.11
1990-1999      5-9               183.00          264.00          447.00
1990-1999     10-14              228.00          314.07          542.07
1990-1999     15-19              462.00         1232.18         1694.18
1990-1999     20-24              690.00         2059.27         2749.27
1990-1999     25-29              727.00         2114.25         2841.25
1990-1999     30-34              955.00         2194.28         3149.28
1990-1999     35-39             1248.00         2324.29         3572.29
1990-1999     40-44             1793.00         3013.44         4806.44
1990-1999     45-49             2364.00         3931.47         6295.47
1990-1999     50-54             3223.00         5356.71         8579.71
1990-1999     55-59             4338.00         7754.07        12092.07
1990-1999     60-64             6582.00        12406.69        18988.69
1990-1999     65-69            10704.00        18823.47        29527.47
1990-1999     70-74            15943.00        24303.17        40246.17
1990-1999     75-79            22062.00        26671.54        48733.54
1990-1999     80-84            27849.00        25191.26        53040.26
1990-1999     85-89            26818.00        17208.25        44026.25
1990-1999     90-94            17538.00         7189.92        24727.92
1990-1999     95-99             6409.00         1686.24         8095.24
1990-1999    100-104            1209.33          217.76         1427.09
1990-1999    105-109             100.69            7.27          107.96
1990-1999    110+                  0.00            0.00            0.00
2000-2009        0              1244.07         1620.14         2864.21
2000-2009      1-4               205.02          259.01          464.03
2000-2009      5-9               128.01          191.03          319.04
2000-2009     10-14              158.02          206.02          364.04
2000-2009     15-19              401.01          839.06         1240.07
2000-2009     20-24              484.04         1342.12         1826.16
2000-2009     25-29              587.02         1596.11         2183.13
2000-2009     30-34              827.06         1785.15         2612.21
2000-2009     35-39             1218.05         2176.19         3394.24
2000-2009     40-44             1703.09         2779.23         4482.32
2000-2009     45-49             2553.14         3908.31         6461.45
2000-2009     50-54             3614.19         5389.49         9003.68
2000-2009     55-59             4668.23         7478.62        12146.85
2000-2009     60-64             6008.29        10039.82        16048.11
2000-2009     65-69             7994.41        13536.13        21530.54
2000-2009     70-74            12461.71        19472.68        31934.39
2000-2009     75-79            20318.07        27153.31        47471.38
2000-2009     80-84            29353.36        29309.31        58662.67
2000-2009     85-89            33201.60        23669.91        56871.51
2000-2009     90-94            25836.15        12539.99        38376.14
2000-2009     95-99            10472.44         3268.24        13740.68
2000-2009    100-104            1928.72          396.29         2325.01
2000-2009    105-109             141.34           14.73          156.07
2000-2009    110+                  0.00            0.00            0.00
2010-2016        0               689.00          833.00         1522.00
2010-2016      1-4               128.00          160.00          288.00
2010-2016      5-9                80.00          126.00          206.00
2010-2016     10-14               93.00          109.00          202.00
2010-2016     15-19              230.00          457.00          687.00
2010-2016     20-24              284.00          783.00         1067.00
2010-2016     25-29              369.00          995.00         1364.00
2010-2016     30-34              540.00         1124.00         1664.00
2010-2016     35-39              784.00         1390.00         2174.00
2010-2016     40-44             1190.00         1957.00         3147.00
2010-2016     45-49             1762.00         2700.00         4462.00
2010-2016     50-54             2585.00         3897.00         6482.00
2010-2016     55-59             3511.00         5400.00         8911.00
2010-2016     60-64             4805.00         7597.00        12402.00
2010-2016     65-69             6368.00        10246.00        16614.00
2010-2016     70-74             8439.00        12762.00        21201.00
2010-2016     75-79            12396.00        16687.00        29083.00
2010-2016     80-84            20016.00        22392.00        42408.00
2010-2016     85-89            28460.00        23122.00        51582.00
2010-2016     90-94            24654.00        13741.00        38395.00
2010-2016     95-99            10461.00         4093.00        14554.00
2010-2016    100-104            2126.56          519.19         2645.75
2010-2016    105-109             145.43           21.81          167.24
2010-2016    110+                  0.00            0.00            0.00
