VIC,  Deaths (Lexis triangle)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971      436.61      505.98      942.59
 1971    0      1970       71.39       83.02      154.41
 1971    1      1970       19.12       19.51       38.63
 1971    1      1969       15.88       16.49       32.37
 1971    2      1969       14.97       11.67       26.64
 1971    2      1968       13.03       10.33       23.36
 1971    3      1968        7.07       13.56       20.63
 1971    3      1967        5.93       11.44       17.37
 1971    4      1967        7.51       10.66       18.17
 1971    4      1966        6.49        9.34       15.83
 1971    5      1966        4.70        9.98       14.68
 1971    5      1965        4.30        9.02       13.32
 1971    6      1965        6.74        8.81       15.55
 1971    6      1964        6.26        8.19       14.45
 1971    7      1964        5.72       11.46       17.18
 1971    7      1963        5.28       10.54       15.82
 1971    8      1963        6.74        4.72       11.46
 1971    8      1962        6.26        4.28       10.54
 1971    9      1962        2.60        9.42       12.02
 1971    9      1961        2.40        8.58       10.98
 1971   10      1961        0.51        7.24        7.75
 1971   10      1960        0.49        6.76        7.25
 1971   11      1960        3.07        5.16        8.23
 1971   11      1959        2.93        4.84        7.77
 1971   12      1959        4.57        7.72       12.29
 1971   12      1958        4.43        7.28       11.71
 1971   13      1958        6.08        4.12       10.20
 1971   13      1957        5.92        3.88        9.80
 1971   14      1957        5.13        4.65        9.78
 1971   14      1956        4.87        4.35        9.22
 1971   15      1956        6.13       13.27       19.40
 1971   15      1955        5.87       12.73       18.60
 1971   16      1955        6.14       11.17       17.31
 1971   16      1954        5.86       10.83       16.69
 1971   17      1954        7.11       24.37       31.48
 1971   17      1953        6.89       23.63       30.52
 1971   18      1953       10.10       31.65       41.75
 1971   18      1952        9.90       31.35       41.25
 1971   19      1952       17.09       31.26       48.35
 1971   19      1951       15.91       29.74       45.65
 1971   20      1951       11.84       37.43       49.27
 1971   20      1950       11.16       33.57       44.73
 1971   21      1950        8.91       32.62       41.53
 1971   21      1949        8.09       28.38       36.47
 1971   22      1949        7.72       30.08       37.80
 1971   22      1948        7.28       26.92       34.20
 1971   23      1948        9.17       24.85       34.02
 1971   23      1947        8.83       23.15       31.98
 1971   24      1947       11.35       28.93       40.28
 1971   24      1946       10.65       26.07       36.72
 1971   25      1946        9.66       17.63       27.29
 1971   25      1945        8.34       14.37       22.71
 1971   26      1945       10.95       14.51       25.46
 1971   26      1944       10.05       12.49       22.54
 1971   27      1944        5.15       21.19       26.34
 1971   27      1943        4.85       18.81       23.66
 1971   28      1943        4.24       19.01       23.25
 1971   28      1942        3.76       15.99       19.75
 1971   29      1942        8.38       12.84       21.22
 1971   29      1941        7.62       11.16       18.78
 1971   30      1941        7.91       20.42       28.33
 1971   30      1940        7.09       17.58       24.67
 1971   31      1940       11.54       22.83       34.37
 1971   31      1939       10.46       20.17       30.63
 1971   32      1939        8.25       17.84       26.09
 1971   32      1938        7.75       16.16       23.91
 1971   33      1938        8.79       16.91       25.70
 1971   33      1937        8.21       15.09       23.30
 1971   34      1937        9.37       12.68       22.05
 1971   34      1936        8.63       11.32       19.95
 1971   35      1936        8.27       23.98       32.25
 1971   35      1935        7.73       22.02       29.75
 1971   36      1935       12.80       22.63       35.43
 1971   36      1934       12.20       21.37       33.57
 1971   37      1934       11.19       18.36       29.55
 1971   37      1933       10.81       17.64       28.45
 1971   38      1933       13.48       24.40       37.88
 1971   38      1932       12.52       22.60       35.12
 1971   39      1932       13.35       21.81       35.16
 1971   39      1931       13.65       22.19       35.84
 1971   40      1931       14.85       26.18       41.03
 1971   40      1930       15.15       26.82       41.97
 1971   41      1930       16.35       30.30       46.65
 1971   41      1929       15.65       29.70       45.35
 1971   42      1929       27.35       35.33       62.68
 1971   42      1928       26.65       34.67       61.32
 1971   43      1928       26.44       39.99       66.43
 1971   43      1927       25.56       39.01       64.57
 1971   44      1927       28.57       52.27       80.84
 1971   44      1926       27.43       50.73       78.16
 1971   45      1926       32.13       57.23       89.36
 1971   45      1925       30.87       56.77       87.64
 1971   46      1925       37.12       68.38      105.50
 1971   46      1924       35.88       66.62      102.50
 1971   47      1924       43.28       62.12      105.40
 1971   47      1923       40.72       60.88      101.60
 1971   48      1923       43.29       78.13      121.42
 1971   48      1922       41.71       76.87      118.58
 1971   49      1922       44.24       92.30      136.54
 1971   49      1921       41.76       88.70      130.46
 1971   50      1921       48.23       82.42      130.65
 1971   50      1920       46.77       81.58      128.35
 1971   51      1920       48.67       94.39      143.06
 1971   51      1919       42.33       83.61      125.94
 1971   52      1919       43.36       87.63      130.99
 1971   52      1918       41.64       85.37      127.01
 1971   53      1918       51.10       88.11      139.21
 1971   53      1917       49.90       89.89      139.79
 1971   54      1917       44.13      114.94      159.07
 1971   54      1916       43.87      114.06      157.93
 1971   55      1916       61.43      111.46      172.89
 1971   55      1915       60.57      109.54      170.11
 1971   56      1915       66.11      122.83      188.94
 1971   56      1914       64.89      123.17      188.06
 1971   57      1914       62.38      132.92      195.30
 1971   57      1913       59.62      129.08      188.70
 1971   58      1913       64.70      157.56      222.26
 1971   58      1912       62.30      152.44      214.74
 1971   59      1912       71.53      167.68      239.21
 1971   59      1911       64.47      155.32      219.79
 1971   60      1911       72.29      160.02      232.31
 1971   60      1910       70.71      156.98      227.69
 1971   61      1910       93.01      156.48      249.49
 1971   61      1909       90.99      153.52      244.51
 1971   62      1909      103.63      184.75      288.38
 1971   62      1908      101.37      181.25      282.62
 1971   63      1908      100.60      186.77      287.37
 1971   63      1907       98.40      183.23      281.63
 1971   64      1907      101.61      198.38      299.99
 1971   64      1906       99.39      194.62      294.01
 1971   65      1906      121.84      204.55      326.39
 1971   65      1905      121.16      202.45      323.61
 1971   66      1905      110.81      220.13      330.94
 1971   66      1904      110.19      217.87      328.06
 1971   67      1904      125.35      218.12      343.47
 1971   67      1903      124.65      215.88      340.53
 1971   68      1903      118.33      227.67      346.00
 1971   68      1902      117.67      225.33      343.00
 1971   69      1902      134.38      245.76      380.14
 1971   69      1901      133.62      243.24      376.86
 1971   70      1901      160.12      236.82      396.94
 1971   70      1900      160.88      236.18      397.06
 1971   71      1900      174.58      237.83      412.41
 1971   71      1899      175.42      237.17      412.59
 1971   72      1899      168.60      224.31      392.91
 1971   72      1898      169.40      223.69      393.09
 1971   73      1898      169.59      189.76      359.35
 1971   73      1897      170.41      189.24      359.65
 1971   74      1897      202.52      212.79      415.31
 1971   74      1896      203.48      212.21      415.69
 1971   75      1896      220.18      235.64      455.82
 1971   75      1895      223.82      237.36      461.18
 1971   76      1895      217.70      245.61      463.31
 1971   76      1894      221.30      247.39      468.69
 1971   77      1894      212.25      199.77      412.02
 1971   77      1893      215.75      201.23      416.98
 1971   78      1893      241.51      221.19      462.70
 1971   78      1892      245.49      222.81      468.30
 1971   79      1892      245.47      198.78      444.25
 1971   79      1891      249.53      200.22      449.75
 1971   80      1891      252.86      201.55      454.41
 1971   80      1890      257.14      202.45      459.59
 1971   81      1890      217.66      190.08      407.74
 1971   81      1889      221.34      190.92      412.26
 1971   82      1889      234.52      174.11      408.63
 1971   82      1888      238.48      174.89      413.37
 1971   83      1888      212.21      162.14      374.35
 1971   83      1887      215.79      162.86      378.65
 1971   84      1887      215.18      154.65      369.83
 1971   84      1886      218.82      155.35      374.17
 1971   85      1886      205.08      116.54      321.62
 1971   85      1885      204.92      114.46      319.38
 1971   86      1885      202.08      125.11      327.19
 1971   86      1884      201.92      122.89      324.81
 1971   87      1884      161.57      103.92      265.49
 1971   87      1883      161.43      102.08      263.51
 1971   88      1883      136.06       85.76      221.82
 1971   88      1882      135.94       84.24      220.18
 1971   89      1882      117.05       64.07      181.12
 1971   89      1881      116.95       62.93      179.88
 1971   90      1881      112.20       38.93      151.13
 1971   90      1880      108.80       37.07      145.87
 1971   91      1880       88.34       38.93      127.27
 1971   91      1879       85.66       37.07      122.73
 1971   92      1879       62.96       30.73       93.69
 1971   92      1878       61.04       29.27       90.31
 1971   93      1878       49.25       31.76       81.01
 1971   93      1877       47.75       30.24       77.99
 1971   94      1877       46.20       18.95       65.15
 1971   94      1876       44.80       18.05       62.85
 1971   95      1876       39.85       18.35       58.20
 1971   95      1875       37.15       16.65       53.80
 1971   96      1875       23.81        9.44       33.25
 1971   96      1874       22.19        8.56       30.75
 1971   97      1874       18.11        4.20       22.31
 1971   97      1873       16.89        3.80       20.69
 1971   98      1873       11.90        3.67       15.57
 1971   98      1872       11.10        3.33       14.43
 1971   99      1872        8.28        3.15       11.43
 1971   99      1871        7.72        2.85       10.57
 1971  100      1871        4.22        1.82        6.04
 1971  100      1870        3.30        1.42        4.72
 1971  101      1870        2.56        1.10        3.66
 1971  101      1869        1.97        0.85        2.82
 1971  102      1869        1.50        0.65        2.15
 1971  102      1868        1.14        0.49        1.63
 1971  103      1868        0.85        0.37        1.22
 1971  103      1867        0.64        0.28        0.92
 1971  104      1867        0.47        0.00        0.47
 1971  104      1866        0.35        0.00        0.35
 1971  105      1866        0.00        0.00        0.00
 1971  105      1865        0.00        0.00        0.00
 1971  106      1865        0.00        0.00        0.00
 1971  106      1864        0.00        0.00        0.00
 1971  107      1864        0.00        0.00        0.00
 1971  107      1863        0.00        0.00        0.00
 1971  108      1863        0.00        0.00        0.00
 1971  108      1862        0.00        0.00        0.00
 1971  109      1862        0.00        0.00        0.00
 1971  109      1861        0.00        0.00        0.00
 1971  110+        .        0.00        0.00        0.00
 1972    0      1972      381.26      497.61      878.87
 1972    0      1971       67.74       91.39      159.13
 1972    1      1971       14.75       28.77       43.52
 1972    1      1970       12.25       24.23       36.48
 1972    2      1970       10.23       20.27       30.50
 1972    2      1969        8.77       17.73       26.50
 1972    3      1969        7.50       11.14       18.64
 1972    3      1968        6.50        9.86       16.36
 1972    4      1968        9.81       13.55       23.36
 1972    4      1967        8.19       11.45       19.64
 1972    5      1967        6.84        8.44       15.28
 1972    5      1966        6.16        7.56       13.72
 1972    6      1966        8.89        7.35       16.24
 1972    6      1965        8.11        6.65       14.76
 1972    7      1965        5.19        8.29       13.48
 1972    7      1964        4.81        7.71       12.52
 1972    8      1964        4.69        7.29       11.98
