VIC, Life expectancy at birth (period, 1x1)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1971        75.24    68.61    71.83
  1972        75.79    69.21    72.43
  1973        75.77    69.31    72.47
  1974        75.94    69.21    72.50
  1975        76.76    70.03    73.33
  1976        76.67    70.01    73.26
  1977        77.48    70.43    73.88
  1978        77.78    70.90    74.29
  1979        78.11    70.98    74.49
  1980        78.28    71.36    74.77
  1981        78.56    71.99    75.26
  1982        78.38    71.63    74.97
  1983        78.96    72.46    75.71
  1984        79.35    72.84    76.09
  1985        78.84    72.73    75.78
  1986        79.51    73.28    76.40
  1987        79.43    73.13    76.26
  1988        79.95    73.64    76.80
  1989        79.72    73.64    76.67
  1990        80.29    74.34    77.33
  1991        80.52    74.63    77.59
  1992        80.79    74.81    77.81
  1993        81.17    75.38    78.30
  1994        81.11    75.61    78.38
  1995        81.36    75.64    78.52
  1996        81.57    75.99    78.80
  1997        81.49    76.08    78.81
  1998        82.07    76.88    79.52
  1999        82.40    77.05    79.77
  2000        82.63    77.59    80.16
  2001        82.83    77.93    80.43
  2002        82.75    77.84    80.34
  2003        83.22    78.34    80.82
  2004        83.60    78.97    81.34
  2005        83.69    79.30    81.55
  2006        83.92    79.60    81.81
  2007        84.02    79.86    81.99
  2008        83.99    79.67    81.86
  2009        84.25    79.82    82.06
  2010        84.59    80.36    82.51
  2011        84.59    80.46    82.56
  2012        84.96    81.36    83.21
  2013        85.23    81.57    83.44
  2014        85.02    81.19    83.14
  2015        84.93    81.21    83.09
  2016        85.19    81.48    83.36
  2017        85.04    81.49    83.29
  2018        85.60    81.95    83.81
  2019        85.79    81.73    83.78
  2020        85.94    82.18    84.09
