VIC,  Exposures (Lexis triangle)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971    17982.27    18725.83    36708.10
 1971    0      1970    17539.06    18130.13    35669.19
 1971    1      1970    18075.19    18473.25    36548.44
 1971    1      1969    17404.59    18148.42    35553.02
 1971    2      1969    17236.50    17970.95    35207.44
 1971    2      1968    17227.57    18036.92    35264.49
 1971    3      1968    17722.68    18491.76    36214.44
 1971    3      1967    16691.01    17533.91    34224.91
 1971    4      1967    16833.75    17665.78    34499.53
 1971    4      1966    16371.69    17055.86    33427.55
 1971    5      1966    16642.28    17407.16    34049.45
 1971    5      1965    16315.12    17063.87    33378.99
 1971    6      1965    16200.62    16742.47    32943.09
 1971    6      1964    16586.37    17627.06    34213.43
 1971    7      1964    16520.95    17464.91    33985.86
 1971    7      1963    16853.84    17878.72    34732.56
 1971    8      1963    16747.62    17879.29    34626.91
 1971    8      1962    17025.29    17931.64    34956.93
 1971    9      1962    17041.43    18010.07    35051.50
 1971    9      1961    17122.81    17928.09    35050.89
 1971   10      1961    17060.09    17963.71    35023.79
 1971   10      1960    16866.12    17613.95    34480.08
 1971   11      1960    17263.01    18061.36    35324.37
 1971   11      1959    16613.07    17465.20    34078.27
 1971   12      1959    16552.76    17384.29    33937.05
 1971   12      1958    16508.15    17344.04    33852.18
 1971   13      1958    16768.01    17730.19    34498.20
 1971   13      1957    16146.83    16918.07    33064.90
 1971   14      1957    16275.36    17020.28    33295.63
 1971   14      1956    15888.65    16722.45    32611.10
 1971   15      1956    16016.52    16767.71    32784.23
 1971   15      1955    15636.40    16306.53    31942.93
 1971   16      1955    15763.52    16618.86    32382.39
 1971   16      1954    15283.81    15896.08    31179.89
 1971   17      1954    15636.69    16046.06    31682.75
 1971   17      1953    15204.56    15804.20    31008.76
 1971   18      1953    15224.68    15868.28    31092.96
 1971   18      1952    15077.33    15484.54    30561.87
 1971   19      1952    15588.85    15984.21    31573.06
 1971   19      1951    14989.74    15345.86    30335.60
 1971   20      1951    15028.47    15387.24    30415.71
 1971   20      1950    15196.45    15395.67    30592.12
 1971   21      1950    15382.99    15698.44    31081.42
 1971   21      1949    14998.45    14929.40    29927.85
 1971   22      1949    15367.79    15410.51    30778.30
 1971   22      1948    15130.18    15012.52    30142.71
 1971   23      1948    14909.53    14853.64    29763.17
 1971   23      1947    16008.93    16174.59    32183.53
 1971   24      1947    15755.89    15585.82    31341.71
 1971   24      1946    15231.44    15637.84    30869.28
 1971   25      1946    16799.61    17063.44    33863.05
 1971   25      1945    13587.45    14055.38    27642.83
 1971   26      1945    13953.33    14457.92    28411.24
 1971   26      1944    13083.96    13558.39    26642.35
 1971   27      1944    13231.86    13838.53    27070.39
 1971   27      1943    12419.74    12981.27    25401.01
 1971   28      1943    12984.21    13374.67    26358.88
 1971   28      1942    11961.82    12641.84    24603.66
 1971   29      1942    12010.40    12751.64    24762.04
 1971   29      1941    11757.48    12599.95    24357.43
 1971   30      1941    12013.32    12647.90    24661.22
 1971   30      1940    11240.95    12232.35    23473.30
 1971   31      1940    11589.92    12596.81    24186.73
 1971   31      1939    11032.79    11848.82    22881.61
 1971   32      1939    11062.88    11974.97    23037.85
 1971   32      1938    10962.91    11555.61    22518.52
 1971   33      1938    11115.97    11776.82    22892.78
 1971   33      1937    10673.74    11176.09    21849.83
 1971   34      1937    10955.56    11422.11    22377.68
 1971   34      1936    10674.13    11157.26    21831.39
 1971   35      1936    10619.88    11161.00    21780.88
 1971   35      1935    10536.49    10987.04    21523.53
 1971   36      1935    10875.13    11308.77    22183.91
 1971   36      1934    10099.17    10546.31    20645.48
 1971   37      1934    10140.37    10600.06    20740.43
 1971   37      1933     9984.79    10543.01    20527.79
 1971   38      1933     9927.25    10472.07    20399.31
 1971   38      1932    10059.47    10700.45    20759.92
 1971   39      1932    10028.73    10681.14    20709.86
 1971   39      1931    10627.94    11276.43    21904.37
 1971   40      1931     9998.48    10678.86    20677.34
 1971   40      1930    10707.26    11532.60    22239.86
 1971   41      1930    11122.73    11745.05    22867.78
 1971   41      1929    10599.06    11465.16    22064.22
 1971   42      1929    10314.56    11260.89    21575.45
 1971   42      1928    10988.63    11792.96    22781.59
 1971   43      1928    10918.91    11637.67    22556.57
 1971   43      1927    10819.06    11546.65    22365.71
 1971   44      1927    10943.26    11798.21    22741.47
 1971   44      1926    10992.88    11645.49    22638.36
 1971   45      1926    10691.86    11276.54    21968.39
 1971   45      1925    11259.01    11703.24    22962.25
 1971   46      1925    11345.19    12060.90    23406.08
 1971   46      1924    10954.18    11286.92    22241.10
 1971   47      1924    11016.21    11198.85    22215.07
 1971   47      1923    10744.48    11036.20    21780.69
 1971   48      1923    10726.22    11222.52    21948.74
 1971   48      1922    10688.25    10886.91    21575.17
 1971   49      1922    10728.37    10746.38    21474.76
 1971   49      1921    10852.47    11052.12    21904.59
 1971   50      1921    10534.04    10840.24    21374.28
 1971   50      1920    10245.04    10357.02    20602.06
 1971   51      1920    10895.61    10974.73    21870.34
 1971   51      1919     9000.83     9037.76    18038.60
 1971   52      1919     9431.23     9517.11    18948.33
 1971   52      1918     8560.21     8437.37    16997.58
 1971   53      1918     8525.02     8387.69    16912.70
 1971   53      1917     8562.86     8476.95    17039.81
 1971   54      1917     8442.86     8280.16    16723.01
 1971   54      1916     8636.62     8464.86    17101.48
 1971   55      1916     8589.74     8519.58    17109.31
 1971   55      1915     8805.99     8489.60    17295.58
 1971   56      1915     8653.02     8263.97    16916.99
