PopCode,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
VIC,7,f,1911,1911,2,O,16092,.,.,.,1
VIC,7,f,1912,1912,2,O,17570,.,.,.,1
VIC,7,f,1913,1913,2,O,17536,.,.,.,1
VIC,7,f,1914,1914,2,O,17677,.,.,.,1
VIC,7,f,1915,1915,2,O,17189,.,.,.,1
VIC,7,f,1916,1916,2,O,16612,.,.,.,1
VIC,7,f,1917,1917,2,O,15813,.,.,.,1
VIC,7,f,1918,1918,2,O,15425,.,.,.,1
VIC,7,f,1919,1919,2,O,15394,.,.,.,1
VIC,7,f,1920,1920,2,O,17566,.,.,.,1
VIC,7,f,1921,1921,2,O,17303,.,.,.,1
VIC,7,f,1922,1922,2,O,17550,.,.,.,1
VIC,7,f,1923,1923,2,O,17312,.,.,.,1
VIC,7,f,1924,1924,2,O,17640,.,.,.,1
VIC,7,f,1925,1925,2,O,17330,.,.,.,1
VIC,7,f,1926,1926,2,O,17159,.,.,.,1
VIC,7,f,1927,1927,2,O,17006,.,.,.,1
VIC,7,f,1928,1928,2,O,16693,.,.,.,1
VIC,7,f,1929,1929,2,O,16210,.,.,.,1
VIC,7,f,1930,1930,2,O,16112,.,.,.,1
VIC,7,f,1931,1931,2,O,14700,.,.,.,1
VIC,7,f,1932,1932,2,O,13388,.,.,.,1
VIC,7,f,1933,1933,2,O,13901,.,.,.,1
VIC,7,f,1934,1934,2,O,13670,.,.,.,1
VIC,7,f,1935,1935,2,O,13690,.,.,.,1
VIC,7,f,1936,1936,2,O,14087,.,.,.,1
VIC,7,f,1937,1937,2,O,14522,.,.,.,1
VIC,7,f,1938,1938,2,O,14708,.,.,.,1
VIC,7,f,1939,1939,2,O,14765,.,.,.,1
VIC,7,f,1940,1940,2,O,15569,.,.,.,1
VIC,7,f,1941,1941,2,O,16658,.,.,.,1
VIC,7,f,1942,1942,2,O,17525,.,.,.,1
VIC,7,f,1943,1943,2,O,19106,.,.,.,1
VIC,7,f,1944,1944,2,O,19216,.,.,.,1
VIC,7,f,1945,1945,2,O,19994,.,.,.,1
VIC,7,f,1946,1946,2,O,22574,.,.,.,1
VIC,7,f,1947,1947,2,O,22975,.,.,.,1
VIC,7,f,1948,1948,2,O,22579,.,.,.,1
VIC,7,f,1949,1949,2,O,22846,.,.,.,1
VIC,7,f,1950,1950,2,O,24276,.,.,.,1
VIC,7,f,1951,1951,2,O,24534,.,.,.,1
VIC,7,f,1952,1952,2,O,26266,.,.,.,1
VIC,7,f,1953,1953,2,O,26193,.,.,.,1
VIC,7,f,1954,1954,2,O,26548,.,.,.,1
VIC,7,f,1955,1955,2,O,27448,.,.,.,1
VIC,7,f,1956,1956,2,O,28278,.,.,.,1
VIC,7,f,1957,1957,2,O,29496,.,.,.,1
VIC,7,f,1958,1958,2,O,29752,.,.,.,1
VIC,7,f,1959,1959,2,O,30204,.,.,.,1
VIC,7,f,1960,1960,2,O,31200,.,.,.,1
VIC,7,f,1961,1961,2,O,32011,.,.,.,1
VIC,7,f,1962,1962,2,O,32014,.,.,.,1
VIC,7,f,1963,1963,2,O,31661,.,.,.,1
VIC,7,f,1964,1964,2,O,31479,.,.,.,1
VIC,7,f,1965,1965,2,O,31056,.,.,.,1
VIC,7,f,1966,1966,2,O,31226,.,.,.,1
VIC,7,f,1967,1967,2,O,31956,.,.,.,1
VIC,7,f,1968,1968,2,O,34083,.,.,.,1
VIC,7,f,1969,1969,2,O,34614,.,.,.,1
VIC,7,f,1970,1970,2,O,35669,.,.,.,1
VIC,7,f,1971,1971,2,O,37066,.,.,.,1
VIC,7,f,1972,1972,2,O,34919,.,.,.,1
VIC,7,f,1973,1973,2,O,32553,.,.,.,1
VIC,7,f,1974,1974,2,O,32107,.,.,.,1
VIC,7,f,1975,1975,2,O,29913,.,.,.,1
VIC,7,f,1976,1976,2,O,29456,.,.,.,1
VIC,7,f,1977,1977,2,O,28577,.,.,.,1
VIC,7,f,1978,1978,2,O,28551,.,.,.,1
VIC,7,f,1979,1979,2,O,27985,.,.,.,1
VIC,7,f,1980,1980,2,O,28251,.,.,.,1
VIC,7,f,1981,1981,2,O,29016,.,.,.,1
VIC,7,f,1982,1982,2,O,29174,.,.,.,1
VIC,7,f,1983,1983,2,O,29233,.,.,.,1
VIC,7,f,1984,1984,2,O,29081,.,.,.,1
VIC,7,f,1985,1985,2,O,30058,.,.,.,1
VIC,7,f,1986,1986,2,O,29307,.,.,.,1
VIC,7,f,1987,1987,2,O,29902,.,.,.,1
VIC,7,f,1988,1988,2,O,30446,.,.,.,1
VIC,7,f,1989,1989,2,O,31161,.,.,.,1
VIC,7,f,1990,1990,2,O,32613,.,.,.,1
VIC,7,f,1991,1991,2,O,31802,.,.,.,1
VIC,7,f,1992,1992,2,O,32075,.,.,.,1
VIC,7,f,1993,1993,2,O,31256,.,.,.,1
VIC,7,f,1994,1994,2,O,31070,.,.,.,1
VIC,7,f,1995,1995,2,O,30483,.,.,.,1
VIC,7,f,1996,1996,2,O,29556,.,.,.,1
VIC,7,f,1997,1997,2,O,29484,.,.,.,1
VIC,7,f,1998,1998,2,O,29189,.,.,.,1
VIC,7,f,1999,1999,2,O,28774,.,.,.,1
VIC,7,f,2000,2000,2,O,28845,.,.,.,1
VIC,7,f,2001,2001,2,O,28683,.,.,.,1
VIC,7,f,2002,2002,2,O,29873,.,.,.,1
VIC,7,f,2003,2003,2,O,29801,.,.,.,1
VIC,7,f,2004,2004,2,O,30492,.,.,.,1
VIC,7,f,2005,2005,2,O,30985,.,.,.,1
VIC,7,f,2006,2006,2,O,31706,.,.,.,1
VIC,7,f,2007,2007,2,O,34204,.,.,.,1
VIC,7,f,2008,2008,2,O,34398,.,.,.,1
VIC,7,f,2009,2009,2,O,34644,.,.,.,1
VIC,7,f,2010,2010,2,O,34431,.,.,.,1
VIC,7,f,2011,2011,2,O,34544,.,.,.,1
VIC,7,f,2012,2012,2,O,37749,.,.,.,1
VIC,7,f,2013,2013,2,O,35913,.,.,.,1
VIC,7,f,2014,2014,2,O,36167,.,.,.,1
VIC,7,f,2015,2015,2,O,35736,.,.,.,1
VIC,7,f,2016,2016,2,O,40454,.,.,.,1
VIC,7,f,2017,2017,2,O,39786,.,.,.,1
VIC,7,f,2018,2018,2,O,38134,.,.,.,1
VIC,7,f,2019,2019,2,O,37519,.,.,.,1
VIC,7,f,2020,2020,2,O,35845,.,.,.,1
VIC,7,f,2021,2021,2,O,36912,.,.,.,1
VIC,7,m,1911,1911,2,O,16934,.,.,.,1
VIC,7,m,1912,1912,2,O,18226,.,.,.,1
VIC,7,m,1913,1913,2,O,18434,.,.,.,1
VIC,7,m,1914,1914,2,O,18545,.,.,.,1
VIC,7,m,1915,1915,2,O,17820,.,.,.,1
VIC,7,m,1916,1916,2,O,17623,.,.,.,1
VIC,7,m,1917,1917,2,O,17220,.,.,.,1
VIC,7,m,1918,1918,2,O,16172,.,.,.,1
VIC,7,m,1919,1919,2,O,16225,.,.,.,1
VIC,7,m,1920,1920,2,O,18647,.,.,.,1
VIC,7,m,1921,1921,2,O,18288,.,.,.,1
VIC,7,m,1922,1922,2,O,18738,.,.,.,1
VIC,7,m,1923,1923,2,O,18565,.,.,.,1
VIC,7,m,1924,1924,2,O,18500,.,.,.,1
VIC,7,m,1925,1925,2,O,18592,.,.,.,1
VIC,7,m,1926,1926,2,O,18203,.,.,.,1
