VIC, Death rates (period 5x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             0.011630        0.014424        0.013062
1971-1979      1-4             0.000534        0.000734        0.000637
1971-1979      5-9             0.000269        0.000383        0.000327
1971-1979     10-14            0.000212        0.000367        0.000291
1971-1979     15-19            0.000494        0.001290        0.000901
1971-1979     20-24            0.000502        0.001624        0.001067
1971-1979     25-29            0.000502        0.001147        0.000826
1971-1979     30-34            0.000680        0.001201        0.000947
1971-1979     35-39            0.000971        0.001773        0.001381
1971-1979     40-44            0.001729        0.003009        0.002386
1971-1979     45-49            0.003002        0.005399        0.004231
1971-1979     50-54            0.004667        0.008902        0.006805
1971-1979     55-59            0.007277        0.014614        0.010892
1971-1979     60-64            0.011398        0.023438        0.017164
1971-1979     65-69            0.018128        0.036991        0.026874
1971-1979     70-74            0.030526        0.057401        0.042139
1971-1979     75-79            0.053463        0.090604        0.067519
1971-1979     80-84            0.091975        0.138501        0.107171
1971-1979     85-89            0.152208        0.205517        0.167678
1971-1979     90-94            0.229720        0.283040        0.242810
1971-1979     95-99            0.347523        0.410466        0.361339
1971-1979    100-104           0.510269        0.681755        0.543016
1971-1979    105-109           1.724138              .        1.724138
1971-1979    110+                    .              .              .
1980-1989        0             0.007789        0.009835        0.008835
1980-1989      1-4             0.000361        0.000507        0.000436
1980-1989      5-9             0.000173        0.000268        0.000222
1980-1989     10-14            0.000151        0.000296        0.000225
1980-1989     15-19            0.000376        0.000978        0.000684
1980-1989     20-24            0.000494        0.001443        0.000973
1980-1989     25-29            0.000474        0.001254        0.000865
1980-1989     30-34            0.000553        0.001243        0.000898
1980-1989     35-39            0.000783        0.001328        0.001057
1980-1989     40-44            0.001201        0.002100        0.001658
1980-1989     45-49            0.002105        0.003654        0.002896
1980-1989     50-54            0.003652        0.006557        0.005133
1980-1989     55-59            0.005827        0.011242        0.008555
1980-1989     60-64            0.009044        0.018120        0.013434
1980-1989     65-69            0.014704        0.029292        0.021456
1980-1989     70-74            0.024893        0.046901        0.034511
1980-1989     75-79            0.042353        0.074323        0.055248
1980-1989     80-84            0.075180        0.118707        0.090218
1980-1989     85-89            0.128833        0.180123        0.142996
1980-1989     90-94            0.211378        0.270807        0.224579
1980-1989     95-99            0.309219        0.361315        0.318946
1980-1989    100-104           0.428121        0.519121        0.441826
1980-1989    105-109           0.743309        1.208451        0.757451
1980-1989    110+                    .              .              .
1990-1999        0             0.004991        0.006232        0.005628
1990-1999      1-4             0.000272        0.000357        0.000315
1990-1999      5-9             0.000119        0.000163        0.000141
1990-1999     10-14            0.000150        0.000197        0.000174
1990-1999     15-19            0.000295        0.000749        0.000527
1990-1999     20-24            0.000397        0.001165        0.000785
1990-1999     25-29            0.000402        0.001185        0.000791
1990-1999     30-34            0.000523        0.001218        0.000868
1990-1999     35-39            0.000700        0.001319        0.001008
1990-1999     40-44            0.001070        0.001820        0.001442
1990-1999     45-49            0.001578        0.002622        0.002100
1990-1999     50-54            0.002614        0.004256        0.003443
1990-1999     55-59            0.004248        0.007490        0.005880
1990-1999     60-64            0.006951        0.013351        0.010120
1990-1999     65-69            0.011747        0.022319        0.016829
1990-1999     70-74            0.019624        0.036243        0.027139
1990-1999     75-79            0.034920        0.059092        0.044993
1990-1999     80-84            0.064011        0.099363        0.077027
