VIC, Population size (abridged)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             35101.91        36287.94        71389.85
  1971           1             34814.48        36302.34        71116.82
  1971           2             34459.48        36077.28        70536.76
  1971           3             33383.99        35071.63        68455.62
  1971           4             32745.54        34114.83        66860.37
  1971           5             32631.68        34130.74        66762.42
  1971           6             33174.82        35256.86        68431.68
  1971           7             33709.44        35760.96        69470.40
  1971           8             34052.67        35864.71        69917.38
  1971           9             34246.41        35859.03        70105.44
  1971          10             33732.41        35230.16        68962.57
  1971          11             33227.12        34932.02        68159.14
  1971          12             33017.77        34690.50        67708.27
  1971          13             32295.63        33837.44        66133.07
  1971          14             31778.93        33446.34        65225.27
  1971          15             31274.75        32617.30        63892.05
  1971          16             30569.58        31795.76        62365.34
  1971          17             30411.42        31616.28        62027.70
  1971          18             30157.96        30979.53        61137.49
  1971          19             29984.78        30701.64        60686.42
  1971          20             30396.62        30802.53        61199.15
  1971          21             29999.59        29868.26        59867.85
  1971          22             30262.79        30034.02        60296.81
  1971          23             32020.81        32356.90        64377.71
  1971          24             30466.43        31284.36        61750.79
  1971          25             27177.68        28115.54        55293.22
  1971          26             26171.26        27120.95        53292.21
  1971          27             24841.10        25968.80        50809.90
  1971          28             23924.90        25289.00        49213.90
  1971          29             23517.49        25203.62        48721.11
  1971          30             22484.27        24470.56        46954.83
  1971          31             22069.06        23704.37        45773.43
  1971          32             21928.40        23116.60        45045.00
  1971          33             21350.22        22357.20        43707.42
  1971          34             21351.14        22318.30        43669.44
  1971          35             21075.56        21981.42        43056.98
  1971          36             20202.40        21099.74        41302.14
  1971          37             19973.18        21091.89        41065.07
  1971          38             20123.11        21408.43        41531.54
  1971          39             21260.43        22560.25        43820.68
  1971          40             21419.57        23074.13        44493.70
  1971          41             21203.33        22940.22        44143.55
  1971          42             21986.14        23597.48        45583.62
  1971          43             21646.64        23106.31        44752.95
  1971          44             21994.90        23307.88        45302.78
  1971          45             22528.31        23425.40        45953.71
  1971          46             21920.31        22596.05        44516.36
  1971          47             21502.54        22092.70        43595.24
  1971          48             21390.41        21799.45        43189.86
  1971          49             21718.85        22133.81        43852.66
  1971          50             20505.67        20741.23        41246.90
  1971          51             18015.78        18103.39        36119.17
  1971          52             17134.30        16903.19        34037.49
  1971          53             17142.35        16983.86        34126.21
  1971          54             17287.86        16967.74        34255.60
  1971          55             17632.16        17015.71        34647.87
  1971          56             17772.91        17393.77        35166.68
  1971          57             17196.92        17131.57        34328.49
  1971          58             16477.45        16237.42        32714.87
  1971          59             16608.35        15653.47        32261.82
  1971          60             15872.87        14901.04        30773.91
  1971          61             14732.52        13991.93        28724.45
  1971          62             14697.04        13478.54        28175.58
  1971          63             14157.62        12857.65        27015.27
  1971          64             13630.22        12455.15        26085.37
  1971          65             12897.16        11767.20        24664.36
  1971          66             12033.51        11045.58        23079.09
  1971          67             11761.87        10468.33        22230.20
  1971          68             11323.13         9718.94        21042.07
  1971          69             11449.27         9132.13        20581.40
  1971          70             11473.27         8669.95        20143.22
  1971          71             10087.45         7683.37        17770.82
  1971          72              9142.58         6594.96        15737.54
  1971          73              8984.75         5991.31        14976.06
  1971          74              8815.70         5617.15        14432.85
  1971          75              8475.62         5248.72        13724.34
  1971          76              7701.96         4773.74        12475.70
  1971          77              7171.46         4316.90        11488.36
  1971          78              6786.70         3958.69        10745.39
  1971          79              6341.74         3543.07         9884.81
  1971          80              5913.86         3245.92         9159.78
  1971          81              5260.13         2841.21         8101.34
  1971          82              4567.08         2370.41         6937.49
  1971          83              3867.78         1988.98         5856.76
  1971          84              3202.10         1586.83         4788.93
  1971          85              2730.27         1284.31         4014.58
  1971          86              2357.87         1065.81         3423.68
  1971          87              1942.61          805.61         2748.22
  1971          88              1515.42          602.40         2117.82
  1971          89              1237.13          472.43         1709.56
  1971          90              1020.36          346.46         1366.82
  1971          91               733.15          250.24          983.39
  1971          92               503.74          186.74          690.48
  1971          93               375.32          134.25          509.57
  1971          94               288.34          111.07          399.41
  1971          95               199.01           77.87          276.88
  1971          96               128.04           34.49          162.53
  1971          97                79.80           23.90          103.70
  1971          98                49.71           18.66           68.37
  1971          99                30.67           11.55           42.22
  1971         100                16.03            5.98           22.01
  1971         101                 8.78            3.37           12.15
  1971         102                 4.46            1.49            5.95
  1971         103                 2.02            0.28            2.30
  1971         104                 0.35            0.00            0.35
  1971         105                 0.00            0.00            0.00
  1971         106                 0.00            0.00            0.00
  1971         107                 0.00            0.00            0.00
  1971         108                 0.00            0.00            0.00
  1971         109                 0.00            0.00            0.00
  1971         110+                0.00            0.00            0.00
  1972           0             35819.00        37283.00        73102.00
  1972           1             36144.00        36940.00        73084.00
  1972           2             34468.00        35938.00        70406.00
  1972           3             35443.00        36979.00        72422.00
  1972           4             33665.00        35328.00        68993.00
  1972           5             33283.00        34811.00        68094.00
  1972           6             32399.00        33482.00        65881.00
  1972           7             33040.00        34926.00        67966.00
  1972           8             33493.00        35757.00        69250.00
  1972           9             34082.00        36017.00        70099.00
  1972          10             34120.00        35925.00        70045.00
  1972          11             34525.00        36121.00        70646.00
  1972          12             33104.00        34766.00        67870.00
  1972          13             33534.00        35459.00        68993.00
  1972          14             32549.00        34039.00        66588.00
  1972          15             32031.00        33531.00        65562.00
  1972          16             31525.00        33234.00        64759.00
  1972          17             31271.00        32084.00        63355.00
  1972          18             30446.00        31726.00        62172.00
  1972          19             31172.00        31958.00        63130.00
  1972          20             30053.00        30762.00        60815.00
  1972          21             30763.00        31386.00        62149.00
  1972          22             30733.00        30811.00        61544.00
  1972          23             29816.00        29699.00        59515.00
  1972          24             31508.00        31162.00        62670.00
  1972          25             33596.00        34121.00        67717.00
  1972          26             27903.00        28911.00        56814.00
  1972          27             26462.00        27670.00        54132.00
  1972          28             25967.00        26743.00        52710.00
  1972          29             24018.00        25499.00        49517.00
  1972          30             24024.00        25289.00        49313.00
  1972          31             23176.00        25186.00        48362.00
  1972          32             22123.00        23944.00        46067.00
  1972          33             22229.00        23548.00        45777.00
  1972          34             21908.00        22840.00        44748.00
  1972          35             21237.00        22314.00        43551.00
  1972          36             21746.00        22610.00        44356.00
  1972          37             20277.00        21194.00        41471.00
  1972          38             19850.00        20936.00        40786.00
  1972          39             20053.00        21355.00        41408.00
  1972          40             19992.00        21349.00        41341.00
  1972          41             22240.00        23480.00        45720.00
  1972          42             20620.00        22510.00        43130.00
  1972          43             21829.00        23262.00        45091.00
  1972          44             21877.00        23579.00        45456.00
  1972          45             21373.00        22534.00        43907.00
  1972          46             22678.00        24099.00        46777.00
  1972          47             22018.00        22377.00        44395.00
  1972          48             21438.00        22419.00        43857.00
  1972          49             21442.00        21462.00        42904.00
  1972          50             21052.00        21653.00        42705.00
  1972          51             21775.00        21918.00        43693.00
  1972          52             18848.00        19005.00        37853.00
  1972          53             17033.00        16746.00        33779.00
  1972          54             16871.00        16522.00        33393.00
  1972          55             17159.00        17002.00        34161.00
  1972          56             17284.00        16487.00        33771.00
  1972          57             17646.00        16925.00        34571.00
  1972          58             17496.00        17023.00        34519.00
  1972          59             16664.00        16374.00        33038.00
  1972          60             16045.00        15252.00        31297.00
  1972          61             16759.00        15181.00        31940.00
  1972          62             14459.00        13695.00        28154.00
  1972          63             14436.00        13341.00        27777.00
  1972          64             14265.00        12645.00        26910.00
  1972          65             13439.00        12134.00        25573.00
  1972          66             13240.00        11645.00        24885.00
  1972          67             11978.00        10641.00        22619.00
  1972          68             11542.00        10182.00        21724.00
  1972          69             11326.00         9424.00        20750.00
  1972          70             10601.00         8609.00        19210.00
  1972          71             11530.00         8314.00        19844.00
  1972          72             10603.00         7761.00        18364.00
  1972          73              8723.00         6288.00        15011.00
  1972          74              8579.00         5645.00        14224.00
  1972          75              8312.00         5148.00        13460.00
  1972          76              8140.00         4764.00        12904.00
  1972          77              7507.00         4309.00        11816.00
  1972          78              6648.00         3903.00        10551.00
  1972          79              6458.00         3523.00         9981.00
  1972          80              5958.98         3154.09         9113.07
  1972          81              5439.06         2853.39         8292.45
  1972          82              4804.27         2476.17         7280.44
  1972          83              4116.40         2033.39         6149.79
  1972          84              3436.80         1671.46         5108.26
  1972          85              2778.19         1314.95         4093.14
  1972          86              2323.27         1044.73         3368.00
  1972          87              1994.39          839.00         2833.39
  1972          88              1645.12          617.77         2262.89
  1972          89              1262.43          454.09         1716.52
  1972          90              1007.97          370.57         1378.54
  1972          91               823.22          270.46         1093.68
  1972          92               584.54          182.44          766.98
  1972          93               393.45          125.72          519.17
  1972          94               281.37           85.05          366.42
  1972          95               203.69           74.66          278.35
  1972          96               138.05           51.78          189.83
  1972          97                87.73           21.73          109.46
  1972          98                51.01           16.42           67.43
  1972          99                30.33           12.18           42.51
  1972         100                18.72            6.87           25.59
  1972         101                10.17            3.45           13.62
  1972         102                 5.31            1.87            7.18
  1972         103                 2.46            0.63            3.09
  1972         104                 0.92            0.00            0.92
  1972         105                 0.00            0.00            0.00
  1972         106                 0.00            0.00            0.00
  1972         107                 0.00            0.00            0.00
  1972         108                 0.00            0.00            0.00
  1972         109                 0.00            0.00            0.00
  1972         110+                0.00            0.00            0.00
  1973           0             33274.00        35008.00        68282.00
  1973           1             35785.00        37219.00        73004.00
  1973           2             36474.00        37206.00        73680.00
  1973           3             34606.00        36089.00        70695.00
  1973           4             35434.00        37005.00        72439.00
  1973           5             33682.00        35339.00        69021.00
  1973           6             33214.00        34651.00        67865.00
  1973           7             32468.00        33543.00        66011.00
  1973           8             32968.00        34827.00        67795.00
  1973           9             33567.00        35869.00        69436.00
  1973          10             33981.00        35994.00        69975.00
  1973          11             34158.00        35998.00        70156.00
  1973          12             34489.00        36263.00        70752.00
  1973          13             33182.00        34955.00        68137.00
  1973          14             33521.00        35477.00        68998.00
  1973          15             32527.00        34011.00        66538.00
  1973          16             31979.00        33361.00        65340.00
  1973          17             31551.00        33213.00        64764.00
  1973          18             31532.00        32220.00        63752.00
  1973          19             30798.00        31898.00        62696.00
  1973          20             31458.00        32213.00        63671.00
  1973          21             30384.00        31125.00        61509.00
  1973          22             31055.00        31556.00        62611.00
  1973          23             31014.00        30992.00        62006.00
  1973          24             30014.00        30020.00        60034.00
  1973          25             31917.00        31325.00        63242.00
  1973          26             33555.00        34309.00        67864.00
  1973          27             27927.00        29141.00        57068.00
