VIC, Life tables (period 5x1), Total	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.01516  0.01496  0.12  100000    1496   98681  7182781  71.83
  1971         1-4      0.00068  0.00273  1.70   98504     269  393399  7084100  71.92
  1971         5-9      0.00040  0.00198  2.35   98235     195  490659  6690701  68.11
  1971        10-14     0.00028  0.00138  2.65   98040     136  489883  6200041  63.24
  1971        15-19     0.00099  0.00496  3.04   97905     486  488569  5710158  58.32
  1971        20-24     0.00126  0.00628  2.37   97419     612  485482  5221589  53.60
  1971        25-29     0.00086  0.00429  2.49   96807     415  482992  4736106  48.92
  1971        30-34     0.00113  0.00561  2.39   96392     541  480549  4253114  44.12
  1971        35-39     0.00158  0.00786  2.58   95851     753  477430  3772565  39.36
  1971        40-44     0.00264  0.01311  2.80   95098    1247  472745  3295135  34.65
  1971        45-49     0.00497  0.02456  2.71   93851    2305  463969  2822390  30.07
  1971        50-54     0.00752  0.03698  2.69   91546    3385  449924  2358421  25.76
  1971        55-59     0.01180  0.05740  2.65   88161    5060  428910  1908498  21.65
  1971        60-64     0.01884  0.09023  2.67   83101    7499  398039  1479587  17.80
  1971        65-69     0.03038  0.14163  2.61   75602   10708  352430  1081548  14.31
  1971        70-74     0.04689  0.21047  2.57   64895   13658  291307   729118  11.24
  1971        75-79     0.07700  0.32276  2.50   51236   16537  214772   437812   8.54
  1971        80-84     0.11544  0.44694  2.48   34699   15509  134348   223040   6.43
  1971        85-89     0.18601  0.61521  2.25   19191   11806   63471    88692   4.62
  1971        90-94     0.27022  0.75813  2.11    7384    5598   20718    25221   3.42
  1971        95-99     0.38323  0.87024  1.86    1786    1554    4056     4503   2.52
  1971       100-104    0.51140  0.93649  1.62     232     217     424      447   1.93
  1971       105-109    0.63984  0.96902  1.40      15      14      22       23   1.56
  1971       110+       0.73809  1.00000  1.35       0       0       1        1   1.35
  1972           0      0.01466  0.01447  0.12  100000    1447   98725  7243272  72.43
  1972         1-4      0.00075  0.00298  1.70   98553     294  393537  7144546  72.49
  1972         5-9      0.00038  0.00190  2.29   98259     186  490791  6751009  68.71
  1972        10-14     0.00029  0.00146  2.80   98073     143  490050  6260218  63.83
  1972        15-19     0.00093  0.00466  3.03   97930     457  488747  5770168  58.92
  1972        20-24     0.00110  0.00547  2.49   97473     533  486030  5281421  54.18
  1972        25-29     0.00082  0.00408  2.64   96940     395  483768  4795391  49.47
  1972        30-34     0.00098  0.00491  2.67   96545     474  481617  4311624  44.66
  1972        35-39     0.00150  0.00747  2.74   96071     718  478727  3830007  39.87
  1972        40-44     0.00270  0.01340  2.77   95353    1278  473911  3351279  35.15
  1972        45-49     0.00443  0.02192  2.71   94075    2062  465658  2877368  30.59
  1972        50-54     0.00700  0.03443  2.67   92013    3168  452674  2411709  26.21
  1972        55-59     0.01187  0.05777  2.71   88845    5132  432452  1959036  22.05
  1972        60-64     0.01793  0.08611  2.69   83713    7208  401923  1526583  18.24
  1972        65-69     0.02831  0.13279  2.67   76504   10159  358848  1124660  14.70
  1972        70-74     0.04512  0.20383  2.63   66345   13523  299721   765812  11.54
  1972        75-79     0.07269  0.30836  2.54   52822   16288  224074   466091   8.82
  1972        80-84     0.11271  0.43923  2.49   36534   16047  142369   242017   6.62
  1972        85-89     0.17222  0.58908  2.32   20487   12068   70075    99648   4.86
  1972        90-94     0.26147  0.74524  2.12    8419    6274   23995    29573   3.51
  1972        95-99     0.37015  0.86049  1.89    2145    1845    4986     5578   2.60
  1972       100-104    0.49777  0.93154  1.64     299     279     560      592   1.98
  1972       105-109    0.62804  0.96697  1.42      20      20      32       32   1.58
  1972       110+       0.72885  1.00000  1.37       1       1       1        1   1.37
  1973           0      0.01421  0.01404  0.12  100000    1404   98765  7246867  72.47
  1973         1-4      0.00073  0.00292  1.65   98596     288  393709  7148102  72.50
  1973         5-9      0.00040  0.00202  2.31   98308     199  491006  6754393  68.71
  1973        10-14     0.00034  0.00168  2.62   98109     165  490156  6263387  63.84
  1973        15-19     0.00085  0.00426  2.94   97945     417  488864  5773232  58.94
