VIC, Exposure to risk (cohort 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1891-1894        0                    .               .               .
1891-1894      1-4                    .               .               .
1891-1894      5-9                    .               .               .
1891-1894     10-14                   .               .               .
1891-1894     15-19                   .               .               .
1891-1894     20-24                   .               .               .
1891-1894     25-29                   .               .               .
1891-1894     30-34                   .               .               .
1891-1894     35-39                   .               .               .
1891-1894     40-44                   .               .               .
1891-1894     45-49                   .               .               .
1891-1894     50-54                   .               .               .
1891-1894     55-59                   .               .               .
1891-1894     60-64                   .               .               .
1891-1894     65-69                   .               .               .
1891-1894     70-74                   .               .               .
1891-1894     75-79                   .               .               .
1891-1894     80-84           101613.13        48731.52       150344.65
1891-1894     85-89            57212.57        21374.13        78586.70
1891-1894     90-94            24380.20         7071.86        31452.06
1891-1894     95-99             6702.71         1471.17         8173.88
1891-1894    100-104            1084.67          161.21         1245.87
1891-1894    105-109              62.19            2.00           64.19
1891-1894    110+                  0.00            0.00            0.00
1895-1899        0                    .               .               .
1895-1899      1-4                    .               .               .
1895-1899      5-9                    .               .               .
1895-1899     10-14                   .               .               .
1895-1899     15-19                   .               .               .
1895-1899     20-24                   .               .               .
1895-1899     25-29                   .               .               .
1895-1899     30-34                   .               .               .
1895-1899     35-39                   .               .               .
1895-1899     40-44                   .               .               .
1895-1899     45-49                   .               .               .
1895-1899     50-54                   .               .               .
1895-1899     55-59                   .               .               .
1895-1899     60-64                   .               .               .
1895-1899     65-69                   .               .               .
1895-1899     70-74                   .               .               .
1895-1899     75-79           186316.60       110130.02       296446.62
1895-1899     80-84           136394.67        64575.78       200970.45
1895-1899     85-89            81306.12        29722.06       111028.18
1895-1899     90-94            35919.98         9691.35        45611.32
1895-1899     95-99            10197.78         2099.78        12297.56
1895-1899    100-104            1545.60          229.11         1774.71
1895-1899    105-109              89.46            2.72           92.18
1895-1899    110+                  0.00            0.00            0.00
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24                   .               .               .
1900-1904     25-29                   .               .               .
1900-1904     30-34                   .               .               .
1900-1904     35-39                   .               .               .
1900-1904     40-44                   .               .               .
1900-1904     45-49                   .               .               .
1900-1904     50-54                   .               .               .
1900-1904     55-59                   .               .               .
1900-1904     60-64                   .               .               .
1900-1904     65-69                   .               .               .
1900-1904     70-74           252323.90       192861.12       445185.01
1900-1904     75-79           214700.32       140364.98       355065.30
1900-1904     80-84           158636.81        83636.94       242273.75
1900-1904     85-89            96886.62        40303.54       137190.16
1900-1904     90-94            44786.72        14187.65        58974.37
1900-1904     95-99            12964.82         3090.04        16054.86
1900-1904    100-104            2010.48          356.62         2367.10
1900-1904    105-109             128.85           12.22          141.07
1900-1904    110+                  0.00            0.00            0.00
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19                   .               .               .
1905-1909     20-24                   .               .               .
1905-1909     25-29                   .               .               .
1905-1909     30-34                   .               .               .
1905-1909     35-39                   .               .               .
1905-1909     40-44                   .               .               .
1905-1909     45-49                   .               .               .
1905-1909     50-54                   .               .               .
1905-1909     55-59                   .               .               .
1905-1909     60-64                   .               .               .
1905-1909     65-69           320245.34       277162.01       597407.35
1905-1909     70-74           297400.32       229326.97       526727.29
1905-1909     75-79           250296.14       167949.64       418245.78
1905-1909     80-84           184607.72       103689.32       288297.04
1905-1909     85-89           117191.73        52872.03       170063.76
1905-1909     90-94            55516.54        19310.00        74826.54
1905-1909     95-99            16739.50         4353.91        21093.40
1905-1909    100-104            2597.75          517.63         3115.38
1905-1909    105-109             137.04           13.25          150.28
1905-1909    110+                  0.00            0.00            0.00
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14                   .               .               .
1910-1914     15-19                   .               .               .
1910-1914     20-24                   .               .               .
1910-1914     25-29                   .               .               .
1910-1914     30-34                   .               .               .
1910-1914     35-39                   .               .               .
1910-1914     40-44                   .               .               .
1910-1914     45-49                   .               .               .
1910-1914     50-54                   .               .               .
1910-1914     55-59                   .               .               .
1910-1914     60-64           393265.93       360872.26       754138.19
1910-1914     65-69           381005.28       325282.44       706287.73
1910-1914     70-74           346360.95       268369.73       614730.68
1910-1914     75-79           291824.48       200919.75       492744.23
1910-1914     80-84           223171.45       129141.55       352313.00
1910-1914     85-89           146369.20        69303.50       215672.70
1910-1914     90-94            72449.40        27002.55        99451.95
1910-1914     95-99            22080.82         6393.70        28474.51
1910-1914    100-104            3260.48          675.37         3935.85
1910-1914    105-109                  .               .               .
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
1915-1919      5-9                    .               .               .
1915-1919     10-14                   .               .               .
1915-1919     15-19                   .               .               .
1915-1919     20-24                   .               .               .
1915-1919     25-29                   .               .               .
1915-1919     30-34                   .               .               .
1915-1919     35-39                   .               .               .
1915-1919     40-44                   .               .               .
1915-1919     45-49                   .               .               .
1915-1919     50-54                   .               .               .
1915-1919     55-59           411322.17       396683.42       808005.59
1915-1919     60-64           406839.63       369756.57       776596.20
1915-1919     65-69           379569.28       325306.84       704876.12
1915-1919     70-74           347646.99       274875.51       622522.49
1915-1919     75-79           299558.53       213003.62       512562.16
1915-1919     80-84           234027.83       141300.45       375328.28
1915-1919     85-89           160543.63        81042.30       241585.93
1915-1919     90-94            82390.87        33983.61       116374.48
1915-1919     95-99            25641.83         8146.35        33788.18
1915-1919    100-104                  .               .               .
1915-1919    105-109                  .               .               .
1915-1919    110+                     .               .               .
1920-1924        0                    .               .               .
1920-1924      1-4                    .               .               .
1920-1924      5-9                    .               .               .
1920-1924     10-14                   .               .               .
1920-1924     15-19                   .               .               .
1920-1924     20-24                   .               .               .
1920-1924     25-29                   .               .               .
1920-1924     30-34                   .               .               .
1920-1924     35-39                   .               .               .
1920-1924     40-44                   .               .               .
1920-1924     45-49                   .               .               .
1920-1924     50-54           502192.45       508621.38      1010813.84
1920-1924     55-59           500510.18       491239.33       991749.51
1920-1924     60-64           483415.94       449883.72       933299.66
1920-1924     65-69           455770.10       401681.34       857451.43
1920-1924     70-74           419993.73       342267.85       762261.58
1920-1924     75-79           370987.53       276995.90       647983.43
1920-1924     80-84           301653.12       193999.71       495652.83
1920-1924     85-89           213431.61       117480.41       330912.03
1920-1924     90-94           112460.01        51709.84       164169.84
1920-1924     95-99                   .               .               .
1920-1924    100-104                  .               .               .
1920-1924    105-109                  .               .               .
1920-1924    110+                     .               .               .
1925-1929        0                    .               .               .
1925-1929      1-4                    .               .               .
1925-1929      5-9                    .               .               .
1925-1929     10-14                   .               .               .
1925-1929     15-19                   .               .               .
1925-1929     20-24                   .               .               .
1925-1929     25-29                   .               .               .
1925-1929     30-34                   .               .               .
1925-1929     35-39                   .               .               .
1925-1929     40-44                   .               .               .
1925-1929     45-49           515929.11       547546.58      1063475.69
1925-1929     50-54           518918.42       542763.06      1061681.48
1925-1929     55-59           500007.42       513892.37      1013899.79
1925-1929     60-64           487355.08       479484.41       966839.49
1925-1929     65-69           460898.74       430525.88       891424.62
1925-1929     70-74           431181.55       379530.16       810711.71
1925-1929     75-79           387588.23       317531.26       705119.49
1925-1929     80-84           326600.07       240163.47       566763.54
1925-1929     85-89           236602.99       154896.49       391499.48
1925-1929     90-94                   .               .               .
1925-1929     95-99                   .               .               .
1925-1929    100-104                  .               .               .
1925-1929    105-109                  .               .               .
1925-1929    110+                     .               .               .
1930-1934        0                    .               .               .
1930-1934      1-4                    .               .               .
1930-1934      5-9                    .               .               .
1930-1934     10-14                   .               .               .
1930-1934     15-19                   .               .               .
1930-1934     20-24                   .               .               .
1930-1934     25-29                   .               .               .
1930-1934     30-34                   .               .               .
1930-1934     35-39                   .               .               .
1930-1934     40-44           479158.83       508421.52       987580.35
1930-1934     45-49           489553.00       513603.68      1003156.68
1930-1934     50-54           481402.21       500753.58       982155.79
1930-1934     55-59           470629.60       479531.89       950161.49
1930-1934     60-64           462186.74       451727.31       913914.05
1930-1934     65-69           442388.67       418566.78       860955.45
1930-1934     70-74           415828.80       376526.54       792355.34
1930-1934     75-79           382606.19       324585.21       707191.40
1930-1934     80-84           330755.41       258076.02       588831.43
1930-1934     85-89                   .               .               .
1930-1934     90-94                   .               .               .
1930-1934     95-99                   .               .               .
1930-1934    100-104                  .               .               .
1930-1934    105-109                  .               .               .
1930-1934    110+                     .               .               .
1935-1939        0                    .               .               .
1935-1939      1-4                    .               .               .
1935-1939      5-9                    .               .               .
1935-1939     10-14                   .               .               .
1935-1939     15-19                   .               .               .
1935-1939     20-24                   .               .               .
1935-1939     25-29                   .               .               .
1935-1939     30-34                   .               .               .
1935-1939     35-39           526777.25       550815.46      1077592.71
1935-1939     40-44           533996.97       554444.59      1088441.56
1935-1939     45-49           524394.06       545590.71      1069984.78
1935-1939     50-54           520929.59       539535.50      1060465.08
1935-1939     55-59           507254.49       512213.32      1019467.81
1935-1939     60-64           499267.77       491581.54       990849.32
1935-1939     65-69           482932.57       461109.93       944042.49
1935-1939     70-74           458611.89       426718.54       885330.43
1935-1939     75-79           426894.94       375613.51       802508.45
1935-1939     80-84                   .               .               .
1935-1939     85-89                   .               .               .
1935-1939     90-94                   .               .               .
1935-1939     95-99                   .               .               .
1935-1939    100-104                  .               .               .
1935-1939    105-109                  .               .               .
1935-1939    110+                     .               .               .
1940-1944        0                    .               .               .
1940-1944      1-4                    .               .               .
1940-1944      5-9                    .               .               .
1940-1944     10-14                   .               .               .
1940-1944     15-19                   .               .               .
1940-1944     20-24                   .               .               .
1940-1944     25-29                   .               .               .
1940-1944     30-34           592660.24       624198.64      1216858.88
1940-1944     35-39           615329.27       637655.77      1252985.04
1940-1944     40-44           614846.41       637318.38      1252164.79
1940-1944     45-49           608692.63       631386.63      1240079.26
1940-1944     50-54           595862.80       610282.94      1206145.75
1940-1944     55-59           581719.19       589843.57      1171562.76
1940-1944     60-64           572591.02       567311.41      1139902.43
1940-1944     65-69           564304.70       544363.56      1108668.26
1940-1944     70-74           540462.00       509344.00      1049806.00
1940-1944     75-79                   .               .               .
1940-1944     80-84                   .               .               .
1940-1944     85-89                   .               .               .
1940-1944     90-94                   .               .               .
1940-1944     95-99                   .               .               .
1940-1944    100-104                  .               .               .
1940-1944    105-109                  .               .               .
1940-1944    110+                     .               .               .
1945-1949        0                    .               .               .
1945-1949      1-4                    .               .               .
1945-1949      5-9                    .               .               .
1945-1949     10-14                   .               .               .
1945-1949     15-19                   .               .               .
1945-1949     20-24                   .               .               .
1945-1949     25-29           748226.19       754813.33      1503039.52
1945-1949     30-34           776399.17       789638.62      1566037.79
1945-1949     35-39           787028.86       798302.41      1585331.27
1945-1949     40-44           788489.30       801935.24      1590424.55
1945-1949     45-49           774995.94       777650.05      1552645.99
1945-1949     50-54           766725.93       759804.98      1526530.91
1945-1949     55-59           751290.17       737151.02      1488441.19
1945-1949     60-64           738311.44       716126.57      1454438.01
1945-1949     65-69           730816.40       698842.22      1429658.62
1945-1949     70-74                   .               .               .
1945-1949     75-79                   .               .               .
1945-1949     80-84                   .               .               .
1945-1949     85-89                   .               .               .
1945-1949     90-94                   .               .               .
1945-1949     95-99                   .               .               .
1945-1949    100-104                  .               .               .
1945-1949    105-109                  .               .               .
1945-1949    110+                     .               .               .
1950-1954        0                    .               .               .
1950-1954      1-4                    .               .               .
1950-1954      5-9                    .               .               .
1950-1954     10-14                   .               .               .
1950-1954     15-19                   .               .               .
1950-1954     20-24           753139.56       760213.48      1513353.04
1950-1954     25-29           798985.60       797152.58      1596138.18
1950-1954     30-34           820122.44       810563.63      1630686.07
1950-1954     35-39           837639.79       828049.34      1665689.13
1950-1954     40-44           836267.39       819854.12      1656121.50
1950-1954     45-49           825862.64       805200.07      1631062.70
1950-1954     50-54           818751.21       798169.23      1616920.44
1950-1954     55-59           811265.28       781831.62      1593096.90
1950-1954     60-64           810965.34       766316.06      1577281.40
1950-1954     65-69                   .               .               .
1950-1954     70-74                   .               .               .
1950-1954     75-79                   .               .               .
1950-1954     80-84                   .               .               .
1950-1954     85-89                   .               .               .
1950-1954     90-94                   .               .               .
1950-1954     95-99                   .               .               .
1950-1954    100-104                  .               .               .
1950-1954    105-109                  .               .               .
1950-1954    110+                     .               .               .
1955-1959        0                    .               .               .
1955-1959      1-4                    .               .               .
1955-1959      5-9                    .               .               .
1955-1959     10-14                   .               .               .
1955-1959     15-19           785899.83       822711.10      1608610.93
1955-1959     20-24           829991.61       848493.72      1678485.33
1955-1959     25-29           853422.91       860931.45      1714354.36
1955-1959     30-34           891254.27       892205.96      1783460.23
1955-1959     35-39           893617.92       884415.61      1778033.53
1955-1959     40-44           897004.95       879588.04      1776592.99
1955-1959     45-49           899922.03       880358.60      1780280.63
1955-1959     50-54           904702.36       880435.11      1785137.47
1955-1959     55-59           913032.43       873924.59      1786957.02
1955-1959     60-64                   .               .               .
1955-1959     65-69                   .               .               .
1955-1959     70-74                   .               .               .
1955-1959     75-79                   .               .               .
1955-1959     80-84                   .               .               .
1955-1959     85-89                   .               .               .
1955-1959     90-94                   .               .               .
1955-1959     95-99                   .               .               .
1955-1959    100-104                  .               .               .
1955-1959    105-109                  .               .               .
1955-1959    110+                     .               .               .
1960-1964        0                    .               .               .
1960-1964      1-4                    .               .               .
1960-1964      5-9                    .               .               .
1960-1964     10-14           810638.35       858882.31      1669520.66
1960-1964     15-19           854043.83       893974.87      1748018.70
1960-1964     20-24           872558.89       892647.98      1765206.87
1960-1964     25-29           908236.48       908087.86      1816324.34
1960-1964     30-34           924165.56       912105.42      1836270.98
1960-1964     35-39           934569.36       917882.40      1852451.76
1960-1964     40-44           952086.29       931816.62      1883902.91
1960-1964     45-49           965822.65       938059.37      1903882.02
1960-1964     50-54           984401.72       948637.86      1933039.58
1960-1964     55-59                   .               .               .
1960-1964     60-64                   .               .               .
1960-1964     65-69                   .               .               .
1960-1964     70-74                   .               .               .
1960-1964     75-79                   .               .               .
1960-1964     80-84                   .               .               .
1960-1964     85-89                   .               .               .
1960-1964     90-94                   .               .               .
1960-1964     95-99                   .               .               .
1960-1964    100-104                  .               .               .
1960-1964    105-109                  .               .               .
1960-1964    110+                     .               .               .
1965-1969        0                    .               .               .
1965-1969      1-4                    .               .               .
1965-1969      5-9            813804.67       849820.76      1663625.43
1965-1969     10-14           846876.86       882223.67      1729100.53
1965-1969     15-19           860819.60       898736.95      1759556.55
