VIC, Death rates (cohort 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1891-1894        0                    .               .               .
1891-1894      1-4                    .               .               .
1891-1894      5-9                    .               .               .
1891-1894     10-14                   .               .               .
1891-1894     15-19                   .               .               .
1891-1894     20-24                   .               .               .
1891-1894     25-29                   .               .               .
1891-1894     30-34                   .               .               .
1891-1894     35-39                   .               .               .
1891-1894     40-44                   .               .               .
1891-1894     45-49                   .               .               .
1891-1894     50-54                   .               .               .
1891-1894     55-59                   .               .               .
1891-1894     60-64                   .               .               .
1891-1894     65-69                   .               .               .
1891-1894     70-74                   .               .               .
1891-1894     75-79                   .               .               .
1891-1894     80-84            0.094303        0.140131        0.109157
1891-1894     85-89            0.136973        0.187433        0.150697
1891-1894     90-94            0.213163        0.262891        0.224344
1891-1894     95-99            0.296606        0.359659        0.307954
1891-1894    100-104           0.450037        0.544208        0.462222
1891-1894    105-109           0.711208        1.460000        0.734538
1891-1894    110+                    .              .              .
1895-1899        0                    .               .               .
1895-1899      1-4                    .               .               .
1895-1899      5-9                    .               .               .
1895-1899     10-14                   .               .               .
1895-1899     15-19                   .               .               .
1895-1899     20-24                   .               .               .
1895-1899     25-29                   .               .               .
1895-1899     30-34                   .               .               .
1895-1899     35-39                   .               .               .
1895-1899     40-44                   .               .               .
1895-1899     45-49                   .               .               .
1895-1899     50-54                   .               .               .
1895-1899     55-59                   .               .               .
1895-1899     60-64                   .               .               .
1895-1899     65-69                   .               .               .
1895-1899     70-74                   .               .               .
1895-1899     75-79            0.055240        0.094391        0.069785
1895-1899     80-84            0.080779        0.129766        0.096519
1895-1899     85-89            0.129434        0.182619        0.143671
1895-1899     90-94            0.203552        0.261806        0.215929
1895-1899     95-99            0.306368        0.369073        0.317074
1895-1899    100-104           0.458358        0.558037        0.471226
1895-1899    105-109           0.707717        1.689106        0.736711
1895-1899    110+                    .              .              .
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24                   .               .               .
1900-1904     25-29                   .               .               .
1900-1904     30-34                   .               .               .
1900-1904     35-39                   .               .               .
1900-1904     40-44                   .               .               .
1900-1904     45-49                   .               .               .
1900-1904     50-54                   .               .               .
1900-1904     55-59                   .               .               .
1900-1904     60-64                   .               .               .
1900-1904     65-69                   .               .               .
1900-1904     70-74            0.032475        0.060498        0.044615
1900-1904     75-79            0.047276        0.083274        0.061507
1900-1904     80-84            0.076260        0.120310        0.091467
1900-1904     85-89            0.121712        0.171793        0.136425
1900-1904     90-94            0.195785        0.253780        0.209737
1900-1904     95-99            0.303044        0.357902        0.313602
1900-1904    100-104           0.448496        0.498453        0.456022
1900-1904    105-109           0.687854        0.995362        0.714485
1900-1904    110+                    .              .              .
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19                   .               .               .
1905-1909     20-24                   .               .               .
1905-1909     25-29                   .               .               .
1905-1909     30-34                   .               .               .
1905-1909     35-39                   .               .               .
1905-1909     40-44                   .               .               .
1905-1909     45-49                   .               .               .
1905-1909     50-54                   .               .               .
1905-1909     55-59                   .               .               .
1905-1909     60-64                   .               .               .
1905-1909     65-69            0.018936        0.038388        0.027961
1905-1909     70-74            0.026150        0.052037        0.037420
1905-1909     75-79            0.042327        0.074640        0.055302
1905-1909     80-84            0.070034        0.109659        0.084285
1905-1909     85-89            0.115609        0.163652        0.130545
1905-1909     90-94            0.188718        0.245225        0.203301
1905-1909     95-99            0.297490        0.349817        0.308291
1905-1909    100-104           0.462530        0.522419        0.472481
1905-1909    105-109           0.749726        1.102919        0.780858
1905-1909    110+                    .              .              .
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14                   .               .               .
1910-1914     15-19                   .               .               .
1910-1914     20-24                   .               .               .
1910-1914     25-29                   .               .               .
1910-1914     30-34                   .               .               .
1910-1914     35-39                   .               .               .
1910-1914     40-44                   .               .               .
1910-1914     45-49                   .               .               .
1910-1914     50-54                   .               .               .
1910-1914     55-59                   .               .               .
1910-1914     60-64            0.011589        0.024128        0.017589
1910-1914     65-69            0.016140        0.033148        0.023973
1910-1914     70-74            0.025113        0.046499        0.034450
1910-1914     75-79            0.039560        0.068474        0.051350
1910-1914     80-84            0.064876        0.101458        0.078285
1910-1914     85-89            0.107734        0.150548        0.121491
1910-1914     90-94            0.180207        0.232217        0.194328
1910-1914     95-99            0.302991        0.357214        0.315166
1910-1914    100-104           0.479025        0.552080        0.491561
1910-1914    105-109                  .               .               .
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
1915-1919      5-9                    .               .               .
1915-1919     10-14                   .               .               .
1915-1919     15-19                   .               .               .
1915-1919     20-24                   .               .               .
1915-1919     25-29                   .               .               .
1915-1919     30-34                   .               .               .
1915-1919     35-39                   .               .               .
1915-1919     40-44                   .               .               .
1915-1919     45-49                   .               .               .
1915-1919     50-54                   .               .               .
1915-1919     55-59            0.007552        0.014885        0.011152
1915-1919     60-64            0.010235        0.020826        0.015278
1915-1919     65-69            0.014941        0.029330        0.021582
1915-1919     70-74            0.022583        0.041646        0.031000
1915-1919     75-79            0.035256        0.059692        0.045410
1915-1919     80-84            0.057426        0.089598        0.069538
1915-1919     85-89            0.097608        0.137291        0.110920
1915-1919     90-94            0.178174        0.220066        0.190407
1915-1919     95-99            0.292048        0.361704        0.308842
1915-1919    100-104                  .               .               .
1915-1919    105-109                  .               .               .
1915-1919    110+                     .               .               .
1920-1924        0                    .               .               .
1920-1924      1-4                    .               .               .
1920-1924      5-9                    .               .               .
1920-1924     10-14                   .               .               .
1920-1924     15-19                   .               .               .
1920-1924     20-24                   .               .               .
1920-1924     25-29                   .               .               .
1920-1924     30-34                   .               .               .
1920-1924     35-39                   .               .               .
1920-1924     40-44                   .               .               .
1920-1924     45-49                   .               .               .
1920-1924     50-54            0.004964        0.009186        0.007088
1920-1924     55-59            0.006652        0.013148        0.009870
1920-1924     60-64            0.009109        0.018263        0.013522
1920-1924     65-69            0.013186        0.025640        0.019021
1920-1924     70-74            0.019843        0.037329        0.027695
1920-1924     75-79            0.030394        0.051422        0.039383
1920-1924     80-84            0.051070        0.077755        0.061514
1920-1924     85-89            0.092500        0.127221        0.104827
1920-1924     90-94            0.169502        0.207492        0.181468
1920-1924     95-99                   .               .               .
1920-1924    100-104                  .               .               .
1920-1924    105-109                  .               .               .
1920-1924    110+                     .               .               .
1925-1929        0                    .               .               .
1925-1929      1-4                    .               .               .
1925-1929      5-9                    .               .               .
1925-1929     10-14                   .               .               .
1925-1929     15-19                   .               .               .
1925-1929     20-24                   .               .               .
1925-1929     25-29                   .               .               .
1925-1929     30-34                   .               .               .
1925-1929     35-39                   .               .               .
1925-1929     40-44                   .               .               .
1925-1929     45-49            0.003038        0.005537        0.004324
1925-1929     50-54            0.004164        0.008043        0.006147
1925-1929     55-59            0.005738        0.011329        0.008572
1925-1929     60-64            0.008071        0.015950        0.011978
1925-1929     65-69            0.011768        0.022752        0.017073
1925-1929     70-74            0.017095        0.030926        0.023570
1925-1929     75-79            0.026586        0.043323        0.034123
1925-1929     80-84            0.046475        0.068267        0.055709
1925-1929     85-89            0.085981        0.112582        0.096506
1925-1929     90-94                   .               .               .
1925-1929     95-99                   .               .               .
1925-1929    100-104                  .               .               .
1925-1929    105-109                  .               .               .
1925-1929    110+                     .               .               .
1930-1934        0                    .               .               .
1930-1934      1-4                    .               .               .
1930-1934      5-9                    .               .               .
1930-1934     10-14                   .               .               .
1930-1934     15-19                   .               .               .
1930-1934     20-24                   .               .               .
1930-1934     25-29                   .               .               .
1930-1934     30-34                   .               .               .
1930-1934     35-39                   .               .               .
1930-1934     40-44            0.001767        0.003157        0.002482
1930-1934     45-49            0.002555        0.004588        0.003596
1930-1934     50-54            0.003654        0.006500        0.005105
1930-1934     55-59            0.005008        0.009171        0.007109
1930-1934     60-64            0.006876        0.013411        0.010106
1930-1934     65-69            0.009780        0.017933        0.013744
1930-1934     70-74            0.014396        0.024954        0.019413
1930-1934     75-79            0.022998        0.037988        0.029878
1930-1934     80-84            0.041860        0.060778        0.050152
1930-1934     85-89                   .               .               .
1930-1934     90-94                   .               .               .
1930-1934     95-99                   .               .               .
1930-1934    100-104                  .               .               .
1930-1934    105-109                  .               .               .
1930-1934    110+                     .               .               .
1935-1939        0                    .               .               .
1935-1939      1-4                    .               .               .
1935-1939      5-9                    .               .               .
1935-1939     10-14                   .               .               .
1935-1939     15-19                   .               .               .
1935-1939     20-24                   .               .               .
1935-1939     25-29                   .               .               .
1935-1939     30-34                   .               .               .
1935-1939     35-39            0.001010        0.001817        0.001422
1935-1939     40-44            0.001378        0.002513        0.001956
1935-1939     45-49            0.002050        0.003535        0.002807
1935-1939     50-54            0.002995        0.005011        0.004021
1935-1939     55-59            0.004259        0.007358        0.005816
1935-1939     60-64            0.005830        0.010242        0.008019
1935-1939     65-69            0.008153        0.014204        0.011108
1935-1939     70-74            0.012551        0.020769        0.016512
1935-1939     75-79            0.020947        0.032028        0.026133
1935-1939     80-84                   .               .               .
1935-1939     85-89                   .               .               .
1935-1939     90-94                   .               .               .
1935-1939     95-99                   .               .               .
1935-1939    100-104                  .               .               .
1935-1939    105-109                  .               .               .
1935-1939    110+                     .               .               .
1940-1944        0                    .               .               .
1940-1944      1-4                    .               .               .
1940-1944      5-9                    .               .               .
1940-1944     10-14                   .               .               .
1940-1944     15-19                   .               .               .
1940-1944     20-24                   .               .               .
1940-1944     25-29                   .               .               .
1940-1944     30-34            0.000727        0.001241        0.000991
1940-1944     35-39            0.000841        0.001477        0.001165
1940-1944     40-44            0.001168        0.002086        0.001635
1940-1944     45-49            0.001819        0.003058        0.002450
1940-1944     50-54            0.002647        0.004347        0.003507
1940-1944     55-59            0.003736        0.006056        0.004904
1940-1944     60-64            0.005085        0.008588        0.006828
1940-1944     65-69            0.007084        0.012450        0.009719
1940-1944     70-74            0.011486        0.018335        0.014809
1940-1944     75-79                   .               .               .
1940-1944     80-84                   .               .               .
1940-1944     85-89                   .               .               .
1940-1944     90-94                   .               .               .
1940-1944     95-99                   .               .               .
1940-1944    100-104                  .               .               .
1940-1944    105-109                  .               .               .
1940-1944    110+                     .               .               .
1945-1949        0                    .               .               .
1945-1949      1-4                    .               .               .
1945-1949      5-9                    .               .               .
1945-1949     10-14                   .               .               .
1945-1949     15-19                   .               .               .
1945-1949     20-24                   .               .               .
1945-1949     25-29            0.000501        0.001122        0.000813
1945-1949     30-34            0.000572        0.001145        0.000861
1945-1949     35-39            0.000773        0.001284        0.001031
1945-1949     40-44            0.001135        0.001920        0.001531
1945-1949     45-49            0.001569        0.002617        0.002094
1945-1949     50-54            0.002340        0.003595        0.002964
1945-1949     55-59            0.003101        0.005181        0.004131
1945-1949     60-64            0.004577        0.007582        0.006056
1945-1949     65-69            0.006796        0.011114        0.008906
1945-1949     70-74                   .               .               .
1945-1949     75-79                   .               .               .
1945-1949     80-84                   .               .               .
1945-1949     85-89                   .               .               .
1945-1949     90-94                   .               .               .
1945-1949     95-99                   .               .               .
1945-1949    100-104                  .               .               .
1945-1949    105-109                  .               .               .
1945-1949    110+                     .               .               .
1950-1954        0                    .               .               .
1950-1954      1-4                    .               .               .
1950-1954      5-9                    .               .               .
1950-1954     10-14                   .               .               .
1950-1954     15-19                   .               .               .
1950-1954     20-24            0.000496        0.001626        0.001064
1950-1954     25-29            0.000493        0.001209        0.000851
1950-1954     30-34            0.000542        0.001225        0.000882
1950-1954     35-39            0.000741        0.001338        0.001038
1950-1954     40-44            0.001057        0.001772        0.001411
1950-1954     45-49            0.001527        0.002302        0.001910
1950-1954     50-54            0.002165        0.003362        0.002756
1950-1954     55-59            0.002952        0.004827        0.003872
1950-1954     60-64            0.004214        0.007131        0.005631
1950-1954     65-69                   .               .               .
1950-1954     70-74                   .               .               .
1950-1954     75-79                   .               .               .
1950-1954     80-84                   .               .               .
1950-1954     85-89                   .               .               .
1950-1954     90-94                   .               .               .
1950-1954     95-99                   .               .               .
1950-1954    100-104                  .               .               .
1950-1954    105-109                  .               .               .
1950-1954    110+                     .               .               .
1955-1959        0                    .               .               .
1955-1959      1-4                    .               .               .
1955-1959      5-9                    .               .               .
1955-1959     10-14                   .               .               .
1955-1959     15-19            0.000493        0.001375        0.000944
1955-1959     20-24            0.000488        0.001531        0.001015
1955-1959     25-29            0.000479        0.001205        0.000843
1955-1959     30-34            0.000545        0.001260        0.000903
1955-1959     35-39            0.000710        0.001325        0.001016
1955-1959     40-44            0.001006        0.001668        0.001334
1955-1959     45-49            0.001360        0.002219        0.001785
1955-1959     50-54            0.002067        0.003076        0.002564
1955-1959     55-59            0.002849        0.004573        0.003692
1955-1959     60-64                   .               .               .
1955-1959     65-69                   .               .               .
1955-1959     70-74                   .               .               .
1955-1959     75-79                   .               .               .
1955-1959     80-84                   .               .               .
1955-1959     85-89                   .               .               .
1955-1959     90-94                   .               .               .
1955-1959     95-99                   .               .               .
1955-1959    100-104                  .               .               .
1955-1959    105-109                  .               .               .
1955-1959    110+                     .               .               .
1960-1964        0                    .               .               .
1960-1964      1-4                    .               .               .
1960-1964      5-9                    .               .               .
1960-1964     10-14            0.000205        0.000399        0.000305
1960-1964     15-19            0.000428        0.001087        0.000765
1960-1964     20-24            0.000485        0.001475        0.000985
1960-1964     25-29            0.000428        0.001328        0.000878
1960-1964     30-34            0.000514        0.001192        0.000851
1960-1964     35-39            0.000715        0.001312        0.001011
1960-1964     40-44            0.000908        0.001488        0.001195
1960-1964     45-49            0.001384        0.002129        0.001751
1960-1964     50-54            0.001898        0.003008        0.002443
1960-1964     55-59                   .               .               .
1960-1964     60-64                   .               .               .
1960-1964     65-69                   .               .               .
1960-1964     70-74                   .               .               .
1960-1964     75-79                   .               .               .
1960-1964     80-84                   .               .               .
1960-1964     85-89                   .               .               .
1960-1964     90-94                   .               .               .
1960-1964     95-99                   .               .               .
1960-1964    100-104                  .               .               .
1960-1964    105-109                  .               .               .
1960-1964    110+                     .               .               .
1965-1969        0                    .               .               .
1965-1969      1-4                    .               .               .
1965-1969      5-9             0.000290        0.000390        0.000341
1965-1969     10-14            0.000174        0.000338        0.000258
1965-1969     15-19            0.000368        0.000957        0.000669
1965-1969     20-24            0.000455        0.001333        0.000898
1965-1969     25-29            0.000383        0.001066        0.000723
1965-1969     30-34            0.000507        0.001186        0.000842
