VIC, Life tables (period 1x1), Females	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.01430  0.01412  0.12  100000    1412   98757  7523685  75.24
  1971           1      0.00099  0.00099  0.50   98588      97   98539  7424929  75.31
  1971           2      0.00081  0.00081  0.50   98490      80   98450  7326390  74.39
  1971           3      0.00038  0.00038  0.50   98410      37   98392  7227939  73.45
  1971           4      0.00042  0.00042  0.50   98373      41   98353  7129547  72.47
  1971           5      0.00027  0.00027  0.50   98332      27   98318  7031195  71.50
  1971           6      0.00040  0.00040  0.50   98305      39   98285  6932876  70.52
  1971           7      0.00033  0.00033  0.50   98266      32   98250  6834591  69.55
  1971           8      0.00038  0.00038  0.50   98234      38   98215  6736341  68.57
  1971           9      0.00015  0.00015  0.50   98196      14   98189  6638126  67.60
  1971          10      0.00003  0.00003  0.50   98181       3   98180  6539938  66.61
  1971          11      0.00018  0.00018  0.50   98179      17   98170  6441758  65.61
  1971          12      0.00027  0.00027  0.50   98161      27   98148  6343588  64.62
  1971          13      0.00036  0.00036  0.50   98134      36   98117  6245440  63.64
  1971          14      0.00031  0.00031  0.50   98099      30   98083  6147323  62.66
  1971          15      0.00038  0.00038  0.50   98068      37   98050  6049240  61.68
  1971          16      0.00039  0.00039  0.50   98031      38   98012  5951190  60.71
  1971          17      0.00045  0.00045  0.50   97993      44   97971  5853178  59.73
  1971          18      0.00066  0.00066  0.50   97949      65   97916  5755207  58.76
  1971          19      0.00108  0.00108  0.50   97884     106   97831  5657291  57.80
  1971          20      0.00076  0.00076  0.50   97778      74   97741  5559460  56.86
  1971          21      0.00056  0.00056  0.50   97704      55   97677  5461719  55.90
  1971          22      0.00049  0.00049  0.50   97649      48   97625  5364042  54.93
  1971          23      0.00058  0.00058  0.50   97601      57   97573  5266416  53.96
  1971          24      0.00071  0.00071  0.50   97545      69   97510  5168843  52.99
  1971          25      0.00059  0.00059  0.50   97475      58   97447  5071333  52.03
  1971          26      0.00078  0.00078  0.50   97418      76   97380  4973887  51.06
  1971          27      0.00039  0.00039  0.50   97342      38   97323  4876507  50.10
  1971          28      0.00032  0.00032  0.50   97304      31   97288  4779184  49.12
  1971          29      0.00067  0.00067  0.50   97273      65   97240  4681896  48.13
  1971          30      0.00065  0.00064  0.50   97207      63   97176  4584655  47.16
  1971          31      0.00097  0.00097  0.50   97145      94   97098  4487479  46.19
  1971          32      0.00073  0.00073  0.50   97050      70   97015  4390382  45.24
  1971          33      0.00078  0.00078  0.50   96980      76   96942  4293367  44.27
  1971          34      0.00083  0.00083  0.50   96904      81   96864  4196425  43.30
  1971          35      0.00076  0.00076  0.50   96824      73   96787  4099561  42.34
  1971          36      0.00119  0.00119  0.50   96750     115   96693  4002774  41.37
  1971          37      0.00109  0.00109  0.50   96635     106   96582  3906081  40.42
  1971          38      0.00130  0.00130  0.50   96530     125   96467  3809499  39.46
  1971          39      0.00131  0.00131  0.50   96404     126   96341  3713032  38.52
  1971          40      0.00145  0.00145  0.50   96278     139   96208  3616691  37.57
  1971          41      0.00147  0.00147  0.50   96139     142   96068  3520482  36.62
  1971          42      0.00253  0.00253  0.50   95997     243   95876  3424414  35.67
  1971          43      0.00239  0.00239  0.50   95754     229   95640  3328539  34.76
  1971          44      0.00255  0.00255  0.50   95525     244   95404  3232899  33.84
  1971          45      0.00287  0.00287  0.50   95282     273   95145  3137495  32.93
