VIC, Life tables (period 1x10), Females	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01163  0.01151  0.13  100000    1151   98993  7661623  76.62
1971-1979        1      0.00078  0.00078  0.50   98849      77   98810  7562630  76.51
1971-1979        2      0.00057  0.00057  0.50   98772      56   98744  7463820  75.57
1971-1979        3      0.00043  0.00043  0.50   98716      42   98694  7365076  74.61
1971-1979        4      0.00037  0.00037  0.50   98673      37   98655  7266381  73.64
1971-1979        5      0.00031  0.00031  0.50   98636      31   98621  7167727  72.67
1971-1979        6      0.00033  0.00033  0.50   98605      33   98589  7069106  71.69
1971-1979        7      0.00027  0.00027  0.50   98572      26   98559  6970517  70.71
1971-1979        8      0.00022  0.00022  0.50   98546      22   98535  6871958  69.73
1971-1979        9      0.00021  0.00021  0.50   98525      21   98514  6773422  68.75
1971-1979       10      0.00018  0.00018  0.50   98504      18   98494  6674908  67.76
1971-1979       11      0.00017  0.00017  0.50   98485      17   98477  6576414  66.78
1971-1979       12      0.00021  0.00021  0.50   98468      21   98458  6477937  65.79
1971-1979       13      0.00025  0.00025  0.50   98447      25   98435  6379479  64.80
1971-1979       14      0.00024  0.00024  0.50   98423      23   98411  6281044  63.82
1971-1979       15      0.00035  0.00035  0.50   98399      34   98382  6182633  62.83
1971-1979       16      0.00042  0.00042  0.50   98365      41   98344  6084251  61.85
1971-1979       17      0.00049  0.00049  0.50   98324      48   98300  5985906  60.88
1971-1979       18      0.00056  0.00056  0.50   98276      55   98248  5887606  59.91
1971-1979       19      0.00066  0.00066  0.50   98221      64   98188  5789358  58.94
1971-1979       20      0.00052  0.00052  0.50   98156      51   98131  5691170  57.98
1971-1979       21      0.00048  0.00048  0.50   98105      47   98082  5593039  57.01
1971-1979       22      0.00044  0.00044  0.50   98059      43   98037  5494957  56.04
1971-1979       23      0.00049  0.00049  0.50   98016      48   97991  5396920  55.06
1971-1979       24      0.00058  0.00058  0.50   97967      57   97939  5298928  54.09
1971-1979       25      0.00048  0.00048  0.50   97910      47   97886  5200989  53.12
1971-1979       26      0.00058  0.00058  0.50   97863      56   97835  5103103  52.15
1971-1979       27      0.00040  0.00040  0.50   97806      39   97787  5005268  51.18
1971-1979       28      0.00046  0.00046  0.50   97767      45   97745  4907482  50.20
1971-1979       29      0.00060  0.00060  0.50   97723      58   97694  4809736  49.22
1971-1979       30      0.00057  0.00057  0.50   97664      55   97637  4712043  48.25
1971-1979       31      0.00064  0.00064  0.50   97609      62   97578  4614406  47.27
1971-1979       32      0.00071  0.00071  0.50   97547      69   97512  4516828  46.30
1971-1979       33      0.00076  0.00076  0.50   97478      74   97441  4419316  45.34
1971-1979       34      0.00075  0.00075  0.50   97404      73   97367  4321875  44.37
1971-1979       35      0.00078  0.00078  0.50   97331      76   97293  4224508  43.40
1971-1979       36      0.00083  0.00083  0.50   97255      80   97215  4127215  42.44
1971-1979       37      0.00093  0.00093  0.50   97174      90   97129  4030000  41.47
1971-1979       38      0.00107  0.00107  0.50   97084     104   97032  3932871  40.51
1971-1979       39      0.00127  0.00127  0.50   96980     123   96919  3835839  39.55
1971-1979       40      0.00130  0.00129  0.50   96857     125   96794  3738921  38.60
1971-1979       41      0.00147  0.00147  0.50   96732     142   96661  3642126  37.65
1971-1979       42      0.00186  0.00185  0.50   96590     179   96500  3545465  36.71
1971-1979       43      0.00198  0.00198  0.50   96411     190   96316  3448965  35.77
1971-1979       44      0.00206  0.00206  0.50   96220     198   96121  3352649  34.84
1971-1979       45      0.00240  0.00239  0.50   96023     230   95908  3256528  33.91
1971-1979       46      0.00266  0.00266  0.50   95793     254   95665  3160620  32.99
1971-1979       47      0.00315  0.00314  0.50   95538     300   95388  3064955  32.08
1971-1979       48      0.00318  0.00317  0.50   95238     302   95087  2969567  31.18
1971-1979       49      0.00360  0.00360  0.50   94936     341   94765  2874480  30.28
1971-1979       50      0.00377  0.00376  0.50   94594     356   94416  2779715  29.39
1971-1979       51      0.00419  0.00418  0.50   94238     394   94041  2685299  28.49
1971-1979       52      0.00501  0.00499  0.50   93844     469   93610  2591257  27.61
1971-1979       53      0.00502  0.00500  0.50   93376     467   93142  2497647  26.75
1971-1979       54      0.00544  0.00543  0.50   92908     504   92656  2404505  25.88
1971-1979       55      0.00612  0.00610  0.50   92404     564   92122  2311849  25.02
1971-1979       56      0.00664  0.00662  0.50   91841     608   91537  2219727  24.17
1971-1979       57      0.00723  0.00721  0.50   91233     657   90904  2128190  23.33
1971-1979       58      0.00808  0.00805  0.50   90575     729   90211  2037286  22.49
1971-1979       59      0.00846  0.00843  0.50   89846     757   89468  1947075  21.67
1971-1979       60      0.00955  0.00951  0.50   89089     847   88666  1857607  20.85
1971-1979       61      0.00995  0.00990  0.50   88242     873   87806  1768942  20.05
1971-1979       62      0.01158  0.01151  0.50   87369    1006   86866  1681136  19.24
1971-1979       63      0.01298  0.01289  0.50   86363    1114   85806  1594270  18.46
1971-1979       64      0.01313  0.01305  0.50   85250    1112   84694  1508463  17.69
1971-1979       65      0.01553  0.01541  0.50   84137    1296   83489  1423770  16.92
1971-1979       66      0.01570  0.01557  0.50   82841    1290   82196  1340281  16.18
1971-1979       67      0.01830  0.01813  0.50   81551    1478   80812  1258085  15.43
1971-1979       68      0.02021  0.02001  0.50   80073    1602   79271  1177273  14.70
1971-1979       69      0.02165  0.02142  0.50   78470    1681   77630  1098002  13.99
1971-1979       70      0.02425  0.02396  0.50   76789    1840   75869  1020372  13.29
1971-1979       71      0.02591  0.02558  0.50   74949    1917   73991   944503  12.60
1971-1979       72      0.03101  0.03054  0.50   73032    2230   71917   870512  11.92
1971-1979       73      0.03488  0.03429  0.50   70802    2427   69588   798595  11.28
1971-1979       74      0.03853  0.03780  0.50   68374    2584   67082   729007  10.66
1971-1979       75      0.04328  0.04236  0.50   65790    2787   64396   661925  10.06
1971-1979       76      0.04834  0.04720  0.50   63003    2974   61516   597529   9.48
1971-1979       77      0.05193  0.05062  0.50   60029    3039   58510   536012   8.93
1971-1979       78      0.06056  0.05878  0.50   56991    3350   55316   477502   8.38
1971-1979       79      0.06751  0.06531  0.50   53641    3503   51889   422186   7.87
1971-1979       80      0.07474  0.07205  0.50   50138    3612   48331   370297   7.39
1971-1979       81      0.07916  0.07614  0.50   46525    3543   44754   321966   6.92
1971-1979       82      0.09418  0.08995  0.50   42983    3866   41049   277212   6.45
1971-1979       83      0.10369  0.09858  0.50   39116    3856   37188   236162   6.04
1971-1979       84      0.12117  0.11425  0.50   35260    4029   33246   198974   5.64
1971-1979       85      0.13109  0.12303  0.50   31232    3842   29311   165728   5.31
1971-1979       86      0.14642  0.13643  0.50   27389    3737   25521   136418   4.98
1971-1979       87      0.15301  0.14214  0.50   23653    3362   21972   110896   4.69
1971-1979       88      0.16755  0.15460  0.50   20291    3137   18722    88925   4.38
1971-1979       89      0.18924  0.17288  0.50   17154    2966   15671    70202   4.09
1971-1979       90      0.20212  0.18357  0.50   14188    2604   12886    54531   3.84
1971-1979       91      0.21550  0.19454  0.50   11584    2253   10457    41645   3.60
1971-1979       92      0.23503  0.21031  0.50    9330    1962    8349    31188   3.34
1971-1979       93      0.26231  0.23190  0.50    7368    1709    6514    22839   3.10
1971-1979       94      0.29979  0.26071  0.50    5659    1475    4922    16325   2.88
1971-1979       95      0.31629  0.27310  0.50    4184    1143    3613    11403   2.73
1971-1979       96      0.34181  0.29192  0.50    3041     888    2597     7791   2.56
1971-1979       97      0.36827  0.31101  0.50    2153     670    1819     5193   2.41
1971-1979       98      0.39555  0.33024  0.50    1484     490    1239     3375   2.27
1971-1979       99      0.42350  0.34950  0.50     994     347     820     2136   2.15
1971-1979      100      0.45195  0.36864  0.50     646     238     527     1316   2.04
1971-1979      101      0.48071  0.38756  0.50     408     158     329      788   1.93
1971-1979      102      0.50961  0.40612  0.50     250     102     199      459   1.84
1971-1979      103      0.53843  0.42423  0.50     148      63     117      260   1.75
1971-1979      104      0.56701  0.44177  0.50      85      38      67      143   1.68
1971-1979      105      0.59514  0.45866  0.50      48      22      37       77   1.61
1971-1979      106      0.62267  0.47483  0.50      26      12      20       40   1.55
1971-1979      107      0.64942  0.49024  0.50      14       7      10       20   1.49
1971-1979      108      0.67527  0.50482  0.50       7       3       5       10   1.44
1971-1979      109      0.70009  0.51857  0.50       3       2       3        5   1.41
1971-1979      110+     0.72379  1.00000  1.38       2       2       2        2   1.38
1980-1989        0      0.00779  0.00774  0.13  100000     774   99329  7910288  79.10
1980-1989        1      0.00047  0.00047  0.50   99226      47   99203  7810959  78.72
1980-1989        2      0.00039  0.00039  0.50   99180      38   99161  7711756  77.76
1980-1989        3      0.00029  0.00029  0.50   99141      29   99127  7612596  76.79
1980-1989        4      0.00030  0.00030  0.50   99113      30   99098  7513469  75.81
1980-1989        5      0.00018  0.00018  0.50   99083      18   99074  7414371  74.83
1980-1989        6      0.00020  0.00020  0.50   99065      19   99056  7315297  73.84
1980-1989        7      0.00017  0.00017  0.50   99046      16   99038  7216241  72.86
1980-1989        8      0.00017  0.00017  0.50   99029      17   99021  7117203  71.87
1980-1989        9      0.00016  0.00016  0.50   99013      15   99005  7018182  70.88
1980-1989       10      0.00015  0.00015  0.50   98997      15   98990  6919178  69.89
1980-1989       11      0.00014  0.00014  0.50   98982      14   98976  6820188  68.90
