VIC, Life tables (period 1x10), Males	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01442  0.01424  0.12  100000    1424   98747  6985356  69.85
1971-1979        1      0.00102  0.00102  0.50   98576     101   98525  6886609  69.86
1971-1979        2      0.00084  0.00084  0.50   98475      83   98434  6788084  68.93
1971-1979        3      0.00056  0.00056  0.50   98392      55   98365  6689650  67.99
1971-1979        4      0.00053  0.00053  0.50   98337      52   98311  6591285  67.03
1971-1979        5      0.00041  0.00041  0.50   98285      40   98265  6492974  66.06
1971-1979        6      0.00045  0.00045  0.50   98245      45   98222  6394710  65.09
1971-1979        7      0.00042  0.00042  0.50   98200      41   98179  6296487  64.12
1971-1979        8      0.00030  0.00030  0.50   98159      30   98144  6198308  63.15
1971-1979        9      0.00033  0.00033  0.50   98129      33   98113  6100164  62.16
1971-1979       10      0.00031  0.00031  0.50   98097      31   98082  6002051  61.18
1971-1979       11      0.00031  0.00031  0.50   98066      31   98051  5903969  60.20
1971-1979       12      0.00032  0.00032  0.50   98035      31   98020  5805918  59.22
1971-1979       13      0.00040  0.00040  0.50   98004      39   97985  5707898  58.24
1971-1979       14      0.00049  0.00049  0.50   97965      48   97941  5609914  57.26
1971-1979       15      0.00060  0.00060  0.50   97917      59   97887  5511973  56.29
1971-1979       16      0.00084  0.00084  0.50   97858      82   97817  5414086  55.33
1971-1979       17      0.00113  0.00113  0.50   97776     110   97721  5316269  54.37
1971-1979       18      0.00193  0.00193  0.50   97666     189   97571  5218548  53.43
1971-1979       19      0.00200  0.00200  0.50   97477     195   97379  5120977  52.54
1971-1979       20      0.00180  0.00180  0.50   97282     175   97194  5023597  51.64
1971-1979       21      0.00171  0.00171  0.50   97107     166   97024  4926403  50.73
1971-1979       22      0.00166  0.00166  0.50   96940     161   96860  4829379  49.82
1971-1979       23      0.00148  0.00148  0.50   96779     143   96708  4732519  48.90
1971-1979       24      0.00145  0.00145  0.50   96636     140   96566  4635812  47.97
1971-1979       25      0.00116  0.00116  0.50   96496     112   96440  4539246  47.04
1971-1979       26      0.00109  0.00109  0.50   96385     105   96332  4442805  46.09
1971-1979       27      0.00122  0.00122  0.50   96280     118   96221  4346473  45.14
1971-1979       28      0.00112  0.00112  0.50   96162     107   96108  4250252  44.20
1971-1979       29      0.00115  0.00115  0.50   96055     110   96000  4154143  43.25
1971-1979       30      0.00107  0.00107  0.50   95945     103   95893  4058144  42.30
1971-1979       31      0.00125  0.00125  0.50   95842     120   95782  3962251  41.34
1971-1979       32      0.00118  0.00118  0.50   95722     113   95666  3866468  40.39
1971-1979       33      0.00119  0.00119  0.50   95610     113   95553  3770803  39.44
1971-1979       34      0.00134  0.00134  0.50   95496     128   95432  3675250  38.49
1971-1979       35      0.00144  0.00143  0.50   95368     137   95300  3579817  37.54
1971-1979       36      0.00151  0.00151  0.50   95232     144   95160  3484517  36.59
1971-1979       37      0.00178  0.00177  0.50   95088     169   95004  3389358  35.64
1971-1979       38      0.00202  0.00201  0.50   94919     191   94824  3294354  34.71
1971-1979       39      0.00217  0.00217  0.50   94728     205   94625  3199530  33.78
1971-1979       40      0.00216  0.00215  0.50   94523     204   94421  3104905  32.85
1971-1979       41      0.00244  0.00243  0.50   94319     229   94205  3010484  31.92
1971-1979       42      0.00300  0.00299  0.50   94090     282   93949  2916279  30.99
1971-1979       43      0.00344  0.00343  0.50   93808     322   93647  2822330  30.09
1971-1979       44      0.00403  0.00402  0.50   93487     376   93299  2728683  29.19
1971-1979       45      0.00422  0.00422  0.50   93111     392   92915  2635384  28.30
1971-1979       46      0.00482  0.00481  0.50   92718     446   92495  2542469  27.42
1971-1979       47      0.00518  0.00517  0.50   92273     477   92034  2449974  26.55
1971-1979       48      0.00594  0.00592  0.50   91796     543   91524  2357940  25.69
1971-1979       49      0.00681  0.00679  0.50   91252     620   90943  2266416  24.84
1971-1979       50      0.00727  0.00724  0.50   90633     656   90305  2175473  24.00
1971-1979       51      0.00746  0.00744  0.50   89977     669   89642  2085168  23.17
1971-1979       52      0.00936  0.00931  0.50   89308     832   88892  1995526  22.34
1971-1979       53      0.00975  0.00971  0.50   88476     859   88046  1906634  21.55
1971-1979       54      0.01098  0.01092  0.50   87617     957   87139  1818588  20.76
1971-1979       55      0.01146  0.01139  0.50   86660     987   86167  1731449  19.98
1971-1979       56      0.01301  0.01292  0.50   85673    1107   85119  1645283  19.20
1971-1979       57      0.01436  0.01426  0.50   84566    1206   83963  1560163  18.45
1971-1979       58      0.01656  0.01643  0.50   83360    1369   82675  1476200  17.71
1971-1979       59      0.01828  0.01811  0.50   81990    1485   81248  1393525  17.00
1971-1979       60      0.01936  0.01918  0.50   80506    1544   79734  1312277  16.30
1971-1979       61      0.02094  0.02073  0.50   78962    1636   78143  1232544  15.61
1971-1979       62      0.02354  0.02326  0.50   77325    1799   76426  1154400  14.93
1971-1979       63      0.02606  0.02572  0.50   75526    1943   74555  1077974  14.27
1971-1979       64      0.02799  0.02761  0.50   73584    2031   72568  1003419  13.64
1971-1979       65      0.03161  0.03112  0.50   71552    2226   70439   930851  13.01
1971-1979       66      0.03117  0.03069  0.50   69326    2128   68262   860412  12.41
1971-1979       67      0.03753  0.03684  0.50   67198    2476   65961   792150  11.79
1971-1979       68      0.04067  0.03986  0.50   64723    2580   63433   726190  11.22
1971-1979       69      0.04631  0.04527  0.50   62143    2813   60736   662757  10.67
1971-1979       70      0.04723  0.04615  0.50   59330    2738   57961   602020  10.15
1971-1979       71      0.04993  0.04871  0.50   56592    2757   55214   544059   9.61
1971-1979       72      0.05967  0.05794  0.50   53836    3119   52276   488845   9.08
1971-1979       73      0.06376  0.06179  0.50   50716    3134   49149   436569   8.61
1971-1979       74      0.07196  0.06946  0.50   47583    3305   45930   387420   8.14
1971-1979       75      0.07821  0.07527  0.50   44278    3333   42611   341490   7.71
1971-1979       76      0.08454  0.08111  0.50   40945    3321   39284   298879   7.30
1971-1979       77      0.08797  0.08427  0.50   37624    3170   36039   259594   6.90
1971-1979       78      0.10178  0.09685  0.50   34453    3337   32785   223556   6.49
1971-1979       79      0.11028  0.10452  0.50   31116    3252   29490   190771   6.13
1971-1979       80      0.11754  0.11102  0.50   27864    3093   26317   161281   5.79
1971-1979       81      0.12226  0.11522  0.50   24771    2854   23344   134964   5.45
1971-1979       82      0.14267  0.13317  0.50   21917    2919   20457   111620   5.09
1971-1979       83      0.16055  0.14862  0.50   18998    2823   17586    91163   4.80
1971-1979       84      0.17063  0.15721  0.50   16175    2543   14903    73576   4.55
1971-1979       85      0.17613  0.16187  0.50   13632    2207   12528    58673   4.30
1971-1979       86      0.19952  0.18142  0.50   11425    2073   10389    46145   4.04
1971-1979       87      0.21557  0.19460  0.50    9352    1820    8442    35756   3.82
1971-1979       88      0.23050  0.20668  0.50    7532    1557    6754    27313   3.63
1971-1979       89      0.24564  0.21877  0.50    5976    1307    5322    20559   3.44
1971-1979       90      0.25266  0.22432  0.50    4668    1047    4145    15237   3.26
1971-1979       91      0.27260  0.23990  0.50    3621     869    3187    11092   3.06
1971-1979       92      0.30250  0.26276  0.50    2752     723    2391     7906   2.87
1971-1979       93      0.33518  0.28707  0.50    2029     583    1738     5515   2.72
1971-1979       94      0.31834  0.27463  0.50    1447     397    1248     3777   2.61
1971-1979       95      0.37429  0.31528  0.50    1049     331     884     2529   2.41
1971-1979       96      0.39794  0.33190  0.50     719     238     599     1645   2.29
1971-1979       97      0.42208  0.34853  0.50     480     167     396     1045   2.18
1971-1979       98      0.44660  0.36508  0.50     313     114     256      649   2.08
1971-1979       99      0.47138  0.38147  0.50     199      76     161      393   1.98
1971-1979      100      0.49631  0.39763  0.50     123      49      98      233   1.89
1971-1979      101      0.52125  0.41348  0.50      74      31      59      134   1.82
1971-1979      102      0.54608  0.42896  0.50      43      19      34       76   1.74
1971-1979      103      0.57069  0.44400  0.50      25      11      19       42   1.68
1971-1979      104      0.59496  0.45855  0.50      14       6      11       22   1.62
1971-1979      105      0.61877  0.47256  0.50       7       4       6       12   1.56
1971-1979      106      0.64202  0.48601  0.50       4       2       3        6   1.51
1971-1979      107      0.66462  0.49885  0.50       2       1       2        3   1.47
1971-1979      108      0.68649  0.51107  0.50       1       1       1        1   1.43
1971-1979      109      0.70757  0.52266  0.50       0       0       0        1   1.39
1971-1979      110+     0.72779  1.00000  1.37       0       0       0        0   1.37
1980-1989        0      0.00984  0.00975  0.13  100000     975   99151  7268822  72.69
1980-1989        1      0.00069  0.00069  0.50   99025      69   98990  7169671  72.40
1980-1989        2      0.00050  0.00050  0.50   98956      50   98931  7070681  71.45
1980-1989        3      0.00045  0.00045  0.50   98906      45   98884  6971749  70.49
1980-1989        4      0.00038  0.00038  0.50   98862      38   98843  6872865  69.52
1980-1989        5      0.00027  0.00027  0.50   98824      27   98811  6774022  68.55
1980-1989        6      0.00033  0.00033  0.50   98797      32   98781  6675212  67.56
1980-1989        7      0.00026  0.00026  0.50   98765      25   98752  6576430  66.59
1980-1989        8      0.00026  0.00025  0.50   98740      25   98727  6477678  65.60
1980-1989        9      0.00023  0.00023  0.50   98715      23   98703  6378951  64.62
1980-1989       10      0.00024  0.00024  0.50   98692      24   98680  6280247  63.64
1980-1989       11      0.00026  0.00026  0.50   98668      26   98655  6181568  62.65
1980-1989       12      0.00030  0.00030  0.50   98642      29   98627  6082913  61.67
1980-1989       13      0.00030  0.00030  0.50   98613      30   98598  5984286  60.68
1980-1989       14      0.00037  0.00037  0.50   98582      36   98564  5885688  59.70
1980-1989       15      0.00043  0.00043  0.50   98546      42   98525  5787124  58.73
1980-1989       16      0.00062  0.00062  0.50   98504      61   98473  5688599  57.75
1980-1989       17      0.00088  0.00088  0.50   98442      86   98399  5590126  56.79
1980-1989       18      0.00143  0.00143  0.50   98356     140   98285  5491727  55.84
