WA,  Births (1-year)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1911            3967      4124      8091
1912            4220      4469      8689
1913            4508      4710      9218
1914            4541      4663      9204
1915            4439      4578      9017
1916            4124      4439      8563
1917            3824      4058      7882
1918            3491      3615      7106
1919            3460      3477      6937
1920            3893      4256      8149
1921            3819      3988      7807
1922            3968      4163      8131
1923            3840      4014      7854
1924            4086      4215      8301
1925            3975      4210      8185
1926            3995      4306      8301
1927            4116      4366      8482
1928            4211      4493      8704
1929            4503      4548      9051
1930            4373      4827      9200
1931            4121      4428      8549
1932            3843      4122      7965
1933            3893      3981      7874
1934            3843      3958      7801
1935            3936      4183      8119
1936            4192      4287      8479
1937            4193      4416      8609
1938            4466      4675      9141
1939            4387      4649      9036
1940            4533      4588      9121
1941            5010      5108     10118
1942            4882      5019      9901
1943            5124      5357     10481
1944            5326      5544     10870
1945            5272      5400     10672
1946            5820      6285     12105
1947            6294      6580     12874
1948            6267      6664     12931
1949            6685      6826     13511
1950            6935      7293     14228
1951            7110      7684     14794
1952            7587      7826     15413
1953            7806      8056     15862
1954            7792      8136     15928
1955            8187      8436     16623
1956            8046      8870     16916
1957            8186      8738     16924
1958            8199      8532     16731
1959            8385      8726     17111
1960            8227      8699     16926
1961            8278      8800     17078
1962            8240      8824     17064
1963            8421      8869     17290
1964            8115      8570     16685
1965            7906      8280     16186
1966            8292      8902     17194
1967            8701      9322     18023
1968            9471     10070     19541
1969           10159     10595     20754
1970           10446     11172     21618
1971           11741     12498     24239
1972           10857     11354     22211
1973           10084     10447     20531
1974            9946     10297     20243
1975            9888     10477     20365
1976           10027     10673     20700
1977            9956     10732     20688
1978            9966     10696     20662
1979           10092     10423     20515
1980           10110     10542     20652
1981           10545     11355     21900
1982           10860     11401     22261
1983           11177     11910     23087
1984           10473     11152     21625
1985           11334     11775     23109
1986           11788     12448     24236
1987           11288     12044     23332
1988           12269     12874     25143
1989           12268     12783     25051
1990           12274     13082     25356
1991           12458     12959     25417
1992           12194     12879     25073
1993           12156     12925     25081
1994           12271     12867     25138
1995           12197     12942     25139
1996           11980     12813     24793
1997           11966     12810     24776
1998           12062     12655     24717
1999           12163     12686     24849
2000           12330     12763     25093
2001           11673     12329     24002
2002           11499     12102     23601
2003           11826     12447     24273
2004           12327     12968     25295
2005           12728     13525     26253
2006           13735     14042     27777
2007           14143     15022     29165
2008           15533     16318     31851
2009           14983     15896     30879
2010           15361     16063     31424
2011           15702     16557     32259
2012           16373     17254     33627
2013           16842     17674     34516
2014           17219     18184     35403
2015           17059     18076     35135
2016           17033     18396     35429
2017           16755     17743     34498
2018           16144     17113     33257
2019           16221     17318     33539
2020           15789     16637     32426
2021           16573     17466     34039
