WA, Deaths (period 5x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0               646.15          889.30         1535.45
1971-1974      1-4               159.04          190.06          349.10
1971-1974      5-9                58.01           89.02          147.03
1971-1974     10-14               40.01           88.02          128.03
1971-1974     15-19              118.04          305.10          423.14
1971-1974     20-24               89.02          362.09          451.11
1971-1974     25-29               70.03          252.10          322.13
1971-1974     30-34               95.01          239.05          334.06
1971-1974     35-39              164.05          288.10          452.15
1971-1974     40-44              217.06          394.16          611.22
1971-1974     45-49              362.07          678.22         1040.29
1971-1974     50-54              474.10          849.26         1323.36
1971-1974     55-59              675.18         1273.41         1948.59
1971-1974     60-64              920.24         1869.60         2789.84
1971-1974     65-69             1174.27         2405.80         3580.07
1971-1974     70-74             1556.35         2593.84         4150.19
1971-1974     75-79             1808.42         2083.66         3892.08
1971-1974     80-84             1821.42         1690.58         3512.00
1971-1974     85-89             1385.33          962.30         2347.63
1971-1974     90-94              746.18          346.11         1092.29
1971-1974     95-99              199.04           89.04          288.08
1971-1974    100-104              36.02            6.01           42.03
1971-1974    105-109               0.00            0.00            0.00
1971-1974    110+                  0.00            0.00            0.00
1975-1979        0               543.10          733.16         1276.26
1975-1979      1-4               139.01          200.07          339.08
1975-1979      5-9                66.00           95.01          161.01
1975-1979     10-14               53.02           99.02          152.04
1975-1979     15-19              134.02          376.07          510.09
1975-1979     20-24              132.03          455.12          587.15
1975-1979     25-29              113.02          352.07          465.09
1975-1979     30-34              127.02          351.11          478.13
1975-1979     35-39              174.03          366.07          540.10
1975-1979     40-44              276.06          447.08          723.14
1975-1979     45-49              421.09          815.18         1236.27
1975-1979     50-54              596.12         1198.28         1794.40
1975-1979     55-59              761.15         1577.36         2338.51
1975-1979     60-64             1115.20         2208.48         3323.68
1975-1979     65-69             1612.26         3050.67         4662.93
1975-1979     70-74             1998.35         3453.75         5452.10
1975-1979     75-79             2474.45         3233.73         5708.18
1975-1979     80-84             2441.47         1974.42         4415.89
1975-1979     85-89             1980.35         1208.26         3188.61
1975-1979     90-94             1028.18          446.09         1474.27
1975-1979     95-99              350.06           91.05          441.11
1975-1979    100-104              44.24            8.01           52.25
1975-1979    105-109               0.76            0.00            0.76
1975-1979    110+                  0.00            0.00            0.00
1980-1984        0               446.24          608.27         1054.51
1980-1984      1-4               103.05          118.06          221.11
