WA, Life expectancy at birth (period, 1x1)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1971        75.43    68.50    71.73
  1972        76.52    69.60    72.86
  1973        76.32    68.93    72.40
  1974        76.75    69.62    72.98
  1975        77.29    69.55    73.18
  1976        77.71    70.56    73.96
  1977        77.65    70.75    74.04
  1978        78.12    71.50    74.69
  1979        78.41    71.45    74.78
  1980        78.61    71.68    75.01
  1981        79.56    72.21    75.73
  1982        79.49    72.50    75.88
  1983        79.76    73.02    76.29
  1984        79.76    73.27    76.43
  1985        79.61    73.38    76.44
  1986        79.62    73.14    76.29
  1987        80.74    73.92    77.25
  1988        80.23    73.74    76.91
  1989        80.55    74.28    77.37
  1990        80.79    74.89    77.82
  1991        81.08    75.15    78.09
  1992        80.89    75.27    78.07
  1993        81.19    75.04    78.07
  1994        81.33    75.58    78.44
  1995        81.73    75.95    78.81
  1996        81.53    75.56    78.51
  1997        81.83    76.27    79.04
  1998        82.38    76.58    79.47
  1999        82.59    76.77    79.67
  2000        82.92    77.49    80.22
  2001        83.25    77.84    80.56
  2002        82.74    78.24    80.52
  2003        83.23    78.44    80.85
  2004        83.67    78.86    81.29
  2005        84.02    79.13    81.58
  2006        83.97    79.24    81.61
  2007        83.89    79.23    81.56
  2008        84.05    79.15    81.58
  2009        84.31    79.69    82.00
  2010        84.76    79.82    82.27
  2011        84.94    80.42    82.67
  2012        84.76    80.58    82.67
  2013        85.03    80.68    82.85
  2014        85.16    80.79    82.96
  2015        84.99    80.60    82.79
  2016        85.05    80.61    82.81
  2017        85.55    81.10    83.31
  2018        85.75    81.52    83.63
  2019        85.96    81.74    83.84
  2020        86.21    82.24    84.22
