WA,  Exposures (Lexis triangle)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971     5622.86     5944.43    11567.28
 1971    0      1970     5374.08     5637.39    11011.47
 1971    1      1970     5538.70     5822.16    11360.86
 1971    1      1969     5283.70     5518.74    10802.44
 1971    2      1969     5309.22     5555.07    10864.29
 1971    2      1968     5193.66     5444.55    10638.21
 1971    3      1968     5343.82     5617.95    10961.77
 1971    3      1967     5040.36     5357.04    10397.40
 1971    4      1967     5108.09     5393.75    10501.84
 1971    4      1966     4959.39     5257.36    10216.75
 1971    5      1966     5069.44     5421.45    10490.88
 1971    5      1965     4955.85     5195.24    10151.09
 1971    6      1965     4960.59     5223.44    10184.03
 1971    6      1964     5096.51     5336.94    10433.45
 1971    7      1964     5056.01     5293.59    10349.60
 1971    7      1963     5260.29     5527.82    10788.11
 1971    8      1963     5244.59     5494.44    10739.02
 1971    8      1962     5313.67     5631.08    10944.75
 1971    9      1962     5386.17     5714.94    11101.11
 1971    9      1961     5319.64     5655.10    10974.74
 1971   10      1961     5336.75     5690.43    11027.18
 1971   10      1960     5297.12     5586.35    10883.47
 1971   11      1960     5404.67     5768.92    11173.59
 1971   11      1959     5189.40     5447.74    10637.14
 1971   12      1959     5287.50     5592.17    10879.67
 1971   12      1958     5121.98     5372.21    10494.19
 1971   13      1958     5210.17     5470.84    10681.01
 1971   13      1957     5022.55     5314.74    10337.29
 1971   14      1957     5133.17     5350.84    10484.01
 1971   14      1956     4935.76     5311.28    10247.03
 1971   15      1956     4967.58     5293.26    10260.84
 1971   15      1955     4885.79     5173.32    10059.10
 1971   16      1955     4974.18     5337.59    10311.77
 1971   16      1954     4718.01     4856.55     9574.56
 1971   17      1954     4886.67     5041.59     9928.26
 1971   17      1953     4595.49     4695.62     9291.10
 1971   18      1953     4682.35     4770.52     9452.87
 1971   18      1952     4527.17     4711.22     9238.39
 1971   19      1952     4713.02     4780.42     9493.44
 1971   19      1951     4463.60     4725.35     9188.95
 1971   20      1951     4573.69     4816.09     9389.78
 1971   20      1950     4492.08     4709.90     9201.98
 1971   21      1950     4551.19     4841.77     9392.97
 1971   21      1949     4540.63     4747.56     9288.18
 1971   22      1949     4599.35     4847.40     9446.75
 1971   22      1948     4575.59     4983.11     9558.71
 1971   23      1948     4624.43     4983.98     9608.41
 1971   23      1947     4760.66     5422.29    10182.95
 1971   24      1947     4717.94     5287.94    10005.88
 1971   24      1946     4353.68     5120.10     9473.79
 1971   25      1946     5078.68     5786.34    10865.02
 1971   25      1945     3851.83     4528.89     8380.73
 1971   26      1945     3839.67     4590.63     8430.30
 1971   26      1944     3874.15     4451.05     8325.19
 1971   27      1944     3974.02     4527.30     8501.32
 1971   27      1943     3657.82     4204.77     7862.59
 1971   28      1943     3901.35     4404.57     8305.92
 1971   28      1942     3539.63     4035.82     7575.45
 1971   29      1942     3562.34     4022.07     7584.41
 1971   29      1941     3548.98     3986.53     7535.50
 1971   30      1941     3622.18     4090.67     7712.85
 1971   30      1940     3380.78     3808.82     7189.60
 1971   31      1940     3575.52     3934.38     7509.90
 1971   31      1939     3314.24     3657.66     6971.90
 1971   32      1939     3306.92     3776.71     7083.64
 1971   32      1938     3301.48     3561.77     6863.25
 1971   33      1938     3418.76     3657.21     7075.97
 1971   33      1937     3184.60     3461.14     6645.74
 1971   34      1937     3289.85     3585.88     6875.73
 1971   34      1936     3172.38     3418.01     6590.39
 1971   35      1936     3216.11     3469.55     6685.65
 1971   35      1935     3108.24     3348.33     6456.57
 1971   36      1935     3228.10     3466.13     6694.23
 1971   36      1934     2923.74     3187.54     6111.28
 1971   37      1934     3045.01     3244.03     6289.04
 1971   37      1933     2887.67     3135.67     6023.34
 1971   38      1933     2852.10     3142.26     5994.35
 1971   38      1932     2924.59     3209.68     6134.27
 1971   39      1932     2978.08     3211.08     6189.15
 1971   39      1931     3003.10     3424.50     6427.60
 1971   40      1931     2894.17     3264.38     6158.55
 1971   40      1930     3041.76     3424.13     6465.89
 1971   41      1930     3129.17     3590.46     6719.64
 1971   41      1929     2974.95     3293.37     6268.32
 1971   42      1929     2998.54     3295.53     6294.08
 1971   42      1928     2987.10     3348.39     6335.49
 1971   43      1928     2985.51     3309.29     6294.80
 1971   43      1927     2940.83     3265.61     6206.44
 1971   44      1927     2996.70     3379.11     6375.81
 1971   44      1926     2916.76     3279.68     6196.44
 1971   45      1926     2915.36     3219.44     6134.80
 1971   45      1925     2866.54     3243.39     6109.94
 1971   46      1925     2943.85     3388.59     6332.44
 1971   46      1924     2781.47     3069.31     5850.78
 1971   47      1924     2782.48     3071.31     5853.79
 1971   47      1923     2762.87     3025.96     5788.82
 1971   48      1923     2770.43     3041.97     5812.40
 1971   48      1922     2772.17     2966.05     5738.22
 1971   49      1922     2769.39     2994.38     5763.78
 1971   49      1921     2816.09     2947.64     5763.73
 1971   50      1921     2786.77     2939.19     5725.96
 1971   50      1920     2628.15     2778.77     5406.92
 1971   51      1920     2810.27     2920.18     5730.44
 1971   51      1919     2275.61     2356.74     4632.35
 1971   52      1919     2432.86     2586.65     5019.50
 1971   52      1918     2139.52     2120.90     4260.41
 1971   53      1918     2157.14     2110.91     4268.05
 1971   53      1917     2161.87     2182.23     4344.10
 1971   54      1917     2145.73     2114.32     4260.05
 1971   54      1916     2232.75     2236.04     4468.79
 1971   55      1916     2198.05     2248.65     4446.70
 1971   55      1915     2303.53     2269.42     4572.95
