WA, Death rates (period 1x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             0.013003        0.016784        0.014946
1971-1979        1             0.001345        0.001507        0.001428
1971-1979        2             0.000890        0.001034        0.000964
1971-1979        3             0.000479        0.000832        0.000660
1971-1979        4             0.000444        0.000539        0.000493
1971-1979        5             0.000235        0.000446        0.000344
1971-1979        6             0.000286        0.000435        0.000362
1971-1979        7             0.000326        0.000395        0.000362
1971-1979        8             0.000194        0.000241        0.000218
1971-1979        9             0.000226        0.000262        0.000244
1971-1979       10             0.000258        0.000360        0.000310
1971-1979       11             0.000165        0.000379        0.000275
1971-1979       12             0.000124        0.000340        0.000235
1971-1979       13             0.000176        0.000388        0.000285
1971-1979       14             0.000238        0.000350        0.000296
1971-1979       15             0.000405        0.000626        0.000519
1971-1979       16             0.000450        0.000982        0.000723
1971-1979       17             0.000434        0.001542        0.000999
1971-1979       18             0.000773        0.002002        0.001398
1971-1979       19             0.000619        0.001821        0.001229
1971-1979       20             0.000724        0.001982        0.001363
1971-1979       21             0.000353        0.001908        0.001146
1971-1979       22             0.000464        0.001727        0.001111
1971-1979       23             0.000353        0.001542        0.000965
1971-1979       24             0.000543        0.001432        0.001002
1971-1979       25             0.000442        0.001331        0.000902
1971-1979       26             0.000362        0.001209        0.000803
1971-1979       27             0.000383        0.001281        0.000852
1971-1979       28             0.000500        0.001059        0.000793
1971-1979       29             0.000443        0.001559        0.001029
1971-1979       30             0.000561        0.001392        0.000998
1971-1979       31             0.000579        0.001191        0.000900
1971-1979       32             0.000616        0.001488        0.001074
1971-1979       33             0.000559        0.001580        0.001093
1971-1979       34             0.000744        0.001745        0.001267
1971-1979       35             0.000899        0.001685        0.001308
1971-1979       36             0.000954        0.001590        0.001284
1971-1979       37             0.000848        0.001857        0.001371
1971-1979       38             0.001311        0.002058        0.001698
1971-1979       39             0.001429        0.002560        0.002016
1971-1979       40             0.001539        0.002187        0.001876
1971-1979       41             0.001323        0.002420        0.001896
1971-1979       42             0.001983        0.003000        0.002516
1971-1979       43             0.001776        0.003040        0.002439
1971-1979       44             0.002254        0.003145        0.002722
1971-1979       45             0.002291        0.004249        0.003319
1971-1979       46             0.002663        0.004548        0.003653
1971-1979       47             0.002998        0.004962        0.004028
1971-1979       48             0.003017        0.005665        0.004403
1971-1979       49             0.003755        0.006091        0.004975
1971-1979       50             0.004657        0.006538        0.005637
1971-1979       51             0.003771        0.007096        0.005497
1971-1979       52             0.004483        0.008248        0.006429
1971-1979       53             0.003778        0.008427        0.006163
1971-1979       54             0.005152        0.009093        0.007157
1971-1979       55             0.005620        0.010315        0.007992
1971-1979       56             0.006224        0.012054        0.009143
1971-1979       57             0.006335        0.012815        0.009551
1971-1979       58             0.007367        0.014784        0.011025
1971-1979       59             0.007731        0.017115        0.012337
1971-1979       60             0.009430        0.019008        0.014107
1971-1979       61             0.008763        0.018201        0.013356
1971-1979       62             0.009748        0.023611        0.016495
1971-1979       63             0.011762        0.023354        0.017384
1971-1979       64             0.012628        0.026661        0.019429
1971-1979       65             0.014824        0.031192        0.022758
1971-1979       66             0.014129        0.029816        0.021714
1971-1979       67             0.016776        0.035572        0.025823
1971-1979       68             0.018349        0.038332        0.027914
1971-1979       69             0.020405        0.043696        0.031520
1971-1979       70             0.022383        0.046768        0.033938
1971-1979       71             0.023130        0.048471        0.035068
1971-1979       72             0.028924        0.054785        0.040971
1971-1979       73             0.032828        0.062768        0.046575
1971-1979       74             0.034044        0.064256        0.047620
1971-1979       75             0.040916        0.072987        0.055040
1971-1979       76             0.044487        0.078747        0.059179
1971-1979       77             0.046766        0.087332        0.063588
1971-1979       78             0.057508        0.099488        0.074321
1971-1979       79             0.064460        0.104322        0.079901
1971-1979       80             0.067623        0.117988        0.086215
1971-1979       81             0.073687        0.124511        0.091950
1971-1979       82             0.079056        0.124230        0.094854
1971-1979       83             0.097529        0.143858        0.113280
1971-1979       84             0.106284        0.157007        0.123053
1971-1979       85             0.114949        0.179338        0.135652
1971-1979       86             0.130174        0.187682        0.148168
1971-1979       87             0.141584        0.192992        0.157292
1971-1979       88             0.148838        0.212614        0.167845
1971-1979       89             0.164618        0.241424        0.186609
1971-1979       90             0.191090        0.257969        0.209274
1971-1979       91             0.200512        0.276586        0.220275
