WA, Death rates (period 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0             0.015496        0.020242        0.017931
1971-1974        1             0.001651        0.001612        0.001631
1971-1974        2             0.000894        0.001088        0.000993
1971-1974        3             0.000666        0.000828        0.000749
1971-1974        4             0.000470        0.000647        0.000561
1971-1974        5             0.000312        0.000498        0.000408
1971-1974        6             0.000171        0.000506        0.000343
1971-1974        7             0.000318        0.000301        0.000309
1971-1974        8             0.000291        0.000344        0.000318
1971-1974        9             0.000310        0.000384        0.000348
1971-1974       10             0.000282        0.000443        0.000365
1971-1974       11             0.000209        0.000415        0.000315
1971-1974       12             0.000117        0.000328        0.000226
1971-1974       13             0.000165        0.000354        0.000263
1971-1974       14             0.000167        0.000405        0.000290
1971-1974       15             0.000342        0.000579        0.000463
1971-1974       16             0.000597        0.000997        0.000802
1971-1974       17             0.000557        0.001727        0.001154
1971-1974       18             0.000850        0.002411        0.001645
1971-1974       19             0.000651        0.001769        0.001218
1971-1974       20             0.000580        0.001988        0.001295
1971-1974       21             0.000424        0.002238        0.001351
1971-1974       22             0.000399        0.001458        0.000943
1971-1974       23             0.000425        0.001700        0.001086
1971-1974       24             0.000533        0.001675        0.001130
1971-1974       25             0.000447        0.001371        0.000933
1971-1974       26             0.000303        0.001234        0.000798
1971-1974       27             0.000433        0.001237        0.000862
1971-1974       28             0.000464        0.000811        0.000649
1971-1974       29             0.000393        0.001856        0.001169
1971-1974       30             0.000670        0.001499        0.001108
1971-1974       31             0.000652        0.001367        0.001027
1971-1974       32             0.000816        0.001631        0.001245
1971-1974       33             0.000505        0.001478        0.001014
1971-1974       34             0.000701        0.001652        0.001198
1971-1974       35             0.001090        0.001868        0.001495
1971-1974       36             0.001069        0.001842        0.001470
1971-1974       37             0.001173        0.002151        0.001679
1971-1974       38             0.001544        0.002071        0.001818
1971-1974       39             0.001622        0.002609        0.002135
1971-1974       40             0.001657        0.002469        0.002082
