WA, Population size (abridged)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             10757.79        11288.60        22046.39
  1971           1             10571.00        11040.17        21611.17
  1971           2             10388.54        10890.96        21279.50
  1971           3             10082.08        10714.85        20796.93
  1971           4              9918.93        10516.90        20435.83
  1971           5              9912.50        10391.25        20303.75
  1971           6             10193.19        10675.65        20868.84
  1971           7             10521.55        11055.81        21577.36
  1971           8             10627.50        11262.95        21890.45
  1971           9             10639.60        11311.00        21950.60
  1971          10             10594.73        11173.52        21768.25
  1971          11             10379.14        10896.29        21275.43
  1971          12             10243.96        10744.75        20988.71
  1971          13             10045.43        10630.14        20675.57
  1971          14              9871.84        10624.20        20496.04
  1971          15              9771.74        10347.12        20118.86
  1971          16              9437.32         9714.25        19151.57
  1971          17              9192.30         9393.39        18585.69
  1971          18              9055.98         9426.39        18482.37
  1971          19              8928.17         9452.52        18380.69
  1971          20              8985.46         9422.61        18408.07
  1971          21              9082.54         9498.23        18580.77
  1971          22              9151.82         9968.76        19120.58
  1971          23              9522.14        10847.28        20369.42
  1971          24              8708.16        10243.66        18951.82
  1971          25              7703.98         9060.77        16764.75
  1971          26              7748.62         8904.17        16652.79
  1971          27              7316.61         8410.94        15727.55
  1971          28              7079.90         8073.50        15153.40
  1971          29              7098.61         7975.92        15074.53
  1971          30              6761.87         7619.64        14381.51
  1971          31              6629.45         7317.89        13947.34
  1971          32              6603.78         7125.78        13729.56
  1971          33              6369.68         6923.53        13293.21
  1971          34              6346.39         6837.59        13183.98
  1971          35              6217.60         6699.57        12917.17
  1971          36              5848.62         6377.15        12225.77
  1971          37              5776.33         6274.28        12050.61
  1971          38              5850.32         6420.84        12271.16
  1971          39              6008.38         6852.17        12860.55
  1971          40              6084.85         6852.17        12937.02
  1971          41              5951.22         6589.49        12540.71
  1971          42              5976.12         6700.71        12676.83
  1971          43              5882.63         6534.65        12417.28
  1971          44              5835.79         6562.47        12398.26
  1971          45              5735.70         6490.57        12226.27
  1971          46              5566.58         6142.77        11709.35
  1971          47              5528.45         6057.29        11585.74
  1971          48              5548.15         5940.16        11488.31
  1971          49              5635.73         5899.85        11535.58
  1971          50              5260.76         5565.16        10825.92
  1971          51              4554.35         4719.79         9274.14
  1971          52              4282.65         4247.17         8529.82
  1971          53              4327.14         4369.63         8696.77
  1971          54              4469.04         4480.11         8949.15
  1971          55              4612.30         4546.20         9158.50
  1971          56              4666.66         4670.58         9337.24
  1971          57              4554.01         4630.98         9184.99
  1971          58              4310.78         4417.18         8727.96
  1971          59              4331.91         4281.45         8613.36
  1971          60              4134.64         4042.86         8177.50
  1971          61              3891.70         3863.71         7755.41
  1971          62              3923.25         3869.54         7792.79
  1971          63              3673.50         3654.94         7328.44
  1971          64              3594.52         3588.61         7183.13
  1971          65              3490.91         3466.11         6957.02
  1971          66              3202.65         3214.27         6416.92
  1971          67              3019.43         3129.11         6148.54
  1971          68              2862.28         2917.72         5780.00
  1971          69              2853.99         2753.28         5607.27
  1971          70              2807.58         2553.71         5361.29
  1971          71              2491.17         2173.08         4664.25
  1971          72              2200.38         1835.01         4035.39
  1971          73              1969.81         1573.35         3543.16
  1971          74              1869.33         1410.78         3280.11
  1971          75              1853.24         1301.79         3155.03
  1971          76              1677.11         1159.57         2836.68
  1971          77              1528.72         1034.40         2563.12
  1971          78              1417.04          952.70         2369.74
  1971          79              1315.90          872.56         2188.46
  1971          80              1234.56          821.23         2055.79
  1971          81              1124.09          699.07         1823.16
  1971          82              1006.15          564.12         1570.27
  1971          83               871.66          464.19         1335.85
  1971          84               719.45          393.22         1112.67
  1971          85               601.89          345.45          947.34
  1971          86               512.71          275.43          788.14
  1971          87               441.79          204.69          646.48
  1971          88               348.72          165.27          513.99
  1971          89               286.41          122.78          409.19
  1971          90               252.31           89.89          342.20
  1971          91               195.99           71.31          267.30
  1971          92               131.64           49.74          181.38
  1971          93                88.24           36.11          124.35
  1971          94                75.16           33.09          108.25
  1971          95                63.13           23.53           86.66
  1971          96                34.44           11.95           46.39
  1971          97                19.65            7.47           27.12
  1971          98                17.24            5.75           22.99
  1971          99                 9.87            2.49           12.36
  1971         100                 6.90            0.00            6.90
  1971         101                 4.14            0.00            4.14
  1971         102                 2.05            0.00            2.05
  1971         103                 0.86            0.00            0.86
  1971         104                 0.29            0.00            0.29
  1971         105                 0.00            0.00            0.00
  1971         106                 0.00            0.00            0.00
  1971         107                 0.00            0.00            0.00
  1971         108                 0.00            0.00            0.00
  1971         109                 0.00            0.00            0.00
  1971         110+                0.00            0.00            0.00
  1972           0             11189.00        11814.00        23003.00
  1972           1             11073.00        11641.00        22714.00
  1972           2             10617.00        11108.00        21725.00
  1972           3             10686.00        11235.00        21921.00
  1972           4             10216.00        10785.00        21001.00
  1972           5             10138.00        10842.00        20980.00
  1972           6              9921.00        10445.00        20366.00
  1972           7             10111.00        10587.00        20698.00
  1972           8             10489.00        10988.00        21477.00
  1972           9             10772.00        11429.00        22201.00
  1972          10             10673.00        11380.00        22053.00
  1972          11             10809.00        11537.00        22346.00
  1972          12             10575.00        11184.00        21759.00
  1972          13             10420.00        10941.00        21361.00
  1972          14             10266.00        10700.00        20966.00
  1972          15              9935.00        10586.00        20521.00
  1972          16              9947.00        10674.00        20621.00
  1972          17              9772.00        10081.00        19853.00
  1972          18              9363.00         9537.00        18900.00
  1972          19              9425.00         9559.00        18984.00
