WA, Population size (1-year)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             10757.79        11288.60        22046.39
  1971         1-4             40960.55        43162.88        84123.43
  1971         5-9             51894.34        54696.66       106591.00
  1971        10-14            51135.10        54068.90       105204.00
  1971        15-19            46385.51        48333.67        94719.18
  1971        20-24            45450.12        49980.54        95430.66
  1971        25-29            36947.72        42425.30        79373.02
  1971        30-34            32711.17        35824.43        68535.60
  1971        35-39            29701.25        32624.01        62325.26
  1971        40-44            29730.61        33239.49        62970.10
  1971        45-49            28014.61        30530.64        58545.25
  1971        50-54            22893.94        23381.86        46275.80
  1971        55-59            22475.66        22546.39        45022.05
  1971        60-64            19217.61        19019.66        38237.27
  1971        65-69            15429.26        15480.49        30909.75
  1971        70-74            11338.27         9545.93        20884.20
  1971        75-79             7792.01         5321.02        13113.03
  1971        80-84             4955.91         2941.83         7897.74
  1971        85-89             2191.52         1113.62         3305.14
  1971        90-94              743.34          280.14         1023.48
  1971        95-99              144.33           51.19          195.52
  1971       100-104              14.24            0.00           14.24
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0             11189.00        11814.00        23003.00
  1972         1-4             42592.00        44769.00        87361.00
  1972         5-9             51431.00        54291.00       105722.00
  1972        10-14            52743.00        55742.00       108485.00
  1972        15-19            48442.00        50437.00        98879.00
  1972        20-24            46128.00        49538.00        95666.00
  1972        25-29            40709.00        46649.00        87358.00
  1972        30-34            34422.00        38079.00        72501.00
  1972        35-39            30632.00        33053.00        63685.00
  1972        40-44            30000.00        33660.00        63660.00
  1972        45-49            28346.00        31405.00        59751.00
  1972        50-54            24647.00        25310.00        49957.00
  1972        55-59            22737.00        22553.00        45290.00
  1972        60-64            20123.00        19555.00        39678.00
  1972        65-69            16232.00        15927.00        32159.00
  1972        70-74            12335.00        10651.00        22986.00
  1972        75-79             7962.00         5359.00        13321.00
  1972        80-84             5155.53         2942.75         8098.28
  1972        85-89             2288.08         1118.68         3406.76
  1972        90-94              744.38          282.76         1027.14
  1972        95-99              141.70           52.34          194.04
  1972       100-104              11.66            1.53           13.19
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0             10190.00        10827.00        21017.00
  1973         1-4             43716.00        46109.00        89825.00
  1973         5-9             51072.00        53878.00       104950.00
  1973        10-14            53450.00        56853.00       110303.00
  1973        15-19            49483.00        51497.00       100980.00
  1973        20-24            46620.00        49363.00        95983.00
  1973        25-29            43298.00        49060.00        92358.00
  1973        30-34            35123.00        38945.00        74068.00
  1973        35-39            31470.00        33865.00        65335.00
  1973        40-44            29906.00        33216.00        63122.00
  1973        45-49            28752.00        32067.00        60819.00
  1973        50-54            25850.00        26876.00        52726.00
  1973        55-59            22660.00        22137.00        44797.00
  1973        60-64            20575.00        19968.00        40543.00
  1973        65-69            16996.00        16224.00        33220.00
  1973        70-74            12951.00        11443.00        24394.00
  1973        75-79             8136.00         5507.00        13643.00
  1973        80-84             5346.69         2963.82         8310.51
  1973        85-89             2392.67         1125.15         3517.82
  1973        90-94              800.67          289.88         1090.55
  1973        95-99              137.27           45.21          182.48
  1973       100-104              14.07            1.36           15.43
  1973       105-109               0.00            0.00            0.00
  1973       110+                  0.00            0.00            0.00
  1974           0              9928.00        10387.00        20315.00
  1974         1-4             44014.00        46411.00        90425.00
  1974         5-9             51783.00        54982.00       106765.00
  1974        10-14            53959.00        57714.00       111673.00
  1974        15-19            50897.00        52966.00       103863.00
  1974        20-24            48060.00        50335.00        98395.00
  1974        25-29            45505.00        51283.00        96788.00
  1974        30-34            36811.00        40767.00        77578.00
  1974        35-39            32954.00        35381.00        68335.00
  1974        40-44            29797.00        33158.00        62955.00
  1974        45-49            29214.00        32522.00        61736.00
  1974        50-54            27071.00        28597.00        55668.00
  1974        55-59            22422.00        21530.00        43952.00
  1974        60-64            21231.00        20642.00        41873.00
  1974        65-69            17617.00        16430.00        34047.00
  1974        70-74            13673.00        12066.00        25739.00
  1974        75-79             8381.00         5787.00        14168.00
  1974        80-84             5518.60         2991.53         8510.13
  1974        85-89             2517.33         1158.92         3676.25
  1974        90-94              847.86          292.20         1140.06
  1974        95-99              144.44           49.07          193.51
  1974       100-104              10.18            2.83           13.01
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0              9874.00        10328.00        20202.00
  1975         1-4             43898.00        46351.00        90249.00
  1975         5-9             53200.00        56573.00       109773.00
  1975        10-14            54067.00        57664.00       111731.00
  1975        15-19            51974.00        54396.00       106370.00
  1975        20-24            49907.00        51930.00       101837.00
  1975        25-29            48030.00        53191.00       101221.00
  1975        30-34            38573.00        42498.00        81071.00
  1975        35-39            34316.00        37235.00        71551.00
  1975        40-44            29696.00        32922.00        62618.00
  1975        45-49            30052.00        33163.00        63215.00
  1975        50-54            27493.00        29195.00        56688.00
  1975        55-59            22895.00        22119.00        45014.00
  1975        60-64            21980.00        21142.00        43122.00
  1975        65-69            18137.00        16738.00        34875.00
  1975        70-74            13909.00        12318.00        26227.00
  1975        75-79             9192.00         6380.00        15572.00
  1975        80-84             5707.04         3050.57         8757.61
  1975        85-89             2662.00         1177.51         3839.51
  1975        90-94              871.62          292.21         1163.83
  1975        95-99              168.35           54.98          223.33
  1975       100-104              10.15            0.00           10.15
  1975       105-109               0.00            0.00            0.00
  1975       110+                  0.00            0.00            0.00
  1976           0              9784.00        10267.00        20051.00
  1976         1-4             42751.00        45033.00        87784.00
  1976         5-9             55019.00        58700.00       113719.00
  1976        10-14            53636.00        57190.00       110826.00
  1976        15-19            53217.00        55840.00       109057.00
  1976        20-24            51580.00        53676.00       105256.00
  1976        25-29            50473.00        54751.00       105224.00
  1976        30-34            39595.00        43930.00        83525.00
  1976        35-39            35443.00        38341.00        73784.00
  1976        40-44            30049.00        32915.00        62964.00
  1976        45-49            30366.00        33424.00        63790.00
  1976        50-54            27956.00        30158.00        58114.00
  1976        55-59            23462.00        23147.00        46609.00
  1976        60-64            22707.00        21181.00        43888.00
  1976        65-69            18609.00        17181.00        35790.00
  1976        70-74            14270.00        12632.00        26902.00
  1976        75-79             9946.00         7086.00        17032.00
  1976        80-84             5838.72         3024.05         8862.77
  1976        85-89             2807.06         1222.97         4030.03
  1976        90-94              900.31          315.18         1215.49
  1976        95-99              169.10           44.28          213.38
  1976       100-104              16.60            0.85           17.45
  1976       105-109               0.00            0.00            0.00
  1976       110+                  0.00            0.00            0.00
  1977           0             10072.00        10698.00        20770.00
  1977         1-4             41380.00        43325.00        84705.00
  1977         5-9             57079.00        60431.00       117510.00
  1977        10-14            53969.00        57432.00       111401.00
  1977        15-19            54555.00        57237.00       111792.00
  1977        20-24            52647.00        54791.00       107438.00
  1977        25-29            51106.00        54464.00       105570.00
  1977        30-34            43294.00        47991.00        91285.00
  1977        35-39            36571.00        39492.00        76063.00
  1977        40-44            31255.00        33889.00        65144.00
  1977        45-49            30230.00        33080.00        63310.00
  1977        50-54            28258.00        30800.00        59058.00
  1977        55-59            24643.00        24322.00        48965.00
  1977        60-64            22734.00        21295.00        44029.00
  1977        65-69            19420.00        17571.00        36991.00
  1977        70-74            14771.00        13015.00        27786.00
