WA, Life tables (period 1x1), Total	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.02060  0.02023  0.11  100000    2023   98198  7173196  71.73
  1971           1      0.00190  0.00189  0.50   97977     185   97885  7074997  72.21
  1971           2      0.00093  0.00093  0.50   97792      91   97746  6977113  71.35
  1971           3      0.00066  0.00066  0.50   97701      64   97669  6879366  70.41
  1971           4      0.00072  0.00072  0.50   97637      71   97602  6781697  69.46
  1971           5      0.00048  0.00048  0.50   97566      47   97543  6684096  68.51
  1971           6      0.00058  0.00058  0.50   97519      57   97491  6586553  67.54
  1971           7      0.00033  0.00033  0.50   97462      32   97446  6489062  66.58
  1971           8      0.00028  0.00028  0.50   97430      27   97417  6391616  65.60
  1971           9      0.00032  0.00032  0.50   97403      31   97388  6294200  64.62
  1971          10      0.00037  0.00037  0.50   97372      36   97354  6196812  63.64
  1971          11      0.00032  0.00032  0.50   97337      31   97321  6099458  62.66
  1971          12      0.00009  0.00009  0.50   97305       9   97301  6002137  61.68
  1971          13      0.00029  0.00029  0.50   97296      28   97282  5904836  60.69
  1971          14      0.00058  0.00058  0.50   97268      56   97240  5807553  59.71
  1971          15      0.00020  0.00020  0.50   97212      19   97203  5710313  58.74
  1971          16      0.00075  0.00075  0.50   97193      73   97156  5613110  57.75
  1971          17      0.00109  0.00109  0.50   97120     106   97067  5515954  56.80
  1971          18      0.00182  0.00182  0.50   97014     176   96926  5418887  55.86
  1971          19      0.00091  0.00091  0.50   96837      88   96793  5321962  54.96
  1971          20      0.00140  0.00140  0.50   96749     135   96682  5225168  54.01
  1971          21      0.00150  0.00150  0.50   96614     145   96542  5128487  53.08
  1971          22      0.00105  0.00105  0.50   96469     101   96419  5031945  52.16
  1971          23      0.00111  0.00111  0.50   96368     107   96314  4935526  51.22
  1971          24      0.00139  0.00139  0.50   96261     133   96194  4839212  50.27
  1971          25      0.00114  0.00114  0.50   96128     110   96073  4743017  49.34
  1971          26      0.00090  0.00089  0.50   96018      86   95975  4646945  48.40
  1971          27      0.00092  0.00092  0.50   95932      88   95888  4550970  47.44
  1971          28      0.00101  0.00101  0.50   95844      97   95796  4455082  46.48
  1971          29      0.00146  0.00145  0.50   95747     139   95678  4359287  45.53
  1971          30      0.00101  0.00101  0.50   95608      96   95560  4263609  44.59
  1971          31      0.00152  0.00152  0.50   95512     145   95439  4168049  43.64
  1971          32      0.00136  0.00136  0.50   95367     130   95302  4072609  42.70
  1971          33      0.00080  0.00080  0.50   95237      76   95199  3977307  41.76
  1971          34      0.00149  0.00148  0.50   95161     141   95090  3882108  40.80
  1971          35      0.00190  0.00190  0.50   95020     181   94929  3787018  39.86
  1971          36      0.00156  0.00156  0.50   94839     148   94765  3692089  38.93
  1971          37      0.00195  0.00195  0.50   94691     184   94599  3597324  37.99
  1971          38      0.00132  0.00132  0.50   94507     125   94444  3502725  37.06
  1971          39      0.00254  0.00253  0.50   94382     239   94262  3408281  36.11
  1971          40      0.00246  0.00245  0.50   94143     231   94027  3314019  35.20
  1971          41      0.00193  0.00192  0.50   93912     181   93822  3219991  34.29
  1971          42      0.00285  0.00285  0.50   93731     267   93598  3126170  33.35
  1971          43      0.00216  0.00216  0.50   93464     202   93364  3032572  32.45
  1971          44      0.00263  0.00262  0.50   93263     245   93140  2939208  31.52
  1971          45      0.00319  0.00318  0.50   93018     296   92870  2846068  30.60
  1971          46      0.00386  0.00385  0.50   92722     357   92544  2753198  29.69
  1971          47      0.00430  0.00429  0.50   92365     396   92167  2660654  28.81
  1971          48      0.00615  0.00613  0.50   91969     564   91688  2568486  27.93
  1971          49      0.00434  0.00433  0.50   91406     396   91208  2476799  27.10
  1971          50      0.00647  0.00645  0.50   91010     587   90717  2385591  26.21
  1971          51      0.00589  0.00587  0.50   90423     531   90158  2294874  25.38
  1971          52      0.00582  0.00580  0.50   89892     522   89632  2204716  24.53
  1971          53      0.00581  0.00579  0.50   89371     517   89112  2115085  23.67
  1971          54      0.00779  0.00776  0.50   88853     690   88509  2025973  22.80
  1971          55      0.00832  0.00828  0.50   88164     730   87799  1937464  21.98
  1971          56      0.01068  0.01063  0.50   87434     929   86969  1849665  21.16
  1971          57      0.01303  0.01295  0.50   86504    1120   85944  1762696  20.38
  1971          58      0.01066  0.01060  0.50   85384     905   84932  1676752  19.64
  1971          59      0.01429  0.01419  0.50   84479    1199   83880  1591820  18.84
  1971          60      0.01342  0.01333  0.50   83280    1110   82725  1507940  18.11
  1971          61      0.01323  0.01314  0.50   82170    1080   81630  1425215  17.34
  1971          62      0.02040  0.02020  0.50   81091    1638   80272  1343585  16.57
  1971          63      0.02044  0.02024  0.50   79453    1608   78649  1263313  15.90
  1971          64      0.02072  0.02050  0.50   77845    1596   77047  1184664  15.22
  1971          65      0.02827  0.02788  0.50   76249    2125   75186  1107617  14.53
  1971          66      0.02396  0.02368  0.50   74123    1755   73246  1032431  13.93
  1971          67      0.02984  0.02940  0.50   72368    2128   71304   959185  13.25
  1971          68      0.02996  0.02951  0.50   70241    2073   69204   887881  12.64
  1971          69      0.03529  0.03468  0.50   68167    2364   66985   818677  12.01
  1971          70      0.04080  0.03999  0.50   65803    2631   64488   751691  11.42
  1971          71      0.03978  0.03900  0.50   63172    2464   61940   687204  10.88
  1971          72      0.04507  0.04408  0.50   60708    2676   59370   625263  10.30
  1971          73      0.05228  0.05094  0.50   58032    2956   56554   565893   9.75
  1971          74      0.05650  0.05494  0.50   55076    3026   53563   509339   9.25
  1971          75      0.06408  0.06209  0.50   52050    3232   50434   455776   8.76
  1971          76      0.07426  0.07160  0.50   48818    3495   47070   405343   8.30
  1971          77      0.06930  0.06698  0.50   45322    3035   43805   358272   7.90
  1971          78      0.07570  0.07294  0.50   42287    3084   40745   314468   7.44
  1971          79      0.09407  0.08984  0.50   39202    3522   37441   273723   6.98
  1971          80      0.09465  0.09037  0.50   35680    3224   34068   236282   6.62
  1971          81      0.10345  0.09837  0.50   32456    3193   30860   202214   6.23
  1971          82      0.11314  0.10708  0.50   29263    3134   27697   171354   5.86
  1971          83      0.12378  0.11656  0.50   26130    3046   24607   143657   5.50
  1971          84      0.13545  0.12686  0.50   23084    2928   21620   119050   5.16
  1971          85      0.14823  0.13800  0.50   20156    2782   18765    97431   4.83
  1971          86      0.16220  0.15003  0.50   17374    2607   16071    78666   4.53
  1971          87      0.17743  0.16297  0.50   14767    2407   13564    62595   4.24
  1971          88      0.19399  0.17683  0.50   12361    2186   11268    49031   3.97
  1971          89      0.21192  0.19161  0.50   10175    1950    9200    37763   3.71
  1971          90      0.23126  0.20729  0.50    8225    1705    7373    28563   3.47
  1971          91      0.25204  0.22383  0.50    6520    1459    5791    21190   3.25
  1971          92      0.27425  0.24118  0.50    5061    1221    4451    15400   3.04
  1971          93      0.29787  0.25925  0.50    3840     996    3342    10949   2.85
  1971          94      0.32283  0.27796  0.50    2845     791    2449     7607   2.67
  1971          95      0.34904  0.29718  0.50    2054     610    1749     5158   2.51
  1971          96      0.37640  0.31678  0.50    1444     457    1215     3409   2.36
  1971          97      0.40474  0.33662  0.50     986     332     820     2194   2.22
  1971          98      0.43389  0.35654  0.50     654     233     538     1374   2.10
  1971          99      0.46364  0.37638  0.50     421     158     342      836   1.99
  1971         100      0.49376  0.39600  0.50     263     104     211      494   1.88
  1971         101      0.52404  0.41524  0.50     159      66     126      284   1.79
  1971         102      0.55421  0.43396  0.50      93      40      73      158   1.71
  1971         103      0.58406  0.45205  0.50      52      24      41       86   1.63
  1971         104      0.61335  0.46940  0.50      29      14      22       45   1.56
  1971         105      0.64188  0.48593  0.50      15       7      12       23   1.50
  1971         106      0.66946  0.50157  0.50       8       4       6       11   1.45
  1971         107      0.69593  0.51628  0.50       4       2       3        5   1.40
  1971         108      0.72117  0.53004  0.50       2       1       1        3   1.36
  1971         109      0.74508  0.54285  0.50       1       0       1        1   1.32
  1971         110+     0.76759  1.00000  1.30       0       0       1        1   1.30
  1972           0      0.01570  0.01548  0.12  100000    1548   98633  7286120  72.86
  1972           1      0.00170  0.00170  0.50   98452     168   98368  7187487  73.01
  1972           2      0.00076  0.00076  0.50   98284      75   98247  7089119  72.13
  1972           3      0.00105  0.00105  0.50   98209     103   98158  6990873  71.18
  1972           4      0.00042  0.00042  0.50   98106      41   98086  6892715  70.26
  1972           5      0.00043  0.00043  0.50   98065      42   98044  6794630  69.29
  1972           6      0.00029  0.00029  0.50   98023      28   98009  6696586  68.32
  1972           7      0.00034  0.00034  0.50   97995      33   97978  6598577  67.34
  1972           8      0.00043  0.00043  0.50   97961      42   97940  6500599  66.36
  1972           9      0.00027  0.00027  0.50   97920      27   97906  6402659  65.39
  1972          10      0.00036  0.00036  0.50   97893      35   97875  6304752  64.40
  1972          11      0.00050  0.00050  0.50   97857      48   97833  6206877  63.43
  1972          12      0.00018  0.00018  0.50   97809      18   97800  6109044  62.46
  1972          13      0.00032  0.00032  0.50   97791      32   97775  6011244  61.47
  1972          14      0.00019  0.00019  0.50   97760      18   97750  5913469  60.49
  1972          15      0.00058  0.00058  0.50   97741      57   97713  5815718  59.50
  1972          16      0.00097  0.00097  0.50   97684      95   97637  5718005  58.54
  1972          17      0.00129  0.00129  0.50   97589     125   97527  5620368  57.59
  1972          18      0.00113  0.00113  0.50   97464     110   97409  5522842  56.67
  1972          19      0.00121  0.00121  0.50   97354     117   97295  5425433  55.73
