WA, Death rates (cohort 1x5), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1895-1899        0                    .               .               .
1895-1899        1                    .               .               .
1895-1899        2                    .               .               .
1895-1899        3                    .               .               .
1895-1899        4                    .               .               .
1895-1899        5                    .               .               .
1895-1899        6                    .               .               .
1895-1899        7                    .               .               .
1895-1899        8                    .               .               .
1895-1899        9                    .               .               .
1895-1899       10                    .               .               .
1895-1899       11                    .               .               .
1895-1899       12                    .               .               .
1895-1899       13                    .               .               .
1895-1899       14                    .               .               .
1895-1899       15                    .               .               .
1895-1899       16                    .               .               .
1895-1899       17                    .               .               .
1895-1899       18                    .               .               .
1895-1899       19                    .               .               .
1895-1899       20                    .               .               .
1895-1899       21                    .               .               .
1895-1899       22                    .               .               .
1895-1899       23                    .               .               .
1895-1899       24                    .               .               .
1895-1899       25                    .               .               .
1895-1899       26                    .               .               .
1895-1899       27                    .               .               .
1895-1899       28                    .               .               .
1895-1899       29                    .               .               .
1895-1899       30                    .               .               .
1895-1899       31                    .               .               .
1895-1899       32                    .               .               .
1895-1899       33                    .               .               .
1895-1899       34                    .               .               .
1895-1899       35                    .               .               .
1895-1899       36                    .               .               .
1895-1899       37                    .               .               .
1895-1899       38                    .               .               .
1895-1899       39                    .               .               .
1895-1899       40                    .               .               .
1895-1899       41                    .               .               .
1895-1899       42                    .               .               .
1895-1899       43                    .               .               .
1895-1899       44                    .               .               .
1895-1899       45                    .               .               .
1895-1899       46                    .               .               .
1895-1899       47                    .               .               .
1895-1899       48                    .               .               .
1895-1899       49                    .               .               .
1895-1899       50                    .               .               .
1895-1899       51                    .               .               .
1895-1899       52                    .               .               .
1895-1899       53                    .               .               .
1895-1899       54                    .               .               .
1895-1899       55                    .               .               .
1895-1899       56                    .               .               .
1895-1899       57                    .               .               .
1895-1899       58                    .               .               .
1895-1899       59                    .               .               .
1895-1899       60                    .               .               .
1895-1899       61                    .               .               .
1895-1899       62                    .               .               .
1895-1899       63                    .               .               .
1895-1899       64                    .               .               .
1895-1899       65                    .               .               .
1895-1899       66                    .               .               .
1895-1899       67                    .               .               .
1895-1899       68                    .               .               .
1895-1899       69                    .               .               .
1895-1899       70                    .               .               .
1895-1899       71                    .               .               .
1895-1899       72                    .               .               .
1895-1899       73             0.044631        0.078841        0.059970
1895-1899       74             0.043148        0.074682        0.056942
1895-1899       75             0.050012        0.084129        0.064701
1895-1899       76             0.046364        0.082494        0.061480
1895-1899       77             0.047339        0.088668        0.064208
1895-1899       78             0.056532        0.096984        0.072636
1895-1899       79             0.058982        0.102307        0.075756
1895-1899       80             0.065539        0.108174        0.081353
1895-1899       81             0.074124        0.115270        0.088987
1895-1899       82             0.071707        0.119813        0.088595
1895-1899       83             0.087422        0.124770        0.100168
1895-1899       84             0.090325        0.138580        0.106330
1895-1899       85             0.095395        0.147758        0.112185
1895-1899       86             0.113153        0.178134        0.133177
1895-1899       87             0.124674        0.180508        0.141178
1895-1899       88             0.124119        0.192506        0.143444
1895-1899       89             0.145465        0.242234        0.171219
1895-1899       90             0.172679        0.206573        0.181260
1895-1899       91             0.160805        0.256807        0.183945
1895-1899       92             0.195872        0.251708        0.208547
1895-1899       93             0.214728        0.259325        0.224461
1895-1899       94             0.261401        0.363418        0.282475
1895-1899       95             0.246169        0.302715        0.257092
1895-1899       96             0.294816        0.369871        0.308561
1895-1899       97             0.354972        0.487598        0.377300
1895-1899       98             0.339945        0.348830        0.341344
1895-1899       99             0.338481        0.253521        0.324871
1895-1899      100             0.437022        0.582041        0.460243
1895-1899      101             0.484345        0.646326        0.506757
1895-1899      102             0.541178        0.620106        0.550994
1895-1899      103             0.563819        0.735695        0.583463
1895-1899      104             0.583658        0.936609        0.615221
1895-1899      105             0.717605        1.303030        0.750211
1895-1899      106             1.023109        3.000000        1.058459
1895-1899      107             1.593985              .        1.593985
1895-1899      108             3.000000              .        3.000000
1895-1899      109                   .              .              .
1895-1899      110+                  .              .              .
1900-1904        0                    .               .               .
1900-1904        1                    .               .               .
1900-1904        2                    .               .               .
1900-1904        3                    .               .               .
1900-1904        4                    .               .               .
1900-1904        5                    .               .               .
1900-1904        6                    .               .               .
1900-1904        7                    .               .               .
1900-1904        8                    .               .               .
1900-1904        9                    .               .               .
1900-1904       10                    .               .               .
1900-1904       11                    .               .               .
1900-1904       12                    .               .               .
1900-1904       13                    .               .               .
1900-1904       14                    .               .               .
1900-1904       15                    .               .               .
1900-1904       16                    .               .               .
1900-1904       17                    .               .               .
1900-1904       18                    .               .               .
1900-1904       19                    .               .               .
1900-1904       20                    .               .               .
1900-1904       21                    .               .               .
1900-1904       22                    .               .               .
1900-1904       23                    .               .               .
1900-1904       24                    .               .               .
1900-1904       25                    .               .               .
1900-1904       26                    .               .               .
1900-1904       27                    .               .               .
1900-1904       28                    .               .               .
1900-1904       29                    .               .               .
1900-1904       30                    .               .               .
1900-1904       31                    .               .               .
1900-1904       32                    .               .               .
1900-1904       33                    .               .               .
1900-1904       34                    .               .               .
1900-1904       35                    .               .               .
1900-1904       36                    .               .               .
1900-1904       37                    .               .               .
1900-1904       38                    .               .               .
1900-1904       39                    .               .               .
1900-1904       40                    .               .               .
1900-1904       41                    .               .               .
1900-1904       42                    .               .               .
1900-1904       43                    .               .               .
1900-1904       44                    .               .               .
