WA, Death rates (cohort 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1894           0                    .               .               .
  1894         1-4                    .               .               .
  1894         5-9                    .               .               .
  1894        10-14                   .               .               .
  1894        15-19                   .               .               .
  1894        20-24                   .               .               .
  1894        25-29                   .               .               .
  1894        30-34                   .               .               .
  1894        35-39                   .               .               .
  1894        40-44                   .               .               .
  1894        45-49                   .               .               .
  1894        50-54                   .               .               .
  1894        55-59                   .               .               .
  1894        60-64                   .               .               .
  1894        65-69                   .               .               .
  1894        70-74                   .               .               .
  1894        75-79                   .               .               .
  1894        80-84            0.079719        0.122610        0.094581
  1894        85-89            0.122735        0.172763        0.137596
  1894        90-94            0.197059        0.272630        0.215328
  1894        95-99            0.309430        0.362271        0.319029
  1894       100-104           0.471055        0.655758        0.494495
  1894       105-109           1.202559              .        1.202559
  1894       110+                    .              .              .
  1895           0                    .               .               .
  1895         1-4                    .               .               .
  1895         5-9                    .               .               .
  1895        10-14                   .               .               .
  1895        15-19                   .               .               .
  1895        20-24                   .               .               .
  1895        25-29                   .               .               .
  1895        30-34                   .               .               .
  1895        35-39                   .               .               .
  1895        40-44                   .               .               .
  1895        45-49                   .               .               .
  1895        50-54                   .               .               .
  1895        55-59                   .               .               .
  1895        60-64                   .               .               .
  1895        65-69                   .               .               .
  1895        70-74                   .               .               .
  1895        75-79                   .               .               .
  1895        80-84            0.080305        0.116680        0.092874
  1895        85-89            0.122758        0.178527        0.139258
  1895        90-94            0.203732        0.253597        0.216017
  1895        95-99            0.303642        0.350403        0.312878
  1895       100-104           0.481199        0.686588        0.510732
  1895       105-109           1.149701              .        1.149701
  1895       110+                    .              .              .
  1896           0                    .               .               .
  1896         1-4                    .               .               .
  1896         5-9                    .               .               .
  1896        10-14                   .               .               .
  1896        15-19                   .               .               .
  1896        20-24                   .               .               .
  1896        25-29                   .               .               .
  1896        30-34                   .               .               .
  1896        35-39                   .               .               .
  1896        40-44                   .               .               .
  1896        45-49                   .               .               .
  1896        50-54                   .               .               .
  1896        55-59                   .               .               .
  1896        60-64                   .               .               .
  1896        65-69                   .               .               .
  1896        70-74                   .               .               .
  1896        75-79            0.053173        0.090299        0.068499
  1896        80-84            0.081568        0.125023        0.096799
  1896        85-89            0.119916        0.185996        0.139294
  1896        90-94            0.195220        0.268693        0.211560
  1896        95-99            0.285959        0.320581        0.291997
  1896       100-104           0.507251        0.696182        0.533160
  1896       105-109           0.978261              .        0.978261
  1896       110+                    .              .              .
  1897           0                    .               .               .
  1897         1-4                    .               .               .
  1897         5-9                    .               .               .
  1897        10-14                   .               .               .
  1897        15-19                   .               .               .
  1897        20-24                   .               .               .
  1897        25-29                   .               .               .
  1897        30-34                   .               .               .
  1897        35-39                   .               .               .
  1897        40-44                   .               .               .
  1897        45-49                   .               .               .
  1897        50-54                   .               .               .
  1897        55-59                   .               .               .
  1897        60-64                   .               .               .
  1897        65-69                   .               .               .
  1897        70-74                   .               .               .
  1897        75-79            0.051457        0.089295        0.067046
  1897        80-84            0.078515        0.123016        0.094291
  1897        85-89            0.119004        0.187552        0.139517
  1897        90-94            0.190730        0.273842        0.208981
  1897        95-99            0.295589        0.329037        0.300831
  1897       100-104           0.517920        0.704265        0.540183
  1897       105-109           0.801331              .        0.801331
  1897       110+                    .              .              .
  1898           0                    .               .               .
  1898         1-4                    .               .               .
  1898         5-9                    .               .               .
  1898        10-14                   .               .               .
  1898        15-19                   .               .               .
  1898        20-24                   .               .               .
  1898        25-29                   .               .               .
  1898        30-34                   .               .               .
  1898        35-39                   .               .               .
  1898        40-44                   .               .               .
  1898        45-49                   .               .               .
  1898        50-54                   .               .               .
  1898        55-59                   .               .               .
  1898        60-64                   .               .               .
  1898        65-69                   .               .               .
  1898        70-74                   .               .               .
  1898        75-79            0.051992        0.090911        0.068324
  1898        80-84            0.072895        0.119055        0.089161
  1898        85-89            0.115063        0.176159        0.133247
  1898        90-94            0.190277        0.248861        0.204045
  1898        95-99            0.299648        0.363538        0.310614
  1898       100-104           0.489059        0.538650        0.496539
  1898       105-109           0.920518        1.046512        0.937799
  1898       110+                    .              .              .
  1899           0                    .               .               .
  1899         1-4                    .               .               .
  1899         5-9                    .               .               .
  1899        10-14                   .               .               .
  1899        15-19                   .               .               .
  1899        20-24                   .               .               .
  1899        25-29                   .               .               .
  1899        30-34                   .               .               .
  1899        35-39                   .               .               .
  1899        40-44                   .               .               .
  1899        45-49                   .               .               .
  1899        50-54                   .               .               .
  1899        55-59                   .               .               .
  1899        60-64                   .               .               .
  1899        65-69                   .               .               .
  1899        70-74                   .               .               .
  1899        75-79            0.044603        0.078021        0.058346
  1899        80-84            0.072611        0.115600        0.088090
  1899        85-89            0.114432        0.178030        0.133749
  1899        90-94            0.186084        0.228488        0.196406
  1899        95-99            0.310061        0.385256        0.324387
  1899       100-104           0.445394        0.565457        0.463419
  1899       105-109           0.793926        3.000000        0.854430
  1899       110+                    .              .              .
  1900           0                    .               .               .
  1900         1-4                    .               .               .
  1900         5-9                    .               .               .
  1900        10-14                   .               .               .
  1900        15-19                   .               .               .
  1900        20-24                   .               .               .
  1900        25-29                   .               .               .
  1900        30-34                   .               .               .
  1900        35-39                   .               .               .
  1900        40-44                   .               .               .
  1900        45-49                   .               .               .
  1900        50-54                   .               .               .
  1900        55-59                   .               .               .
  1900        60-64                   .               .               .
  1900        65-69                   .               .               .
  1900        70-74                   .               .               .
  1900        75-79            0.047215        0.082982        0.062204
  1900        80-84            0.075098        0.116270        0.090499
  1900        85-89            0.117727        0.178679        0.137104
  1900        90-94            0.194721        0.237536        0.205945
  1900        95-99            0.322957        0.434594        0.345153
  1900       100-104           0.446026        0.459083        0.448176
  1900       105-109           0.849375        3.000000        0.885065
  1900       110+                    .              .              .
  1901           0                    .               .               .
  1901         1-4                    .               .               .
  1901         5-9                    .               .               .
  1901        10-14                   .               .               .
  1901        15-19                   .               .               .
  1901        20-24                   .               .               .
  1901        25-29                   .               .               .
  1901        30-34                   .               .               .
  1901        35-39                   .               .               .
  1901        40-44                   .               .               .
  1901        45-49                   .               .               .
  1901        50-54                   .               .               .
  1901        55-59                   .               .               .
  1901        60-64                   .               .               .
  1901        65-69                   .               .               .
  1901        70-74            0.028818        0.060648        0.043953
  1901        75-79            0.048670        0.087481        0.065571
  1901        80-84            0.072700        0.120650        0.090747
  1901        85-89            0.114377        0.166294        0.131064
  1901        90-94            0.191341        0.235195        0.203200
  1901        95-99            0.316586        0.405524        0.335775
  1901       100-104           0.433463        0.472297        0.440247
  1901       105-109           0.808904        1.500000        0.827737
  1901       110+                    .              .              .
  1902           0                    .               .               .
  1902         1-4                    .               .               .
  1902         5-9                    .               .               .
  1902        10-14                   .               .               .
  1902        15-19                   .               .               .
  1902        20-24                   .               .               .
  1902        25-29                   .               .               .
  1902        30-34                   .               .               .
  1902        35-39                   .               .               .
