WA, Life tables (period 1x10), Females	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01300  0.01286  0.12  100000    1286   98872  7717501  77.18
1971-1979        1      0.00135  0.00134  0.50   98714     133   98648  7618629  77.18
1971-1979        2      0.00089  0.00089  0.50   98582      88   98538  7519981  76.28
1971-1979        3      0.00048  0.00048  0.50   98494      47   98470  7421443  75.35
1971-1979        4      0.00044  0.00044  0.50   98447      44   98425  7322973  74.39
1971-1979        5      0.00024  0.00024  0.50   98403      23   98392  7224548  73.42
1971-1979        6      0.00029  0.00029  0.50   98380      28   98366  7126156  72.43
1971-1979        7      0.00033  0.00033  0.50   98352      32   98336  7027790  71.46
1971-1979        8      0.00019  0.00019  0.50   98320      19   98310  6929454  70.48
1971-1979        9      0.00023  0.00023  0.50   98301      22   98290  6831144  69.49
1971-1979       10      0.00026  0.00026  0.50   98279      25   98266  6732854  68.51
1971-1979       11      0.00017  0.00017  0.50   98253      16   98245  6634588  67.53
1971-1979       12      0.00012  0.00012  0.50   98237      12   98231  6536343  66.54
1971-1979       13      0.00018  0.00018  0.50   98225      17   98216  6438112  65.54
1971-1979       14      0.00024  0.00024  0.50   98208      23   98196  6339896  64.56
1971-1979       15      0.00040  0.00040  0.50   98184      40   98164  6241700  63.57
1971-1979       16      0.00045  0.00045  0.50   98144      44   98122  6143536  62.60
1971-1979       17      0.00043  0.00043  0.50   98100      43   98079  6045413  61.62
1971-1979       18      0.00077  0.00077  0.50   98058      76   98020  5947334  60.65
1971-1979       19      0.00062  0.00062  0.50   97982      61   97952  5849314  59.70
1971-1979       20      0.00072  0.00072  0.50   97921      71   97886  5751362  58.73
1971-1979       21      0.00035  0.00035  0.50   97851      35   97833  5653476  57.78
1971-1979       22      0.00046  0.00046  0.50   97816      45   97793  5555643  56.80
1971-1979       23      0.00035  0.00035  0.50   97771      35   97753  5457850  55.82
1971-1979       24      0.00054  0.00054  0.50   97736      53   97710  5360096  54.84
1971-1979       25      0.00044  0.00044  0.50   97683      43   97661  5262387  53.87
1971-1979       26      0.00036  0.00036  0.50   97640      35   97622  5164725  52.90
1971-1979       27      0.00038  0.00038  0.50   97605      37   97586  5067103  51.91
1971-1979       28      0.00050  0.00050  0.50   97567      49   97543  4969517  50.93
1971-1979       29      0.00044  0.00044  0.50   97518      43   97497  4871974  49.96
1971-1979       30      0.00056  0.00056  0.50   97475      55   97448  4774477  48.98
1971-1979       31      0.00058  0.00058  0.50   97421      56   97392  4677029  48.01
1971-1979       32      0.00062  0.00062  0.50   97364      60   97334  4579637  47.04
1971-1979       33      0.00056  0.00056  0.50   97304      54   97277  4482303  46.06
1971-1979       34      0.00074  0.00074  0.50   97250      72   97214  4385026  45.09
1971-1979       35      0.00090  0.00090  0.50   97177      87   97134  4287812  44.12
1971-1979       36      0.00095  0.00095  0.50   97090      93   97044  4190678  43.16
1971-1979       37      0.00085  0.00085  0.50   96998      82   96957  4093634  42.20
1971-1979       38      0.00131  0.00131  0.50   96915     127   96852  3996678  41.24
1971-1979       39      0.00143  0.00143  0.50   96788     138   96719  3899826  40.29
1971-1979       40      0.00154  0.00154  0.50   96650     149   96576  3803107  39.35
1971-1979       41      0.00132  0.00132  0.50   96501     128   96438  3706531  38.41
1971-1979       42      0.00198  0.00198  0.50   96374     191   96278  3610093  37.46
1971-1979       43      0.00178  0.00177  0.50   96183     171   96098  3513815  36.53
1971-1979       44      0.00225  0.00225  0.50   96012     216   95904  3417717  35.60
1971-1979       45      0.00229  0.00229  0.50   95796     219   95687  3321813  34.68
1971-1979       46      0.00266  0.00266  0.50   95577     254   95450  3226126  33.75
1971-1979       47      0.00300  0.00299  0.50   95323     285   95180  3130676  32.84
1971-1979       48      0.00302  0.00301  0.50   95037     286   94894  3035496  31.94
1971-1979       49      0.00376  0.00375  0.50   94751     355   94574  2940602  31.04
1971-1979       50      0.00466  0.00465  0.50   94396     439   94177  2846028  30.15
1971-1979       51      0.00377  0.00376  0.50   93957     354   93781  2751852  29.29
1971-1979       52      0.00448  0.00447  0.50   93604     419   93394  2658071  28.40
1971-1979       53      0.00378  0.00377  0.50   93185     351   93009  2564677  27.52
1971-1979       54      0.00515  0.00514  0.50   92834     477   92595  2471668  26.62
1971-1979       55      0.00562  0.00560  0.50   92357     518   92098  2379073  25.76
1971-1979       56      0.00622  0.00620  0.50   91839     570   91554  2286975  24.90
1971-1979       57      0.00633  0.00631  0.50   91269     576   90981  2195421  24.05
1971-1979       58      0.00737  0.00734  0.50   90693     666   90360  2104440  23.20
1971-1979       59      0.00773  0.00770  0.50   90027     693   89680  2014080  22.37
1971-1979       60      0.00943  0.00939  0.50   89334     838   88915  1924400  21.54
1971-1979       61      0.00876  0.00873  0.50   88495     772   88109  1835485  20.74
1971-1979       62      0.00975  0.00970  0.50   87723     851   87298  1747376  19.92
1971-1979       63      0.01176  0.01169  0.50   86872    1016   86364  1660078  19.11
1971-1979       64      0.01263  0.01255  0.50   85856    1077   85318  1573714  18.33
1971-1979       65      0.01482  0.01472  0.50   84779    1248   84155  1488396  17.56
1971-1979       66      0.01413  0.01403  0.50   83532    1172   82946  1404241  16.81
1971-1979       67      0.01678  0.01664  0.50   82360    1370   81674  1321295  16.04
1971-1979       68      0.01835  0.01818  0.50   80989    1473   80253  1239621  15.31
1971-1979       69      0.02040  0.02020  0.50   79517    1606   78714  1159368  14.58
1971-1979       70      0.02238  0.02214  0.50   77911    1725   77048  1080654  13.87
1971-1979       71      0.02313  0.02287  0.50   76186    1742   75315  1003605  13.17
1971-1979       72      0.02892  0.02851  0.50   74444    2122   73383   928290  12.47
1971-1979       73      0.03283  0.03230  0.50   72322    2336   71154   854907  11.82
1971-1979       74      0.03404  0.03347  0.50   69986    2343   68814   783754  11.20
1971-1979       75      0.04092  0.04010  0.50   67643    2712   66287   714939  10.57
1971-1979       76      0.04449  0.04352  0.50   64931    2826   63518   648652   9.99
1971-1979       77      0.04677  0.04570  0.50   62105    2838   60686   585134   9.42
1971-1979       78      0.05751  0.05590  0.50   59267    3313   57611   524448   8.85
1971-1979       79      0.06446  0.06245  0.50   55954    3494   54207   466838   8.34
1971-1979       80      0.06762  0.06541  0.50   52460    3431   50744   412631   7.87
1971-1979       81      0.07369  0.07107  0.50   49028    3484   47286   361886   7.38
1971-1979       82      0.07906  0.07605  0.50   45544    3464   43812   314600   6.91
1971-1979       83      0.09753  0.09299  0.50   42080    3913   40124   270788   6.44
1971-1979       84      0.10628  0.10092  0.50   38167    3852   36241   230664   6.04
1971-1979       85      0.11495  0.10870  0.50   34315    3730   32450   194423   5.67
1971-1979       86      0.13017  0.12222  0.50   30585    3738   28716   161973   5.30
1971-1979       87      0.14158  0.13222  0.50   26847    3550   25072   133256   4.96
1971-1979       88      0.14884  0.13853  0.50   23297    3227   21684   108184   4.64
1971-1979       89      0.16462  0.15210  0.50   20070    3053   18544    86501   4.31
