WA, Life tables (period 1x5), Females	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01550  0.01529  0.12  100000    1529   98650  7626307  76.26
1971-1974        1      0.00165  0.00165  0.50   98471     162   98390  7527656  76.45
1971-1974        2      0.00089  0.00089  0.50   98309      88   98265  7429266  75.57
1971-1974        3      0.00067  0.00067  0.50   98221      65   98188  7331001  74.64
1971-1974        4      0.00047  0.00047  0.50   98156      46   98133  7232813  73.69
1971-1974        5      0.00031  0.00031  0.50   98109      31   98094  7134680  72.72
1971-1974        6      0.00017  0.00017  0.50   98079      17   98070  7036586  71.74
1971-1974        7      0.00032  0.00032  0.50   98062      31   98047  6938516  70.76
1971-1974        8      0.00029  0.00029  0.50   98031      28   98017  6840469  69.78
1971-1974        9      0.00031  0.00031  0.50   98002      30   97987  6742453  68.80
1971-1974       10      0.00028  0.00028  0.50   97972      28   97958  6644465  67.82
1971-1974       11      0.00021  0.00021  0.50   97945      20   97934  6546507  66.84
1971-1974       12      0.00012  0.00012  0.50   97924      11   97918  6448573  65.85
1971-1974       13      0.00017  0.00017  0.50   97913      16   97904  6350654  64.86
1971-1974       14      0.00017  0.00017  0.50   97896      16   97888  6252750  63.87
1971-1974       15      0.00034  0.00034  0.50   97880      33   97863  6154862  62.88
1971-1974       16      0.00060  0.00060  0.50   97847      58   97817  6056998  61.90
1971-1974       17      0.00056  0.00056  0.50   97788      54   97761  5959181  60.94
1971-1974       18      0.00085  0.00085  0.50   97734      83   97692  5861420  59.97
1971-1974       19      0.00065  0.00065  0.50   97651      64   97619  5763728  59.02
1971-1974       20      0.00058  0.00058  0.50   97587      57   97559  5666109  58.06
1971-1974       21      0.00042  0.00042  0.50   97531      41   97510  5568550  57.10
1971-1974       22      0.00040  0.00040  0.50   97489      39   97470  5471040  56.12
1971-1974       23      0.00042  0.00042  0.50   97450      41   97430  5373570  55.14
1971-1974       24      0.00053  0.00053  0.50   97409      52   97383  5276140  54.16
1971-1974       25      0.00045  0.00045  0.50   97357      43   97335  5178757  53.19
1971-1974       26      0.00030  0.00030  0.50   97314      29   97299  5081422  52.22
1971-1974       27      0.00043  0.00043  0.50   97284      42   97263  4984123  51.23
1971-1974       28      0.00046  0.00046  0.50   97242      45   97219  4886860  50.25
1971-1974       29      0.00039  0.00039  0.50   97197      38   97178  4789641  49.28
1971-1974       30      0.00067  0.00067  0.50   97159      65   97126  4692463  48.30
1971-1974       31      0.00065  0.00065  0.50   97094      63   97062  4595336  47.33
1971-1974       32      0.00082  0.00082  0.50   97030      79   96991  4498274  46.36
1971-1974       33      0.00050  0.00050  0.50   96951      49   96927  4401284  45.40
1971-1974       34      0.00070  0.00070  0.50   96902      68   96868  4304357  44.42
1971-1974       35      0.00109  0.00109  0.50   96834     105   96782  4207489  43.45
1971-1974       36      0.00107  0.00107  0.50   96729     103   96677  4110707  42.50
1971-1974       37      0.00117  0.00117  0.50   96626     113   96569  4014030  41.54
1971-1974       38      0.00154  0.00154  0.50   96512     149   96438  3917461  40.59
1971-1974       39      0.00162  0.00162  0.50   96363     156   96285  3821023  39.65
1971-1974       40      0.00166  0.00166  0.50   96207     159   96128  3724738  38.72
1971-1974       41      0.00105  0.00105  0.50   96048     101   95998  3628610  37.78
1971-1974       42      0.00209  0.00209  0.50   95947     200   95847  3532613  36.82
1971-1974       43      0.00175  0.00175  0.50   95747     167   95663  3436766  35.89
1971-1974       44      0.00253  0.00253  0.50   95580     242   95459  3341103  34.96
1971-1974       45      0.00253  0.00253  0.50   95338     241   95217  3245644  34.04
1971-1974       46      0.00281  0.00280  0.50   95097     267   94964  3150426  33.13
1971-1974       47      0.00333  0.00333  0.50   94830     316   94673  3055463  32.22
1971-1974       48      0.00313  0.00313  0.50   94515     295   94367  2960790  31.33
1971-1974       49      0.00394  0.00394  0.50   94219     371   94034  2866423  30.42
1971-1974       50      0.00537  0.00536  0.50   93849     503   93597  2772389  29.54
1971-1974       51      0.00400  0.00399  0.50   93346     373   93159  2678792  28.70
1971-1974       52      0.00493  0.00492  0.50   92973     458   92744  2585633  27.81
1971-1974       53      0.00382  0.00381  0.50   92516     353   92339  2492888  26.95
1971-1974       54      0.00492  0.00490  0.50   92163     452   91937  2400549  26.05
1971-1974       55      0.00610  0.00608  0.50   91711     558   91432  2308612  25.17
1971-1974       56      0.00690  0.00687  0.50   91153     626   90840  2217180  24.32
1971-1974       57      0.00788  0.00785  0.50   90527     710   90171  2126340  23.49
1971-1974       58      0.00779  0.00776  0.50   89816     697   89468  2036169  22.67
1971-1974       59      0.00859  0.00856  0.50   89119     763   88738  1946701  21.84
1971-1974       60      0.01016  0.01011  0.50   88357     893   87910  1857963  21.03
1971-1974       61      0.00848  0.00844  0.50   87463     738   87094  1770053  20.24
1971-1974       62      0.01060  0.01055  0.50   86725     915   86268  1682959  19.41
1971-1974       63      0.01417  0.01407  0.50   85811    1207   85207  1596691  18.61
1971-1974       64      0.01275  0.01267  0.50   84603    1072   84068  1511484  17.87
1971-1974       65      0.01484  0.01473  0.50   83532    1230   82917  1427416  17.09
1971-1974       66      0.01404  0.01394  0.50   82302    1147   81728  1344500  16.34
1971-1974       67      0.01705  0.01691  0.50   81154    1372   80468  1262772  15.56
1971-1974       68      0.02010  0.01990  0.50   79782    1588   78988  1182303  14.82
1971-1974       69      0.02180  0.02157  0.50   78194    1687   77351  1103315  14.11
1971-1974       70      0.02580  0.02547  0.50   76508    1949   75533  1025964  13.41
1971-1974       71      0.02427  0.02398  0.50   74559    1788   73665   950431  12.75
1971-1974       72      0.02896  0.02854  0.50   72771    2077   71732   876766  12.05
