ACT,  Births (1-year)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1911              13        17        30
1912              19        20        39
1913              22        22        44
1914              24        31        55
1915              25        22        47
1916              25        38        63
1917              23        21        44
1918              23        26        49
1919              17        10        27
1920               7         8        15
1921              12        15        27
1922              15        17        32
1923              13         6        19
1924              26        15        41
1925              25        22        47
1926              41        34        75
1927              32        45        77
1928              52        68       120
1929              74        79       153
1930              81        83       164
1931              75        86       161
1932              69        82       151
1933              64        67       131
1934              71        63       134
1935              62        86       148
1936              76        82       158
1937             105       102       207
1938             100       100       200
1939             119       132       251
1940             143       143       286
1941             198       168       366
1942             183       209       392
1943             185       191       376
1944             185       199       384
1945             201       204       405
1946             264       254       518
1947             327       328       655
1948             356       369       725
1949             361       458       819
1950             470       484       954
1951             488       515      1003
1952             555       547      1102
1953             371       417       788
1954             417       440       857
1955             420       441       861
1956             504       573      1077
1957             538       596      1134
1958             596       679      1275
1959             654       708      1362
1960             746       837      1583
1961             867       867      1734
1962             904       915      1819
1963             984      1011      1995
1964             921      1034      1955
1965            1043      1115      2158
1966            1172      1146      2318
1967            1114      1287      2401
1968            1291      1352      2643
1969            1470      1609      3079
1970            1681      1794      3475
1971            1972      2068      4040
1972            1925      2071      3996
1973            1927      2060      3987
1974            2039      2177      4216
1975            2031      2147      4178
1976            2030      2242      4272
1977            2147      2258      4405
1978            2025      2166      4191
1979            2076      2171      4247
1980            2099      2144      4243
1981            2060      2082      4142
1982            1997      2110      4107
1983            2049      2095      4144
1984            2061      2048      4109
1985            1963      2144      4107
1986            1987      2115      4102
1987            2018      2090      4108
1988            2142      2193      4335
1989            2025      2112      4137
1990            2124      2333      4457
1991            2320      2436      4756
1992            2191      2256      4447
1993            2181      2235      4416
1994            2229      2232      4461
1995            2124      2291      4415
1996            2155      2241      4396
1997            2076      2132      4208
1998            1976      2006      3982
1999            2124      2129      4253
2000            1991      2074      4065
2001            1943      1995      3938
2002            2030      2082      4112
2003            2000      2128      4128
2004            2018      2156      4174
2005            2082      2128      4210
2006            2181      2303      4484
2007            2328      2429      4757
2008            2337      2471      4808
2009            2286      2574      4860
2010            2490      2662      5152
2011            2413      2708      5121
2012            2658      2803      5461
2013            2714      2831      5545
2014            2669      2883      5552
2015            2632      2910      5542
2016            2505      2647      5152
2017            2999      3208      6207
2018            2642      2732      5374
2019            2654      2866      5520
2020            2616      2752      5368
2021            2649      2894      5543
