ACT, Life expectancy at birth (period, 1x1)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1971        76.71    69.94    73.10
  1972        77.72    69.57    73.01
  1973        76.59    72.19    74.39
  1974        75.59    70.49    72.96
  1975        78.60    71.75    75.15
  1976        76.99    71.02    73.99
  1977        79.19    72.65    75.53
  1978        77.38    71.40    74.35
  1979        79.61    73.33    76.46
  1980        78.76    72.88    75.82
  1981        79.78    71.57    75.53
  1982        78.49    73.44    76.01
  1983        78.76    74.57    76.73
  1984        78.84    74.02    76.49
  1985        79.63    74.74    77.22
  1986        78.88    73.73    76.36
  1987        79.41    75.10    77.26
  1988        79.61    74.97    77.37
  1989        81.64    76.09    78.87
  1990        80.12    75.61    77.88
  1991        80.70    75.70    78.28
  1992        81.02    76.88    79.08
  1993        82.56    76.53    79.61
  1994        81.23    76.67    79.01
  1995        82.66    77.88    80.41
  1996        81.54    76.72    79.23
  1997        81.60    77.92    79.84
  1998        82.36    78.56    80.57
  1999        82.48    78.13    80.40
  2000        82.55    79.50    81.14
  2001        82.67    78.68    80.73
  2002        83.19    80.03    81.71
  2003        83.95    79.37    81.71
  2004        83.49    79.72    81.70
  2005        83.66    79.62    81.71
  2006        84.53    80.53    82.59
  2007        84.01    79.99    82.06
  2008        83.07    80.16    81.69
  2009        84.28    81.22    82.81
  2010        85.01    80.40    82.76
  2011        84.83    81.55    83.25
  2012        84.84    81.48    83.22
  2013        85.27    82.46    83.94
  2014        85.38    81.83    83.64
  2015        85.43    81.96    83.74
  2016        85.86    82.27    84.11
  2017        85.37    81.10    83.26
  2018        85.00    81.73    83.39
  2019        85.55    83.21    84.42
  2020        86.00    82.78    84.43
