ACT, Life expectancy at birth (period, 1x5)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1971-1974     76.33    70.40    73.31
1975-1979     78.31    71.87    75.07
1980-1984     78.90    73.25    76.11
1985-1989     79.83    74.88    77.42
1990-1994     81.11    76.24    78.76
1995-1999     82.08    77.84    80.08
2000-2004     83.15    79.46    81.40
2005-2009     83.90    80.29    82.16
2010-2014     85.07    81.55    83.37
2015-2019     85.43    82.05    83.78
