ACT, Exposure to risk (period 1x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0              1911.57         1999.07         3910.65
  1971           1              1828.82         1947.58         3776.40
  1971           2              1756.05         1839.48         3595.52
  1971           3              1649.46         1780.68         3430.14
  1971           4              1598.21         1725.91         3324.12
  1971           5              1596.79         1676.20         3272.99
  1971           6              1636.80         1668.03         3304.83
  1971           7              1645.13         1661.75         3306.88
  1971           8              1678.92         1703.44         3382.36
  1971           9              1640.15         1725.69         3365.84
  1971          10              1632.03         1726.72         3358.74
  1971          11              1558.96         1662.63         3221.59
  1971          12              1501.64         1552.65         3054.29
  1971          13              1417.13         1525.18         2942.31
  1971          14              1383.96         1404.05         2788.02
  1971          15              1334.07         1332.02         2666.09
  1971          16              1307.63         1285.41         2593.03
  1971          17              1346.48         1362.07         2708.54
  1971          18              1478.19         1460.59         2938.77
  1971          19              1608.61         1592.58         3201.19
  1971          20              1668.92         1606.82         3275.73
  1971          21              1670.49         1657.52         3328.01
  1971          22              1715.57         1752.17         3467.74
  1971          23              1764.74         1798.98         3563.71
  1971          24              1765.92         1799.32         3565.24
  1971          25              1733.22         1794.52         3527.73
  1971          26              1495.30         1621.41         3116.70
  1971          27              1439.92         1505.52         2945.44
  1971          28              1384.49         1484.14         2868.63
  1971          29              1325.06         1361.18         2686.24
  1971          30              1246.86         1381.30         2628.17
  1971          31              1225.10         1285.58         2510.68
  1971          32              1190.11         1293.50         2483.61
  1971          33              1164.89         1210.92         2375.81
  1971          34              1080.04         1158.92         2238.96
  1971          35              1043.03         1104.68         2147.71
  1971          36               977.40         1079.33         2056.73
  1971          37               934.54         1029.18         1963.72
  1971          38               922.33          996.84         1919.17
  1971          39               910.92         1004.93         1915.85
  1971          40               909.64         1013.13         1922.77
  1971          41               903.90         1036.71         1940.61
  1971          42               884.90          986.01         1870.91
  1971          43               875.61          973.57         1849.17
  1971          44               902.52          969.47         1871.98
  1971          45               886.99          941.31         1828.30
  1971          46               889.71          960.89         1850.60
  1971          47               845.89          946.70         1792.58
  1971          48               839.02          919.19         1758.20
  1971          49               808.87          918.53         1727.40
  1971          50               730.31          825.77         1556.08
  1971          51               654.64          753.17         1407.82
  1971          52               544.72          627.74         1172.47
  1971          53               516.23          541.67         1057.90
  1971          54               471.91          525.34          997.25
  1971          55               465.95          499.19          965.15
  1971          56               447.59          481.40          928.99
  1971          57               408.82          461.83          870.64
  1971          58               383.73          420.09          803.82
  1971          59               353.64          383.79          737.42
  1971          60               322.91          338.51          661.42
  1971          61               288.69          318.53          607.22
  1971          62               255.57          277.40          532.96
  1971          63               245.97          250.59          496.56
  1971          64               240.21          231.95          472.16
  1971          65               215.07          202.41          417.48
  1971          66               200.68          185.67          386.35
  1971          67               176.04          158.61          334.64
  1971          68               170.45          141.36          311.81
  1971          69               164.81          140.41          305.21
  1971          70               165.60          115.06          280.65
  1971          71               158.96          111.22          270.18
  1971          72               142.09           88.96          231.05
  1971          73               116.79           80.79          197.58
  1971          74               120.39           71.49          191.89
  1971          75               106.83           67.94          174.77
  1971          76               105.73           58.70          164.43
  1971          77                91.67           45.44          137.11
  1971          78                85.95           39.49          125.45
  1971          79                73.28           38.05          111.33
  1971          80               100.97           47.10          148.07
  1971          81                87.97           51.51          139.48
  1971          82                76.20           43.25          119.45
  1971          83                62.98           32.36           95.34
  1971          84                54.62           25.44           80.05
  1971          85                50.35           23.34           73.69
  1971          86                45.28           24.09           69.36
  1971          87                36.12           20.15           56.26
  1971          88                24.59           15.49           40.07
  1971          89                19.85           12.72           32.57
  1971          90                19.04           11.31           30.35
  1971          91                16.43           10.98           27.41
  1971          92                14.26            7.65           21.91
  1971          93                11.27            4.48           15.75
  1971          94                 7.24            2.72            9.97
  1971          95                 4.38            1.77            6.14
  1971          96                 3.22            1.22            4.43
  1971          97                 1.79            0.42            2.21
  1971          98                 0.24            0.50            0.74
  1971          99                 0.00            0.32            0.32
  1971         100                 0.00            0.00            0.00
  1971         101                 0.00            0.00            0.00
  1971         102                 0.00            0.00            0.00
  1971         103                 0.00            0.00            0.00
  1971         104                 0.00            0.00            0.00
  1971         105                 0.00            0.00            0.00
  1971         106                 0.00            0.00            0.00
  1971         107                 0.00            0.00            0.00
  1971         108                 0.00            0.00            0.00
  1971         109                 0.00            0.00            0.00
  1971         110+                0.00            0.00            0.00
  1972           0              1985.87         2059.14         4045.01
  1972           1              2003.59         2143.09         4146.68
  1972           2              1951.08         2076.05         4027.12
  1972           3              1849.52         1960.08         3809.60
  1972           4              1706.50         1900.54         3607.04
  1972           5              1648.00         1822.00         3470.00
  1972           6              1663.06         1767.00         3430.06
  1972           7              1693.50         1745.50         3439.00
  1972           8              1737.51         1731.52         3469.03
  1972           9              1738.54         1736.50         3475.04
  1972          10              1724.02         1810.53         3534.55
  1972          11              1683.02         1824.00         3507.02
  1972          12              1616.50         1706.03         3322.53
  1972          13              1541.50         1636.02         3177.52
  1972          14              1486.50         1603.03         3089.53
  1972          15              1493.00         1517.50         3010.50
  1972          16              1479.50         1446.06         2925.56
  1972          17              1423.51         1400.00         2823.51
  1972          18              1440.00         1421.51         2861.51
  1972          19              1610.91         1604.50         3215.41
  1972          20              1751.03         1710.03         3461.06
  1972          21              1784.02         1681.52         3465.54
  1972          22              1794.56         1786.53         3581.09
  1972          23              1805.50         1844.58         3650.08
  1972          24              1855.50         1864.03         3719.53
  1972          25              1992.00         1991.50         3983.50
  1972          26              1851.07         1956.52         3807.59
  1972          27              1593.50         1750.03         3343.53
  1972          28              1546.50         1662.53         3209.03
  1972          29              1498.01         1556.51         3054.52
  1972          30              1406.00         1490.54         2896.54
  1972          31              1301.00         1430.52         2731.52
  1972          32              1267.02         1377.54         2644.55
  1972          33              1274.00         1364.50         2638.50
  1972          34              1208.51         1289.02         2497.53
  1972          35              1150.00         1203.52         2353.52
  1972          36              1097.00         1156.00         2253.00
  1972          37              1022.00         1135.00         2157.00
  1972          38               974.53         1082.50         2057.03
  1972          39               954.00         1030.98         1984.98
  1972          40               938.00         1019.00         1957.00
  1972          41               951.00         1071.53         2022.53
  1972          42               938.03         1062.01         2000.04
  1972          43               881.50         1014.03         1895.53
  1972          44               904.57         1024.13         1928.70
  1972          45               915.45          984.52         1899.96
  1972          46               920.07          985.58         1905.65
  1972          47               903.51          996.16         1899.67
  1972          48               864.05          963.65         1827.70
  1972          49               861.49          951.67         1813.17
  1972          50               834.07          925.53         1759.60
  1972          51               780.61          869.72         1650.33
  1972          52               668.86          789.93         1458.79
  1972          53               579.97          632.30         1212.27
  1972          54               516.02          550.12         1066.14
  1972          55               477.00          532.81         1009.81
  1972          56               479.50          495.10          974.60
  1972          57               455.03          478.48          933.51
  1972          58               420.06          462.13          882.18
  1972          59               386.54          426.05          812.59
  1972          60               359.60          375.06          734.66
  1972          61               336.52          341.01          677.53
  1972          62               287.01          317.51          604.52
  1972          63               259.01          274.01          533.01
  1972          64               250.51          259.01          509.51
  1972          65               245.00          219.50          464.50
  1972          66               225.00          205.50          430.50
  1972          67               203.00          183.00          386.00
  1972          68               182.00          155.00          337.00
  1972          69               174.00          147.00          321.00
  1972          70               156.50          135.99          292.49
  1972          71               168.00          120.00          288.00
  1972          72               167.50          108.00          275.50
  1972          73               140.00           89.49          229.49
  1972          74               124.00           73.50          197.50
  1972          75               116.50           69.00          185.50
  1972          76               108.49           68.00          176.49
  1972          77               102.50           56.99          159.49
  1972          78                98.99           42.99          141.98
  1972          79                88.49           38.99          127.49
  1972          80               106.51           44.23          150.74
  1972          81                95.21           45.35          140.56
  1972          82                82.20           48.27          130.47
  1972          83                70.43           38.50          108.93
  1972          84                58.47           28.60           87.07
  1972          85                50.35           22.67           73.02
  1972          86                45.85           20.59           66.44
  1972          87                40.26           21.58           61.84
  1972          88                31.11           17.90           49.01
  1972          89                21.84           13.24           35.07
  1972          90                18.34           10.20           28.54
  1972          91                17.53            8.55           26.09
  1972          92                14.93            8.24           23.17
  1972          93                13.51            5.66           19.17
  1972          94                10.26            2.73           12.99
  1972          95                 5.48            1.74            7.22
  1972          96                 3.64            1.00            4.64
  1972          97                 3.22            0.25            3.46
  1972          98                 1.53            0.18            1.71
  1972          99                 0.00            0.50            0.50
  1972         100                 0.00            0.32            0.32
  1972         101                 0.00            0.00            0.00
  1972         102                 0.00            0.00            0.00
  1972         103                 0.00            0.00            0.00
  1972         104                 0.00            0.00            0.00
  1972         105                 0.00            0.00            0.00
  1972         106                 0.00            0.00            0.00
  1972         107                 0.00            0.00            0.00
  1972         108                 0.00            0.00            0.00
  1972         109                 0.00            0.00            0.00
  1972         110+                0.00            0.00            0.00
  1973           0              2011.02         2149.35         4160.37
  1973           1              2114.05         2187.05         4301.10
  1973           2              2142.04         2286.50         4428.54
  1973           3              2075.00         2209.50         4284.50
  1973           4              1944.50         2082.50         4027.00
  1973           5              1788.50         2016.53         3805.03
  1973           6              1729.50         1931.50         3661.00
  1973           7              1747.53         1869.54         3617.06
  1973           8              1783.00         1830.00         3613.00
  1973           9              1818.50         1805.50         3624.00
  1973          10              1820.00         1809.00         3629.00
  1973          11              1792.01         1876.02         3668.03
  1973          12              1746.03         1893.52         3639.55
  1973          13              1665.53         1777.53         3443.05
  1973          14              1587.00         1704.00         3291.00
  1973          15              1575.50         1689.53         3265.03
  1973          16              1631.50         1631.01         3262.51
  1973          17              1645.02         1591.06         3236.09
  1973          18              1594.50         1568.01         3162.51
  1973          19              1626.51         1589.50         3216.01
  1973          20              1785.94         1761.48         3547.41
  1973          21              1897.50         1834.03         3731.53
  1973          22              1945.52         1814.53         3760.05
  1973          23              1966.54         1948.51         3915.05
  1973          24              1966.00         2000.06         3966.06
  1973          25              2036.01         2020.02         4056.03
  1973          26              2144.02         2163.50         4307.52
  1973          27              1979.02         2135.07         4114.09
  1973          28              1703.50         1911.01         3614.51
  1973          29              1650.52         1789.05         3439.56
  1973          30              1601.02         1670.00         3271.02
  1973          31              1478.50         1581.56         3060.06
  1973          32              1359.00         1521.52         2880.52
  1973          33              1335.52         1459.51         2795.03
  1973          34              1334.50         1439.05         2773.55
  1973          35              1266.00         1353.01         2619.01
  1973          36              1228.50         1257.57         2486.07
  1973          37              1156.03         1219.00         2375.03
  1973          38              1057.50         1182.57         2240.06
  1973          39              1012.02         1129.50         2141.52
  1973          40               990.00         1088.98         2078.98
  1973          41               964.99         1062.50         2027.49
  1973          42               982.50         1097.52         2080.02
  1973          43               966.53         1095.01         2061.54
  1973          44               905.57         1050.52         1956.10
  1973          45               930.13         1055.58         1985.71
  1973          46               941.93         1019.07         1961.00
  1973          47               952.57         1023.63         1976.20
  1973          48               918.50         1028.02         1946.53
  1973          49               878.09          982.16         1860.25
  1973          50               885.49          967.84         1853.33
  1973          51               843.55          939.02         1782.57
  1973          52               783.64          870.72         1654.36
  1973          53               682.40          796.48         1478.88
  1973          54               597.45          640.10         1237.55
  1973          55               522.51          552.51         1075.02
  1973          56               479.50          534.18         1013.68
  1973          57               487.50          495.86          983.37
  1973          58               462.52          479.46          941.98
  1973          59               423.51          456.20          879.70
  1973          60               393.53          415.54          809.07
  1973          61               367.57          371.59          739.16
  1973          62               336.51          338.01          674.52
  1973          63               289.00          308.51          597.51
  1973          64               265.51          267.01          532.52
  1973          65               254.50          254.01          508.51
  1973          66               246.00          217.00          463.00
  1973          67               226.00          200.01          426.01
  1973          68               204.00          178.50          382.50
  1973          69               185.50          155.00          340.50
  1973          70               172.00          150.00          322.00
  1973          71               158.00          137.00          295.00
  1973          72               169.99          118.50          288.49
  1973          73               168.00          108.50          276.50
  1973          74               139.99           87.00          226.99
  1973          75               126.99           70.50          197.49
  1973          76               119.48           69.00          188.48
  1973          77               109.49           66.49          175.98
  1973          78               102.99           52.50          155.49
  1973          79                97.48           39.50          136.98
  1973          80               109.02           49.49          158.51
  1973          81               100.76           41.47          142.24
  1973          82                88.44           42.36          130.80
  1973          83                76.68           43.28          119.96
  1973          84                65.67           34.25           99.92
  1973          85                53.69           26.34           80.03
  1973          86                47.09           20.18           67.27
  1973          87                41.84           17.85           59.68
  1973          88                35.25           18.83           54.08
  1973          89                27.85           15.40           43.25
  1973          90                19.57           11.47           31.04
  1973          91                15.84            8.44           24.28
  1973          92                15.05            6.54           21.59
  1973          93                13.19            6.49           19.67
  1973          94                11.25            4.16           15.41
  1973          95                 8.77            0.98            9.75
  1973          96                 4.97            0.00            4.97
  1973          97                 3.15            0.00            3.15
  1973          98                 2.19            0.00            2.19
