ACT,  Exposures (Lexis triangle)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971      997.55     1037.86     2035.41
 1971    0      1970      914.02      961.22     1875.23
 1971    1      1970      948.78     1043.38     1992.16
 1971    1      1969      880.04      904.20     1784.24
 1971    2      1969      936.50      958.00     1894.50
 1971    2      1968      819.55      881.48     1701.02
 1971    3      1968      860.09      931.68     1791.77
 1971    3      1967      789.36      849.01     1638.37
 1971    4      1967      806.50      903.68     1710.18
 1971    4      1966      791.71      822.23     1613.93
 1971    5      1966      802.00      859.50     1661.50
 1971    5      1965      794.79      816.70     1611.49
 1971    6      1965      821.86      849.27     1671.13
 1971    6      1964      814.94      818.77     1633.70
 1971    7      1964      823.50      841.00     1664.50
 1971    7      1963      821.63      820.75     1642.38
 1971    8      1963      864.00      845.00     1709.00
 1971    8      1962      814.92      858.44     1673.36
 1971    9      1962      834.00      851.00     1685.00
 1971    9      1961      806.15      874.69     1680.84
 1971   10      1961      847.50      915.00     1762.50
 1971   10      1960      784.53      811.72     1596.24
 1971   11      1960      802.00      878.18     1680.18
 1971   11      1959      756.96      784.46     1541.41
 1971   12      1959      786.50      787.67     1574.17
 1971   12      1958      715.14      764.97     1480.11
 1971   13      1958      735.00      815.00     1550.00
 1971   13      1957      682.13      710.18     1392.30
 1971   14      1957      727.00      752.00     1479.00
 1971   14      1956      656.96      652.05     1309.01
 1971   15      1956      710.68      719.50     1430.18
 1971   15      1955      623.39      612.52     1235.91
 1971   16      1955      692.50      664.33     1356.83
 1971   16      1954      615.13      621.07     1236.20
 1971   17      1954      652.35      654.00     1306.35
 1971   17      1953      694.13      708.07     1402.19
 1971   18      1953      697.50      684.60     1382.10
 1971   18      1952      780.69      775.99     1556.67
 1971   19      1952      809.18      829.84     1639.02
 1971   19      1951      799.43      762.74     1562.18
 1971   20      1951      857.76      801.09     1658.85
 1971   20      1950      811.16      805.73     1616.89
 1971   21      1950      841.00      809.35     1650.35
 1971   21      1949      829.49      848.17     1677.66
 1971   22      1949      863.50      888.00     1751.50
 1971   22      1948      852.07      864.17     1716.24
 1971   23      1948      858.50      873.95     1732.45
 1971   23      1947      906.24      925.03     1831.26
 1971   24      1947      912.50      906.69     1819.19
 1971   24      1946      853.42      892.64     1746.05
 1971   25      1946      986.78     1002.47     1989.25
 1971   25      1945      746.43      792.05     1538.48
