PopCode,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
ACT,1,f,1911,1911,2,O,13,.,.,.,1
ACT,1,f,1912,1912,2,O,19,.,.,.,1
ACT,1,f,1913,1913,2,O,22,.,.,.,1
ACT,1,f,1914,1914,2,O,24,.,.,.,1
ACT,1,f,1915,1915,2,O,25,.,.,.,1
ACT,1,f,1916,1916,2,O,25,.,.,.,1
ACT,1,f,1917,1917,2,O,23,.,.,.,1
ACT,1,f,1918,1918,2,O,23,.,.,.,1
ACT,1,f,1919,1919,2,O,17,.,.,.,1
ACT,1,f,1920,1920,2,O,7,.,.,.,1
ACT,1,f,1921,1921,2,O,12,.,.,.,1
ACT,1,f,1922,1922,2,O,15,.,.,.,1
ACT,1,f,1923,1923,2,O,13,.,.,.,1
ACT,1,f,1924,1924,2,O,26,.,.,.,1
ACT,1,f,1925,1925,2,O,25,.,.,.,1
ACT,1,f,1926,1926,2,O,41,.,.,.,1
ACT,1,f,1927,1927,2,O,32,.,.,.,1
ACT,1,f,1928,1928,2,O,52,.,.,.,1
ACT,1,f,1929,1929,2,O,74,.,.,.,1
ACT,1,f,1930,1930,2,O,81,.,.,.,1
ACT,1,f,1931,1931,2,O,75,.,.,.,1
ACT,1,f,1932,1932,2,O,69,.,.,.,1
ACT,1,f,1933,1933,2,O,64,.,.,.,1
ACT,1,f,1934,1934,2,O,71,.,.,.,1
ACT,1,f,1935,1935,2,O,62,.,.,.,1
ACT,1,f,1936,1936,2,O,76,.,.,.,1
ACT,1,f,1937,1937,2,O,105,.,.,.,1
ACT,1,f,1938,1938,2,O,100,.,.,.,1
ACT,1,f,1939,1939,2,O,119,.,.,.,1
ACT,1,f,1940,1940,2,O,143,.,.,.,1
ACT,1,f,1941,1941,2,O,198,.,.,.,1
ACT,1,f,1942,1942,2,O,183,.,.,.,1
ACT,1,f,1943,1943,2,O,185,.,.,.,1
ACT,1,f,1944,1944,2,O,185,.,.,.,1
ACT,1,f,1945,1945,2,O,201,.,.,.,1
ACT,1,f,1946,1946,2,O,264,.,.,.,1
ACT,1,f,1947,1947,2,O,327,.,.,.,1
ACT,1,f,1948,1948,2,O,356,.,.,.,1
ACT,1,f,1949,1949,2,O,361,.,.,.,1
ACT,1,f,1950,1950,2,O,470,.,.,.,1
ACT,1,f,1951,1951,2,O,488,.,.,.,1
ACT,1,f,1952,1952,2,O,555,.,.,.,1
ACT,1,f,1953,1953,2,O,371,.,.,.,1
ACT,1,f,1954,1954,2,O,417,.,.,.,1
ACT,1,f,1955,1955,2,O,420,.,.,.,1
ACT,1,f,1956,1956,2,O,504,.,.,.,1
ACT,1,f,1957,1957,2,O,538,.,.,.,1
ACT,1,f,1958,1958,2,O,596,.,.,.,1
ACT,1,f,1959,1959,2,O,654,.,.,.,1
ACT,1,f,1960,1960,2,O,746,.,.,.,1
ACT,1,f,1961,1961,2,O,867,.,.,.,1
ACT,1,f,1962,1962,2,O,904,.,.,.,1
ACT,1,f,1963,1963,2,O,984,.,.,.,1
ACT,1,f,1964,1964,2,O,921,.,.,.,1
ACT,1,f,1965,1965,2,O,1043,.,.,.,1
ACT,1,f,1966,1966,2,O,1172,.,.,.,1
ACT,1,f,1967,1967,2,O,1114,.,.,.,1
ACT,1,f,1968,1968,2,O,1291,.,.,.,1
ACT,1,f,1969,1969,2,O,1470,.,.,.,1
ACT,1,f,1970,1970,2,O,1681,.,.,.,1
ACT,1,f,1971,1971,2,O,1972,.,.,.,1
ACT,1,f,1972,1972,2,O,1925,.,.,.,1
ACT,1,f,1973,1973,2,O,1927,.,.,.,1
ACT,1,f,1974,1974,2,O,2039,.,.,.,1
ACT,1,f,1975,1975,2,O,2031,.,.,.,1
ACT,1,f,1976,1976,2,O,2030,.,.,.,1
ACT,1,f,1977,1977,2,O,2147,.,.,.,1
