PopCode,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
ACT,1,f,0,1,O,30,6,1971,3,O,1828,.,.,.,1
ACT,1,f,1,1,O,30,6,1971,3,O,1825,.,.,.,1
ACT,1,f,2,1,O,30,6,1971,3,O,1693,.,.,.,1
ACT,1,f,3,1,O,30,6,1971,3,O,1584,.,.,.,1
ACT,1,f,4,1,O,30,6,1971,3,O,1573,.,.,.,1
ACT,1,f,5,1,O,30,6,1971,3,O,1594,.,.,.,1
ACT,1,f,6,1,O,30,6,1971,3,O,1584,.,.,.,1
ACT,1,f,7,1,O,30,6,1971,3,O,1675,.,.,.,1
ACT,1,f,8,1,O,30,6,1971,3,O,1611,.,.,.,1
ACT,1,f,9,1,O,30,6,1971,3,O,1649,.,.,.,1
ACT,1,f,10,1,O,30,6,1971,3,O,1575,.,.,.,1
ACT,1,f,11,1,O,30,6,1971,3,O,1563,.,.,.,1
ACT,1,f,12,1,O,30,6,1971,3,O,1464,.,.,.,1
ACT,1,f,13,1,O,30,6,1971,3,O,1396,.,.,.,1
ACT,1,f,14,1,O,30,6,1971,3,O,1332,.,.,.,1
ACT,1,f,15,1,O,30,6,1971,3,O,1295,.,.,.,1
ACT,1,f,16,1,O,30,6,1971,3,O,1197,.,.,.,1
ACT,1,f,17,1,O,30,6,1971,3,O,1263,.,.,.,1
ACT,1,f,18,1,O,30,6,1971,3,O,1514,.,.,.,1
ACT,1,f,19,1,O,30,6,1971,3,O,1609,.,.,.,1
ACT,1,f,20,1,O,30,6,1971,3,O,1587,.,.,.,1
ACT,1,f,21,1,O,30,6,1971,3,O,1657,.,.,.,1
ACT,1,f,22,1,O,30,6,1971,3,O,1661,.,.,.,1
ACT,1,f,23,1,O,30,6,1971,3,O,1748,.,.,.,1
ACT,1,f,24,1,O,30,6,1971,3,O,1878,.,.,.,1
ACT,1,f,25,1,O,30,6,1971,3,O,1532,.,.,.,1
ACT,1,f,26,1,O,30,6,1971,3,O,1452,.,.,.,1
ACT,1,f,27,1,O,30,6,1971,3,O,1400,.,.,.,1
ACT,1,f,28,1,O,30,6,1971,3,O,1345,.,.,.,1
ACT,1,f,29,1,O,30,6,1971,3,O,1258,.,.,.,1
ACT,1,f,30,1,O,30,6,1971,3,O,1214,.,.,.,1
ACT,1,f,31,1,O,30,6,1971,3,O,1184,.,.,.,1
ACT,1,f,32,1,O,30,6,1971,3,O,1226,.,.,.,1
ACT,1,f,33,1,O,30,6,1971,3,O,1081,.,.,.,1
ACT,1,f,34,1,O,30,6,1971,3,O,1083,.,.,.,1
ACT,1,f,35,1,O,30,6,1971,3,O,998,.,.,.,1
ACT,1,f,36,1,O,30,6,1971,3,O,951,.,.,.,1
ACT,1,f,37,1,O,30,6,1971,3,O,912,.,.,.,1
ACT,1,f,38,1,O,30,6,1971,3,O,888,.,.,.,1
ACT,1,f,39,1,O,30,6,1971,3,O,905,.,.,.,1
ACT,1,f,40,1,O,30,6,1971,3,O,910,.,.,.,1
ACT,1,f,41,1,O,30,6,1971,3,O,874,.,.,.,1
ACT,1,f,42,1,O,30,6,1971,3,O,846,.,.,.,1
ACT,1,f,43,1,O,30,6,1971,3,O,921,.,.,.,1
ACT,1,f,44,1,O,30,6,1971,3,O,864,.,.,.,1
ACT,1,f,45,1,O,30,6,1971,3,O,899,.,.,.,1
ACT,1,f,46,1,O,30,6,1971,3,O,868,.,.,.,1
ACT,1,f,47,1,O,30,6,1971,3,O,851,.,.,.,1
ACT,1,f,48,1,O,30,6,1971,3,O,814,.,.,.,1
ACT,1,f,49,1,O,30,6,1971,3,O,809,.,.,.,1
ACT,1,f,50,1,O,30,6,1971,3,O,755,.,.,.,1
ACT,1,f,51,1,O,30,6,1971,3,O,555,.,.,.,1
ACT,1,f,52,1,O,30,6,1971,3,O,549,.,.,.,1
ACT,1,f,53,1,O,30,6,1971,3,O,473,.,.,.,1
ACT,1,f,54,1,O,30,6,1971,3,O,482,.,.,.,1
ACT,1,f,55,1,O,30,6,1971,3,O,467,.,.,.,1
ACT,1,f,56,1,O,30,6,1971,3,O,429,.,.,.,1
ACT,1,f,57,1,O,30,6,1971,3,O,417,.,.,.,1
ACT,1,f,58,1,O,30,6,1971,3,O,360,.,.,.,1
ACT,1,f,59,1,O,30,6,1971,3,O,349,.,.,.,1
ACT,1,f,60,1,O,30,6,1971,3,O,338,.,.,.,1
ACT,1,f,61,1,O,30,6,1971,3,O,255,.,.,.,1
ACT,1,f,62,1,O,30,6,1971,3,O,254,.,.,.,1
ACT,1,f,63,1,O,30,6,1971,3,O,251,.,.,.,1
ACT,1,f,64,1,O,30,6,1971,3,O,233,.,.,.,1
ACT,1,f,65,1,O,30,6,1971,3,O,218,.,.,.,1
ACT,1,f,66,1,O,30,6,1971,3,O,179,.,.,.,1
ACT,1,f,67,1,O,30,6,1971,3,O,181,.,.,.,1
ACT,1,f,68,1,O,30,6,1971,3,O,161,.,.,.,1
ACT,1,f,69,1,O,30,6,1971,3,O,153,.,.,.,1
ACT,1,f,70,1,O,30,6,1971,3,O,184,.,.,.,1
ACT,1,f,71,1,O,30,6,1971,3,O,161,.,.,.,1
ACT,1,f,72,1,O,30,6,1971,3,O,114,.,.,.,1
ACT,1,f,73,1,O,30,6,1971,3,O,128,.,.,.,1
ACT,1,f,74,1,O,30,6,1971,3,O,102,.,.,.,1
ACT,1,f,75,1,O,30,6,1971,3,O,113,.,.,.,1
ACT,1,f,76,1,O,30,6,1971,3,O,96,.,.,.,1
ACT,1,f,77,1,O,30,6,1971,3,O,100,.,.,.,1
ACT,1,f,78,1,O,30,6,1971,3,O,75,.,.,.,1
ACT,1,f,79,1,O,30,6,1971,3,O,64,.,.,.,1
ACT,1,f,80,1,O,30,6,1971,3,O,72,.,.,.,1
ACT,1,f,81,1,O,30,6,1971,3,O,69,.,.,.,1
ACT,1,f,82,1,O,30,6,1971,3,O,47,.,.,.,1
ACT,1,f,83,1,O,30,6,1971,3,O,49,.,.,.,1
ACT,1,f,84,1,O,30,6,1971,3,O,42,.,.,.,1
ACT,1,f,85,1,O,30,6,1971,3,O,37,.,.,.,1
ACT,1,f,86,1,O,30,6,1971,3,O,15,.,.,.,1
ACT,1,f,87,1,O,30,6,1971,3,O,17,.,.,.,1
ACT,1,f,88,1,O,30,6,1971,3,O,14,.,.,.,1
ACT,1,f,89,1,O,30,6,1971,3,O,14,.,.,.,1
ACT,1,f,90,1,O,30,6,1971,3,O,8,.,.,.,1
ACT,1,f,91,1,O,30,6,1971,3,O,6,.,.,.,1
ACT,1,f,92,1,O,30,6,1971,3,O,8,.,.,.,1
ACT,1,f,93,1,O,30,6,1971,3,O,0,.,.,.,1
ACT,1,f,94,1,O,30,6,1971,3,O,4,.,.,.,1
ACT,1,f,95,1,O,30,6,1971,3,O,2,.,.,.,1
ACT,1,f,96,1,O,30,6,1971,3,O,3,.,.,.,1
ACT,1,f,97,1,O,30,6,1971,3,O,0,.,.,.,1
ACT,1,f,98,1,O,30,6,1971,3,O,3,.,.,.,1
ACT,1,f,99,1,O,30,6,1971,3,O,1,.,.,.,1
ACT,1,f,100,+,O,30,6,1971,3,O,1,.,.,.,1
ACT,1,f,0,1,O,30,6,1972,3,O,1988,.,.,.,1
ACT,1,f,1,1,O,30,6,1972,3,O,1897,.,.,.,1
