ACT, Population size (1-year)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0              1828.93         1925.38         3754.31
  1971         1-4              6561.89         6915.01        13476.90
  1971         5-9              8105.46         8379.14        16484.60
  1971        10-14             7191.42         7447.38        14638.80
  1971        15-19             7026.77         6963.56        13990.33
  1971        20-24             8505.22         8673.30        17178.52
  1971        25-29             6832.80         7243.26        14076.06
  1971        30-34             5684.63         6020.06        11704.69
  1971        35-39             4615.40         5094.90         9710.30
  1971        40-44             4414.81         4853.40         9268.21
  1971        45-49             4173.78         4602.90         8776.68
  1971        50-54             2676.11         3010.73         5686.84
  1971        55-59             1963.14         2160.93         4124.07
  1971        60-64             1278.63         1340.94         2619.57
  1971        65-69              881.07          780.94         1662.01
  1971        70-74              668.65          452.16         1120.81
  1971        75-79              442.00          232.37          674.37
  1971        80-84              365.13          196.62          561.75
  1971        85-89              173.93           94.56          268.49
  1971        90-94               64.34           36.96          101.30
  1971        95-99                8.35            3.44           11.79
  1971       100-104               0.00            0.00            0.00
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0              1988.00         2061.00         4049.00
  1972         1-4              7103.00         7672.00        14775.00
  1972         5-9              8290.00         8491.00        16781.00
  1972        10-14             7796.00         8295.00        16091.00
  1972        15-19             7123.00         7102.00        14225.00
  1972        20-24             8666.00         8556.00        17222.00
  1972        25-29             7923.00         8290.00        16213.00
  1972        30-34             6129.00         6640.00        12769.00
  1972        35-39             4961.00         5335.00        10296.00
  1972        40-44             4538.00         5104.00         9642.00
  1972        45-49             4367.00         4770.00         9137.00
  1972        50-54             3160.00         3537.00         6697.00
  1972        55-59             2156.00         2331.00         4487.00
  1972        60-64             1428.00         1493.00         2921.00
  1972        65-69              973.00          876.00         1849.00
  1972        70-74              739.00          483.00         1222.00
  1972        75-79              485.00          267.00          752.00
  1972        80-84              400.38          202.73          603.11
  1972        85-89              178.42           96.97          275.39
  1972        90-94               72.08           37.29          109.37
  1972        95-99               10.84            5.01           15.85
  1972       100-104               0.00            0.00            0.00
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0              1978.00         2048.00         4026.00
  1973         1-4              7918.00         8487.00        16405.00
  1973         5-9              8671.00         9114.00        17785.00
  1973        10-14             8307.00         8864.00        17171.00
  1973        15-19             7771.00         7677.00        15448.00
  1973        20-24             9315.00         9217.00        18532.00
  1973        25-29             9039.00         9544.00        18583.00
  1973        30-34             6784.00         7264.00        14048.00
  1973        35-39             5434.00         5881.00        11315.00
  1973        40-44             4688.00         5277.00         9965.00
  1973        45-49             4562.00         4993.00         9555.00
  1973        50-54             3599.00         3998.00         7597.00
  1973        55-59             2280.00         2458.00         4738.00
  1973        60-64             1557.00         1640.00         3197.00
  1973        65-69             1085.00          944.00         2029.00
  1973        70-74              773.00          571.00         1344.00
  1973        75-79              545.00          285.00          830.00
  1973        80-84              425.32          207.21          632.53
  1973        85-89              200.38           94.96          295.34
  1973        90-94               77.02           33.41          110.43
  1973        95-99               16.86            2.26           19.12
  1973       100-104               0.00            0.64            0.64
  1973       105-109               0.00            0.00            0.00
  1973       110+                  0.00            0.00            0.00
  1974           0              2037.00         2243.00         4280.00
  1974         1-4              8633.00         9044.00        17677.00
  1974         5-9              9063.00         9792.00        18855.00
  1974        10-14             8914.00         9256.00        18170.00
  1974        15-19             8375.00         8461.00        16836.00
  1974        20-24             9808.00         9500.00        19308.00
  1974        25-29             9987.00        10493.00        20480.00
  1974        30-34             7433.00         8079.00        15512.00
  1974        35-39             6006.00         6402.00        12408.00
  1974        40-44             4931.00         5512.00        10443.00
  1974        45-49             4680.00         5223.00         9903.00
  1974        50-54             3986.00         4431.00         8417.00
  1974        55-59             2471.00         2578.00         5049.00
  1974        60-64             1747.00         1761.00         3508.00
  1974        65-69             1147.00         1065.00         2212.00
  1974        70-74              843.00          631.00         1474.00
  1974        75-79              568.00          311.00          879.00
  1974        80-84              455.93          214.49          670.42
  1974        85-89              211.09          102.20          313.29
  1974        90-94               72.68           40.77          113.45
  1974        95-99               22.36            0.00           22.36
  1974       100-104               0.00            0.00            0.00
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0              2102.00         2153.00         4255.00
  1975         1-4              9140.00         9579.00        18719.00
  1975         5-9              9742.00        10552.00        20294.00
  1975        10-14             9386.00         9768.00        19154.00
  1975        15-19             9028.00         9197.00        18225.00
  1975        20-24            10188.00         9607.00        19795.00
  1975        25-29            10967.00        11517.00        22484.00
  1975        30-34             8182.00         8789.00        16971.00
  1975        35-39             6654.00         7032.00        13686.00
  1975        40-44             5146.00         5775.00        10921.00
