ACT, Life tables (period 1x10), Males	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01688  0.01663  0.12  100000    1663   98529  7128309  71.28
1971-1979        1      0.00132  0.00132  0.50   98337     130   98271  7029780  71.49
1971-1979        2      0.00055  0.00055  0.50   98206      54   98179  6931508  70.58
1971-1979        3      0.00065  0.00065  0.50   98152      64   98120  6833329  69.62
1971-1979        4      0.00070  0.00070  0.50   98088      69   98054  6735209  68.66
1971-1979        5      0.00045  0.00045  0.50   98020      44   97998  6637155  67.71
1971-1979        6      0.00041  0.00041  0.50   97975      40   97955  6539157  66.74
1971-1979        7      0.00078  0.00078  0.50   97935      76   97897  6441202  65.77
1971-1979        8      0.00048  0.00048  0.50   97859      47   97836  6343304  64.82
1971-1979        9      0.00027  0.00027  0.50   97813      27   97799  6245468  63.85
1971-1979       10      0.00045  0.00045  0.50   97786      44   97764  6147669  62.87
1971-1979       11      0.00075  0.00075  0.50   97742      73   97705  6049905  61.90
1971-1979       12      0.00076  0.00076  0.50   97669      75   97632  5952200  60.94
1971-1979       13      0.00048  0.00048  0.50   97594      46   97571  5854568  59.99
1971-1979       14      0.00121  0.00121  0.50   97548     118   97489  5756997  59.02
1971-1979       15      0.00061  0.00061  0.50   97430      59   97400  5659508  58.09
1971-1979       16      0.00179  0.00179  0.50   97371     174   97284  5562108  57.12
1971-1979       17      0.00111  0.00111  0.50   97197     108   97143  5464824  56.22
1971-1979       18      0.00247  0.00246  0.50   97089     239   96970  5367681  55.29
1971-1979       19      0.00188  0.00188  0.50   96850     182   96759  5270712  54.42
1971-1979       20      0.00181  0.00181  0.50   96668     175   96580  5173953  53.52
1971-1979       21      0.00180  0.00180  0.50   96493     174   96406  5077373  52.62
1971-1979       22      0.00166  0.00166  0.50   96319     159   96240  4980966  51.71
1971-1979       23      0.00174  0.00174  0.50   96160     167   96076  4884727  50.80
1971-1979       24      0.00130  0.00130  0.50   95993     125   95930  4788650  49.89
1971-1979       25      0.00104  0.00104  0.50   95868     100   95818  4692720  48.95
1971-1979       26      0.00091  0.00091  0.50   95768      87   95724  4596902  48.00
1971-1979       27      0.00127  0.00127  0.50   95681     122   95620  4501178  47.04
1971-1979       28      0.00100  0.00100  0.50   95559      95   95512  4405558  46.10
1971-1979       29      0.00090  0.00090  0.50   95464      86   95421  4310046  45.15
1971-1979       30      0.00136  0.00136  0.50   95378     129   95313  4214625  44.19
1971-1979       31      0.00142  0.00142  0.50   95248     135   95181  4119312  43.25
1971-1979       32      0.00137  0.00137  0.50   95113     131   95048  4024131  42.31
1971-1979       33      0.00026  0.00026  0.50   94983      24   94970  3929083  41.37
1971-1979       34      0.00185  0.00185  0.50   94958     176   94870  3834113  40.38
1971-1979       35      0.00160  0.00159  0.50   94782     151   94707  3739243  39.45
1971-1979       36      0.00175  0.00175  0.50   94631     165   94549  3644536  38.51
1971-1979       37      0.00150  0.00150  0.50   94466     142   94395  3549987  37.58
1971-1979       38      0.00199  0.00198  0.50   94324     187   94230  3455592  36.64
1971-1979       39      0.00164  0.00164  0.50   94137     154   94059  3361362  35.71
1971-1979       40      0.00198  0.00197  0.50   93982     186   93889  3267303  34.77
1971-1979       41      0.00175  0.00175  0.50   93797     164   93715  3173413  33.83
1971-1979       42      0.00296  0.00295  0.50   93633     277   93494  3079699  32.89
1971-1979       43      0.00334  0.00334  0.50   93356     311   93200  2986204  31.99
1971-1979       44      0.00241  0.00241  0.50   93044     224   92933  2893004  31.09
1971-1979       45      0.00319  0.00318  0.50   92821     296   92673  2800072  30.17
1971-1979       46      0.00334  0.00334  0.50   92525     309   92371  2707399  29.26
1971-1979       47      0.00508  0.00506  0.50   92216     467   91983  2615028  28.36
1971-1979       48      0.00440  0.00439  0.50   91749     403   91548  2523045  27.50
1971-1979       49      0.00556  0.00554  0.50   91347     506   91093  2431498  26.62
1971-1979       50      0.00528  0.00526  0.50   90840     478   90601  2340404  25.76
1971-1979       51      0.00601  0.00600  0.50   90362     542   90091  2249803  24.90
1971-1979       52      0.00655  0.00653  0.50   89820     587   89527  2159712  24.04
1971-1979       53      0.00672  0.00669  0.50   89234     597   88935  2070184  23.20
1971-1979       54      0.00930  0.00925  0.50   88636     820   88226  1981249  22.35
1971-1979       55      0.01084  0.01078  0.50   87816     946   87343  1893023  21.56
1971-1979       56      0.01150  0.01143  0.50   86870     993   86373  1805680  20.79
1971-1979       57      0.01244  0.01236  0.50   85877    1061   85346  1719307  20.02
1971-1979       58      0.01143  0.01136  0.50   84815     964   84333  1633961  19.26
1971-1979       59      0.01542  0.01530  0.50   83851    1283   83210  1549628  18.48
1971-1979       60      0.01649  0.01635  0.50   82568    1350   81893  1466418  17.76
1971-1979       61      0.01977  0.01958  0.50   81218    1590   80423  1384525  17.05
1971-1979       62      0.01649  0.01635  0.50   79628    1302   78977  1304102  16.38
1971-1979       63      0.02574  0.02542  0.50   78326    1991   77330  1225125  15.64
1971-1979       64      0.02977  0.02933  0.50   76335    2239   75215  1147795  15.04
1971-1979       65      0.02932  0.02889  0.50   74096    2141   73026  1072580  14.48
1971-1979       66      0.03241  0.03190  0.50   71955    2295   70808   999554  13.89
1971-1979       67      0.03337  0.03283  0.50   69660    2287   68517   928746  13.33
1971-1979       68      0.03056  0.03010  0.50   67373    2028   66360   860229  12.77
1971-1979       69      0.03606  0.03542  0.50   65346    2314   64188   793870  12.15
1971-1979       70      0.04384  0.04290  0.50   63031    2704   61679   729681  11.58
1971-1979       71      0.03454  0.03395  0.50   60327    2048   59303   668002  11.07
1971-1979       72      0.05831  0.05666  0.50   58279    3302   56628   608699  10.44
1971-1979       73      0.06207  0.06020  0.50   54977    3310   53323   552071  10.04
1971-1979       74      0.06042  0.05865  0.50   51668    3030   50153   498748   9.65
1971-1979       75      0.08582  0.08229  0.50   48637    4002   46636   448596   9.22
1971-1979       76      0.06913  0.06682  0.50   44635    2983   43144   401959   9.01
