NSW, Exposure to risk (period 1x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0            365785.27       382660.93       748446.21
1971-1979        1            371973.55       387989.74       759963.29
1971-1979        2            376604.46       393153.71       769758.17
1971-1979        3            381105.45       397747.57       778853.03
1971-1979        4            383155.20       400325.64       783480.84
1971-1979        5            383843.39       401612.85       785456.24
1971-1979        6            383177.84       401275.89       784453.74
1971-1979        7            380696.09       399409.97       780106.06
1971-1979        8            378398.39       397953.55       776351.93
1971-1979        9            375653.96       395905.91       771559.87
1971-1979       10            375428.32       396479.63       771907.95
1971-1979       11            377517.77       398779.83       776297.60
1971-1979       12            379428.46       400915.40       780343.86
1971-1979       13            381980.08       403132.39       785112.47
1971-1979       14            383643.07       404156.43       787799.50
1971-1979       15            383777.68       403667.82       787445.51
1971-1979       16            381635.77       400497.34       782133.11
1971-1979       17            378255.90       395086.05       773341.95
1971-1979       18            374810.78       389648.11       764458.89
1971-1979       19            372145.16       385540.00       757685.17
1971-1979       20            369319.95       382026.27       751346.21
1971-1979       21            366347.60       378870.55       745218.15
1971-1979       22            364521.51       376545.96       741067.47
1971-1979       23            364350.46       375416.95       739767.41
1971-1979       24            363271.65       374797.62       738069.27
1971-1979       25            363762.70       376378.24       740140.93
1971-1979       26            361335.69       374550.25       735885.95
1971-1979       27            356900.43       370894.55       727794.97
1971-1979       28            350992.81       366399.40       717392.21
1971-1979       29            341844.47       358808.75       700653.22
1971-1979       30            331313.18       349567.87       680881.05
1971-1979       31            321098.50       339720.86       660819.37
1971-1979       32            309204.32       327974.05       637178.37
1971-1979       33            296267.58       313787.07       610054.65
1971-1979       34            284782.94       301480.45       586263.38
1971-1979       35            276527.70       292491.01       569018.71
1971-1979       36            268732.47       284462.04       553194.51
1971-1979       37            261778.16       276914.72       538692.88
1971-1979       38            256323.64       270949.33       527272.97
1971-1979       39            252068.92       266020.88       518089.80
1971-1979       40            247831.80       261921.01       509752.81
1971-1979       41            247004.09       261375.97       508380.06
1971-1979       42            244709.79       260043.07       504752.86
1971-1979       43            244165.09       260004.82       504169.91
1971-1979       44            244523.89       261114.50       505638.40
1971-1979       45            245720.53       261930.32       507650.85
1971-1979       46            249050.30       265194.47       514244.76
1971-1979       47            252298.74       266551.01       518849.75
1971-1979       48            255030.39       267866.68       522897.07
1971-1979       49            256178.94       267329.40       523508.34
1971-1979       50            254967.73       264489.51       519457.24
1971-1979       51            254039.67       261063.30       515102.98
1971-1979       52            249358.32       254000.87       503359.18
1971-1979       53            244249.84       245904.76       490154.60
1971-1979       54            238866.33       237768.59       476634.92
1971-1979       55            233637.65       230863.48       464501.12
1971-1979       56            228761.93       223737.07       452499.00
1971-1979       57            223941.76       216998.91       440940.67
1971-1979       58            218548.19       209698.77       428246.96
1971-1979       59            212704.95       201769.69       414474.64
1971-1979       60            206682.62       194285.33       400967.95
1971-1979       61            203978.01       188721.93       392699.94
1971-1979       62            199357.48       182686.82       382044.30
1971-1979       63            194085.58       175962.73       370048.31
1971-1979       64            187669.68       168026.39       355696.06
1971-1979       65            180090.31       159281.92       339372.22
1971-1979       66            172461.38       150406.53       322867.92
1971-1979       67            163900.40       141098.71       304999.11
1971-1979       68            155393.02       131700.30       287093.32
1971-1979       69            147235.32       121900.39       269135.71
1971-1979       70            139075.08       112489.43       251564.50
1971-1979       71            133080.18       103758.91       236839.09
1971-1979       72            126468.88        95328.01       221796.89
1971-1979       73            118872.86        86334.97       205207.82
1971-1979       74            111407.12        77637.46       189044.59
1971-1979       75            104144.55        69525.30       173669.85
1971-1979       76             97656.94        61936.17       159593.11
1971-1979       77             91330.02        55226.46       146556.48
1971-1979       78             85122.16        48796.76       133918.91
1971-1979       79             78173.00        42788.32       120961.31
1971-1979       80             71163.99        36873.92       108037.90
1971-1979       81             65437.35        32773.87        98211.23
1971-1979       82             59724.33        28980.68        88705.00
1971-1979       83             53461.22        25094.88        78556.10
1971-1979       84             46819.84        21303.62        68123.46
1971-1979       85             40275.82        17824.47        58100.29
1971-1979       86             34051.72        14631.98        48683.71
1971-1979       87             28276.78        11689.63        39966.41
1971-1979       88             23102.67         9239.11        32341.77
1971-1979       89             18368.28         7138.89        25507.17
1971-1979       90             14307.21         5312.19        19619.40
1971-1979       91             11063.55         3914.93        14978.49
1971-1979       92              8384.66         2847.83        11232.49
1971-1979       93              6179.69         1977.27         8156.96
1971-1979       94              4417.18         1323.32         5740.50
1971-1979       95              3057.22          888.79         3946.00
1971-1979       96              2057.78          596.31         2654.09
1971-1979       97              1317.76          372.96         1690.72
1971-1979       98               809.50          222.63         1032.12
1971-1979       99               493.23          135.19          628.42
1971-1979      100               285.12           79.77          364.89
1971-1979      101               160.11           41.51          201.63
1971-1979      102                85.92           19.61          105.53
1971-1979      103                43.48            7.48           50.95
1971-1979      104                19.68            1.64           21.32
1971-1979      105                 6.85            0.08            6.93
1971-1979      106                 1.11            0.00            1.11
1971-1979      107                 0.00            0.00            0.00
1971-1979      108                 0.00            0.00            0.00
1971-1979      109                 0.00            0.00            0.00
1971-1979      110+                0.00            0.00            0.00
1980-1989        0            405559.91       426446.20       832006.11
1980-1989        1            401434.56       421721.37       823155.93
1980-1989        2            399092.12       419005.64       818097.76
1980-1989        3            398076.93       417742.68       815819.61
1980-1989        4            398124.78       417082.11       815206.88
1980-1989        5            398641.77       417310.58       815952.35
1980-1989        6            400324.15       419745.02       820069.17
1980-1989        7            403906.10       423391.28       827297.38
1980-1989        8            409729.91       429504.98       839234.89
1980-1989        9            417065.96       436669.25       853735.21
1980-1989       10            423182.22       442441.06       865623.28
1980-1989       11            427751.24       447253.99       875005.24
1980-1989       12            431103.81       450673.10       881776.92
1980-1989       13            433174.86       452913.67       886088.53
1980-1989       14            434290.86       454639.87       888930.73
1980-1989       15            434198.00       455539.58       889737.58
1980-1989       16            434265.13       456322.27       890587.40
1980-1989       17            435209.40       457552.98       892762.38
1980-1989       18            434671.19       457197.84       891869.03
1980-1989       19            435853.95       456452.23       892306.18
1980-1989       20            438624.45       456603.37       895227.82
1980-1989       21            441679.28       458805.71       900484.99
1980-1989       22            444405.40       461201.68       905607.08
