NSW, Life tables (period 1x1), Total	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.01864  0.01833  0.11  100000    1833   98370  7115243  71.15
  1971           1      0.00133  0.00133  0.50   98167     131   98101  7016873  71.48
  1971           2      0.00066  0.00066  0.50   98036      64   98003  6918772  70.57
  1971           3      0.00058  0.00058  0.50   97971      57   97943  6820769  69.62
  1971           4      0.00057  0.00057  0.50   97914      56   97887  6722826  68.66
  1971           5      0.00047  0.00047  0.50   97859      46   97836  6624939  67.70
  1971           6      0.00045  0.00045  0.50   97813      44   97791  6527103  66.73
  1971           7      0.00032  0.00032  0.50   97768      31   97753  6429313  65.76
  1971           8      0.00033  0.00033  0.50   97737      32   97722  6331560  64.78
  1971           9      0.00030  0.00030  0.50   97706      29   97691  6233838  63.80
  1971          10      0.00031  0.00031  0.50   97676      30   97661  6136147  62.82
  1971          11      0.00026  0.00026  0.50   97646      25   97633  6038486  61.84
  1971          12      0.00034  0.00034  0.50   97621      34   97604  5940853  60.86
  1971          13      0.00051  0.00051  0.50   97587      50   97562  5843249  59.88
  1971          14      0.00047  0.00047  0.50   97538      46   97514  5745686  58.91
  1971          15      0.00060  0.00060  0.50   97491      58   97462  5648172  57.94
  1971          16      0.00073  0.00073  0.50   97433      71   97397  5550710  56.97
  1971          17      0.00142  0.00141  0.50   97362     138   97293  5453312  56.01
  1971          18      0.00138  0.00138  0.50   97224     134   97157  5356019  55.09
  1971          19      0.00123  0.00123  0.50   97090     119   97030  5258862  54.16
  1971          20      0.00135  0.00135  0.50   96971     131   96905  5161832  53.23
  1971          21      0.00135  0.00135  0.50   96840     131   96774  5064927  52.30
  1971          22      0.00118  0.00118  0.50   96709     114   96652  4968153  51.37
  1971          23      0.00094  0.00094  0.50   96595      91   96549  4871501  50.43
  1971          24      0.00117  0.00116  0.50   96504     112   96448  4774952  49.48
  1971          25      0.00102  0.00102  0.50   96391      98   96342  4678504  48.54
  1971          26      0.00119  0.00119  0.50   96293     115   96236  4582162  47.59
  1971          27      0.00097  0.00097  0.50   96178      93   96131  4485926  46.64
  1971          28      0.00103  0.00103  0.50   96085      99   96035  4389795  45.69
  1971          29      0.00106  0.00106  0.50   95985     102   95935  4293760  44.73
  1971          30      0.00101  0.00101  0.50   95884      97   95835  4197825  43.78
  1971          31      0.00110  0.00110  0.50   95787     105   95734  4101990  42.82
  1971          32      0.00126  0.00126  0.50   95681     120   95621  4006256  41.87
  1971          33      0.00104  0.00104  0.50   95561      99   95512  3910635  40.92
  1971          34      0.00156  0.00156  0.50   95462     149   95388  3815123  39.96
  1971          35      0.00159  0.00159  0.50   95313     152   95237  3719735  39.03
  1971          36      0.00161  0.00161  0.50   95161     153   95085  3624498  38.09
  1971          37      0.00175  0.00175  0.50   95008     166   94925  3529414  37.15
  1971          38      0.00243  0.00243  0.50   94842     230   94727  3434489  36.21
  1971          39      0.00198  0.00198  0.50   94611     187   94518  3339762  35.30
  1971          40      0.00218  0.00218  0.50   94425     206   94322  3245244  34.37
  1971          41      0.00239  0.00239  0.50   94219     225   94106  3150922  33.44
  1971          42      0.00291  0.00290  0.50   93994     273   93858  3056816  32.52
  1971          43      0.00317  0.00316  0.50   93721     296   93573  2962958  31.61
  1971          44      0.00396  0.00395  0.50   93425     369   93240  2869385  30.71
  1971          45      0.00411  0.00410  0.50   93056     382   92865  2776145  29.83
  1971          46      0.00475  0.00474  0.50   92674     439   92454  2683280  28.95
  1971          47      0.00460  0.00459  0.50   92235     424   92023  2590826  28.09
  1971          48      0.00541  0.00540  0.50   91811     495   91563  2498803  27.22
  1971          49      0.00612  0.00611  0.50   91316     558   91037  2407239  26.36
  1971          50      0.00668  0.00666  0.50   90758     604   90456  2316202  25.52
  1971          51      0.00618  0.00616  0.50   90154     556   89876  2225746  24.69
  1971          52      0.00808  0.00804  0.50   89598     721   89238  2135870  23.84
  1971          53      0.00903  0.00899  0.50   88878     799   88478  2046632  23.03
  1971          54      0.01006  0.01001  0.50   88079     882   87638  1958153  22.23
  1971          55      0.01058  0.01053  0.50   87197     918   86738  1870515  21.45
  1971          56      0.01251  0.01243  0.50   86279    1073   85743  1783777  20.67
  1971          57      0.01264  0.01256  0.50   85207    1071   84671  1698034  19.93
  1971          58      0.01452  0.01442  0.50   84136    1213   83530  1613363  19.18
  1971          59      0.01517  0.01505  0.50   82923    1248   82299  1529833  18.45
  1971          60      0.01662  0.01648  0.50   81675    1346   81002  1447534  17.72
  1971          61      0.01680  0.01666  0.50   80329    1339   79660  1366532  17.01
  1971          62      0.02058  0.02037  0.50   78990    1609   78186  1286872  16.29
  1971          63      0.02312  0.02286  0.50   77381    1769   76497  1208687  15.62
  1971          64      0.02249  0.02224  0.50   75612    1681   74772  1132190  14.97
  1971          65      0.02582  0.02549  0.50   73931    1884   72989  1057418  14.30
  1971          66      0.02706  0.02670  0.50   72047    1923   71085   984430  13.66
  1971          67      0.03157  0.03108  0.50   70123    2179   69033   913345  13.02
  1971          68      0.03179  0.03129  0.50   67944    2126   66881   844311  12.43
  1971          69      0.03609  0.03545  0.50   65818    2333   64651   777431  11.81
  1971          70      0.04278  0.04188  0.50   63485    2659   62155   712780  11.23
  1971          71      0.04456  0.04359  0.50   60826    2651   59500   650624  10.70
  1971          72      0.04644  0.04538  0.50   58175    2640   56855   591124  10.16
  1971          73      0.05532  0.05383  0.50   55534    2989   54040   534270   9.62
  1971          74      0.05519  0.05371  0.50   52545    2822   51134   480230   9.14
  1971          75      0.06574  0.06365  0.50   49723    3165   48140   429096   8.63
  1971          76      0.07359  0.07098  0.50   46558    3305   44906   380956   8.18
  1971          77      0.07116  0.06871  0.50   43253    2972   41767   336050   7.77
  1971          78      0.09042  0.08650  0.50   40281    3485   38539   294283   7.31
  1971          79      0.08994  0.08607  0.50   36797    3167   35213   255744   6.95
  1971          80      0.09339  0.08922  0.50   33630    3000   32129   220531   6.56
  1971          81      0.09377  0.08957  0.50   30629    2744   29257   188402   6.15
  1971          82      0.11953  0.11279  0.50   27886    3145   26313   159145   5.71
  1971          83      0.13585  0.12721  0.50   24740    3147   23167   132832   5.37
  1971          84      0.14508  0.13527  0.50   21593    2921   20133   109665   5.08
  1971          85      0.15579  0.14453  0.50   18672    2699   17323    89532   4.79
  1971          86      0.17876  0.16410  0.50   15974    2621   14663    72209   4.52
  1971          87      0.18088  0.16588  0.50   13352    2215   12245    57546   4.31
  1971          88      0.19039  0.17384  0.50   11138    1936   10169    45301   4.07
  1971          89      0.21022  0.19023  0.50    9201    1750    8326    35131   3.82
  1971          90      0.21514  0.19424  0.50    7451    1447    6727    26805   3.60
  1971          91      0.24362  0.21717  0.50    6004    1304    5352    20078   3.34
  1971          92      0.26933  0.23736  0.50    4700    1116    4142    14726   3.13
  1971          93      0.29024  0.25346  0.50    3584     908    3130    10584   2.95
  1971          94      0.31210  0.26997  0.50    2676     722    2315     7454   2.79
  1971          95      0.33486  0.28683  0.50    1953     560    1673     5139   2.63
  1971          96      0.35845  0.30397  0.50    1393     423    1181     3466   2.49
  1971          97      0.38278  0.32129  0.50     970     312     814     2284   2.36
  1971          98      0.40776  0.33870  0.50     658     223     547     1470   2.23
  1971          99      0.43326  0.35612  0.50     435     155     358      924   2.12
  1971         100      0.45917  0.37344  0.50     280     105     228      566   2.02
  1971         101      0.48535  0.39057  0.50     176      69     141      338   1.93
  1971         102      0.51166  0.40743  0.50     107      44      85      197   1.84
  1971         103      0.53796  0.42393  0.50      63      27      50      112   1.76
  1971         104      0.56410  0.44000  0.50      37      16      28       62   1.69
  1971         105      0.58994  0.45556  0.50      20       9      16       33   1.62
  1971         106      0.61534  0.47056  0.50      11       5       9       17   1.57
  1971         107      0.64017  0.48494  0.50       6       3       4        9   1.51
  1971         108      0.66431  0.49867  0.50       3       2       2        4   1.47
  1971         109      0.68767  0.51172  0.50       2       1       1        2   1.43
  1971         110+     0.71014  1.00000  1.41       1       1       1        1   1.41
  1972           0      0.01807  0.01778  0.11  100000    1778   98421  7152917  71.53
  1972           1      0.00131  0.00131  0.50   98222     129   98157  7054496  71.82
  1972           2      0.00077  0.00077  0.50   98093      76   98055  6956339  70.92
  1972           3      0.00057  0.00057  0.50   98017      56   97989  6858284  69.97
  1972           4      0.00047  0.00047  0.50   97961      46   97938  6760294  69.01
  1972           5      0.00056  0.00056  0.50   97915      54   97888  6662356  68.04
  1972           6      0.00041  0.00041  0.50   97860      40   97840  6564469  67.08
  1972           7      0.00036  0.00036  0.50   97820      36   97802  6466628  66.11
  1972           8      0.00028  0.00028  0.50   97785      28   97771  6368826  65.13
  1972           9      0.00023  0.00023  0.50   97757      22   97746  6271055  64.15
  1972          10      0.00024  0.00024  0.50   97735      24   97723  6173309  63.16
  1972          11      0.00023  0.00023  0.50   97711      22   97700  6075586  62.18
  1972          12      0.00029  0.00029  0.50   97689      28   97675  5977886  61.19
