NSW, Life tables (period 1x10), Females	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01324  0.01309  0.12  100000    1309   98851  7599374  75.99
1971-1979        1      0.00101  0.00101  0.50   98691     100   98642  7500523  76.00
1971-1979        2      0.00062  0.00062  0.50   98592      61   98561  7401881  75.08
1971-1979        3      0.00043  0.00043  0.50   98531      43   98510  7303320  74.12
1971-1979        4      0.00038  0.00038  0.50   98488      37   98470  7204810  73.15
1971-1979        5      0.00032  0.00032  0.50   98451      32   98435  7106340  72.18
1971-1979        6      0.00032  0.00032  0.50   98420      32   98404  7007905  71.20
1971-1979        7      0.00025  0.00025  0.50   98388      25   98375  6909501  70.23
1971-1979        8      0.00024  0.00024  0.50   98363      23   98351  6811126  69.24
1971-1979        9      0.00020  0.00020  0.50   98340      20   98330  6712775  68.26
1971-1979       10      0.00020  0.00020  0.50   98320      19   98310  6614445  67.27
1971-1979       11      0.00023  0.00023  0.50   98301      22   98290  6516134  66.29
1971-1979       12      0.00019  0.00019  0.50   98279      19   98269  6417845  65.30
1971-1979       13      0.00025  0.00025  0.50   98260      25   98247  6319575  64.31
1971-1979       14      0.00033  0.00033  0.50   98235      33   98219  6221328  63.33
1971-1979       15      0.00034  0.00034  0.50   98202      34   98186  6123109  62.35
1971-1979       16      0.00041  0.00041  0.50   98169      41   98149  6024924  61.37
1971-1979       17      0.00057  0.00057  0.50   98128      56   98100  5926775  60.40
1971-1979       18      0.00062  0.00062  0.50   98072      61   98042  5828675  59.43
1971-1979       19      0.00054  0.00054  0.50   98011      53   97985  5730633  58.47
1971-1979       20      0.00051  0.00051  0.50   97958      50   97933  5632649  57.50
1971-1979       21      0.00052  0.00052  0.50   97908      51   97883  5534716  56.53
1971-1979       22      0.00054  0.00054  0.50   97857      53   97831  5436833  55.56
1971-1979       23      0.00058  0.00058  0.50   97804      57   97776  5339002  54.59
1971-1979       24      0.00056  0.00056  0.50   97747      55   97720  5241227  53.62
1971-1979       25      0.00051  0.00051  0.50   97692      50   97667  5143507  52.65
1971-1979       26      0.00054  0.00054  0.50   97643      52   97616  5045840  51.68
1971-1979       27      0.00066  0.00066  0.50   97590      64   97558  4948223  50.70
1971-1979       28      0.00055  0.00055  0.50   97526      54   97499  4850665  49.74
1971-1979       29      0.00063  0.00063  0.50   97472      62   97442  4753166  48.76
1971-1979       30      0.00069  0.00069  0.50   97411      68   97377  4655724  47.79
1971-1979       31      0.00065  0.00065  0.50   97343      63   97312  4558347  46.83
1971-1979       32      0.00074  0.00074  0.50   97280      72   97244  4461035  45.86
1971-1979       33      0.00081  0.00081  0.50   97208      79   97169  4363791  44.89
1971-1979       34      0.00094  0.00094  0.50   97129      92   97083  4266623  43.93
1971-1979       35      0.00107  0.00107  0.50   97037     104   96985  4169540  42.97
1971-1979       36      0.00113  0.00113  0.50   96933     109   96879  4072554  42.01
1971-1979       37      0.00131  0.00131  0.50   96824     126   96761  3975676  41.06
1971-1979       38      0.00138  0.00138  0.50   96698     133   96631  3878915  40.11
1971-1979       39      0.00160  0.00160  0.50   96564     154   96487  3782284  39.17
1971-1979       40      0.00162  0.00162  0.50   96410     156   96332  3685797  38.23
1971-1979       41      0.00175  0.00175  0.50   96254     168   96170  3589465  37.29
1971-1979       42      0.00219  0.00219  0.50   96086     210   95980  3493296  36.36
1971-1979       43      0.00248  0.00248  0.50   95875     237   95757  3397315  35.43
1971-1979       44      0.00269  0.00268  0.50   95638     257   95510  3301558  34.52
1971-1979       45      0.00285  0.00285  0.50   95381     271   95246  3206049  33.61
1971-1979       46      0.00316  0.00316  0.50   95110     301   94960  3110803  32.71
1971-1979       47      0.00352  0.00351  0.50   94809     333   94643  3015843  31.81
1971-1979       48      0.00363  0.00362  0.50   94476     342   94305  2921201  30.92
1971-1979       49      0.00411  0.00410  0.50   94134     386   93941  2826895  30.03
1971-1979       50      0.00448  0.00447  0.50   93748     419   93539  2732954  29.15
1971-1979       51      0.00451  0.00450  0.50   93329     420   93119  2639416  28.28
1971-1979       52      0.00533  0.00531  0.50   92909     494   92662  2546297  27.41
1971-1979       53      0.00540  0.00539  0.50   92415     498   92167  2453634  26.55
1971-1979       54      0.00619  0.00617  0.50   91918     567   91634  2361468  25.69
1971-1979       55      0.00619  0.00618  0.50   91350     564   91068  2269834  24.85
1971-1979       56      0.00680  0.00678  0.50   90786     615   90479  2178766  24.00
1971-1979       57      0.00800  0.00797  0.50   90171     718   89812  2088287  23.16
1971-1979       58      0.00849  0.00845  0.50   89453     756   89075  1998475  22.34
1971-1979       59      0.00963  0.00958  0.50   88697     850   88272  1909400  21.53
1971-1979       60      0.01003  0.00998  0.50   87847     876   87409  1821128  20.73
1971-1979       61      0.01026  0.01021  0.50   86971     888   86527  1733719  19.93
1971-1979       62      0.01230  0.01222  0.50   86083    1052   85557  1647192  19.14
1971-1979       63      0.01383  0.01373  0.50   85031    1168   84447  1561636  18.37
1971-1979       64      0.01466  0.01456  0.50   83863    1221   83253  1477189  17.61
1971-1979       65      0.01527  0.01516  0.50   82642    1253   82016  1393937  16.87
1971-1979       66      0.01676  0.01662  0.50   81390    1352   80713  1311921  16.12
1971-1979       67      0.01856  0.01839  0.50   80037    1472   79301  1231207  15.38
1971-1979       68      0.02105  0.02084  0.50   78565    1637   77747  1151906  14.66
1971-1979       69      0.02338  0.02311  0.50   76929    1778   76040  1074159  13.96
1971-1979       70      0.02474  0.02444  0.50   75151    1837   74233   998119  13.28
1971-1979       71      0.02692  0.02656  0.50   73314    1948   72341   923887  12.60
1971-1979       72      0.03224  0.03173  0.50   71367    2264   70235   851546  11.93
1971-1979       73      0.03601  0.03538  0.50   69103    2445   67880   781311  11.31
1971-1979       74      0.04024  0.03945  0.50   66658    2629   65343   713431  10.70
1971-1979       75      0.04506  0.04407  0.50   64029    2822   62618   648087  10.12
1971-1979       76      0.04983  0.04862  0.50   61207    2976   59719   585469   9.57
1971-1979       77      0.05082  0.04956  0.50   58231    2886   56788   525750   9.03
1971-1979       78      0.06116  0.05935  0.50   55345    3285   53703   468962   8.47
1971-1979       79      0.06783  0.06560  0.50   52061    3415   50353   415259   7.98
1971-1979       80      0.07323  0.07064  0.50   48646    3436   46927   364905   7.50
1971-1979       81      0.07750  0.07461  0.50   45209    3373   43523   317978   7.03
1971-1979       82      0.09102  0.08706  0.50   41836    3642   40015   274455   6.56
1971-1979       83      0.10376  0.09865  0.50   38194    3768   36310   234440   6.14
1971-1979       84      0.11697  0.11050  0.50   34426    3804   32524   198130   5.76
1971-1979       85      0.12755  0.11990  0.50   30622    3672   28786   165606   5.41
1971-1979       86      0.14605  0.13611  0.50   26950    3668   25116   136820   5.08
1971-1979       87      0.14846  0.13820  0.50   23282    3218   21673   111703   4.80
1971-1979       88      0.16210  0.14995  0.50   20065    3009   18560    90030   4.49
1971-1979       89      0.19075  0.17414  0.50   17056    2970   15571    71469   4.19
1971-1979       90      0.19554  0.17813  0.50   14086    2509   12831    55899   3.97
1971-1979       91      0.20677  0.18739  0.50   11577    2169   10492    43067   3.72
1971-1979       92      0.22594  0.20301  0.50    9407    1910    8452    32575   3.46
1971-1979       93      0.25088  0.22292  0.50    7498    1671    6662    24123   3.22
1971-1979       94      0.27626  0.24273  0.50    5826    1414    5119    17461   3.00
1971-1979       95      0.30676  0.26596  0.50    4412    1173    3825    12342   2.80
1971-1979       96      0.33148  0.28435  0.50    3239     921    2778     8516   2.63
1971-1979       97      0.35718  0.30306  0.50    2318     702    1966     5738   2.48
1971-1979       98      0.38372  0.32195  0.50    1615     520    1355     3772   2.33
1971-1979       99      0.41098  0.34092  0.50    1095     373     909     2416   2.21
1971-1979      100      0.43879  0.35984  0.50     722     260     592     1508   2.09
1971-1979      101      0.46699  0.37859  0.50     462     175     375      916   1.98
1971-1979      102      0.49541  0.39705  0.50     287     114     230      541   1.88
1971-1979      103      0.52385  0.41512  0.50     173      72     137      311   1.80
1971-1979      104      0.55214  0.43269  0.50     101      44      79      174   1.72
1971-1979      105      0.58010  0.44967  0.50      57      26      45       95   1.65
1971-1979      106      0.60755  0.46599  0.50      32      15      24       50   1.58
1971-1979      107      0.63434  0.48159  0.50      17       8      13       26   1.52
1971-1979      108      0.66032  0.49642  0.50       9       4       7       13   1.47
1971-1979      109      0.68537  0.51045  0.50       4       2       3        6   1.43
1971-1979      110+     0.70939  1.00000  1.41       2       2       3        3   1.41
1980-1989        0      0.00830  0.00824  0.13  100000     824   99285  7870944  78.71
1980-1989        1      0.00065  0.00065  0.50   99176      64   99144  7771659  78.36
1980-1989        2      0.00042  0.00042  0.50   99112      41   99091  7672516  77.41
1980-1989        3      0.00027  0.00027  0.50   99070      27   99057  7573424  76.44
1980-1989        4      0.00024  0.00024  0.50   99043      24   99031  7474368  75.47
1980-1989        5      0.00023  0.00023  0.50   99019      23   99008  7375336  74.48
1980-1989        6      0.00019  0.00019  0.50   98997      19   98987  7276328  73.50
1980-1989        7      0.00019  0.00019  0.50   98978      18   98969  7177341  72.51
1980-1989        8      0.00013  0.00013  0.50   98960      13   98953  7078372  71.53
1980-1989        9      0.00012  0.00012  0.50   98946      12   98940  6979419  70.54
1980-1989       10      0.00016  0.00016  0.50   98934      16   98926  6880478  69.55
1980-1989       11      0.00018  0.00018  0.50   98918      18   98910  6781552  68.56
1980-1989       12      0.00016  0.00016  0.50   98901      16   98893  6682642  67.57
1980-1989       13      0.00019  0.00019  0.50   98885      19   98876  6583750  66.58
1980-1989       14      0.00021  0.00021  0.50   98866      21   98856  6484874  65.59
1980-1989       15      0.00028  0.00028  0.50   98845      28   98831  6386018  64.61
1980-1989       16      0.00036  0.00036  0.50   98818      36   98800  6287187  63.62
1980-1989       17      0.00042  0.00042  0.50   98782      42   98761  6188387  62.65
1980-1989       18      0.00055  0.00055  0.50   98740      55   98713  6089627  61.67
1980-1989       19      0.00053  0.00053  0.50   98685      52   98659  5990914  60.71
1980-1989       20      0.00052  0.00052  0.50   98633      51   98608  5892255  59.74
1980-1989       21      0.00048  0.00048  0.50   98583      47   98559  5793647  58.77
1980-1989       22      0.00051  0.00051  0.50   98536      50   98511  5695087  57.80
1980-1989       23      0.00051  0.00051  0.50   98485      51   98460  5596577  56.83
1980-1989       24      0.00046  0.00046  0.50   98435      46   98412  5498117  55.86
1980-1989       25      0.00048  0.00048  0.50   98389      48   98366  5399705  54.88
1980-1989       26      0.00055  0.00055  0.50   98342      54   98315  5301339  53.91
1980-1989       27      0.00046  0.00046  0.50   98288      45   98265  5203024  52.94
1980-1989       28      0.00048  0.00048  0.50   98243      47   98219  5104759  51.96
1980-1989       29      0.00048  0.00048  0.50   98196      47   98172  5006539  50.99
1980-1989       30      0.00045  0.00045  0.50   98149      44   98127  4908367  50.01
1980-1989       31      0.00057  0.00057  0.50   98105      55   98077  4810240  49.03
1980-1989       32      0.00060  0.00060  0.50   98049      59   98020  4712163  48.06
1980-1989       33      0.00065  0.00065  0.50   97990      64   97958  4614144  47.09
1980-1989       34      0.00067  0.00067  0.50   97927      66   97894  4516185  46.12
1980-1989       35      0.00067  0.00067  0.50   97861      66   97828  4418292  45.15
1980-1989       36      0.00072  0.00072  0.50   97795      70   97760  4320464  44.18
1980-1989       37      0.00087  0.00087  0.50   97724      85   97682  4222704  43.21
1980-1989       38      0.00091  0.00091  0.50   97639      89   97595  4125023  42.25
1980-1989       39      0.00098  0.00098  0.50   97550      96   97502  4027428  41.29
1980-1989       40      0.00114  0.00114  0.50   97454     111   97399  3929926  40.33
1980-1989       41      0.00118  0.00118  0.50   97343     115   97286  3832528  39.37
1980-1989       42      0.00144  0.00144  0.50   97228     140   97158  3735242  38.42
1980-1989       43      0.00161  0.00161  0.50   97088     156   97010  3638084  37.47
1980-1989       44      0.00173  0.00173  0.50   96932     168   96848  3541074  36.53
1980-1989       45      0.00192  0.00191  0.50   96764     185   96672  3444226  35.59
1980-1989       46      0.00232  0.00232  0.50   96579     224   96467  3347554  34.66
1980-1989       47      0.00244  0.00244  0.50   96355     235   96237  3251087  33.74
1980-1989       48      0.00241  0.00240  0.50   96120     231   96004  3154849  32.82
1980-1989       49      0.00288  0.00288  0.50   95889     276   95751  3058845  31.90
1980-1989       50      0.00306  0.00306  0.50   95613     292   95467  2963094  30.99
1980-1989       51      0.00331  0.00330  0.50   95321     315   95163  2867627  30.08
1980-1989       52      0.00391  0.00390  0.50   95006     371   94820  2772464  29.18
1980-1989       53      0.00435  0.00434  0.50   94635     411   94430  2677643  28.29
1980-1989       54      0.00462  0.00461  0.50   94225     434   94008  2583213  27.42
1980-1989       55      0.00483  0.00482  0.50   93790     452   93564  2489206  26.54
1980-1989       56      0.00549  0.00547  0.50   93338     511   93083  2395641  25.67
1980-1989       57      0.00600  0.00598  0.50   92827     555   92550  2302559  24.80
1980-1989       58      0.00651  0.00649  0.50   92272     599   91973  2210009  23.95
1980-1989       59      0.00740  0.00737  0.50   91673     676   91335  2118037  23.10
1980-1989       60      0.00774  0.00771  0.50   90997     702   90646  2026702  22.27
1980-1989       61      0.00821  0.00818  0.50   90295     738   89926  1936055  21.44
1980-1989       62      0.00993  0.00989  0.50   89557     885   89114  1846129  20.61
1980-1989       63      0.01084  0.01078  0.50   88672     956   88194  1757015  19.81
1980-1989       64      0.01168  0.01161  0.50   87716    1018   87207  1668822  19.03
1980-1989       65      0.01230  0.01223  0.50   86697    1060   86167  1581615  18.24
1980-1989       66      0.01335  0.01326  0.50   85637    1136   85069  1495448  17.46
1980-1989       67      0.01546  0.01534  0.50   84502    1297   83853  1410378  16.69
1980-1989       68      0.01675  0.01661  0.50   83205    1382   82514  1326525  15.94
1980-1989       69      0.01894  0.01876  0.50   81823    1535   81055  1244011  15.20
1980-1989       70      0.02039  0.02018  0.50   80288    1620   79478  1162956  14.48
1980-1989       71      0.02261  0.02236  0.50   78667    1759   77788  1083479  13.77
1980-1989       72      0.02549  0.02517  0.50   76908    1935   75941  1005691  13.08
1980-1989       73      0.02818  0.02779  0.50   74973    2083   73931   929750  12.40
1980-1989       74      0.03146  0.03097  0.50   72890    2257   71761   855819  11.74
1980-1989       75      0.03391  0.03334  0.50   70632    2355   69455   784058  11.10
1980-1989       76      0.03785  0.03715  0.50   68277    2537   67009   714603  10.47
1980-1989       77      0.04164  0.04079  0.50   65741    2682   64400   647594   9.85
1980-1989       78      0.04907  0.04789  0.50   63059    3020   61549   583194   9.25
1980-1989       79      0.05467  0.05322  0.50   60039    3195   58441   521645   8.69
1980-1989       80      0.06242  0.06053  0.50   56844    3441   55124   463203   8.15
1980-1989       81      0.06796  0.06572  0.50   53403    3510   51648   408080   7.64
1980-1989       82      0.07850  0.07553  0.50   49893    3769   48009   356432   7.14
1980-1989       83      0.08862  0.08486  0.50   46125    3914   44168   308422   6.69
1980-1989       84      0.10097  0.09612  0.50   42211    4057   40182   264255   6.26
1980-1989       85      0.10880  0.10319  0.50   38154    3937   36185   224073   5.87
1980-1989       86      0.12246  0.11539  0.50   34216    3948   32242   187888   5.49
1980-1989       87      0.13278  0.12452  0.50   30268    3769   28384   155645   5.14
1980-1989       88      0.14437  0.13465  0.50   26499    3568   24715   127262   4.80
1980-1989       89      0.16430  0.15183  0.50   22931    3482   21190   102546   4.47
1980-1989       90      0.17117  0.15768  0.50   19450    3067   17916    81356   4.18
1980-1989       91      0.19272  0.17578  0.50   16383    2880   14943    63440   3.87
1980-1989       92      0.22375  0.20124  0.50   13503    2717   12144    48497   3.59
1980-1989       93      0.24212  0.21598  0.50   10786    2329    9621    36353   3.37
1980-1989       94      0.26159  0.23133  0.50    8456    1956    7478    26732   3.16
1980-1989       95      0.28350  0.24831  0.50    6500    1614    5693    19254   2.96
1980-1989       96      0.30813  0.26699  0.50    4886    1305    4234    13561   2.78
1980-1989       97      0.33389  0.28613  0.50    3581    1025    3069     9327   2.60
1980-1989       98      0.36069  0.30558  0.50    2557     781    2166     6258   2.45
1980-1989       99      0.38838  0.32523  0.50    1775     577    1487     4092   2.30
1980-1989      100      0.41682  0.34493  0.50    1198     413     991     2605   2.17
1980-1989      101      0.44582  0.36455  0.50     785     286     642     1613   2.06
1980-1989      102      0.47519  0.38396  0.50     499     191     403      972   1.95
