NSW, Life tables (period 1x5), Males	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.02032  0.01996  0.11  100000    1996   98221  6822168  68.22
1971-1974        1      0.00138  0.00138  0.50   98004     135   97937  6723947  68.61
1971-1974        2      0.00089  0.00089  0.50   97869      87   97826  6626010  67.70
1971-1974        3      0.00074  0.00074  0.50   97782      72   97746  6528185  66.76
1971-1974        4      0.00061  0.00061  0.50   97710      60   97680  6430439  65.81
1971-1974        5      0.00056  0.00056  0.50   97650      55   97622  6332759  64.85
1971-1974        6      0.00048  0.00048  0.50   97595      47   97571  6235137  63.89
1971-1974        7      0.00041  0.00041  0.50   97548      40   97528  6137565  62.92
1971-1974        8      0.00040  0.00040  0.50   97508      39   97488  6040037  61.94
1971-1974        9      0.00028  0.00028  0.50   97469      27   97455  5942549  60.97
1971-1974       10      0.00031  0.00031  0.50   97442      30   97427  5845093  59.99
1971-1974       11      0.00035  0.00035  0.50   97411      34   97394  5747667  59.00
1971-1974       12      0.00038  0.00038  0.50   97377      37   97359  5650272  58.02
1971-1974       13      0.00038  0.00038  0.50   97340      37   97322  5552914  57.05
1971-1974       14      0.00050  0.00050  0.50   97303      49   97279  5455592  56.07
1971-1974       15      0.00068  0.00068  0.50   97254      66   97221  5358313  55.10
1971-1974       16      0.00091  0.00091  0.50   97188      88   97144  5261092  54.13
1971-1974       17      0.00150  0.00150  0.50   97100     145   97027  5163949  53.18
1971-1974       18      0.00187  0.00186  0.50   96954     181   96864  5066922  52.26
1971-1974       19      0.00202  0.00201  0.50   96774     195   96676  4970058  51.36
1971-1974       20      0.00206  0.00206  0.50   96579     199   96479  4873382  50.46
1971-1974       21      0.00184  0.00184  0.50   96380     178   96291  4776902  49.56
1971-1974       22      0.00161  0.00161  0.50   96202     155   96125  4680612  48.65
1971-1974       23      0.00137  0.00137  0.50   96047     132   95981  4584487  47.73
