NT, Life expectancy at birth (period, 1x5)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1971-1974     65.91    62.47    63.94
1975-1979     66.97    63.10    64.70
1980-1984     70.97    66.06    68.19
1985-1989     72.97    67.41    69.84
1990-1994     73.82    68.36    70.76
1995-1999     75.24    70.80    72.77
2000-2004     77.42    71.47    74.14
2005-2009     77.94    72.89    75.14
2010-2014     78.91    74.71    76.60
2015-2019     79.81    75.78    77.64
