NT, Exposure to risk (period 1x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0              1312.34         1388.16         2700.49
  1971           1              1244.72         1283.69         2528.41
  1971           2              1233.99         1262.73         2496.72
  1971           3              1196.28         1235.18         2431.46
  1971           4              1141.36         1198.06         2339.42
  1971           5              1073.62         1144.29         2217.91
  1971           6              1021.42         1053.37         2074.79
  1971           7               963.50         1030.03         1993.52
  1971           8               953.04          993.50         1946.53
  1971           9               931.92          971.54         1903.46
  1971          10               853.25          916.70         1769.94
  1971          11               811.34          877.98         1689.32
  1971          12               732.61          773.39         1506.00
  1971          13               676.87          712.39         1389.26
  1971          14               641.96          649.19         1291.15
  1971          15               599.71          615.47         1215.18
  1971          16               588.48          593.43         1181.90
  1971          17               583.23          628.03         1211.27
  1971          18               627.82          712.11         1339.93
  1971          19               706.70          807.60         1514.29
  1971          20               808.06          951.26         1759.31
  1971          21               914.85         1072.01         1986.86
  1971          22              1001.37         1209.40         2210.77
  1971          23              1049.77         1284.43         2334.19
  1971          24              1055.91         1350.10         2406.01
  1971          25              1012.88         1374.99         2387.87
  1971          26               964.81         1307.86         2272.67
  1971          27               893.78         1241.38         2135.16
  1971          28               826.23         1166.89         1993.12
  1971          29               750.20         1115.18         1865.37
  1971          30               716.03         1075.15         1791.18
  1971          31               683.00         1045.48         1728.48
  1971          32               609.71          936.82         1546.53
  1971          33               552.76          855.61         1408.37
  1971          34               555.00          800.42         1355.42
  1971          35               534.23          764.36         1298.58
  1971          36               514.41          749.72         1264.13
  1971          37               444.82          668.01         1112.83
  1971          38               406.02          622.55         1028.57
  1971          39               418.60          641.23         1059.83
  1971          40               396.91          626.13         1023.03
  1971          41               410.88          666.78         1077.66
  1971          42               367.64          594.71          962.35
  1971          43               354.81          561.97          916.78
  1971          44               365.70          543.08          908.78
  1971          45               359.02          539.56          898.57
  1971          46               337.06          521.31          858.37
  1971          47               307.43          475.35          782.78
  1971          48               259.67          422.46          682.13
  1971          49               294.39          432.83          727.23
  1971          50               292.06          432.01          724.07
  1971          51               287.38          418.97          706.35
  1971          52               243.53          347.45          590.97
  1971          53               192.29          268.14          460.43
  1971          54               190.63          256.70          447.33
  1971          55               183.84          250.62          434.45
  1971          56               182.18          254.68          436.86
  1971          57               154.41          235.24          389.65
  1971          58               123.47          206.46          329.93
  1971          59               128.64          193.57          322.21
  1971          60               138.70          184.58          323.28
  1971          61               135.70          162.69          298.39
  1971          62               108.50          140.11          248.60
  1971          63                85.52          107.28          192.79
  1971          64                85.71          118.35          204.07
  1971          65                84.53          114.12          198.65
  1971          66                86.58          121.81          208.39
  1971          67                65.21           96.47          161.68
  1971          68                48.61           76.65          125.26
  1971          69                48.46           70.59          119.04
  1971          70                62.08           80.27          142.35
  1971          71                61.38           84.09          145.46
  1971          72                56.81           69.69          126.49
  1971          73                29.52           35.42           64.94
  1971          74                31.87           34.73           66.60
  1971          75                30.86           37.33           68.19
  1971          76                25.81           38.13           63.93
  1971          77                27.98           36.02           64.00
  1971          78                16.45           24.94           41.40
  1971          79                16.25           18.81           35.06
  1971          80                31.38           25.78           57.16
  1971          81                22.16           26.78           48.94
  1971          82                14.22           21.50           35.72
  1971          83                11.11           13.66           24.77
  1971          84                10.00           11.31           21.31
  1971          85                 9.74           11.24           20.97
  1971          86                11.61            7.87           19.48
  1971          87                13.94            4.25           18.19
  1971          88                10.69            3.91           14.60
  1971          89                 4.87            6.26           11.13
  1971          90                 3.28            5.25            8.53
  1971          91                 2.49            1.24            3.73
  1971          92                 1.49            0.50            1.99
  1971          93                 1.02            1.56            2.58
  1971          94                 0.76            2.01            2.76
  1971          95                 1.00            1.21            2.21
  1971          96                 1.11            0.50            1.61
  1971          97                 1.50            0.51            2.01
  1971          98                 0.88            0.77            1.65
  1971          99                 0.00            1.00            1.00
  1971         100                 0.00            0.73            0.73
  1971         101                 0.00            0.23            0.23
  1971         102                 0.00            0.00            0.00
  1971         103                 0.00            0.00            0.00
  1971         104                 0.00            0.00            0.00
  1971         105                 0.00            0.00            0.00
  1971         106                 0.00            0.00            0.00
  1971         107                 0.00            0.00            0.00
  1971         108                 0.00            0.00            0.00
  1971         109                 0.00            0.00            0.00
  1971         110+                0.00            0.00            0.00
  1972           0              1382.93         1457.97         2840.90
  1972           1              1300.67         1397.20         2697.87
  1972           2              1273.63         1342.06         2615.69
  1972           3              1263.54         1291.51         2555.06
  1972           4              1203.06         1263.02         2466.08
  1972           5              1160.00         1248.03         2408.03
  1972           6              1107.00         1152.63         2259.63
  1972           7              1026.50         1077.00         2103.50
  1972           8               964.50         1044.51         2009.01
  1972           9               984.50         1018.50         2003.00
  1972          10               936.50          961.50         1898.00
  1972          11               885.00          951.02         1836.02
  1972          12               823.00          884.00         1707.00
  1972          13               748.50          785.00         1533.50
  1972          14               706.00          731.00         1437.00
  1972          15               690.01          705.02         1395.02
  1972          16               676.50          682.01         1358.51
  1972          17               684.00          681.49         1365.49
  1972          18               673.01          745.00         1418.01
  1972          19               727.46          836.02         1563.48
  1972          20               809.01          953.53         1762.54
  1972          21               908.00         1065.53         1973.53
  1972          22              1022.50         1214.56         2237.06
  1972          23              1098.52         1293.07         2391.59
  1972          24              1172.02         1343.01         2515.03
  1972          25              1164.04         1441.05         2605.09
  1972          26              1098.56         1424.57         2523.13
  1972          27              1024.50         1362.01         2386.51
  1972          28               966.01         1263.02         2229.03
  1972          29               875.49         1185.50         2060.99
  1972          30               775.00         1106.97         1881.97
  1972          31               768.00         1106.00         1874.00
  1972          32               721.99         1055.53         1777.52
  1972          33               618.50          959.03         1577.53
  1972          34               561.50          869.03         1430.54
  1972          35               550.50          800.97         1351.47
  1972          36               559.54          801.03         1360.57
  1972          37               537.97          770.56         1308.53
  1972          38               442.60          661.99         1104.59
  1972          39               421.96          633.51         1055.47
  1972          40               399.02          598.02          997.04
  1972          41               426.50          646.48         1072.98
  1972          42               427.09          658.07         1085.16
  1972          43               365.00          581.49          946.49
  1972          44               363.56          542.03          905.59
  1972          45               368.51          528.39          896.90
  1972          46               362.03          537.03          899.07
  1972          47               371.00          543.65          914.65
  1972          48               288.48          464.98          753.46
  1972          49               272.50          427.01          699.51
  1972          50               276.50          408.49          684.99
  1972          51               293.53          441.06          734.59
  1972          52               298.83          444.43          743.26
  1972          53               231.02          344.47          575.50
  1972          54               196.63          274.09          470.72
  1972          55               189.50          255.49          444.99
  1972          56               190.50          251.52          442.02
  1972          57               207.02          269.53          476.54
  1972          58               154.51          233.01          387.53
  1972          59               130.05          204.52          334.58
  1972          60               131.39          190.04          321.43
  1972          61               149.00          181.49          330.49
  1972          62               149.99          174.00          323.99
  1972          63               109.50          133.50          242.99
  1972          64                83.99          110.49          194.49
  1972          65                76.49          105.49          181.98
  1972          66                85.99          112.50          198.48
  1972          67                94.48          121.99          216.48
  1972          68                63.99           95.50          159.49
  1972          69                41.99           75.00          116.99
  1972          70                37.48           53.98           91.46
  1972          71                48.98           69.47          118.45
  1972          72                68.98           94.99          163.96
  1972          73                48.00           59.99          107.99
  1972          74                31.50           30.49           61.99
  1972          75                29.99           29.49           59.48
  1972          76                22.49           29.50           51.99
  1972          77                29.00           34.47           63.47
  1972          78                21.98           29.47           51.45
  1972          79                17.00           19.99           36.99
  1972          80                31.01           25.10           56.11
  1972          81                28.85           24.05           52.90
  1972          82                20.16           24.51           44.67
  1972          83                12.46           19.26           31.72
  1972          84                10.35           12.13           22.48
  1972          85                 9.51           11.31           20.82
  1972          86                 8.49           10.25           18.74
