NT,  Exposures (Lexis triangle)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971      685.41      739.70     1425.11
 1971    0      1970      626.93      648.45     1275.38
 1971    1      1970      627.41      668.47     1295.88
 1971    1      1969      617.31      615.23     1232.54
 1971    2      1969      637.04      652.59     1289.63
 1971    2      1968      596.95      610.14     1207.10
 1971    3      1968      616.00      621.17     1237.18
 1971    3      1967      580.28      614.01     1194.28
 1971    4      1967      588.00      630.50     1218.50
 1971    4      1966      553.36      567.56     1120.92
 1971    5      1966      574.71      616.31     1191.02
 1971    5      1965      498.91      527.98     1026.89
 1971    6      1965      543.50      539.50     1083.00
 1971    6      1964      477.92      513.87      991.79
 1971    7      1964      475.50      534.00     1009.50
 1971    7      1963      488.00      496.03      984.02
 1971    8      1963      491.50      514.00     1005.50
 1971    8      1962      461.54      479.50      941.03
 1971    9      1962      494.59      496.18      990.76
 1971    9      1961      437.33      475.36      912.69
 1971   10      1961      442.50      470.50      913.00
 1971   10      1960      410.75      446.20      856.94
 1971   11      1960      441.50      483.67      925.17
 1971   11      1959      369.84      394.31      764.15
 1971   12      1959      387.00      408.50      795.50
 1971   12      1958      345.61      364.89      710.50
 1971   13      1958      359.50      380.00      739.50
 1971   13      1957      317.37      332.39      649.76
 1971   14      1957      349.50      355.85      705.35
 1971   14      1956      292.46      293.33      585.79
 1971   15      1956      327.17      343.84      671.01
 1971   15      1955      272.54      271.63      544.17
 1971   16      1955      329.00      311.82      640.82
 1971   16      1954      259.48      281.60      541.08
 1971   17      1954      310.27      327.33      637.60
 1971   17      1953      272.96      300.70      573.67
 1971   18      1953      316.08      361.67      677.75
 1971   18      1952      311.74      350.44      662.18
 1971   19      1952      351.09      399.08      750.17
 1971   19      1951      355.61      408.51      764.12
 1971   20      1951      396.75      470.09      866.83
 1971   20      1950      411.31      481.17      892.48
 1971   21      1950      450.37      521.86      972.22
 1971   21      1949      464.48      550.16     1014.64
 1971   22      1949      501.50      611.19     1112.69
 1971   22      1948      499.87      598.22     1098.09
 1971   23      1948      546.35      622.92     1169.26
 1971   23      1947      503.42      661.51     1164.93
 1971   24      1947      574.71      683.82     1258.53
 1971   24      1946      481.20      666.28     1147.48
 1971   25      1946      549.29      726.98     1276.27
 1971   25      1945      463.58      648.02     1111.60
 1971   26      1945      515.83      680.68     1196.51
 1971   26      1944      448.98      627.18     1076.16
 1971   27      1944      484.50      660.35     1144.85
